Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Код класса по KKS,Примечания,Синонимы
,,,,,,ABC130,"Пути рабочие плоских скользящих затворов и решеток, конструкция составного сечения из толстолистового проката с опорным рельсом из стали марки 12Х18Н10Т, стали С 255",,Приказ Минстроя России от 02.03.2017 N 597/пр,,,,,,,
,,,,,,ABC140,"Пути рабочие плоских скользящих затворов, конструкция составного сечения из толстолистового проката с механической обработкой по торцам, стали С 255",,Приказ Минстроя России от 02.03.2017 N 597/пр,,,,,,,
,,,ABCB,,,,Опорный элемент,"Элемент, воспринимающий крановые нагрузки от рельсов и передающий их на строительные конструкции","ГОСТ Р 56944-2016
СП 12-103-2002 ",,,,,,,
,,,ABCC,,,,Стыковая накладка для рельсов,,СП 12-103-2002,,,"25.1.05.01
25.1.06.13",,,,
,,,ABCD,,,,Путевое оборудование,"Устройства (тупиковые упоры, отключающие устройства, страховочные канаты, знаки безопасности и др.), обеспечивающие безопасную эксплуатацию грузоподъемного крана",ГОСТ Р 56944-2016,,,,,,,
,,,,ABCDA,,,Тупиковый упор,"Устройство, предназначенное для гашения скорости крана и предотвращения его схода с концевых участков кранового пути в аварийных ситуациях при отказе отключающего устройства или тормозов механизма передвижения крана",ГОСТ Р 56944-2016,,,26.1.02.07,,,,
,,,,ABCDB,,,Отключающее устройство,"Устройство, обеспечивающее воздействие на ограничитель передвижения крана для предотвращения его перемещения за пределы рабочей зоны",ГОСТ Р 56944-2016,,,,,,,
,,,,ABCDC,,,Ограждение надземного рельсового кранового пути,,,,,,,,,
,,ABD,,,,,Элемент мембранных покрытий,,,,,,,,,
,,,ABDA,,,,Элемент опорного кольца внутреннего,,,,,,,,,
,,,ABDB,,,,Элемент опорного кольца наружного,,,,,,,,,
,,ABE,,,,,Диафрагма жесткости,"Плоский вертикальный несущий элемент консольного типа, предназначенный для обеспечения пространственной жесткости здания путем восприятия горизонтальных нагрузок и передачи усилий на фундамент","СП 356.1325800.2017
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,05.1.04.02,,,,
,,ABF,,,,,Объемный блок,"Конструктивный монтажный элемент, изготовленный в заводских условиях, являющийся частью объема здания (санитарно-техническая кабина, элементы лифтовых шахт и т.п.)","ГОСТ 18048-2018
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,"59.1.05.01-1493
59.1.05.01-1496
59.1.05.01-1500
59.1.05.01-1497
59.1.05.01-1498
59.1.05.01-1499
 59.1.05.01-1484",,,,
,AC,,,,,,Элементы стеновых конструкций зданий,,,,,,,,,
,,ACA,,,,,"Кирпич, камни, блоки, перемычки",,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,"05.2.03
05.2.03.01
05.2.03.02",СТ 10 07 20,,,
,,,ACAA,,,,Камень бетонный стеновой,"Камень, изготовленный вибропрессованием, прессованием, формованием или другими способами из легкого, тяжелого и мелкозернистого бетонов, применяемый при возведении стен и других конструкций зданий и сооружений различного назначения","ГОСТ 6133-2019
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"05.2.03.01
05.2.03.02
59.1.05.02-0274
59.1.05.02-0275
59.1.05.02-0276
59.1.05.02-0277
59.1.05.02-0278
59.1.05.02-0279
",СТ 10 10 50 50,,Определение синтезировано,
,,,ACAB,,,,Кирпич и камни силикатные,,ГОСТ 379-2015,,,"05.2.03.06
05.2.03.08
05.2.03.13",,,,
,,,,ACABA,,,Кирпич силикатный полнотелый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"05.2.03.14
05.2.03.16",,,,
,,,,ACABB,,,Камень силикатный пустотелый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,05.2.03.08,,,,
,,,,ACABC,,,Одинарный кирпич силикатный пустотелый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"05.2.03.18
05.2.03.15",,,,
,,,,ACABD,,,Утолщенный кирпич пустотелый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,05.2.03.19,,,,
,,,,ACABE,,,Кирпич силикатный лицевой одинарный,,Приказ Минстроя России от 17.11.2022 N969/пр ,,,05.2.03.13,,,,
,,,,ACABF,,,Кирпич силикатный полнотелый утолщенный,,Приказ Минстроя России от 17.11.2022 N969/пр ,,,05.2.03.17,,,,
,,,,ACABG,,,Кирпич силикатный условно эффективный одинарный,,,,,,,,,
,,,,ACABH,,,Кирпич силикатный эффективный одинарный,,,,,,,,,
,,,,ACABJ,,,Камень силикатный лицевой,,Приказ Минстроя России от 17.11.2022 N969/пр ,,,05.2.03.06,,,,
,,,,ACABK,,,Камень силикатный полнотелый одинарный,,,,,,,,,
,,,,ACABL,,,Камень силикатный условно эффективный одинарный,,,,,,,,,
,,,,ACABM,,,Камень силикатный эффективный одинарный,,,,,,,,,
,,,ACAC,,,,Кирпич и камень керамические,,"ГОСТ 530-2012
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)  ",,,"06.1.01.01
06.1.01.02
06.1.01.05",,,,
,,,,ACACA,,,Кирпич одинарный керамический,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,06.1.01.05,,,,
,,,,ACACB,,,Кирпич евро керамический,,,,,,,,,
,,,,ACACC,,,Кирпич утолщенный керамический,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"06.1.01.05-0095
06.1.01.05-0096
06.1.01.05-0097
06.1.01.05-0098
06.1.01.05-0099
06.1.01.05-0100
06.1.01.05-0101
",,,,
,,,,ACACD,,,Кирпич модульный одинарный керамический,,,,,,,,,
,,,,ACACE,,,Кирпич утолщенный керамический с горизонтальными пустотами,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"06.1.01.05-0111
06.1.01.05-0112
06.1.01.05-0113
06.1.01.05-0114
06.1.01.05-0115
06.1.01.05-0116
06.1.01.05-0117
06.1.01.05-0125
06.1.01.05-0126
06.1.01.05-0127
06.1.01.05-0128
06.1.01.05-0129
06.1.01.05-0130
06.1.01.05-0131
06.1.01.05-0141
06.1.01.05-0142
06.1.01.05-0143
06.1.01.05-0144
06.1.01.05-0171
06.1.01.05-0172
06.1.01.05-0173
06.1.01.05-0174
",,,,
,,,,ACACF,,,Камень керамический,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"06.1.01.01
06.1.01.02",,,,
,,,,ACACG,,,Камень крупноформатный керамический,,,,,,,,,
,,,,ACACH,,,Камень керамический с горизонтальными пустотами,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,06.1.01.02,,,,
