Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Код класса по KKS,Примечания,Синонимы
,,,,,,CGAD100,"Шкафы и панели децентрализованные для сжатого воздуха, гидравлики",,"Приказ №1/545-П от 28.05.2018 г.  Государственная корпорация по атомной энергии ""Росатом""",,,,,ASD,,"Сжатый воздух, гидравлика"
,,,,,,CGAD110,"Шкафы и панели децентрализованные для автоматики, регулирования",,"Приказ №1/545-П от 28.05.2018 г.  Государственная корпорация по атомной энергии ""Росатом""",,,,,ASJ,,"Для автоматики, регулирования"
,,,,,,CGAD120,"Шкафы и панели децентрализованные для моделирования сети, выбора групп напряжения",,"Приказ №1/545-П от 28.05.2018 г.  Государственная корпорация по атомной энергии ""Росатом""",,,,,ASL,,"Для моделирования сети, выбора групп напряжения"
,,,,,,CGAD130,Шкафы и панели децентрализованные для измерения,,"Приказ №1/545-П от 28.05.2018 г.  Государственная корпорация по атомной энергии ""Росатом""",,,,,ASM,,Для измерения
,,,,,,CGAD140,Шкафы и панели децентрализованные для собственных нужд,,"Приказ №1/545-П от 28.05.2018 г.  Государственная корпорация по атомной энергии ""Росатом""",,,,,ASN,,Для собственных нужд
,,,,,,CGAD150,Шкафы и панели децентрализованные для регистрации,,"Приказ №1/545-П от 28.05.2018 г.  Государственная корпорация по атомной энергии ""Росатом""",,,,,ASP,,Для регистрации
,,,,,,CGAD160,Шкафы и панели децентрализованные для учета,,"Приказ №1/545-П от 28.05.2018 г.  Государственная корпорация по атомной энергии ""Росатом""",,,,,ASQ,,Для учета
,,,,,,CGAD170,Шкафы и панели децентрализованные для защиты,,"Приказ №1/545-П от 28.05.2018 г.  Государственная корпорация по атомной энергии ""Росатом""",,,,,ASR,,Для защиты
,,,,,,CGAD180,Шкафы и панели децентрализованные для синхронизации,,"Приказ №1/545-П от 28.05.2018 г.  Государственная корпорация по атомной энергии ""Росатом""",,,,,ASS,,Для синхронизации
,,,,,,CGAD190,Шкафы и панели децентрализованные для трансформации,,"Приказ №1/545-П от 28.05.2018 г.  Государственная корпорация по атомной энергии ""Росатом""",,,,,AST,,Для трансформации
,,,,,,CGAD200,Шкафы и панели децентрализованные для вспомогательных устройств,,"Приказ №1/545-П от 28.05.2018 г.  Государственная корпорация по атомной энергии ""Росатом""",,,,,ASU,,Для вспомогательных устройств
,,,,,,CGAD210,"Шкафы и панели децентрализованные для сборных, промежуточных и основных блоков",,"Приказ №1/545-П от 28.05.2018 г.  Государственная корпорация по атомной энергии ""Росатом""",,,,,ASV,,"Сборные, промежуточные и основные блоки"
,,,,,,CGAD220,"Шкафы и панели децентрализованные для индикации, обслуживания, контроля",,"Приказ №1/545-П от 28.05.2018 г.  Государственная корпорация по атомной энергии ""Росатом""",,,,,ASW,,"Индикация, обслуживание, контроль"
C,CG,,,,,CGAD230,Шкафы и панели децентрализованные для аварийной сигнализации,,"Приказ №1/545-П от 28.05.2018 г.  Государственная корпорация по атомной энергии ""Росатом""",,,,,ASX,,Аварийная сигнализация
,,,CGAE,,,,Доска электротехническая,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,01.1.01.02,СТ 10 20,,,
,,CGB,,,,,Устройства коммутационные и предохранительные для электрических цепей,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"20.5
",,,,
,,,CGBA,,,,Вводы,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"20.5.01
",,,,
,,,,,,CGBA010,Ввод гибкий для труб,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.5.01.01,,,,
,,,,,,CGBA020,Ввод кабельный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.5.01.02,,,,
,,,CGBB,,,,Коробки электротехнические,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"20.5.02
",,,,
,,,,,,CGBB010,Коробка абонентская,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.5.02.01,,,,
,,,,,,CGBB020,Коробка клеммная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.5.02.02,,,,
,,,,,,CGBB030,Коробка коммутационная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.5.02.03,,,,
,,,,,,CGBB040,Коробка ответвительная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.5.02.04,,,,
,,,,,,CGBB050,Коробка протяжная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.5.02.05,,,,
,,,,,,CGBB060,Коробка разветвительная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.5.02.06,,,,
,,,,,,CGBB070,Коробка распаечная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.5.02.07,,,,
,,,,,,CGBB080,Коробка распределительная,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,20.5.02.08,ЭЛ 40 50 20 50,,,
,,,,,,CGBB090,Коробка соединительная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.5.02.09,,,,
,,,,,,CGBB100,Коробка универсальная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.5.02.10,,,,
,,,,,,CGBB110,Коробка установочная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.5.02.11,,,,
,,,CGBC,,,,Мосты шинные и шины,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"20.5.03
",,,,
,,,,,,CGBC010,Мост шинный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.5.03.01,,,,
,,,,,,CGBC020,Шинодержатель,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.5.03.02,,,,
,,,,,,CGBC030,Шина из цветных металлов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.5.03.03,,,,
,,,CGBD,,,,"Соединители электрические, зажимы контактные, наборы зажимов",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"20.5.04
",,,,
,,,,,,CGBD010,Блок зажимов для соединения жил проводов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.5.04.01,,,,
,,,,,,CGBD020,Блок зажимов наборных для соединения жил проводов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.5.04.02,,,,
,,,,,,CGBD030,Зажим наборный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.5.04.03,,,,
,,,,,,CGBD040,Зажим натяжной,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.5.04.04,,,,
,,,,,,CGBD050,Зажим ответвительный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.5.04.05,,,,
,,,,,,CGBD060,Зажим разъемный ответвительный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.5.04.06,,,,
,,,,,,CGBD070,Зажим соединительный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.5.04.07,,,,
,,,,,,CGBD080,Зажим соединительный шлейфовый спиральный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.5.04.08,,,,
,,,,,,CGBD090,Сжим ответвительный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.5.04.09,,,,
,,,,,,CGBD100,Сжим соединительный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.5.04.10,,,,
,,CGC,,,,,Аппаратура распределительная и регулирующая,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,62.1,,,,
,,,CGCA,,,,Выключатели автоматические,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,62.1.01,ЭЛ 40 50 20 20,,,
,,,,,,CGCA010,Выключатель автоматический без расцепителей,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,62.1.01.01,,,,
,,,,,,CGCA020,Выключатель автоматический дифференциального тока,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,62.1.01.02,,,,
,,,,,,CGCA030,Выключатель автоматический с полупроводниковым расцепителем,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,62.1.01.03,,,,
,,,,,,CGCA040,Выключатель автоматический с ручным приводом,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,62.1.01.04,,,,
,,,,,,CGCA050,Выключатель автоматический с тепловым и электромагнитным расцепителем,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,62.1.01.05,,,,
,,,,,,CGCA060,Выключатель автоматический с электромагнитным расцепителем,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,62.1.01.08,,,,
,,,CGCB,,,,Комплект электрической аппаратуры коммутации или защиты,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,62.1.02,,,,
,,,,,,CGCB010,Блок резистора,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,62.1.02.01,,,,
,,,,,,CGCB020,Блок управления освещением (для ВРУ),,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,62.1.02.02,,,,
,,,,,,CGCB030,Бокс модульный для автоматических выключателей,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,62.1.02.03,ЭЛ 40 50 60 10,,,
,,,,,,CGCB040,Камера сборная одностороннего обслуживания,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,62.1.02.04,,,,
,,,,,,CGCB050,Панель распределительного щита одностороннего обслуживания,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,62.1.02.05,,,,
