Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Примечания
,,,,AEE100,Машина высокопроизводительного бетоноукладочного комплекта распределитель цементобетона со скользящими формами,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.08.05-062,
,,,,AEE110,Машина высокопроизводительного бетоноукладочного комплекта финишер трубчатый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.08.05-064,
,,,,AEE120,Пневмобетономашина для возведения набрызг-бетонной крепи для укладки бетонной смеси за опалубку и тампонажа закрепного пространства,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.08.05-071,
,,,,AEE130,Пневмобетоноукладчик,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,"28.92.30.91.08.05-081
28.92.30.91.08.05-082",
,,,,AEE140,Цементоукладчик для заделки швов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.08.05-091,
,,,,AEE150,Бетоноукладчик для устройства барьерных ограждений,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.08.05-566,
,,,,AEE160,Машина на рельс-формах для нанесения пленкообразующих материалов в составе бетоноукладочного комплекта,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.08.05-576,
,,AEF,,,Нарезчик швов,"Машина для нарезки и разделки швов, трещин",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.08.06,Определение синтезировано
,,,,AEF010,Нарезчик швов обыкновенный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.08.06-001,
,,,,AEF020,Станок для разделки трещин,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,"28.92.30.91.08.06-510
28.92.30.91.08.06-512",
,,,,AEF030,Машина для разделки швов и трещин,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.08.11-021,
,,AEG,,,Распределитель,Машина для механизации распределения дорожно-строительных материалов,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.08.07,Определение синтезировано
,,,,AEG010,Битумощебнераспределитель,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.08.07-001,
,,,,AEG020,Распределитель каменной мелочи,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.08.07-011,
,,,,AEG030,Распределитель минеральных вяжущих,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,"28.92.30.91.08.07-012
28.92.30.91.08.07-013",
,,,,AEG040,Распределитель цемента,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.08.07-014,
,,,,AEG050,Распределитель щебня и гравия,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.08.07-015,
,,,,AEG060,Распределитель щебня,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,"28.92.30.91.08.07-016
28.92.30.91.08.07-017",
,,,,AEG070,Установка для приготовления и распределения литой органо-минеральной смеси,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.08.07-510,
,,AEH,,,Смеситель,"Машина, содержащая емкость с горизонтальным или вертикальным смесителем (перемешивающий вал или лопасти смесителя) для подготовки, транспортирования, подогрева (свыше 100 °С), смешивания и выгрузки различных смесей",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.08.08,Определение синтезировано
,,,,AEH010,Смеситель-укладчик литых эмульсионно-минеральных смесей,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,29.10.59.91.08.08-001,
