Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Код класса по КСР,Код класса по МССК,Примечания,Примечания
,,,,,,FADD060,Фундамент переездного сигнала,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.11.23.119.25.3.12.01-3182,,,
,,,,,,FADD070,Основание под трансформаторные и релейные ящики,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,23.61.12.119.25.3.08.01-1516,,,
,,,,,,FADD080,Стойка для релейных шкафов,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,ЭЛ 40 45 10 50,,
,,,,,,FADD090,Основание под дроссель-трансформаторы,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,23.61.12.119.25.3.08.01-1514,,,
,,,,,,FADD100,Фундамент под лестницу,,,,,,,
,,,,,,FADD110,Основание распределительных муфт,,,,,,,
,,,,,,FADD120,Фундамент маневровой колонки,,,,,,,
,,,FADE,,,,Опоры для высоковольтных линий автоблокировки,"Железобетонные предварительно напряженные центрифугированные стойки, предназначенные для устройства опор высоковольтно-сигнальных линий автоблокировки железных дорог напряжением 6 - 10 кВ","ГОСТ 22131-2016
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,ЭЛ 40 45 10 20,,
,,,FADF,,,,Желоба для прокладки кабелей,,,,,,,
,,,,,,FADF010,Желоб для прокладки кабелей,,,,,,,
,,,,,,FADF020,Крышка желоба,,,,,,,
,,FAE,,,,,Платформы пассажирские низкие железобетонные,,,,,,,
,,,FAEA,,,,Стенки бортовые,,,,,,,
,,,FAEB,,,,Панели ограждений,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"23.61.12.174.05.1.07.12-1000
23.61.12.177.05.1.07.12-0200 23.61.12.177.05.1.07.12-0201 23.61.12.177.05.1.07.12-0202
23.61.12.177.05.1.07.12-0203
23.61.12.178.05.1.07.13-0031 23.61.12.178.05.1.07.13-0032 23.61.12.178.05.1.07.13-0033",,,
,,,FAEC,,,,Стойки ограждений СОУ,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,ЭЛ 30 16 80 25,,
,,,FAED,,,,Блоки ФБС,,,,,,,
,,FAF,,,,,Фундаменты под опоры контактной сети железных дорог,,,,,,,
,,,FAFA,,,,Фундаменты трёхлучевые с анкерным креплением консольных опор контактной сети ТСА,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"23.61.12.119.25.3.08.01-4678
23.61.12.119.25.3.08.01-4680
23.61.12.119.25.3.08.01-4682
23.61.12.119.25.3.08.01-4684
23.61.12.119.25.3.08.01-4686
23.61.12.119.25.3.08.01-4688
23.61.12.119.25.3.08.01-4690
23.61.12.119.25.3.08.01-4692
23.61.12.119.25.3.08.01-4694
23.61.12.119.25.3.08.01-4696
23.61.12.119.25.3.08.01-4698",,,
,,,FAFB,,,,Фундаменты трёхлучевые ТСН,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"23.61.12.119.05.1.05.13-0004
23.61.12.119.05.1.05.13-0005
23.61.12.119.05.1.05.13-0006
23.61.12.119.05.1.05.13-0007
23.61.12.119.05.1.05.13-0008
23.61.12.119.05.1.05.13-0009
23.61.12.119.05.1.05.13-0010
23.61.12.119.05.1.05.13-0011
23.61.12.119.05.1.05.13-0012",,,
,,,FAFC,,,,Фундаменты трёхлучевые ТФА,,,,,,,
,,,FAFD,,,,Анкеры трёхлучевые ТАС (фундаменты),,,,,,,
,,,FAFE,,,,Фундаменты трёхлучевые ТАН (анкеры),,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"23.61.12.119.05.1.05.13-0002
23.61.12.119.05.1.05.13-0003",,,
,,,FAFF,,,,"Фундаменты с уширенной полкой ЗФ, ЗФА",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"23.61.12.119.25.3.08.01-4528
23.61.12.119.25.3.08.01-4530",,,
,,,FAFG,,,,Фундаменты под металлические опоры контактной сети,,,,,,,
,,,FAFH,,,,Фундаменты под металлические опоры контактной сети с гибкими поперечинами,,,,,,,
,,,FAFJ,,,,Фундаменты клиновидные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,23.61.12.119.25.3.08.01-4666 23.61.12.119.25.3.08.01-4668 23.61.12.119.25.3.08.01-4670 23.61.12.119.25.3.08.01-4672 23.61.12.119.25.3.08.01-4674 23.61.12.119.25.3.08.01-4676,,,
,,,FAFM,,,,Фундаменты для железобетонных опор контактной сети железных дорог свайного типа,,,,,,,
,,,FAFN,,,,Стаканные трёхлучевые фундаменты консольных опор контактной сети (тип ТСС),,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"23.61.12.112.25.3.08.01-4504
23.61.12.112.25.3.08.01-4506
23.61.12.112.25.3.08.01-4508
23.61.12.112.25.3.08.01-4510
23.61.12.112.25.3.08.01-4512
23.61.12.112.25.3.08.01-4514
23.61.12.112.25.3.08.01-4516
23.61.12.112.25.3.08.01-4518
23.61.12.112.25.3.08.01-4860
23.61.12.112.25.3.08.01-4862
23.61.12.112.25.3.08.01-4864
23.61.12.112.25.3.08.01-4866
23.61.12.112.25.3.08.01-4868
23.61.12.112.25.3.08.01-4870
23.61.12.112.25.3.08.01-4872
23.61.12.112.25.3.08.01-4874
23.61.12.112.25.3.08.01-4876",,,
,,,FAFP,,,,Фундаменты трёхлучевые с анкерным креплением ТСП,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"23.61.12.112.25.3.08.01-4930
23.61.12.112.25.3.08.01-4932
23.61.12.112.25.3.08.01-4934
23.61.12.112.25.3.08.01-4936
23.61.12.112.25.3.08.01-4938",,,
,,FAG,,,,,Конструкции для инфраструктуры железнодорожных узлов и станций,,,,,,,
,,,,,,FAG010,Открытый цех по переработке сыпучих навалочных грузов,,,,,,,
,,FAH,,,,,Унифицированные железобетонные стойки для опор контактной сети железных дорог,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,ЭЛ 30 16 80 25,,
,,FAJ,,,,,Столбы сигнальные и столбы ограждения,,,,,,,
,,,,,,FAJ010,Столбик сигнальный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,01.5.03.06,,,
,,,,,,FAJ020,Столб ограждения,,,,,,,
,,,,,,FAJ030,Столбик пикетный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,22.23.19.000.01.5.03.06-0001,,,
,,,,,,FAJ040,Столбик сигнальный дорожный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,22.23.19.000.01.5.03.06-0012 22.23.19.000.01.5.03.06-1002 22.23.19.000.01.5.03.06-1004 22.23.19.000.01.5.03.06-1006 25.11.23.119.01.5.03.06-0011,,,
,,FAK,,,,,Смотровые канавы для тепловозно-вагонных депо промышленных железных дорог,,,,,,,
,,FAL,,,,,Сборные железобетонные снегозащитные ограждения железнодорожного полотна,,,,,,,
,,FAM,,,,,Балки железобетонные пролетных строений на железных дорогах,,,,,,,
,FB,,,,,,Изделия деревянные для железных дорог,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.1.01,,,
,,FBA,,,,,Бруски и траверсы деревянные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.1.01.01,,,
,,FBB,,,,,Брусья для стрелочных переводов железных дорог,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.1.01.02,,,
,,FBC,,,,,Брусья мостовые,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.1.01.03,,,
,,FBD,,,,,Шпалы и полушпалы деревянные,,,,,,,
,,,FBDA,,,,Шпалы деревянные непропитанные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"16.10.10.131.25.1.01.04-0001
16.10.10.131.25.1.01.04-0011
16.10.10.131.25.1.01.04-0012
16.10.10.131.25.1.01.04-0013
16.10.10.131.25.1.01.04-0014
16.10.10.131.25.1.01.04-0015
16.10.10.131.25.1.01.04-0016
16.10.10.131.25.1.01.04-0017
16.10.10.131.25.1.01.04-0018
16.10.10.131.25.1.01.04-0019
16.10.10.131.25.1.01.04-0020
16.10.10.131.25.1.01.04-0031
16.10.10.131.25.1.01.04-0032
16.10.10.131.25.1.01.04-0033",,,
,,,FBDB,,,,Полушпалы деревянные непропитанные,,,,,,,
,,,FBDC,,,,Шпалы деревянные пропитанные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"16.10.32.112.25.1.01.04-1000
16.10.32.111.25.1.01.05-0011
16.10.32.111.25.1.01.05-0012
16.10.32.111.25.1.01.05-0013
16.10.32.112.25.1.01.05-0021
16.10.32.112.25.1.01.05-0022
16.10.32.112.25.1.01.05-0023
16.10.32.112.25.1.01.05-0024
16.10.32.112.25.1.01.05-0025
16.10.32.112.25.1.01.05-0026
16.10.32.112.25.1.01.05-0027
16.10.32.112.25.1.01.05-0028
16.10.32.112.25.1.01.05-0029
16.10.32.111.25.1.01.05-0031
16.10.32.111.25.1.01.05-0032
16.10.32.111.25.1.01.05-0033
16.10.32.111.25.1.01.05-0034
16.10.32.111.25.1.01.05-0035
16.10.32.111.25.1.01.05-0036
16.10.32.111.25.1.01.05-0041
16.10.32.111.25.1.01.05-1000
16.10.32.140.25.1.01.05-1002",,,
,,,FBDD,,,,Полушпалы деревянные пропитанные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"16.10.32.111.25.1.01.05-0001
16.10.32.111.25.1.01.05-0002",,,
,FC,,,,,,Изделия верхнего строения пути,,,,,,,
,,FCA,,,,,Железнодорожные рельсы,,,,,,,
,,,,,,FCA010,Рельсы железнодорожные широкой колеи,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.1.05.05,,,
,,,,,,FCA020,Крановые рельсы,,,,,,,
,,,,,,FCA030,Рамные рельсы,,,,,,,
,,,,,,FCA040,Рельсы старогодные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.1.05.07,,,
,,,,,,FCA050,Рельсы железнодорожные узкой колеи,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.1.05.04,,,
,,,,,,FCA060,Рельсы рудничные,,,,,,,
,,,,,,FCA070,Немерные рельсы,,,,,,,
,,,,,,FCA080,Рельсы контррельсовые,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.1.05.06,,,
,,FCB,,,,,Решетки рельсошпальные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.1.05.08,,,
,,FCC,,,,,Брус стрелочный,,,,,,,
,,,,,,FCC010,Брус стрелочный железобетонный,,,,,,,
,,,,,,FCC020,Брус переводной пропитанный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"16.10.32.120.25.1.01.02-0002
16.10.32.120.25.1.01.02-0032
16.10.32.121.25.1.01.02-1008",,,
,,,,,,FCC030,Брус мостовой деревянный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.1.01.03,,,
,,FCD,,,,,Железнодорожный резинокордовый настил 6 м для ж/д переезда,,,,,,,
,,FCE,,,,,Железнодорожные накладки,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"25.1.05.01
24.10.75.115.25.3.10.01-1026",,,
,,FCF,,,,,Изоляция и прокладки,,,,,,,
,,,FCFA,,,,Втулка изолирующая ,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,27.33.14.000.20.2.02.01-0002 27.33.14.000.20.2.02.01-0021 27.33.14.000.25.3.12.01-1038 27.33.14.000.25.3.14.01-1036,,,
,,,FCFB,,,,Изолирующий стык АПАТЭК,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"25.11.23.119.25.1.06.23-0011
27.90.12.120.25.3.10.01-1304
27.90.12.120.25.3.10.01-1306",,,
,,,FCFC,,,,Подрельсовые прокладки,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"24.10.75.116.25.3.10.01-1309
24.10.75.116.25.3.10.01-1310",,,
,,FCG,,,,,Крепеж для рельс,,,,,,,
,,,,,,FCG010,Шайба (гровер),,,,,,,
,,,,,,FCG020,Шайба (плоская),,,,,,,
,,,,,,FCG030,Планка упорная,,,,,,,
,,,,,,FCG040,Планка прижимная,,,,,,,
,,,,,,FCG050,Гайка железнодорожная,,,,,,,
,,,,,,FCG060,Болт железнодрожный,,,,,,,
,,FCH,,,,,Подкладки раздельного скрепления железнодорожного пути,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.1.05.02,,,
,,FCJ,,,,,Изделия крепежные резьбовые для железнодорожного пути,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"25.1.04
",,,
,,,FCJA,,,,Шайбы для железнодорожного пути,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.1.03.06,,,
,,,FCJB,,,,Путевые болты,,,,,,,
,,,,FCJBA,,,Болты закладные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.1.04.01,,,
,,,,FCJBB,,,Болты клеммные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.1.04.02,,,
,,,,FCJBC,,,Болты путевые,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.1.04.03,,,
,,,,FCJBD,,,Болты стыковые,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.1.04.04,,,
,,,FCJC,,,,Гайки для железнодорожного пути,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.1.04.05,,,
,,,FCJD,,,,Клеммы,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.1.03.01,,,
,,,,,,FCJD010,Клемма промежуточная ПК,,,,,,,
,,,,,,FCJD020,Клемма промежуточная ПК б/у,,,,,,,
,,FCK,,,,,Изделия крепежные нерезьбовые для железнодорожного пути,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"25.1.03
",,,
,,,FCKA,,,,Костыли путевые,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.1.03.02,,,
,,,FCKB,,,,Скрепления рельсовые анкерные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.1.03.05,,,
,,,FCKC,,,,Скобы для железнодорожного пути,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.1.03.04,,,
,,FCL,,,,,Скрепления АРС,,,,,,,
,,,,,,FCL010,Уголок АРС-4,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,22.29.29.190.25.1.03.05-0021,,,
,,,,,,FCL020,Прокладка ЦП-204 АРС,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,22.19.73.119.25.1.06.20-0013,,,
,,,,,,FCL030,Подклеммник АРС-4 для железнодорожного пути,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.94.12.190.25.1.03.01-0021,,,
,,,,,,FCL040,Монорегулятор АРС-4,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.94.12.190.25.1.03.05-1010,,,
,,,,,,FCL050,Комплект скреплений АРС (на одну шпалу),,,,,,,
,,,,,,FCL060,Клемма АРС-4,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.94.12.142.25.1.03.01-0004,,,
,,FCM,,,,,Соединители рельсовые,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.1.06.21,,,
,,FCN,,,,,Противоугон,,,,,,,
,,FCP,,,,,Шуруп путевой,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.1.04.07,,,
,,FCQ,,,,,Устройства путевые и их комплектующие,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"25.1.06
",,,
,,,FCQA,,,,Перевод стрелочный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.1.06.15,,,
,,,,FCQAG,,,Крестовины стрелочного перевода,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"25.1.06.07
25.1.06.08
25.1.06.09",,,
,,,,FCQAH,,,Замки стрелочные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.1.06.02,,,
,,,FCQB,,,,Температурные стыки,,,,,,,
,,,,FCQBA,,,Накладка температурного стыка,,,,,,,
,,,FCQC,,,,Знаки путевые и предупредительные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.1.06.03,,,
,,,FCQD,,,,Джемперы штепсельные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.1.06.01,,,
,,,FCQE,,,,Компенсаторы,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.1.06.05,,,
,,,FCQF,,,,Маты демпферные и подбалластные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.1.06.12,,,
,,,FCQG,,,,Приборы уравнительные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.1.06.17,,,
,FD,,,,,,Оборудование и изделия контактной сети,,,,,,,
,,FDA,,,,,Арматура контактных сетей,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"25.2.01
",,,
,,,FDAA,,,,Бирки,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.2.01.01,,,
,,,FDAB,,,,Бугели,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.2.01.02,,,
,,,FDAC,,,,Верхушки оголовков,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.2.01.03,,,
,,,FDAD,,,,Вкладыши,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.2.01.04,,,
,,,FDAE,,,,Держатели для контактной сети,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.2.01.05,,,
,,,FDAF,,,,Зажимы для контактной сети,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.2.01.06,,,
,,,FDAG,,,,Изоляторы,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.2.01.07,,,
,,,FDAH,,,,Клеммы для контактной сети,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.2.01.08,,,
,,,FDAJ,,,,Клинья,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.2.01.09,,,
,,,FDAK,,,,Коромысла,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.2.01.10,,,
,,,FDAL,,,,Коуши,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.2.01.11,,,
,,,FDAM,,,,Муфты для контактной сети,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.2.01.12,,,
,,,FDAN,,,,Оголовки крепления,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.2.01.13,,,
,,,FDAP,,,,Ограничители,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.2.01.14,,,
,,,FDAQ,,,,Пестики,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.2.01.15,,,
,,,FDAR,,,,Седла двойные и одинарные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.2.01.16,,,
,,,FDAS,,,,Ушки,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.2.01.17,,,
,,,FDAT,,,,Фиксаторы для контактной сети,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.2.01.18,,,
,,,FDAU,,,,Шайбы для контактной сети,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.2.01.19,,,
,,,FDAV,,,,Штанги сочленения,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.2.01.20,,,
,,FDB,,,,,Конструкции и детали контактной сети железных дорог стальные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"25.2.02
",,,
,,,FDBA,,,,Болты для контактной сети железных дорог стальные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.2.02.01,,,
,,,FDBB,,,,Консоли изолированные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.2.02.02,,,
,,,FDBC,,,,Консоли неизолированные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.2.02.03,,,
,,,FDBD,,,,Кронштейны для контактной сети железных дорог стальные ,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,25.2.02.04,ЭЛ 40 45 10 10,,
,,,FDBE,,,,Надставки,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.2.02.05,,,
,,,FDBF,,,,Ограничители грузов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.2.02.06,,,
,,,FDBG,,,,Траверсы стальные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.2.02.07,,,
,,,FDBH,,,,Узлы крепления,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.2.02.08,,,
,,,FDBJ,,,,Хомуты для контактной сети железных дорог стальные,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,25.2.02.09,ЭЛ 40 45 10 60,,
,,,FDBK,,,,Штанги для грузов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.2.02.10,,,
,,,FDBL,,,,Перемычки дроссельные сталемедные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.2.02.12,,,
,,,FDBM,,,,Перемычки междроссельные сталемедные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.2.02.13,,,
,,,FDBN,,,,Соединители электротяговые сталемедные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.2.02.14,,,
,FE,,,,,,Изделия для контактных сетей трамвая и троллейбуса,,,,,,,
,,FEA,,,,,Арматура и узлы контактной сети,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"27.2.01
",,,
,,,FEAA,,,,Держатели кривые,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,27.2.01.01,,,
,,,FEAB,,,,Дужки питающие,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,27.2.01.02,,,
,,,FEAC,,,,Зажимы,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,27.2.01.03,,,
,,,FEAD,,,,Пересечения контактных проводов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,27.2.01.04,,,
,,,FEAE,,,,Подвесы,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,27.2.01.05,,,
,,,FEAF,,,,Стрелки троллейбусные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,27.2.01.06,,,
,,,FEAG,,,,Узлы подвешивания продольно-несущего троса,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,27.2.01.07,,,
,,FEB,,,,,Изоляторы контактной сети троллейбуса и трамвая,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"27.2.02
",,,
,,,FEBA,,,,Изоляторы планочные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,27.2.02.01,,,
,,,FEBB,,,,Изоляторы пряжечные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,27.2.02.02,,,
,,,FEBC,,,,Изоляторы секционные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,27.2.02.03,,,
,,FEC,,,,,Крепления контактной сети,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"27.2.03
",,,
,,,FECA,,,,Кронштейн контактной сети,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"25.11.23.119.27.2.03.01-0001
25.11.23.119.27.2.03.01-0002
25.11.23.119.27.2.03.01-0003
25.11.23.119.27.2.03.01-0004
25.11.23.119.27.2.03.01-0005
25.11.23.119.27.2.03.01-0006
25.11.23.119.27.2.03.01-0007
25.11.23.119.27.2.03.01-0008
25.11.23.119.27.2.03.01-0009
25.11.23.119.27.2.03.01-0010
25.11.23.119.27.2.03.01-0011
25.11.23.119.27.2.03.01-0012
25.11.23.119.27.2.03.01-0013
25.11.23.119.27.2.03.01-0014
25.11.23.119.27.2.03.01-0015
25.11.23.119.27.2.03.01-1008
25.11.23.119.27.2.03.01-1010
25.11.23.119.27.2.03.01-1012
25.11.23.119.27.2.03.01-1018",ЭЛ 40 45 10 10,,
,,,FECB,,,,Стержни фиксаторов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,27.2.03.02,,,
,,,FECC,,,,Траверсы для поперечно-несущих тросов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,27.2.03.03,,,
,,,FECD,,,,Фиксаторы,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,27.2.03.04,,,
,,,FECE,,,,Крюк контактной сети,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"25.11.23.119.27.2.03.01-0021
25.11.23.119.27.2.03.01-0022
25.11.23.119.27.2.03.01-1014
25.11.23.119.27.2.03.01-1016",,,
,FF,,,,,,Электрооборудование и изделия для электрических сетей железнодорожного транспорта,,,,,,,
,,FFA,,,,,Управляющее оборудование и изделия,,,,,,,
,,,FFAA,,,,Компьютеры и периферийное оборудование,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,77.3.02,,,
,,,FFAB,,,,"Разъемы, розетки и прочая аппаратуры коммутации или защиты электрических цепей",,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"20.9.03.01
25.3.18.01
62.9.03.01",ЭЛ 40 50 20 10,,
,,,FFAC,,,,Провода и кабели электронные и электрические ,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"21.9.02
25.3.17",,,
,,,,,,FFAC010,Кабель волоконно-оптический,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,21.9.01.01,,,
