Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Код класса по КСР,Код класса по МССК,Примечания,Примечания
,,,ABBD,,,,Балка,"Конструктивный элемент, служащий для передачи нагрузок между точками опоры или за их пределы, обычно протяженный в длину и расположенный, как правило, горизонтально","ГОСТ Р ИСО 6707-1-2020
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"05.1.03.01
05.1.03.02
05.1.03.03",ЭЛ 30 16 20,,
,,,,ABBDA,,,Балка обвязочная,"Линейный горизонтальный несущий элемент строительных конструкций зданий или сооружений, предназначенный для восприятия и передачи нагрузок от каменных стен","ГОСТ 24893-2016
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,05.1.03.01,,,
,,,,,ABBDAA,,Балка обвязочная железобетонная для зданий промышленных предприятий,"Железобетонная обвязочная балка, изготовляемая из тяжелого бетона и бетона на пористых заполнителях.
координационной длиной 6,0 м, применяемая в навесных каменных (из кирпича и легкобетонных камней), наружных и внутренних стенах, в том числе в местах перепада высот, производственных и вспомогательных зданий промышленных предприятий",ГОСТ 24893-2016,,,,Определение синтезировано,
,,,,ABBDB,,,Балка стропильная,"Несущий элемент зданий, воспринимающий нагрузку от покрытия кровли","ГОСТ 20372-2015
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,05.1.03.03,ЭЛ 20 20 35,,
,,,,ABBDC,,,Балка подкрановая,"Строительная конструкция, предназначенная для опирания (подвески) рельсового пути кранового, восприятия нагрузок от подъемного сооружения в процессе эксплуатации и обеспечения пространственной жесткости и устойчивости каркаса сооружения","ГОСТ Р 56944-2016
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,05.1.03.02,ЭЛ 30 16 21,Определение синтезировано,
,,ABC,,,,,Надземный рельсовый путь,"Рельсовый путь крановый, опирающийся на подкрановые строительные конструкции или подвешенный к ним",ГОСТ Р 56944-2016,,,,,
,,,ABCA,,,,Рельс,"Стальная горячекатаная балка единого специального профиля или имеющая составной профиль, состоящий из частей, скрепленных с применением крепежных элементов или сваркой","ГОСТ 7173-54
ГОСТ Р 51685-2013
ГОСТ 4121-96
ГОСТ 2591-2006
ГОСТ Р 56944-2016
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,26.1.02.05,ЭЛ 30 16 61,,
,,,ABCB,,,,Опорный элемент,"Элемент, воспринимающий крановые нагрузки от рельсов и передающий их на строительные конструкции",ГОСТ Р 56944-2016,,,,,
,,,ABCC,,,,Стыковая накладка для рельсов,,,,,,,
,,,ABCD,,,,Путевое оборудование,"Устройства (тупиковые упоры, отключающие устройства, страховочные канаты, знаки безопасности и др.), обеспечивающие безопасную эксплуатацию грузоподъемного крана",ГОСТ Р 56944-2016,,,,,
