code,level_1,level_2,level_3,level_4,param_1,param_2
ТО 10 20 10 05,,,,"Экскаваторы-планировщики на автомобиле, объем ковша до 0,63 м3",2.1-1-25,28.92.26.110
ТО 10 20 20,,,Гидравлические,,,
ТО 10 20 20 01,,,,"Экскаваторы-погрузчики на пневмоколесном ходу гидравлические, грузоподъемность до 0,5 т",2.1-1-28,28.92.26.110
ТО 10 20 20 02,,,,"Экскаваторы-погрузчики на пневмоколесном ходу гидравлические, грузоподъемность до 1,5 т",2.1-1-29,28.92.26.111
ТО 10 20 20 03,,,,Экскаваторы траншейные цепные на пневматическом ходу,2.1-1-33,28.92.27.111
ТО 10 20 20 04,,,,"Экскаваторы шнекороторные на тракторе, мощность до 80 кВт (108 л.с.)",2.1-1-34,28.92.27.119
ТО 10 30,,Экскаваторы роторные,,,,
ТО 10 30 10,,,Для траншей,,,
ТО 10 30 10 01,,,,Экскаваторы роторные для траншей ширины и глубины 1500-2200 мм,2.1-1-35,28.92.27.111
ТО 10 30 10 02,,,,Экскаваторы роторные для траншей ширины и глубины 2100-2500 мм,2.1-1-36,28.92.27.111
ТО 10 40,,Экскаваторы на гусеничном ходу,,,,
ТО 10 40 10,,,С широкозахватным грейфером,,,
ТО 10 40 10 01,,,,"Широкозахватные грейферы на гусеничной базе, на жесткой штанге, объем ковша до 0,5 м3",2.1-1-38,28.92.26.110
ТО 10 40 10 02,,,,"Широкозахватные грейферы на гусеничной базе, объем ковша до 1 м3",2.1-1-73,28.92.26.110
ТО 10 50,,Прочие экскаваторы,,,,
ТО 10 50 10,,,Скусыватели на базе экскаватора,,,
ТО 10 50 10 01,,,,"Скусыватели на базе экскаватора, высота до 90 м",2.1-17-1,28.92.26.110
ТО 10 50 20,,,Для очистки,,,
ТО 10 60,,Бульдозеры,,,,
ТО 10 60 10,,,Бульдойзеры гусеничные ,,,
ТО 10 60 10 01,,,,"Бульдозеры гусеничные, мощность до 37 кВт (50 л.с.)",2.1-1-42,28.92.21.110
ТО 10 60 10 02,,,,"Бульдозеры гусеничные, мощность до 59 кВт (80 л.с.)",2.1-1-43,28.92.21.110
ТО 10 60 10 03,,,,"Бульдозеры гусеничные, мощность до 79 кВт (108 л.с.)",2.1-1-44,28.92.21.110
ТО 10 60 10 04,,,,"Бульдозеры гусеничные, мощность до 96 кВт (130 л.с.)",2.1-1-45,28.92.21.110
ТО 10 60 10 05,,,,"Бульдозеры гусеничные, мощность до 118 кВт (160 л.с.)",2.1-1-46,28.92.21.110
ТО 10 60 10 06,,,,"Бульдозеры гусеничные, мощность до 125 кВт (170 л.с.)",2.1-1-47,28.92.21.110
ТО 10 60 10 07,,,,"Бульдозеры гусеничные, мощность до 132 кВт (180 л.с.)",2.1-1-48,28.92.21.110
ТО 10 60 10 08,,,,"Бульдозеры гусеничные, мощность до 243 кВт (330 л.с.)",2.1-1-49,28.92.21.110
ТО 10 60 10 09,,,,Бульдозеры-рыхлители гусеничные тяжелые класса тяги от 20 до 35 тонн,2.1-1-54,28.92.21.110
ТО 10 70,,Скреперы,,,,
ТО 10 70 10,,,С ковшом самоходные,,,
ТО 10 70 10 01,,,,"Скреперы с ковшом самоходные (на колесных тягачах), объем ковша до 8 м3",2.1-1-60,28.92.23.000
ТО 10 70 10 02,,,,"Скреперы с ковшом самоходные (на колесных тягачах), объем ковша до 15 м3",2.1-1-61,28.92.23.000
ТО 10 70 20,,,Прицепные ,,,
ТО 10 70 20 01,,,,"Скреперы прицепные (с гусеничным трактором), объем ковша до 3 м3",2.1-1-62,28.92.30.140
ТО 10 70 20 02,,,,"Скреперы прицепные (с гусеничным трактором), объем ковша до 4,5 м3",2.1-1-63,28.92.30.140
ТО 10 70 20 03,,,,"Скреперы прицепные (с гусеничным трактором), объем ковша до 7 м3",2.1-1-64,28.92.30.140
ТО 10 70 20 04,,,,"Скреперы прицепные (с гусеничным трактором), объем ковша до 8 м3",2.1-1-65,28.92.30.140
ТО 10 70 20 05,,,,"Скреперы прицепные (с гусеничным трактором), объем ковша до 10 м3",2.1-1-66,28.92.30.140
ТО 10 70 20 06,,,,"Скреперы прицепные (с гусеничным трактором), объем ковша до 15 м3",2.1-1-67,28.92.30.140
ТО 10 80,,Машины для рытья,,,,
ТО 10 80 10,,,Машины для рытья котлованов,,,
ТО 10 80 10 01,,,,"Машины для рытья котлованов под опоры контактной сети при работе с ""пути""",2.1-1-68,30.20.31.118
ТО 10 80 10 02,,,,"Машины для рытья котлованов под опоры контактной сети при работе с ""поля""",2.1-1-69,30.20.31.118
ТО 10 80 20,,,Для устройства подводных траншей,,,
ТО 10 80 20 01,,,,"Установки скреперные для устройства подводных траншей, объем ковша 1,0-1,5 м3",2.1-1-72,28.92.23.000
ТО 12,Тракторы,,,,,
ТО 12 10,,Тракторы,,,,
ТО 12 10 10,,,На гусеничном ходу,,,
ТО 12 10 10 01,,,,"Тракторы на гусеничном ходу, мощность до 60 кВт (81 л.с.)",2.1-2-1,28.92.50.000
ТО 12 10 10 02,,,,"Тракторы гусеничные, мощность до 75 кВт (100 л.с.)",2.1-2-2,28.92.50.000
ТО 12 10 10 03,,,,"Тракторы гусеничные, мощность до  100 кВт (136 л.с.)",2.1-2-3,28.92.50.000
