code,level_1,level_2,level_3,param_1,param_2,param_3
ВР 20 45 19,,,Монтаж резервуаров стальных вертикальных цилиндрических для нефти и нефтепродуктов без понтона,"3.9-9-1
3.9-9-2
3.9-9-3",Резервуар,все
ВР 20 45 20,,,Монтаж пролетных строений галерей с опорами наклонного типа,3.9-10-1,Пролёт,все
ВР 20 45 21,,,Монтаж пролетных строений галерей с опорами горизонтального типа,3.9-10-2,Пролёт,все
ВР 20 45 22,,,Монтаж пролетных строений галерей с опорами транспортных оболочечного типа круглого сечения,3.9-10-3,Пролёт,все
ВР 20 45 23,,,Монтаж пролетных строений галерей с опорами транспортных оболочечного типа прямоугольного сечения,3.9-10-4,Пролёт,все
ВР 20 50,,Поэлементная сборка и установка металлоконструкций,,,,
ВР 20 50 01,,,Монтаж колонн зданий и крановых эстакад цельного сечения,"3.9-11-1
3.9-11-2
3.9-11-3","Колонна
Эстакада крановая",готовое изделие
ВР 20 50 02,,,Монтаж колонн зданий и крановых эстакад составного сечения,"3.9-11-4
3.9-11-5","Колонна
Эстакада крановая",готовое изделие
ВР 20 50 03,,,Монтаж одиночных подкрановых балок,"3.9-12-1
3.9-12-2
3.9-12-3",Балка подкрановая,готовое изделие
ВР 20 50 04,,,Монтаж ограждений по подкрановым балкам,3.9-12-4,Балка подкрановая,готовое изделие
ВР 20 50 05,,,"Монтаж стальных балок и ригелей перекрытий, покрытий и под установку оборудования","3.9-13-1
3.9-13-2","Балка
Ригель",готовое изделие
ВР 20 50 06,,,Монтаж прогонов ферм,"3.9-14-1
3.9-14-2",Ферма,готовое изделие
ВР 20 50 07,,,Монтаж каркасов с арочными элементами полигонального и криволинейного очертания,3.9-15-1,Каркас,готовое изделие
ВР 20 50 08,,,Монтаж стропил из спаренного оцинкованного профиля для кровли из цементно-песчаной черепицы,3.9-73-1,Стропило,готовое изделие
ВР 20 50 09,,,Монтаж стропильных и подстропильных ферм,"3.9-16-1
3.9-16-2
3.9-16-3
3.9-16-4
3.9-16-5
3.9-16-6
3.9-16-7
3.9-16-8
3.9-16-9
3.9-16-10
3.9-16-11","Стропильная ферма
Подстропильная ферма",готовое изделие
ВР 20 50 10,,,Установка стальных опорных стоек под фермы ,"3.9-16-12
3.9-16-13",Стойка,готовое изделие
ВР 20 50 11,,,Монтаж вертикальных связей в виде ферм для пролётов,"3.9-17-1
3.9-17-2
3.9-17-3
3.9-17-4",Ферма,готовое изделие
ВР 20 50 12,,,"Монтаж связей и распорок из одиночных и парных уголков, гнутосварных профилей для пролетов","3.9-18-1
3.9-18-2
3.9-18-3
3.9-18-4","Связь металлическая
Распорка",готовое изделие
ВР 20 50 13,,,"Монтаж лестниц прямолинейных и криволинейных, пожарных с ограждением",3.9-19-1,Лестница,готовое изделие
ВР 20 50 14,,,"Монтаж площадок с настилом и ограждением из листовой, рифленой, просечной и круглой стали",3.9-20-1,Площадка,готовое изделие
ВР 20 50 15,,,Монтаж фахверка,3.9-21-1,Фахверк,готовое изделие
ВР 20 50 16,,,Монтаж стен из профилированного листа с установкой нащельников и сливов,"3.9-21-2
3.9-21-3",Стена,готовое изделие
ВР 20 50 17,,,Монтаж стен из многослойных панелей,"3.9-21-4
3.9-21-5",Стена,готовое изделие
ВР 20 50 18,,,Монтаж кровельного покрытия из профилированного листа,"3.9-22-1
3.9-22-2",Покрытие кровли,готовое изделие
ВР 20 50 19,,,Монтаж кровельного покрытия из многослойных панелей (монопанелей) заводской готовности,3.9-22-3,Покрытие кровли,готовое изделие
ВР 20 50 20,,,Монтаж стальных витражей и оконных блоков с нащельниками из стали,"3.9-23-1
3.9-23-2","Витраж
Окно",готовое изделие
ВР 20 50 21,,,Монтаж стальных витражей и оконных блоков с нащельниками из алюминиевых сплавов,"3.9-24-1
3.9-24-2","Витраж
Окно",готовое изделие
ВР 20 50 22,,,Монтаж зенитных панельных двухскатных глухих фонарей,3.9-25-1,Фонарь зенитный,готовое изделие
ВР 20 50 23,,,Монтаж оконных фонарных панелей одноярусных,3.9-26-1,Панель фонарная,готовое изделие
ВР 20 50 24,,,Монтаж оконных фонарных панелей двухъярусных,3.9-26-2,Панель фонарная,готовое изделие
ВР 20 50 25,,,"Заделка швов тиоколовой мастикой в местах примыкания металлических оконных блоков, перегородок, витражей к стенам и между собой",3.9-27-1,"Витраж
Окно
Фонарь",готовое изделие
ВР 20 50 26,,,"Заделка швов смоляной паклей в местах примыкания металлических оконных блоков, перегородок, витражей к стенам и между собой",3.9-27-2,"Витраж
Окно
Фонарь",готовое изделие
ВР 20 50 27,,,"Установка комплекта приборов открывания и закрывания фрамуг на витражах, окнах, фонарях",3.9-28-1,"Витраж
Окно
Фонарь",готовое изделие
ВР 20 50 28,,,Монтаж каркасов ворот,3.9-29-1,Каркас,готовое изделие
ВР 20 50 29,,,Монтаж металлических конструкций каркаса шахты для лифтов,3.9-81-1,Каркас,готовое изделие
ВР 20 50 30,,,Монтаж каркасов нагревательных печей,3.9-30-1,Каркас,готовое изделие
ВР 20 50 31,,,Монтаж каркасов прочих печей и выдвижные поды,3.9-30-2,Каркас,готовое изделие
ВР 20 50 32,,,Монтаж каркасов конвейерных сушил (без панелей),3.9-30-3,Каркас,готовое изделие
ВР 20 50 33,,,Монтаж цилиндрических кожухов печей и сушил из листовой стали,3.9-30-4,Кожух,готовое изделие
ВР 20 50 34,,,"Монтаж рекуператоров, экранов, коробок, загрузочных и разгрузочных камер вращающихся печей и сушил из листовой стали",3.9-30-5,"Рекуператор
Экран
Коробка
Камера",готовое изделие
ВР 20 50 35,,,Монтаж подин стационарных,3.9-30-6,Подина,готовое изделие
ВР 20 50 36,,,Монтаж подин выдвижных,3.9-30-7,Подина,готовое изделие
ВР 20 50 37,,,Монтаж плит чугунных и стальных деталей обрамления каркасов и кладки нагревательных печей,3.9-30-8,"Плита
Обрамление",готовое изделие
