Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по ГЭСН,Примечание
A,,,,,,,Земляные и горные работы,,ГЭСН 2020,по виду работ,,,Синтезировано путем объединения нескольких таблиц ГЭСН
,AA,,,,,,Земляные работы,,ГЭСН 81-02-01-2020 ,по виду работ,,ГЭСН 81-02-01-2020,
,,,DJCG,,,,Укладка трубопроводов в морских условиях открытого побережья (открытого рейда),,ГЭСН 81-02-44-2020,,,"ГЭСН 44-03-050
ГЭСН 44-03-051
ГЭСН 44-03-052",
,,,DJCH,,,,Укладка кабеля в морских условиях открытого побережья (открытого рейда),,ГЭСН 81-02-44-2020,,,"ГЭСН 44-03-060
ГЭСН 44-03-061",
,,,DJCJ,,,,Опускание металлических и железобетонных конструкций под воду в морских условиях открытого побережья (открытого рейда),,ГЭСН 81-02-44-2020,,,ГЭСН 44-03-065,
,,,DJCK,,,,Водолазное обследование в морских условиях открытого побережья (открытого рейда),,ГЭСН 81-02-44-2020,,,ГЭСН 44-03-070,
,,,DJCL,,,,Перемещение камня и щебня из воды в морских условиях открытого побережья (открытого рейда),,ГЭСН 81-02-44-2020,,,ГЭСН 44-03-073,
,,,DJCM,,,,Выемка камня и щебня из воды в морских условиях открытого побережья (открытого рейда),,ГЭСН 81-02-44-2020,,,ГЭСН 44-03-073,
,,,DJCN,,,,Сварка на плаву плетей трубопровода в морских условиях открытого побережья (открытого рейда),,ГЭСН 81-02-44-2020,,,ГЭСН 44-03-077,
,,,DJCP,,,,Установка швартовных бочек в морских условиях открытого побережья (открытого рейда),,ГЭСН 81-02-44-2020,,,ГЭСН 44-03-080,
,,,DJCQ,,,,Устройство элементов деревянных конструкций в морских условиях открытого побережья (открытого рейда),,ГЭСН 81-02-44-2020,,,ГЭСН 44-03-083 ,
,,,DJCR,,,,Крепление подводной части откосов в морских условиях открытого побережья (открытого рейда),,ГЭСН 81-02-44-2020,,,ГЭСН 44-03-087 ,
,,DJD,,,,,Дноуглубительные работы в морских условиях,,ГЭСН 81-02-44-2020,по виду работ,,,
,,,DJDA,,,,Разработка грунта самоотвозными землесосами,,ГЭСН 81-02-44-2020,,,"ГЭСН 44-04-001 
ГЭСН 44-04-002
ГЭСН 44-04-003
ГЭСН 44-04-004
ГЭСН 44-04-005
ГЭСН 44-04-006
ГЭСН 44-04-007
ГЭСН 44-04-008
ГЭСН 44-04-009
ГЭСН 44-04-010
ГЭСН 44-04-011
ГЭСН 44-04-012
ГЭСН 44-04-013
ГЭСН 44-04-014
ГЭСН 44-04-015
ГЭСН 44-04-016
ГЭСН 44-04-017
ГЭСН 44-04-018
ГЭСН 44-04-019
ГЭСН 44-04-030
ГЭСН 44-04-031
ГЭСН 44-04-032
ГЭСН 44-04-033
ГЭСН 44-04-034
ГЭСН 44-04-035
ГЭСН 44-04-036
ГЭСН 44-04-037
ГЭСН 44-04-038
ГЭСН 44-04-039
ГЭСН 44-04-040
ГЭСН 44-04-041
ГЭСН 44-04-042
ГЭСН 44-04-043
ГЭСН 44-04-044
ГЭСН 44-04-045
ГЭСН 44-04-046
ГЭСН 44-04-047
ГЭСН 44-04-048 ",
,,,DJDB,,,,Разработка грунта земснарядами,,ГЭСН 81-02-44-2020,,,"ГЭСН 44-04-060
ГЭСН 44-04-061
ГЭСН 44-04-062
ГЭСН 44-04-063
ГЭСН 44-04-064
ГЭСН 44-04-065
ГЭСН 44-04-066
ГЭСН 44-04-067
ГЭСН 44-04-068
ГЭСН 44-04-069
ГЭСН 44-04-080
ГЭСН 44-04-081
ГЭСН 44-04-082
ГЭСН 44-04-083
ГЭСН 44-04-084
ГЭСН 44-04-085
ГЭСН 44-04-086
ГЭСН 44-04-088",
,,,DJDC,,,,Перевозка грунтов шаландами самоходными,,ГЭСН 81-02-44-2020,,,"ГЭСН 44-04-100
ГЭСН 44-04-101
ГЭСН 44-04-102
ГЭСН 44-04-103
ГЭСН 44-04-104
ГЭСН 44-04-105
ГЭСН 44-04-106
ГЭСН 44-04-107
ГЭСН 44-04-108
ГЭСН 44-04-120
ГЭСН 44-04-121
ГЭСН 44-04-122
ГЭСН 44-04-123
ГЭСН 44-04-124
ГЭСН 44-04-125
ГЭСН 44-04-126
ГЭСН 44-04-127
ГЭСН 44-04-128",
,,,DJDD,,,,Разработка грунта свайно-папильонажными земснарядами с фрезерным разрыхлителем,,ГЭСН 81-02-44-2020,,,"ГЭСН 44-04-180
ГЭСН 44-04-181
ГЭСН 44-04-182
ГЭСН 44-04-183
ГЭСН 44-04-184
ГЭСН 44-04-185
ГЭСН 44-04-186
ГЭСН 44-04-187
ГЭСН 44-04-188
ГЭСН 44-04-200
ГЭСН 44-04-201
ГЭСН 44-04-202
ГЭСН 44-04-203",
,DK,,,,,,Устройство промышленных печей и трубы,,ГЭСН 81-02-45-2020,по виду работ,,,
,,DKA,,,,,Кладка доменных печей,,ГЭСН 81-02-45-2020,,,ГЭСН 45-01-001,
,,DKB,,,,,Кладка воздухонагревателей доменных печей,,ГЭСН 81-02-45-2020,по виду работ,,,
,,,DKBA,,,,Кладка стен печей,,ГЭСН 81-02-45-2020,,,ГЭСН 45-02-001,
,,,DKBB,,,,Кладка купола печей,,ГЭСН 81-02-45-2020,,,ГЭСН 45-02-002,
,,,DKBC,,,,Кладка арок печей,,ГЭСН 81-02-45-2020,,,ГЭСН 45-02-003,
,,DKC,,,,,Кладка верхнего строения ванных стекловареных печей,,ГЭСН 81-02-45-2020,,,ГЭСН 45-03-001,
,,DKD,,,,,Обмуровка паровых энергетических котлов,,ГЭСН 81-02-45-2020,по виду работ,,,
,,,DKDA,,,,Обмуровка шамотными изделиями,,ГЭСН 81-02-45-2020,,,ГЭСН 45-04-001,
,,,DKDB,,,,Обмуровка кирпичом пенодиатомитовым,,ГЭСН 81-02-45-2020,,,ГЭСН 45-04-002,
,,,DKDC,,,,Обмуровка жаростойким бетоном,,ГЭСН 81-02-45-2020,,,ГЭСН 45-04-003,
,,,DKDD,,,,Разные работы при обмуровке жаростойким бетоном,,ГЭСН 81-02-45-2020,,,ГЭСН 45-04-004,
,,,DKDE,,,,Обмуровка теплоизоляционным бетоном,,ГЭСН 81-02-45-2020,,,ГЭСН 45-04-005,
,,,DKDF,,,,Обмуровка поверхности котлов плитами,,ГЭСН 81-02-45-2020,,,ГЭСН 45-04-006,
,,,DKDG,,,,Набивка массой огнеупорной при обмуровке паровых энергетических котлов,,ГЭСН 81-02-45-2020,,,ГЭСН 45-04-007,
,,,DKDH,,,,Очистка ошипованной поверхности зажигательных поясов и подов топок перед набивкой,,ГЭСН 81-02-45-2020,,,ГЭСН 45-04-008,
,,,DKDJ,,,,Торкретирование огнеупорным раствором при обмуровке паровых энергетических котлов,,ГЭСН 81-02-45-2020,,,ГЭСН 45-04-009,
,,,DKDK,,,,Уплотнительная обмазка поверхности котлов,,ГЭСН 81-02-45-2020,,,ГЭСН 45-04-010,
,,DKE,,,,,Кладка элементов тепловых агрегатов общего назначения,,ГЭСН 81-02-45-2020,по виду работ,,,
,,,DKEA,,,,"Кладка насадок воздухонагревателей, регенераторов и рекуператоров",,ГЭСН 81-02-45-2020,,,ГЭСН 45-05-001,
,,,DKEB,,,,Кладка элементов тепловых агрегатов общего назначения из обыкновенного глиняного кирпича,,ГЭСН 81-02-45-2020,,,ГЭСН 45-05-002,
,,,DKEC,,,,Кладка элементов тепловых агрегатов общего назначения из шамотных изделий,,ГЭСН 81-02-45-2020,,,ГЭСН 45-05-003,
,,,DKED,,,,Кладка элементов тепловых агрегатов общего назначения из шамотных фасонных изделий,,ГЭСН 81-02-45-2020,,,ГЭСН 45-05-004,
,,,DKEE,,,,Кладка элементов тепловых агрегатов общего назначения из теплоизоляционных шамотных и пенодиатомитовых изделий,,ГЭСН 81-02-45-2020,,,ГЭСН 45-05-005,
,,,DKEF,,,,Кладка элементов тепловых агрегатов общего назначения из динасовых изделий,,ГЭСН 81-02-45-2020,,,ГЭСН 45-05-006,
,,,DKEG,,,,Кладка элементов тепловых агрегатов общего назначения из фасонных динасовых изделий,,ГЭСН 81-02-45-2020,,,ГЭСН 45-05-007,
,,,DKEH,,,,"Кладка элементов тепловых агрегатов общего назначения из хромитопериклазовых, периклазовых и периклазошпинелидных изделий",,ГЭСН 81-02-45-2020,,,ГЭСН 45-05-008,
,,,DKEJ,,,,Набивка огнеупорной массой или огнеупорным бетоном и закладка полостей при кладке элементов тепловых агрегатов общего назначения,,ГЭСН 81-02-45-2020,,,ГЭСН 45-05-009,
,,,DKEK,,,,Укладка набивных пластических масс при кладке элементов тепловых агрегатов общего назначения,,ГЭСН 81-02-45-2020,,,ГЭСН 45-05-010,
,,,DKEL,,,,"Изоляция кладки печей, котлов, трубопроводов",,ГЭСН 81-02-45-2020,,,ГЭСН 45-05-011,
,,DKF,,,,,Футеровка тепловых агрегатов,,ГЭСН 81-02-45-2020,,,"ГЭСН 45-06-001
ГЭСН 45-06-002
ГЭСН 45-06-003
ГЭСН 45-06-004
ГЭСН 45-06-005
ГЭСН 45-06-006
ГЭСН 45-06-007",
,,DKG,,,,,Монтаж печей из сборных элементов повышенной заводской готовности,,ГЭСН 81-02-45-2020,,,ГЭСН 45-07-001,
,,DKH,,,,,Разборка кладки промышленных печей,,ГЭСН 81-02-45-2020,,,ГЭСН 45-08-001,
,,DKJ,,,,,Устройство электролизеров для алюминиевой промышленности,,ГЭСН 81-02-45-2020,по виду работ,,,
,,,DKJA,,,,Набивка угольной подовой массой,,ГЭСН 81-02-45-2020,,,ГЭСН 45-09-001,
,,,DKJB,,,,Установка угольных блоков и подовых секций,,ГЭСН 81-02-45-2020,,,ГЭСН 45-09-002,
,,,DKJC,,,,Формовка анода с верхним подводом тока,,ГЭСН 81-02-45-2020,,,ГЭСН 45-09-003,
,,,DKJD,,,,Установка токопроводящих штырей и анодов,,ГЭСН 81-02-45-2020,,,ГЭСН 45-09-004,
