Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания
,,CDG,,,Демонтаж деревянных свай,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,CDH,,,Демонтаж деревянных стропил,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,CDJ,,,Демонтаж деревянных плит,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
D,,,,,"Утилизация материалов и конструкций, полученных в результате сноса зданий и сооружений","Использование отходов для производства товаров (продукции), выполнения работ, оказания услуг, включая повторное применение отходов, в том числе повторное применение отходов по прямому назначению (рециклинг), их возврат в производственный цикл после соответствующей подготовки (регенерация), а также извлечение полезных компонентов для их повторного применения (рекуперация)","СП 325.1325800.2017
СТО Нострой 2.33.53-2011 
",,,
,DA,,,,Утилизация бетонных и железобетонных конструкций,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По виду работ,,
,,DAA,,,Техническое диагностирование на кондиционные и некондиционные материалы,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,DB,,,,Переработка некондиционных железобетонных изделий,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По виду работ,,
,,DBA,,,Предварительное разрушение изделий с отделением арматуры,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,DBB,,,Окончательное вторичное дробление отделенной массы бетона на стандартных дробильных установках,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,DC,,,,Утилизация арматуры железобетонных конструкций и некондиционных элементов стальных конструкций,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По виду работ,,
,,DCA,,,Снятие арматуры и закладных изделий с установки первичного разрушения бетона,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,DCB,,,Измельчение арматуры на мерные куски путем огневой резки или с помощью гидравлических или аллигаторных ножниц,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,DCC,,,Извлечение остатков арматуры и закладных изделий из дробленого бетона,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,DD,,,,Переработка материалов кирпичных стен,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011 
",,,
,DE,,,,Переработка и утилизация некондиционных деревянных изделий,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011 
",,,
