Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,"Код по классификатору ОАО ""РЖД""",Примеры,Примечания
,,EAD,,,Комплекс объектов сети водоснабжения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,EAE,,,"Комплекс объектов слаботочных сетей (сети связи, видеонаблюдения, пожарной сигнализации и др.)",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,EAF,,,Комплекс объектов сети газоснабжения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,EAG,,,Комплекс объектов сетей кондиционирования и вентиляции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,EAH,,,Комплекс объектов сетей пожаротушения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,EAJ,,,Комплекс объектов объединяющих несколько видов инженерных сетей,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,EAK,,,Комплекс объектов прочих видов инженерных сетей,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,EB,,,,Комплексы ОКС гидротехнических сооружений и сооружений для защиты населения и территорий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,EBA,,,Комплекс гидротехнических объектов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,EBB,,,Комплекс объектов защиты населения и территорий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
F,,,,,Комплексы ОКС производства готовых изделий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,FA,,,,Комплексы ОКС лёгкой промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,FAA,,,"Комплекс объектов производства ткани, кожи",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,FAB,,,Комплекс объектов производства обуви,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,FAC,,,Комплекс объектов производства одежды,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,FAD,,,Комплекс объектов производства сопутствующей продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,FB,,,,Комплексы ОКС промышленности готовых изделий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
