Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Технико-экономические показатели <Prp>,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Код соответствующего ОКС по классификатору МССК,"Код соответствующего ОКС по КТИМ ОАО ""РЖД""",Примечания,Синонимы
,,FEB,,,Объекты производства и сборки средств электронно-вычислительной техники,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011 ,11.05.003.,,,,
,,,FEBA,,Здание цеха по производству и сборки средств электронно-вычислительной техники,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",11.05.003.001,,,,
,,,FEBB,,Здание цеха по производству коммуникационного оборудования,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",11.05.003.002,,,,
,,FEC,,,Объекты производства облучающих аппаратов и электронных ламп,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011 ,11.05.006.,,,,
,,,FECA,,Здание цеха по производству облучающих аппаратов и электронных ламп,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",11.05.006.001,,,,
,,FED,,,"Объекты производства оптических приборов, устройств и оборудования",,Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011 ,11.05.002.,,,,
,,,FEDA,,"Здание цеха по производству оптических приборов, устройств и оборудования",,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",11.05.002.001,,,,
,,FEE,,,"Объекты производства электрических ламп, осветительного оборудования и светотехнических изделий",,Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011 ,11.05.008.,,,,
,,,FEEA,,Здание цеха по производству осветительной и светосигнальной арматуры и автоприборов,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",11.05.008.001,,,,
,,,FEEB,,Здание цеха по производству светотехнических изделий,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",11.05.008.002,,,,
,,FEF,,,Объекты кабельного производства,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011 ,11.05.001.,,,,
,,,FEFA,,Здание цеха кабельного производства,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",11.05.001.001,,,,
,,,FEFB,,Здание цеха по производству кабельной арматуры,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",11.05.001.002,,,,
,,FEG,,,"Объекты производства электродвигателей, электрогенераторов и трансформаторов",,Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011 ,11.05.009.,,,,
,,,FEGA,,"Здание цеха по производству электродвигателей, электрогенераторов и трансформаторов",,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",11.05.009.001,,,,
,,FEH,,,Объекты производства электроники и электрооборудования,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011 ,11.05.011.,,,,
,,,FEHA,,Здание цеха по производству электроники и электрооборудования,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",11.05.011.001,,,,
,,FEJ,,,"Объекты производства конденсаторов, полупроводниковых компонентов и электроугольных изделий",,Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011 ,11.05.005.,,,,
,,,FEJA,,Здание цеха по производству конденсаторов и полупроводниковых компонентов,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",11.05.005.001,,,,
,,,FEJB,,Здание цеха по производству электроугольных изделий,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",11.05.005.002,,,,
,,FEK,,,Объекты производства электроизоляционных материалов,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011 ,11.05.010.,,,,
,,,FEKA,,Здание цеха по производству электроизоляционных материалов из слюды,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",11.05.010.001,,,,
,,,FEKB,,Здание цеха по производству электроизоляционных материалов из электрокерамики,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",11.05.010.002,,,,
,,FEL,,,Объекты производства электронной и низковольтной аппаратуры,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011 ,11.05.012.,,,,
,,,FELA,,Здание цеха по производству автоматических выключателей и других коммутационных устройств,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",11.05.012.001,,,,
,,,FELB,,Здание цеха по производству электронной аппаратуры,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",11.05.012.002,,,,
,,FEM,,,Объекты производства электронных печатных плат,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011 ,11.05.013.,,,,
,,,FEMA,,Здание цеха по производству электронных печатных плат,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",11.05.013.001,,,,
,,FEN,,,Объекты производства электрифицированного транспорта,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011 ,11.05.007.,,,,
,,,FENA,,"Здание цеха по производству электрокаров, электропогрузчиков, электроштабелеров",,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",11.05.007.001,,,,
,,,FENB,,"Здание цеха по производству электротележек, электротягачей",,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",11.05.007.002,,,,
,FF,,,,Вспомогательная инфраструктура отрасли (производство готовых изделий),,Приказ Минстроя России от 02.11.2022 N 928/пр ,,,11.06.,,,,
,,FFA,,,Вспомогательные объекты легкой промышленности,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,,11.06.001.,,,,
,,,FFAA,,Административно-бытовое здание легкой промышленности,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",11.06.001.001,,,,
,,,FFAB,,Здание (сооружение) производственно-технического назначения легкой промышленности,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
BPG_0005
ZPG_0005
BPG_0011
BQ__0001",11.06.001.002,,,,
,,FFB,,,Вспомогательные объекты промышленности готовых металлических изделий,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,,11.06.002.,,,,
,,,FFBA,,Административно-бытовое здание промышленности готовых металлических изделий,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
BPG_0005
ZPG_0005
BPG_0011
BQ__0001",11.06.002.001,,,,
,,,FFBB,,Здание (сооружение) производственно-технического назначения промышленности готовых металлических изделий,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
BPG_0005
ZPG_0005
BPG_0011
BQ__0001",11.06.002.002,,,,
,,FFC,,,Вспомогательные объекты промышленности готовых изделий,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,,11.06.003.,,,,
,,,FFCA,,Административно-бытовое здание промышленности готовых изделий,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
BPG_0005
ZPG_0005
BPG_0011
BQ__0001",11.06.003.001,,,,
,,,FFCB,,Здание (сооружение) производственно-технического назначения промышленности готовых изделий,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
BPG_0005
ZPG_0005
BPG_0011
BQ__0001",11.06.003.002,,,,
,,FFD,,,Вспомогательные объекты радиоэлектронной и электротехнической промышленности,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,,11.06.004.,,,,
,,,FFDA,,Здание для испытаний изделий радиоэлектронной и электротехнической промышленности ,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0055
BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005",11.06.004.001,,,,
,,,FFDB,,Здание ремонтного цеха изделий радиоэлектронной и электротехнической промышленности,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
BPG_0005
ZPG_0005
BPG_0011
BQ__0001",11.06.004.002,,,,
,,FFE,,,Вспомогательные объекты медико-инструментальной промышленности,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,,11.06.005.,,,,
,,,FFEA,,Здание цеха фасовки медико-инструментальной промышленности,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005",11.06.005.001,,,,
,,,FFEB,,Здание цеха переработки лома медико-инструментальной промышленности,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005",11.06.005.002,,,,
,,,FFED,,Здание ремонтного цеха медико-инструментальной промышленности,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
BPG_0005
ZPG_0005
BPG_0011
BQ__0001",11.06.005.004,,,,
G,,,,,Среда населенных пунктов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,01.,,,,
,GB,,,,Торговля и обслуживание населения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,01.04.,ВН ПН 20 35,,,
,,GBA,,,Объекты бытового обслуживания,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BQ__0018,01.04.002.,"ВН ПН 20 35 10
ВН ПН 20 35 15
ВН ПН 20 35 25",,,
,,,GBAA,,Здание бани,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",01.04.002.001,,,,
,,,GBAB,,Здание бытового обслуживания,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",01.04.002.002,,,,
,,GBB,,,Объекты похоронного назначения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,XPG_0005,01.04.004.,"ВН ПН 50 25
ВН ПН 50 25 10
ВН ПН 50 25 20
ВН ПН 50 25 30
ВН ПН 50 25 40
ВН ПН 50 25 50",,,"Ритуальный объект
Крематорий
Колумбарий
Похоронный дом
Бюро похоронного обслуживания
Салон-магазин"
,,,GBBA,,Здание похоронного назначения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
ZPG_0005
BPG_0011
BQ__0001
BQ__0024",01.04.004.001,,,,
,,,GBBB,,Сооружение похоронного назначения на территории кладбища,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BPG_0005,01.04.004.002,,,,
,,,GBBC,,Здание крематория,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0026
BQ__0005
ZPG_0005
BPG_0005",01.04.004.003,,,,
,,GBC,,,Общественные уборные,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BF__0052,01.04.001.,ВН ПН 20 70 10,,,
,,,GBCA,,Здание общественной уборной,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0052
BQ__0005
ZPG_0005
BPG_0011
BQ__0001
",01.04.001.001,,,,
,,,GBCB,,Сооружение подземной общественной уборной,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0052
ZPG_0005
BPG_0011",01.04.001.002,,,,
,,GBD,,,Объекты общественного питания,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BQ__0019 ,01.04.003.,,,,
,,,GBDA,,"Здание ресторана (кафе, бара)",," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ 30389-2013",,"BQ__0019 
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",01.04.003.001,,,,
,,,GBDB,,Здание столовой,," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ 30389-2013",,"BQ__0019 
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",01.04.003.002,,,,
,,GBE,,,Объекты почтовой связи,"Обособленные подразделения организаций почтовой связи, а также их структурные подразделения"," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ Р 53801-2010",,BF__0063,01.04.005.,,,,
,,,GBEA,,Здание отделения почтовой связи,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0063
BF__0065
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",01.04.005.001,,,,
,,,GBEB,,Здание почтамта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001
BF__0063
BF__0064",01.04.005.002,,,,
,,,GBEC,,Здание сортировочного пункта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001
BQ__0018
",01.04.005.003,,,,
,,GBF,,,Объекты торговли,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BPG_0012,01.04.006.,,,,
,,,GBFA,,Здание аптеки (аптечного пункта),, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001
BPG_0012",01.04.006.001,,,,
,,,GBFB,,Здание магазина,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
ZPG_0005
BPG_0011
BQ__0001
BPG_0012",01.04.006.002,,,,
,,,GBFC,,Здание рынка,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001
BPG_0012",01.04.006.003,,,,
,,,GBFD,,Здание торгового центра,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001
BPG_0012",01.04.006.004,,,,
,GC,,,,Объекты для проживания,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,01.02.,,,,
G,,GCA,,,Жилые объекты для постоянного проживания,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,BPG_0003,01.02.001.,,,,
,,,GCAA,,Многоквартирный жилой дом (1 - 2 этажа),, Приказ Минстроя России от 02.11.2022 N 928/пр,,"BQ__0005
BPG_0003
ZPG_0005
BPG_0011
BQ__0001
BQ__0014 
BQ__0017 
BQ__0013 
BQ__0015 
BQ__0016 ",01.02.001.002,,,,
,,,GCAB,,Многоквартирный жилой дом (3 - 5 этажей),, Приказ Минстроя России от 02.11.2022 N 928/пр,,"BQ__0005
BPG_0003
ZPG_0005
BPG_0011
BQ__0001
BQ__0014 
BQ__0017 
BQ__0013 
BQ__0015 
BQ__0016 ",01.02.001.003,,,,
,,,GCAC,,Многоквартирный жилой дом (6 - 10 этажей),, Приказ Минстроя России от 02.11.2022 N 928/пр,,"BQ__0005
BPG_0003
ZPG_0005
BPG_0011
BQ__0001
BQ__0014 
BQ__0017 
BQ__0013 
BQ__0015 
BQ__0016 ",01.02.001.004,,,,
,,,GCAD,,Многоквартирный жилой дом (11 - 16 этажей),, Приказ Минстроя России от 02.11.2022 N 928/пр,,"BQ__0005
BPG_0003
ZPG_0005
BPG_0011
BQ__0001
BQ__0014 
BQ__0017 
BQ__0013 
BQ__0015 
BQ__0016 ",01.02.001.005,,,,
,,,GCAE,,Многоквартирный жилой дом (более 16 этажей),, Приказ Минстроя России от 02.11.2022 N 928/пр,,"BQ__0005
BPG_0003
ZPG_0005
BPG_0011
BQ__0001
BQ__0014 
BQ__0017 
BQ__0013 
BQ__0015 
BQ__0016 ",01.02.001.006,,,,
,,,GCAF,,Индивидуальный жилой дом,"Отдельно стоящее здание с количеством надземных этажей не более трех, высотой не более 20 м, которое состоит из комнат и помещений вспомогательного использования, предназначенных для удовлетворения гражданами бытовых и иных нужд, связанных с их проживанием в таком здании, и не предназначено для раздела на самостоятельные объекты недвижимости.
Примечание - Индивидуальный жилой дом предназначен для индивидуального проживания или проживания одной семьи при постоянном, длительном или кратковременном проживании (в том числе сезонном, отпускном).",СП 55.13330.2016,,"BQ__0005
ZPG_0005
BPG_0011
BQ__0001
",01.02.001.001,ВН НН 70 10 10,,,
,,GCB,,,Жилые объекты специализированного назначения,,"Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 137.13330.2012",,BQ__0019 ,01.02.002.,,,,
,,,GCBA,,Здание детского дома,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
ZPG_0005
BPG_0011
BQ__0001
BQ__0019 
","01.02.002.001
",,,,
,,,GCBB,,Здание дома-интерната,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
ZPG_0005
BPG_0011
BQ__0001
BQ__0019 
",01.02.002.002,,,,
,,,GCBC,,Здание общежития,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
ZPG_0005
BPG_0011
BQ__0001
BQ__0019 
",01.02.002.003,,,,
,,,GCBD,,Здание приюта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
ZPG_0005
BPG_0011
BQ__0001
BQ__0019 
",01.02.002.004,,,,
,,,GCBE,,Здание психоневрологического интерната,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
ZPG_0005
BPG_0011
BQ__0001
BQ__0019 
",01.02.002.005,,,,
,,,GCBF,,Спальный корпус школы-интерната,,"Федеральный закон от 22 июля 2008 г. N 123-ФЗ  
СП 535.1325800.2024 
СП 2.13130.2020 
СП 1.13130.2020",,,01.02.002.099,,,,
,GD,,,,Вспомогательная инфраструктура среды населенных пунктов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,01.06.,,,,
,,GDA,,,Вспомогательные объекты среды населенных пунктов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,01.06.001.,,,,
,,,GDAA,,Здание (сооружение) производственно-технического назначения среды населенных пунктов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",01.06.001.001,,,,
,,,GDAB,,Административно-бытовое здание  среды населенных пунктов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",01.06.001.002,,,,
,,,GDAD,,Здание лаборатории среды населенных пунктов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",01.06.001.004,,,,
,GE,,,,"Обработка, утилизация, обезвреживание, размещение отходов",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,01.03.,,,,
,,GEA,,,Объекты коммунально-бытовых отходов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,01.03.002.,,,,
,,,GEAA,,Здание (сооружение) обезвреживания  коммунально-бытовых отходов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0005
BH__0011
",01.03.002.003,,,,
,,,GEAC,,Здание (сооружение) утилизации  коммунально-бытовых отходов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0005
BH__0011
",01.03.002.002,,,,
,,,GEAD,,Здание (сооружение) обработки  коммунально-бытовых отходов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,01.03.002.004,,,,
,,GEB,,,Объекты отходов животного происхождения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,01.03.003.,,,,
,,,GEBA,,Здание (сооружение) обезвреживания отходов  животного происхождения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001
BH__0011",01.03.003.003,,,,
,,,GEBB,,Здание (сооружение) утилизации отходов животного происхождения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0005
BH__0011
",01.03.003.001,,,,
,,GEC,,,Объекты промышленных и радиоактивных отходов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,01.03.001.,,,,
,,,GECA,,Здание (сооружение) обезвреживания промышленных и радиоактивных отходов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0005
BH__0011
",01.03.001.003,,,,
,,,GECC,,Здание (сооружение) утилизации промышленных и радиоактивных отходов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0005
BH__0011
",01.03.001.002,,,,
,,,GECD,,Здание (сооружение) обработки промышленных и радиоактивных отходов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0005
BH__0011
",01.03.001.004,,,,
,GF,,,,Административно-деловое управление,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,,01.01.,,,,
,,GFA,,,Объекты коммуникации,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,BQ__0018,01.01.004.,,,,
,,,GFAA,,"Здание информационного, вычислительного центра (центр обработки данных)",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
XPE_0004",01.01.004.001,,,,
,,,GFAB,,"Здание радиотелецентра, центра связи",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001
BQ__0018",01.01.004.002,,,,
,,,GFAC,,Сооружение радиобашни (радиомачты),, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0002
BPG_0005",01.01.004.003,,,,
,,GFB,,,Объекты промышленных площадок,, Приказ Минстроя России от 02.11.2022 N 928/пр,,BPG_0005,01.01.006.,,,,
,,,GFBB,,"Здание (сооружение) промышленного, технологического, индустриального, агропромышленного парка",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0007
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001
BQ__0018",01.01.006.002,,,,
,,GFC,,,Объекты делового и финансового управления,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BPG_0020,01.01.003.,,,,
,,,GFCA,,Здание банка,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0020",01.01.003.001,,,,
,,,GFCB,,Офисное здание,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0020",01.01.003.002,,,,
,,GFD,,,Объекты государственного и муниципального управления,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BQ__0018,01.01.001.,,,,
,,,GFDA,,"Здание органа государственного или муниципального учреждения, фонда",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BPG_0011
BQ__0001
BQ__0005
ZPG_0005",01.01.001.001,,,,
,,,GFDB,,Здание органа государственной или муниципальной власти,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BPG_0011
BQ__0001
BQ__0005
ZPG_0005
",01.01.001.002,,,,
,,,GFDC,,"Здание представительства, консульства ",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005",01.01.001.003,,,,
,,GFE,,,"Объекты обеспечения безопасности, охраны правопорядка и правосудия",,Приказ Минстроя России от 02.11.2022 N 928/пр ,,BQ__0018,01.01.005.,,,,
,,,GFEA,,"Здание (сооружение), относящееся к охране государственной границы",,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
ZPG_0005
BF__0056
XF__0016
BF__0062
BQ__0018
BPG_0011
BQ__0001",01.01.005.005,,,,
,,,GFEB,,Здание служб и органов по охране общественного порядка,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BPG_0011
BQ__0001
BQ__0005
ZPG_0005",01.01.005.001,,,,
,,,GFEC,,Здание (сооружение) уголовно-исполнительных учреждений,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BQ__0018
BPG_0011
BQ__0001
BQ__0005
ZPG_0005",01.01.005.004,,,,
,,,GFED,,"Здание следственных, надзорных органов",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BPG_0011
BQ__0001
BQ__0005
ZPG_0005",01.01.005.002,,,,
,,,GFEE,,Здание суда,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BPG_0011
BQ__0001
BQ__0005
ZPG_0005",01.01.005.003,,,,
,,GFF,,,Объекты обеспечения ликвидации чрезвычайных ситуаций и стихийных бедствий,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,BQ__0018,01.01.002.,,,,
,,,GFFA,,Здание (сооружение) центра по проведению спасательных операций,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BPG_0011
BQ__0001
BQ__0005
ZPG_0005",01.01.002.002,,,,
,,,GFFB,,Здание (сооружение) объекта пожарной охраны,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BQ__0008,01.01.002.001,,,,
,GH,,,,Многофункциональные центры городских и сельских поселений,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,01.05.,,,,
,,GHA,,,Многофункциональные центры сельских поселений,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BPG_0007,01.05.002.,,,,
,,,GHAA,,Здание универсального центра общественных коммуникаций и социального развития,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0007
BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005",01.05.002.001,,,,
,,,GHAB,,"Здание многофункционального центра размещения социально-культурных, административных и оздоровительных объектов",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0007
BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005",01.05.002.002,,,,
,,,GHAC,,Здание многофункционального центра размещения объектов административно-хозяйственного назначения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0007
BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005",01.05.002.003,,,,
,,,GHAD,,Здание многофункционального центра размещения объектов социально-образовательных объектов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0007
BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005",01.05.002.004,,,,
,,,GHAE,,Здание многофункционального центра размещения культурно-бытовых объектов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0007
BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005",01.05.002.005,,,,
,,,GHAF,,Здание многофункционального центра размещения спортивно-развлекательных объектов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0052
BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005",01.05.002.006,,,,
,,GHB,,,Многофункциональные центры,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BPG_0007,01.05.001.,,,,
