Класс,Подкласс,Тип (%%),Наименование системы,Определение системы,Критерии определения подклассов,Источник,Примеры системы,IFC,МССК,ПСК,KKS,Примечание,Синонимы,УИН
,,BB60,Фундаменты оборудования,Конструкции для размещения и передачи нагрузок от оборудования на основание,,,Фундамент дизель-генераторной установки,,,,,,,KSI050000054
,BC,,Несущие конструкции перекрытия,"Система несущих конструкций, расположенных в горизонтальной плоскости перекрытия",По типу конструкции,,,IfcBuildingSystem,,,,,,KSI050000055
,,BC10,Сборные перекрытия,"Конструкции перекрытий, собираемые на строительном объекте из изделий заводского изготовления",,,Деревянное перекрытие,,,,,,,KSI050000056
,,BC20,Монолитные перекрытия,"Конструкции перекрытий, выполняемые непосредственно на строительном объекте в виде единого целого (монолита)",,,Монолитное железобетонное перекрытие,,,,,,,KSI050000057
,,BC30,Сборно-монолитные перекрытия,"Составные конструкции перекрытий, содержащие в себе сборные и монолитные элементы",,,Сталежелезобетонное перекрытие по металлическим балкам,,,,,,,KSI050000058
,BD,,Несущие конструкции стены,"Система несущих конструкций, расположенных в вертикальной плоскости стены",По типу исполнения,,,IfcBuildingSystem,СС 10 20,,,,,KSI050000059
,,BD10,Стены из кладки,"Конструкции стен, выполненные из кирпичной, блочной или каменной кладки",,,Стена из крупных блоков,,,,,,,KSI050000060
,,BD20,Крупнопанельные стены,"Конструкции стен из крупноразмерных, монтируемых на строительной площадке, плоскостных элементов (панелей) заводского изготовления",,Большая советская энциклопедия. — М.: Советская энциклопедия. 1969—1978,Стена из железобетонных панелей,,,,,,,KSI050000061
,,BD30,Монолитные стены,"Конструкции стен, выполненные непосредственно на строительном объекте в виде единого целого (монолита)",,Большой Энциклопедический словарь. 2000,Монолитная железобетонная стена,,,,,,,KSI050000062
,,BD40,Каркасные стены,"Конструкции стен, выполненные с устройством несущего каркаса с применением стоек, ригелей, связей, обшивки",,,Каркасная стена,,,,,,,KSI050000063
,,BD50,Стены из брусьев или бревен,"Конструкции стен, выполненные из брусьев или бревен",,,Стена из клееного бруса,,,,,,,KSI050000064
,BE,,Несущие конструкции крыши,"Система несущих конструкций, ограничивающих объект строительства сверху

Часть крыши, которая несет нагрузку и распределяет ее на нижележащие конструкции здания",По типу несущих конструкций,,,IfcBuildingSystem,CC 10 40,,,,,KSI050000065
,,BE10,Стропильные конструкции крыши,"Несущие элементы зданий, воспринимающие нагрузку от покрытия кровли",,ГОСТ 20372-2015,"Стропильная ферма
Стропила",,"ЭЛ 20 20 36
ЭЛ 20 20 38",,,,,KSI050000066
,,BE20,Балочные конструкции крыши,Конструкции крыши с применением балок в качестве несущих конструкций,,,Пространственная решетчатая конструкция покрытия,,ЭЛ 20 20 37,,,,,KSI050000067
,,BE30,Плитные конструкции крыши,Конструкции крыши с применением плит в качестве несущих конструкций,,,Плита покрытия,,,,,,,KSI050000068
,,BE40,Оболочечные конструкции крыши,Конструкции крыши с применением оболочечных конструкций в качестве несущих,,,"Конструкции купола, конструкции свода",,,,,,,KSI050000069
,BF,,Конструкции пола,"Система конструкций, ограничивающих пространство снизу

Конструкция, включающая конструктивные слои различного функционального назначения, выполненные из различных строительных материалов по грунтовому основанию или плите перекрытия, Основными конструктивными слоями пола являются: покрытие, прослойка, гидро-, паро- и теплозвукоизоляционный слои, стяжка, подстилающий слой и грунтовое основание",По типу конструкции покрытия,СП 29.13330.2011,,IfcBuildingSystem,ЭЛ 30 32,,,,,KSI050000070
,,BF10,Сплошные полы,Конструкции пола с монолитным покрытием,,Терминологический словарь по строительству на 12 языках (ВНИИИС Госстроя СССР),Наливной пол,,,,,,,KSI050000071
,,BF20,Штучные полы,"Конструкции пола с покрытием, набранным из штучных изделий небольшого размера",,Терминологический словарь по строительству на 12 языках (ВНИИИС Госстроя СССР),Паркетный пол,,,,,,,KSI050000072
,,BF30,Рулонные полы,Конструкции пола с покрытием из рулонных материалов и ковров,,МДС 31-11.2007,Пол с линолеумным покрытием,,,,,,,KSI050000073
,BG,,Потолочные конструкции,"Система конструкций, ограничивающих пространство сверху

Строительная конструкция, скрывающая нижнюю плоскость перекрытия или крыши с конструктивными элементами или инженерными сетями и обеспечивающая верхнюю плоскость замкнутого пространства",По типу устройства,ГОСТ Р ИСО 6707-1-2020,,IfcBuildingSystem,"ЭЛ 30 10 45
ЭЛ 30 10 46",,,,,KSI050000074
,,BG10,Подшивные потолки,"Конструкции, в которых несущие элементы (металлические бруски, профили) крепятся непосредственно к базовому потолку, а не подвешиваются, как в подвесных системах",,Потолки. Технологии работ: справочник. — М.: Стройинформ. 2007,Подшивной потолок,,,,,,,KSI050000075
,,BG20,Подвесные потолки,"Потолок, расположенный на удалении под вышележащим перекрытием или крышей",,ГОСТ Р ИСО 6707-1-2020,Подвесной потолок,,ЭЛ 30 10 46,,,,,KSI050000076
,,BG30,Натяжные потолки,"Горизонтальные конструкции из полотнища, которые крепятся с нижней стороны перекрытия на расстоянии от него на специальный профиль",,,Натяжной потолок,,,,,,,KSI050000077
,,BG40,Комбинированные потолки,"Конструкции, состоящие из потолков разных типов устройства",,,,,,,,,,KSI050000078
,BH,,Направляющие и опорные конструкции,"Конструктивная система, поддерживающая и направляющая компоненты систем инженерно-технического обеспечения","По размещению, типу монтажа",,,IfcBuildingSystem,,,,,,KSI050000079
,,BH10,Внутренние направляющие и опорные конструкции открытой установки,"Конструкции, устанавливаемые внутри зданий и сооружений открытым способом и предназначенные для восприятия нагрузок и воздействий со стороны опираемых элементов и передачи их на строительные конструкции",,,"Подвесная опора
Система кабельных каналов
Система кабельных коробов
Система кабельных лотков; система кабельных лестничных лотков",,,,,,,KSI050000080
,,BH20,Внутренние направляющие и опорные конструкции скрытой установки,"Конструкции, устанавливаемые внутри зданий и сооружений непосредственно в строительных конструкциях и предназначенные для восприятия нагрузок и воздействий со стороны опираемых элементов и передачи их на строительные конструкции",,,"Система кабельных коробов или специальных кабельных коробов, предназначенная для установки под полом
Проходка",,,,,,,KSI050000081
,,BH30,Наружные надземные направляющие и опорные конструкции,"Конструкции, устанавливаемые снаружи зданий и сооружений над землей и предназначенные для восприятия нагрузок и воздействий со стороны опираемых элементов и передачи их на основание",,,Опора (железнодорожной) контактной сети,,,,,,,KSI050000082
