Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Технико-экономические показатели <Prp>,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Код соответствующего ОКС по классификатору МССК,"Код соответствующего ОКС по КТИМ ОАО ""РЖД""",Примечания,Синонимы,УИН
,,,ADAB,,Здание кузницы,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BPG_0005 
",06.05.001.002,,,,,KSI030001073
,,,ADAC,,Здание санпропускника объектов животноводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0062
BPG_0005
",06.05.001.003,,,,,KSI030001074
,,,ADAD,,Сооружение площадки компостирования объектов животноводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
",06.05.001.004,,,,,KSI030001075
,,,ADAG,,Административно-бытовое здание объектов животноводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
BQ__0018 
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 ",06.05.001.007,,,,,KSI030001078
,,,ADAH,,Здание ветеринарной лаборатории,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001
BQ__0018",06.05.001.008,,,,,KSI030001079
,,ADB,,,Обеспечивающие объекты животноводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011 ,06.05.005.,,,,,KSI030001018
,,,ADBA,,Здание (сооружение) пункта искусственного осеменения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011 
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005",06.05.005.001,,,,,KSI030001019
,,,ADBB,,Сооружение выгульно-кормовой площадки,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,XPG_0005,06.05.005.002,,,,,KSI030001020
,,,ADBC,,Здание (сооружение) карантина,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0005",06.05.005.003,,,,,KSI030001021
,,,ADBD,,Здание родильного отделения (животноводства),, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0001
BQ__0005  
BPG_0005 
BH__0011 ",06.05.005.004,,,,,KSI030001022
,,,ADBE,,Здание доильно-молочного блока,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0033 
BQ__0005 
BPG_0005 
BH__0011 
BQ__0001",06.05.005.005,,,,,KSI030001023
,,,ADBG,,Здание кормоцеха,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"ZPG_0005 
BH__0011
  BPG_0011
 BQ__0001
 BQ__0005",06.05.005.007,,,,,KSI030001025
,,,ADBH,,Здание (сооружение) приема и отгрузки скота,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0005 
BH__0011 ",06.05.005.010,,,,,KSI030001026
,,,ADBJ,,Сооружение дезбарьера,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0056
 BPG_0005",06.05.005.011,,,,,KSI030001027
,,,ADBK,,Здание (сооружение) убоя и переработки,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011 
BQ__0001
BQ__0005 
ZPG_0005
 BPG_0005 
BH__0011",06.05.005.012,,,,,KSI030001028
,,,ADBL,,Сооружение манежа объектов животноводства,Специальное помещение для занятия конным спортом или производственных работ по коневодству в конном заводе. Вся площадь манежа не имеет колонн и перегородок.,"СП 106.13330.2012 
 Приказ Минстроя России от 02.11.2022 N 928/пр ",,"XPG_0005 
BH__0011 ",06.05.005.008,,,,,KSI030000006
,,,ADBM,,Сооружение водопойного пункта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BF__0021 ,06.05.005.009,,,,,KSI030000058
,,ADC,,,Вспомогательные объекты лесной и деревообрабатывающей промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,06.05.002.,,,,,KSI030001743
,,,ADCB,,Здание гаража лесной и деревообрабатывающей промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0001 
BQ__0008 
BQ__0005 
ZPG_0005 
BPG_0005 
BPG_0011 ",06.05.002.002,,,,,KSI030001745
,,,ADCC,,Здание (сооружение) производственно-технического назначения лесной и деревообрабатывающей промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
 BQ__0005
 ZPG_0005
 BPG_0005
 BPG_0011
 BQ__0001",06.05.002.003,,,,,KSI030001746
