Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Технико-экономические показатели <Prp>,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Код соответствующего ОКС по классификатору МССК,"Код соответствующего ОКС по КТИМ ОАО ""РЖД""",Примечания,Синонимы,УИН
,,,KDBE,,Здание школы-интерната,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",02.03.002.005,,,,,KSI030001606
,,,KDBF,,Здание школьного спортивного зала,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",02.03.002.006,,,,,KSI030001607
,,,KDBG,,Школьный стадион,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0025
",02.03.002.007,,,,,KSI030001608
,,,KDBH,,Сооружение школьной спортивной площадки,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BPG_0005,02.03.002.008,,,,,KSI030001609
,,,KDBJ,,Здание школы-детского сада,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",02.03.002.009,,,,,KSI030001610
,KE,,,,"Образование среднее профессиональное, высшее и дополнительное",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,02.04.,,,,,KSI030000930
,,KEA,,,Объекты высшего и среднего профессионального образования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BQ__0019 ,"02.04.001.
",,,,,KSI030000931
,,,KEAA,,Здание объекта высшего образования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",02.04.001.001,,,,,KSI030001611
,,,KEAB,,Здание объекта среднего профессионального образования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",02.04.001.002,,,,,KSI030001612
,,KEB,,,Объекты дополнительного образования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BQ__0019 ,02.04.002.,,,,,KSI030000932
,,,KEBA,,Здание музыкальной школы,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",02.04.002.001,,,,,KSI030001613
,,,KEBB,,Здание спортивной школы,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",02.04.002.002,,,,,KSI030001614
,,,KEBC,,Здание школы искусств,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",02.04.002.003,,,,,KSI030001615
,,,KEBD,,"Здание детского технопарка, технической школы",,Приказ Минстроя России от 02.11.2022 N 928/пр,,"BQ__0019 
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",02.04.002.004,,,,,KSI030001035
,,KEC,,,Учебно-тренировочные объекты,,Приказ Минстроя России от 02.11.2022 N 928/пр,,BQ__0019 ,02.04.003.,,,,,KSI030000934
,,,KECA,,Здание специализированного учебно-тренировочного центра,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",02.04.003.001,,,,,KSI030001036
,,,KECB,,Здание школы летчиков-испытателей,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",02.04.003.002,,,,,KSI030001037
,KF,,,,"Вспомогательная инфраструктура образования, науки, культуры, искусства и религии",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,02.06.,,,,,KSI030001616
,,KFA,,,"Вспомогательные объекты культуры, искусства и истории",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,02.06.001.,,,,,KSI030001617
,,,KFAA,,"Административно-бытовое здание  культуры, искусства, истории и религии",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",02.06.001.001,,,,,KSI030001618
,,,KFAB,,"Здание (сооружение) производственно-технического назначения  культуры, искусства, истории и религии",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",02.06.001.002,,,,,KSI030001619
,,KFB,,,Вспомогательные объекты образования и науки,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,02.06.002.,,,,,KSI030001621
,,,KFBA,,Административно-бытовое здание образования и науки,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",02.06.002.001,,,,,KSI030001622
,,,KFBB,,Здание (сооружение) производственно-технического назначения образования и науки,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",02.06.002.002,,,,,KSI030001623
L,,,,,Объекты металлургии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,09.,,,,,KSI030000141
,LA,,,,Объекты черной металлургии,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,,09.02.,,,,,KSI030001335
,,LAA,,,"Объекты производства стали, чугуна",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,09.02.002.,,,,,KSI030000142
,,,LAAA,,Здание цеха по производству чугуна (доменное производство),, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",09.02.002.001,,,,,KSI030001336
,,,LAAB,,Здание кислородно-конвертерного цеха,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",09.02.002.002,,,,,KSI030001337
,,,LAAC,,Здание электросталеплавильного цеха,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",09.02.002.003,,,,,KSI030001338
,,LAB,,,"Объекты производства металлопроката, металлоконструкций",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,09.02.004.,,,,,KSI030000143
,,,LABA,,Здание цеха по производству металлоконструкций,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",09.02.004.001,,,,,KSI030001339
,,,LABB,,Здание цеха по производству металлопроката,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",09.02.004.002,,,,,KSI030001340
,,LAC,,,Объекты ферросплавного производства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,09.02.003.,,,,,KSI030000169
,,,LACA,,Здание цеха по производству ферросплавов (доменное производство) ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",09.02.003.001,,,,,KSI030001364
,,LAD,,,Объекты порошковой металлургии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,09.02.001.,,,,,KSI030001366
,,,LADA,,Здание цеха по производству железных порошков и заготовок из них,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",09.02.001.001,,,,,KSI030000307
,LB,,,,Объекты цветной металлургии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,09.01.,,,,,KSI030001341
,,LBA,,,Металлургия драгоценных (благородных) металлов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,BH__0011,09.01.001.,,,,,KSI030000144
,,,LBAA,,"Здание цеха аффинажа золота, серебра, платиновых металлов и пр.",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",09.01.001.001,,,,,KSI030001342
,,LBB,,,Металлургия тяжелых металлов и сплавов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,09.01.004.,,,,,KSI030001343
,,,LBBA,,"Здание цеха по производству тяжелых металлов и сплавов (медь, никель, свинец, цинк и пр.)",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",09.01.004.001,,,,,KSI030000146
,,LBC,,,Металлургия легких металлов и сплавов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,09.01.002.,,,,,KSI030001344
,,,LBCA,,"Здание цеха по производству легких металлов и сплавов (алюминий, магний, титан и пр.) ",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",09.01.002.001,,,,,KSI030000149
,,LBD,,,Металлургия редких и легирующих металлов и сплавов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,09.01.003.,,,,,KSI030001345
,,,LBDA,,"Здание цеха по производству редких и легирующих металлов и сплавов (вольфрам, молибден, цирконий и пр.)",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",09.01.003.001,,,,,KSI030000151
,LC,,,,Вспомогательная инфраструктура металлургической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр,,,09.03.,,,,,KSI030000160
,,LCA,,,Объекты вспомогательной инфраструктуры металлургической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр,,,09.03.001.,,,,,KSI030001347
,,,LCAA,,"Здание (сооружение) цеха приема и переработки металлолома, металлургических шлаков и вторичного сырья",,Приказ Минстроя России от 02.11.2022 N 928/пр,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",09.03.001.001,,,,,KSI030000161
,,,LCAB,,Административно-бытовое здание инфраструктуры объектов металлургии,,Приказ Минстроя России от 02.11.2022 N 928/пр,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",09.03.001.002,,,,,KSI030001348
,,,LCAC,,Здание (сооружение) производственно-технического назначения объектов металлургии,,Приказ Минстроя России от 02.11.2022 N 928/пр,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",09.03.001.003,,,,,KSI030001349
,,,LCAE,,Сооружение для сбора и перекачки конденсата инфраструктуры объектов металлургии,,Приказ Минстроя России от 02.11.2022 N 928/пр,,"BH__0011
BPG_0005",09.03.001.005,,,,,KSI030001351
,,,LCAF,,Сооружение комплекса газоочистки объектов металлургии,,Приказ Минстроя России от 02.11.2022 N 928/пр,,"BH__0011
BPG_0005",09.03.001.006,,,,,KSI030000162
,,,LCAG,,Сооружение компрессорной станции объектов металлургии,,Приказ Минстроя России от 02.11.2022 N 928/пр,,"XPE_0004
BPG_0005",09.03.001.007,,,,,KSI030001352
,,,LCAH,,Сооружение паровой установки объектов металлургии,,Приказ Минстроя России от 02.11.2022 N 928/пр,,"XPE_0004
BPG_0005",09.03.001.008,,,,,KSI030001353
,,,LCAJ,,Сооружение тракта подачи материалов объектов металлургии,,Приказ Минстроя России от 02.11.2022 N 928/пр,,"XPW_0002
BPG_0005",09.03.001.009,,,,,KSI030001354
,,,LCAK,,Сооружение электровоздуходувной станции объектов металлургии,,Приказ Минстроя России от 02.11.2022 N 928/пр,,"SFHF0003
BPG_0005",09.03.001.010,,,,,KSI030001355
,,,LCAL,,"Сооружение кислородной, водородной или азотной станции объектов металлургии",,Приказ Минстроя России от 02.11.2022 N 928/пр,,"BH__0011
BPG_0005",09.03.001.011,,,,,KSI030001356
,,LCB,,,Цеха и печи металлургии,,Приказ Минстроя России от 02.11.2022 N 928/пр,,BH__0011,09.03.002.,,,,,KSI030001357
,,,LCBA,,Здание агломерационного цеха,,Приказ Минстроя России от 02.11.2022 N 928/пр,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",09.03.002.001,,,,,KSI030000163
,,,LCBB,,Здание конвертерного цеха объектов металлургии,,Приказ Минстроя России от 02.11.2022 N 928/пр,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",09.03.002.002,,,,,KSI030001358
,,,LCBC,,Здание кузнечно-прессового цеха объектов металлургии,,Приказ Минстроя России от 02.11.2022 N 928/пр,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",09.03.002.003,,,,,KSI030001359
,,,LCBD,,Здание механосборочного цеха объектов металлургии,,Приказ Минстроя России от 02.11.2022 N 928/пр,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",09.03.002.004,,,,,KSI030001360
,,,LCBE,,Здание рафинировочного цеха объектов металлургии,,Приказ Минстроя России от 02.11.2022 N 928/пр,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",09.03.002.005,,,,,KSI030001361
,,,LCBF,,Здание цеха проката объектов металлургии,,Приказ Минстроя России от 02.11.2022 N 928/пр,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",09.03.002.006,,,,,KSI030001362
,,,LCBG,,Сооружение печи объектов металлургии,,Приказ Минстроя России от 02.11.2022 N 928/пр,,"XPG_0002
BPG_0005
BH__0011",09.03.002.007,,,,,KSI030001363
M,,,,,Производство машин и оборудования,,Приказ Минстроя России от 02.11.2022 N 928/пр,,,10.,,,,,KSI030001524
,MA,,,,Машиностроение для различных производств,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,10.03.,ВН ПН 40 10 46,,,,KSI030000211
,,MAA,,,Объекты машиностроения для литейного производства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,BH__0011,10.03.001.,,,,,KSI030000212
,,,MAAA,,Здание цеха литейного оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.03.001.001,,,,,KSI030000213
,,,MAAB,,Здание цеха тяжелого машиностроения для производства механизмов металлургического производства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.03.001.002,,,,,KSI030001525
,,MAB,,,"Объекты металлургического, тяжелого и транспортного машиностроения",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.03.002.,,,,,KSI030001526
,,,MABA,,Здание сталелитейного цеха тяжелого и транспортного машиностроения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.03.002.001,,,,,KSI030000214
,,,MABB,,Здание цеха производства нестандартного оборудования заводов тяжелого и транспортного машиностроения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.03.002.002,,,,,KSI030001527
,,,MABC,,Здание цеха нормализованных изделий заводов тяжелого и транспортного машиностроения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",10.03.002.003,,,,,KSI030001528
,,,MABD,,Здание цеха товаров народного потребления заводов тяжелого и транспортного машиностроения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.03.002.004,,,,,KSI030001529
,,,MABE,,Здание чугунолитейного цеха заводов тяжелого и транспортного машиностроения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.03.002.005,,,,,KSI030001530
,,MAC,,,Объекты производства бумагоделательного и целлюлозного оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.03.003.,,,,,KSI030001531
,,,MACA,,Здание цеха по изготовлению оборудования для целлюлозного производства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.03.003.001,,,,,KSI030000215
,,,MACB,,Здание цеха по производству бумагоделательного оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.03.003.002,,,,,KSI030001532
,,MAD,,,Объекты производства машин для переработки и производства изделий из пластмасс и резины,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.03.004.,,,,,KSI030001533
,,,MADA,,Здание цеха по производству машин для производства и переработки изделий из резины и пластмассы,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.03.004.001,,,,,KSI030000216
,,MAE,,,Объекты производства машин текстильной промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.03.005.,,,,,KSI030001534
,,,MAEA,,Здание цеха по производству текстильных машин,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.03.005.001,,,,,KSI030000217
,,MAF,,,Объекты производства механизированных инструментов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.03.006.,,,,,KSI030001535
,,,MAFA,,Здание цеха по производству механизированных инструментов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.03.006.001,,,,,KSI030001536
,,MAG,,,Объекты производства оборудования для пищевой промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.03.008.,,,,,KSI030001537
,,,MAGA,,Здание цеха по производству оборудования для пищевой промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.03.008.001,,,,,KSI030000218
,,MAH,,,"Объекты производства оборудования вентиляции, кондиционирования, теплоутилизации",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.03.007.,,,,,KSI030000246
,,,MAHA,,Здание цеха по производству оборудования для вентиляции воздуха,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.03.007.001,,,,,KSI030001561
,,,MAHB,,Здание цеха по производству оборудования для кондиционирования воздуха,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.03.007.002,,,,,KSI030001562
,,,MAHC,,Здание цеха по производству оборудования для теплоутилизации воздуха,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.03.007.003,,,,,KSI030001563
,,,MAHD,,Здание цеха по производству фильтров и фильтрующих элементов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.03.007.004,,,,,KSI030001564
,,MAJ,,,Объекты производства печей и горелок,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,BH__0011,10.03.009.,,,,,KSI030000238
,,,MAJA,,Здание цеха по производству печей и горелок,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.03.009.001,,,,,KSI030000239
,,MAK,,,Объекты производства электротермического оборудования и теплообменных устройств,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.03.012.,,,,,KSI030001549
,,,MAKA,,Здание цеха по производству электротермического оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.03.012.003,,,,,KSI030000240
,,,MAKB,,Здание цеха по производству теплообменных устройств,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",10.03.012.004,,,,,KSI030001550
,,,MAKC,,Здание цеха по производству воздухоподогревателей,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.03.012.002,,,,,KSI030001551
,,,MAKD,,Здание цеха по производству водоподогревателей,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.03.012.001,,,,,KSI030001552
,,MAL,,,"Объекты производства химического, криогенного и холодильного машиностроения",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.03.011.,,,,,KSI030001565
,,,MALA,,"Здание цеха по производству криогенного, крупногабаритного и толстостенного химического оборудования",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.03.011.001,,,,,KSI030001566
,,,MALB,,Здание цеха по производству холодильного оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.03.011.002,,,,,KSI030001567
,,MAM,,,"Объекты производства станков, машин и оборудования для обработки металлов и твердых материалов",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.03.010.,,,,,KSI030000247
,,,MAMA,,"Здание цеха по производству станков, машин и оборудования для обработки металлов и твердых материалов",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.03.010.001,,,,,KSI030001568
,MB,,,,Машиностроение для добычи полезных ископаемых,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,10.02.,,,,,KSI030000222
,,MBA,,,Объекты производства машин для добычи полезных ископаемых,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.02.001.,,,,,KSI030001538
,,,MBAA,,Здание цеха по производству машин для добычи полезных ископаемых,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.02.001.001,,,,,KSI030000223
,,MBB,,,Объекты производства оборудования для добычи полезных ископаемых,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.02.002.,,,,,KSI030001539
,,,MBBA,,Здание цеха по производству оборудования для добычи полезных ископаемых,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.02.002.001,,,,,KSI030000224
,MC,,,,Промышленность гидравлического и пневматического силового оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,10.04.,,,,,KSI030000226
,,MCA,,,Объекты предприятий компрессорного машиностроения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.04.001.,,,,,KSI030001540
,,,MCAA,,Здание цеха по производству насосов и компрессорного оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.04.001.001,,,,,KSI030000227
,,MCB,,,Объекты производства гидравлического и пневматического силового оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.04.002.,,,,,KSI030001541
,,,MCBA,,Здание специализированного производства гидравлического и пневматического силового оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.04.002.001,,,,,KSI030000228
,MD,,,,Промышленность двигателей и турбин,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,10.05. ,,,,,KSI030000230
,,MDA,,,"Объекты производства комплектующих изделий, узлов и деталей двигателей",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.05.002.,,,,,KSI030001542
,,,MDAA,,"Здание цеха по производству комплектующих изделий, узлов и деталей двигателей",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.05.002.001,,,,,KSI030000231
,,MDB,,,Объекты производства специальных двигателей,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.05.003.,,,,,KSI030001543
,,,MDBA,,Здание цеха по производству двигателей для промышленного применения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.05.003.001,,,,,KSI030000232
,,MDC,,,Объекты производства турбин,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.05.004.,,,,,KSI030001544
,,,MDCA,,Здание цеха по производству турбин,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.05.004.001,,,,,KSI030000233
,,,MDCB,,Здание цеха по производству турбогенераторных установок,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.05.004.002,,,,,KSI030001545
,,MDD,,,Объекты производства двигателей внутреннего сгорания,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.05.001.,,,,,KSI030000256
,,,MDDA,,Здание цеха по производству двигателей внутреннего сгорания,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.05.001.001,,,,,KSI030001573
,ME,,,,Промышленность колесных и гусеничных транспортных средств,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,10.07. ,,,,,KSI030000234
,,MEA,,,Объекты лесохозяйственного машиностроения и автотрактороремонтного производства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.07.001.,,,,,KSI030000235
,,,MEAA,,Здание цеха лесохозяйственного машиностроения и автотрактороремонтного производства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.07.001.001,,,,,KSI030001546
,,MEB,,,Объекты машиностроения для сельского хозяйства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.07.002.,,,,,KSI030000236
,,,MEBA,,"Здание цеха по производству сельскохозяйственных машин, агрегатов и оборудования",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.07.002.001,,,,,KSI030001547
,,MEC,,,Объекты производства колесных и гусеничных транспортных средств,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,10.07.003.,,,,,KSI030000237
,,,MECA,,Здание цеха по производству колесных и гусеничных транспортных средств,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",10.07.003.001,,,,,KSI030001548
,MF,,,,"Промышленность подъемно-транспортного оборудования, станков, машин, средств непрерывного транспорта",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,10.09. ,,,,,KSI030001553
