Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Примечания,Синонимы,УИН
,,,,ADB010,Песок из отсевов дробления,"Неорганический сыпучий материал с крупностью зерен до 5 мм, полученный при производстве щебня","ГОСТ 31424-2010
Приказ Минстроя России от 17.11.2022 N 969/пр",,,"02.3.01.05
59.1.02.03
",,,,KSI170000081
,,ADC,,,Фракционированный песок,"Природный неорганический сыпучий материал, разделенный на две или более фракций с использованием специального оборудования","ГОСТ 8736-2014
Приказ Минстроя России от 17.11.2022 N 969/пр",По виду материала,,"02.3.01.04
59.1.02.03",,,,KSI170000082
,,ADD,,,"Песок, полученный путем обжига",,,По виду материала,,,,,,KSI170000083
,,,,ADD010,Вспученный перлитовый песок,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,12.2.03.04,СТ 10 14 20 07 04,,,KSI170000084
,,,,ADD020,Диатомитовая обожженная крошка,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,12.2.03.04,СТ 10 14 20 07 05,,,KSI170000085
,,,,ADD030,Песок керамзитовый,"Заполнитель с размером зерен от 0,16 до 5 мм, полученный при обжиге мелких фракций полуфабриката или дроблении керамзита","ГОСТ 32026-2012
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"02.3.01.08
",СТ 10 10 31 20,,,KSI170000086
,,,,ADD040,Песок термолитовый,"Искусственный пористый заполнитель с насыпной плотностью не более 1200 кг/м и размерами зерен менее 5 мм, получаемый при обжиге кремнистых пород мелкой фракции или дроблением термолитовых гравия и щебня и имеющий стабильную структуру",ГОСТ Р 56507-2015,,,02.3.01,,,,KSI170000087
,,,,ADD050,Песок шунгизитовый,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,02.3.01,СТ 10 10 31 30,,,KSI170000088
,,,,ADD060,Песок аглопоритовый,"Искусственный пористый заполнитель, получаемый при обжиге путем агломерации шихты или гранул полуфабриката из золы ТЭС","ГОСТ 33928-2016
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,02.3.01,СТ 10 10 31 10,,,KSI170000089
,,,,ADD070,Песок шлакопемзовый,"Материал, являющийся отсевом фракции от 0 до 5 мм получаемый при дроблении шлаковой пемзы на фракционированный щебень. Шлаковая пемза имеет пористую ноздреватую структуру",ОДМ 218.3.087-2017,,,02.3.01,,,,KSI170000090
