Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Код класса по KKS,Примечания,Синонимы,УИН
,,,,ABABE,,,Колонна железобетонная под параболические лотки,"Железобетонная колонна, изготовляемая из тяжелого бетона и предназначенная для опирания параболических лотков оросительных систем с расходом воды до 5 м3/с, сооружаемых во всех климатических районах страны с сейсмичностью до 8 баллов включительно",ГОСТ 23899-79,,,,,,,,KSI160000050
,,,,,,ABABE020,"Железобетонная стойка-колонна, заделываемая в фундамент стаканного типа",,,,,,,,,,KSI160000051
,,,,ABABF,,,Колонна железобетонная сборная для многоэтажных зданий с без балочными перекрытиями,"Вертикальная стержневая конструкция каркаса, предназначенная для восприятия и передачи нагрузки от капители безбалочного перекрытия",ГОСТ 27108-2016,,,,,,,,KSI160000052
,,,ABAC,,,,Колонна стальная,," ГОСТ 23118-2019
Приказ Минстроя России от 17.11.2022 N 969/пр",,,,,,,,KSI160000053
,,,ABAD,,,,Опорная плита,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,07.2.03.06,,,,,KSI160000054
,,,ABAE,,,,Капитель укороченная,,ГОСТ 27108-2016,,,,,,,,KSI160000055
,,ABB,,,,,"Фермы, ригели, балки, прогоны",,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"05.1.03.16
05.1.03.13
05.1.03.01
05.1.03.02
05.1.03.03
05.1.03.12

07.2.03.01
",,,,,KSI160000056
,,,ABBA,,,,Ферма железобетонная,"Рама с треугольной решеткой, служащая балкой","ГОСТ 20213-2015
ГОСТ Р ИСО 6707-1-2020
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,ЭЛ 30 16 80 30,,,,KSI160000057
,,,,ABBAA,,,Ферма стропильная,"Несущая конструкция для покрытия больших пролетов, представляющая собой плоскую конструкцию из стержневых элементов","ГОСТ 20213-2015
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,ЭЛ 20 20 36,,,,KSI160000058
,,,,ABBAB,,,Ферма подстропильная,"Несущая конструкция, предназначенная для опирания стропильных ферм в средних рядах колонн многопролетных зданий","ГОСТ 20213-2015
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,ЭЛ 20 20 38,,,,KSI160000059
,,,ABBB,,,,Прогон железобетонный для покрытий зданий промышленных и сельскохозяйственных предприятий,"Железобетонный прогон таврового сечения длиной 6 м с переменной высотой стенки, изготовляемый из тяжелого бетона и предназначенный для применения в покрытиях зданий промышленных и сельскохозяйственных предприятий при уклоне кровли до 25% включительно","ГОСТ 26992-2016
Приказ Минстроя России от 17.11.2022 N 969/пр",,,,,,Определение синтезировано,,KSI160000060
,,,ABBC,,,,Ригель железобетонный для многоэтажных зданий,"Железобетонный ригель, изготовляемый из тяжелого бетона и предназначенный для каркасов многоэтажных общественных зданий, производственных, административных и бытовых зданий промышленных предприятий","ГОСТ 18980-2015
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,05.1.03.13,ЭЛ 30 16 65,,Определение синтезировано,,KSI160000061
,,,ABBD,,,,Балка,"Конструктивный элемент, служащий для передачи нагрузок между точками опоры или за их пределы, обычно протяженный в длину и расположенный, как правило, горизонтально","ГОСТ Р ИСО 6707-1-2020
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"05.1.03.01
05.1.03.02
05.1.03.03
07.2.03.01
07.2.03.06
",ЭЛ 30 16 20,,,,KSI160000062
,,,,ABBDA,,,Балка обвязочная,"Линейный горизонтальный несущий элемент строительных конструкций зданий или сооружений, предназначенный для восприятия и передачи нагрузок от каменных стен","ГОСТ 24893-2016
Приказ Минстроя России от 17.11.2022 N 969/пр",,,05.1.03.01,,,,,KSI160000063
,,,,,ABBDAA,,Балка обвязочная железобетонная для зданий промышленных предприятий,"Железобетонная обвязочная балка, изготовляемая из тяжелого бетона и бетона на пористых заполнителях.
координационной длиной 6,0 м, применяемая в навесных каменных (из кирпича и легкобетонных камней), наружных и внутренних стенах, в том числе в местах перепада высот, производственных и вспомогательных зданий промышленных предприятий",ГОСТ 24893-2016,,,,,,Определение синтезировано,,KSI160000064
,,,,ABBDB,,,Балка стропильная,"Несущий элемент зданий, воспринимающий нагрузку от покрытия кровли","ГОСТ 20372-2015
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,05.1.03.03,ЭЛ 20 20 35,,,,KSI160000065
,,,,ABBDC,,,Балка подкрановая,"Строительная конструкция, предназначенная для опирания (подвески) рельсового пути кранового, восприятия нагрузок от подъемного сооружения в процессе эксплуатации и обеспечения пространственной жесткости и устойчивости каркаса сооружения","ГОСТ Р 56944-2016
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,05.1.03.02,"ЭЛ 30 16 21
ЭЛ 30 16 21",,Определение синтезировано,,KSI160000066
,,,,ABBDD,,,Балка подстропильная,"Несущая конструкция, предназначенная для опирания стропильных конструкций в средних рядах колонн многопролетных зданий.",ГОСТ 20372-2015,,,,,,,,KSI160000067
,,ABC,,,,,Надземный рельсовый путь крановый,"Рельсовый путь крановый, опирающийся на подкрановые строительные конструкции или подвешенный к ним","ГОСТ Р 56944-2016
СП 12-103-2002",,,07.2.01.01,,,,,KSI160000068
,,,,,,ABC010,"Пути крановые из рельсов железнодорожных на бетонном основании, стали С 255",,Приказ Минстроя России от 02.03.2017 N 597/пр,,,07.2.01.01,,,,,KSI160000069
,,,,,,ABC020,"Пути крановые из рельсов железнодорожных на бетонном основании, стали С 255, крепления и упоры",,Приказ Минстроя России от 02.03.2017 N 597/пр,,,07.2.01.01,,,,,KSI160000070
,,,,,,ABC030,"Пути крановые из рельсов железнодорожных на бетонном основании, марка стали С 255, рельсы железнодорожные",,Приказ Минстроя России от 02.03.2017 N 597/пр,,,07.2.01.01,,,,,KSI160000071
,,,,,,ABC040,"Пути крановые из специальных крановых рельсов на бетонном основании, стали С 255",,Приказ Минстроя России от 02.03.2017 N 597/пр,,,07.2.01.01,,,,,KSI160000072
,,,,,,ABC050,"Пути крановые из специальных крановых рельсов на бетонном основании, марка стали С 255, комплектующие детали и метизы",,Приказ Минстроя России от 02.03.2017 N 597/пр,,,07.2.01.01,,,,,KSI160000073
,,,,,,ABC060,"Пути крановые из специальных крановых рельсов на бетонном основании, марка стали С 255, рельсы специальные крановые",,Приказ Минстроя России от 02.03.2017 N 597/пр,,,07.2.01.01,,,,,KSI160000074
,,,,,,ABC070,"Пути обратные плоских затворов (решеток), стали С 255",,Приказ Минстроя России от 02.03.2017 N 597/пр,,,07.2.01.01,,,,,KSI160000075
,,,,,,ABC080,"Пути подкрановые, стали С 255",,Приказ Минстроя России от 02.03.2017 N 597/пр,,,07.2.01.01,,,,,KSI160000076
,,,,,,ABC090,"Пути подкрановые, стали С 255, крепления и упоры",,Приказ Минстроя России от 02.03.2017 N 597/пр,,,07.2.01.01,,,,,KSI160000077
,,,,,,ABC100,"Пути подкрановые, стали С 255, рельсы железнодорожные",,Приказ Минстроя России от 02.03.2017 N 597/пр,,,07.2.01.01,,,,,KSI160000078
,,,,,,ABC110,"Пути рабочие колесного затвора, стали С 255",,Приказ Минстроя России от 02.03.2017 N 597/пр,,,07.2.01.01,,,,,KSI160000079
,,,,,,ABC120,"Пути рабочие плоских скользящих затворов и решеток, конструкция составного сечения из толстолистового проката с механической обработкой по торцам, стали С 255",,Приказ Минстроя России от 02.03.2017 N 597/пр,,,07.2.01.01,,,,,KSI160000080
,,,,,,ABC130,"Пути рабочие плоских скользящих затворов и решеток, конструкция составного сечения из толстолистового проката с опорным рельсом из стали марки 12Х18Н10Т, стали С 255",,Приказ Минстроя России от 02.03.2017 N 597/пр,,,07.2.01.01,,,,,KSI160000081
,,,,,,ABC140,"Пути рабочие плоских скользящих затворов, конструкция составного сечения из толстолистового проката с механической обработкой по торцам, стали С 255",,Приказ Минстроя России от 02.03.2017 N 597/пр,,,07.2.01.01,,,,,KSI160000082
,,,ABCB,,,,Опорный элемент,"Элемент, воспринимающий крановые нагрузки от рельсов и передающий их на строительные конструкции","ГОСТ Р 56944-2016
СП 12-103-2002 ",,,,,,,,KSI160000083
,,,ABCC,,,,Стыковая накладка для рельсов,,СП 12-103-2002,,,"25.1.05.01
25.1.06.13
26.1.02.02
27.1.01.02",,,,,KSI160000084
,,,ABCD,,,,Путевое оборудование,"Устройства (тупиковые упоры, отключающие устройства, страховочные канаты, знаки безопасности и др.), обеспечивающие безопасную эксплуатацию грузоподъемного крана",ГОСТ Р 56944-2016,,,,,,,,KSI160000085
,,,,ABCDA,,,Тупиковый упор,"Устройство, предназначенное для гашения скорости крана и предотвращения его схода с концевых участков кранового пути в аварийных ситуациях при отказе отключающего устройства или тормозов механизма передвижения крана",ГОСТ Р 56944-2016,,,26.1.02.07,,,,,KSI160000086
,,,,ABCDB,,,Отключающее устройство,"Устройство, обеспечивающее воздействие на ограничитель передвижения крана для предотвращения его перемещения за пределы рабочей зоны",ГОСТ Р 56944-2016,,,,,,,,KSI160000087
,,,,ABCDC,,,Ограждение надземного рельсового кранового пути,,,,,,,,,,KSI160000088
,,ABD,,,,,Элемент мембранных покрытий,,,,,,,,,,KSI160000089
,,,ABDA,,,,Элемент опорного кольца внутреннего,,,,,,,,,,KSI160000090
