Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Код класса по KKS,Примечания,Синонимы,УИН
,,,,CLBCA,,,Модули газового пожаротушения,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,61.2.03.01,,,,,KSI160002198
,,,,,,CLBCA010,Батарея газового пожаротушения,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,61.2.03.01,,,,,KSI160002199
,,,,,,CLBCA020,Модуль газового пожаротушения,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,61.2.03.01,,,,,KSI160002200
,,,,,,CLBCA030,Модуль установки пожаротушения тонкораспыленной водой,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,61.2.03.01,,,,,KSI160002201
,,,,,,CLBCA040,Установка автономная пожаротушения,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,61.2.03.01,,,,,KSI160002202
,,,,,,CLBCA050,Установка автономная газового пожаротушения для защиты корпусных шкафов электроустановок,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,61.2.03.01,,,,,KSI160002203
,,,,,,CLBCA060,Электропривод для модуля пожаротушения,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,61.2.03.01,,,,,KSI160002204
,,,,,,CLBCA070,Кронштейн баллона для модуля пожаротушения,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,61.2.03.01,ЭЛ 40 45 10 10,,,,KSI160002205
,,,,,,CLBCA080,Рукав высокого давления разгрузочный для модуля пожаротушения,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,61.2.03.01,,,,,KSI160002206
,,,,,,CLBCA090,Насадок для модуля пожаротушения,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,61.2.03.01,,,,,KSI160002207
,,,,,,CLBCA100,Муфта под рукав высокого давления для модуля пожаротушения,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,61.2.03.01,ЭЛ 40 15 30 56,,,,KSI160002208
,,,,,,CLBCA110,Станция азотного пожаротушения для печей подготовки и перекачки нефти без компрессора,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,61.2.03.01,,,,,KSI160002209
,,,,,,CLBCA120,Генератор огнетушащего аэрозоля,Устройство для получения огнетушащего аэрозоля с заданными параметрами и его подачи в защищаемое помещение,"Приказ Минстроя России от 17.11.2022 N 969/пр
СП 485.1311500.2020",,,,,,,,KSI160002210
,,,,,,CLBCA130,Генератор огнетушащего аэрозоля переносной,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,,KSI160002211
,,,,,,CLBCA140,Устройство автономное огнетушащего аэрозоля с тепловым пуском для тушения пожаров в подвагонных ящиках,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,,KSI160002212
,,,,CLBCB,,,Модули порошкового пожаротушения,,Приказ Минстроя России от 17.11.2022 N 969/пр,,, 61.2.03.02,,,,,KSI160002213
,,,,,,CLBCB010,Модуль порошкового пожаротушения,,Приказ Минстроя России от 17.11.2022 N 969/пр,,, 61.2.03.02,,,,,KSI160002214
,,,,,,CLBCB020,Огнетушитель,"Переносное или передвижное устройство, предназначенное для тушения очага пожара оператором за счет выпуска огнетушащего вещества, с ручным способом доставки к очагу пожара, приведения в действие и управления струей огнетушащего вещества","СП 9.13130.2009
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,, 61.2.03.02,ЭЛ 40 30 20 25,,,,KSI160002215
,,,CLBD,,,,"Приборы управления, оповещатели",,Приказ Минстроя России от 17.11.2022 N 969/пр,,,61.2.04.,,,,,KSI160002216
,,,,CLBDA,,,Арматура светосигнальная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,61.2.04.01,,,,,KSI160002217
,,,,CLBDB,,,Датчики,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,61.2.04.02,ЭЛ 40 55 20 10,,,,KSI160002218
,,,,CLBDC,,,Кнопки тревожной сигнализации,,Приказ Минстроя России от 17.11.2022 N 969/пр,,, 61.2.04.03,,,,,KSI160002219
,,,,CLBDD,,,Оповещатели звуковые,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,61.2.04.05,,,,,KSI160002220
,,,,,,CLBDD010,Оповещатель охранно-пожарный звуковой и световой,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,,KSI160002221
,,,,,,CLBDD020,Оповещатель охранно-пожарный звуковой,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,61.2.04.05,,,,,KSI160002222
,,,,,,CLBDD030,Оповещатель динамический звуковой адресный,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,,KSI160002223
,,,,,,CLBDD040,Оповещатель речевой настенный антивандальный,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,61.2.04.05,,,,,KSI160002224
,,,,,,CLBDD050,Оповещатель пожарный речевой,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,61.2.04.05,,,,,KSI160002225
,,,,CLBDE,,,Оповещатели речевые,,Приказ Минстроя России от 17.11.2022 N 969/пр,,, 61.2.04.06,,,,,KSI160002226
,,,,CLBDF,,,Оповещатели световые,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,61.2.04.07,,,,,KSI160002227
,,,,CLBDG,,,Оповещатели светозвуковые,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,61.2.04.08,,,,,KSI160002228
,,,,CLBDH,,,Приборы управления,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,61.2.04.09,,,,,KSI160002229
,,,,,,CLBDH010,Приборы управления пожарные,"Техническое средство, предназначенное для управления исполнительными устройствами автоматических средств противопожарной защиты и контроля целостности и функционирования линий связи между ППУ и исполнительными устройствами.", ГОСТ Р 53325-2012,,,,,,,,KSI160002230
,,,,CLBDJ,,,Пульты контроля и управления,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,61.2.04.10,,,,,KSI160002231
,,,,CLBDK,,,Сирены сигнальные,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,61.2.04.11,ЭЛ 40 55 10 40,,,,KSI160002232
,,,CLBE,,,,Радиомодули охранной сигнализации,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,61.2.05.,,,,,KSI160002233
,,,,CLBEA,,,Радиопередатчики,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,61.2.05.03,,,,,KSI160002234
,,,CLBF,,,,Устройства приемно-контрольные,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,61.2.06.,,,,,KSI160002235
,,,,CLBFA,,,Приборы приемно-контрольные охранно-пожарной сигнализации,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,61.2.06.,,,,,KSI160002236
,,,,CLBFB,,,Приборы приемно-контрольные охранной сигнализации,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,61.2.06.02,,,,,KSI160002237
,,,CLBG,,,,Части устройств охранной и пожарной сигнализации,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,61.2.07.,,,,,KSI160002238
,,,,,,CLBG010,Блок части устройств охранной и пожарной сигнализации,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,61.2.07.02,,,,,KSI160002239
,,,,,,CLBG020,Клавиатура устройств охранной и пожарной сигнализации,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,61.2.07.03,,,,,KSI160002240
,,,,,,CLBG030,Контроллер сетевой устройств охранной и пожарной сигнализации,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,61.2.07.04,,,,,KSI160002241
,,,,,,CLBG040,Модуль устройств охранной и пожарной сигнализации,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,61.2.07.05,,,,,KSI160002242
,,,,,,CLBG050,Расширитель адресный устройств охранной и пожарной сигнализации,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,61.2.07.06,,,,,KSI160002243
,,,,,,CLBG060,Регистратор устройств охранной и пожарной сигнализации,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,61.2.07.07,,,,,KSI160002244
,,,,,,CLBG070,Турникет и устройства для турникетов устройств охранной и пожарной сигнализации,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,61.2.07.09,ЭЛ 30 18 60,,,,KSI160002245
,,,CLBH,,,,Шланги и рукава,,,,,18.3.01.02,,,,,KSI160002246
,,,,CLBHA,,,Рукава резиновые с текстильным каркасом,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.7.19.08,,,,,KSI160002247
,,,,CLBHB,,,Рукава из высокопрочной полимерной пленки,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,,KSI160002248
,,,,CLBHC,,,Шланг смешивающий статический для установки по напылению трубы,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,,KSI160002249
,,,,CLBHD,,,Рукава резинотканевые,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.7.19.09,,,,,KSI160002250
,,,,CLBHE,,,Трубки резиновые,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.7.19.11,,,,,KSI160002251
,CM,,,,,,Изделия для системы освещения,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,20.3.,ЭЛ 40 50 50,,,,KSI160002252
,,CMA,,,,,Комплектующие светильников,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"20.3.01.
",,,,,KSI160002253
,,,CMAA,,,,Крепления для светильников,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,20.3.01.01,,,,,KSI160002254
,,,CMAB,,,,Наклейки информационные,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,20.3.01.02,,,,,KSI160002255
,,,CMAC,,,,Патроны,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,20.3.01.03,,,,,KSI160002256
,,,CMAD,,,,Плафоны для люстр и бра,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,20.3.01.04,,,,,KSI160002257
,,,CMAE,,,,Решетки защитные,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,20.3.01.05,,,,,KSI160002258
,,,CMAF,,,,Стартеры,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,20.3.01.06,,,,,KSI160002259
,,CMB,,,,,Лампы,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"20.3.02
",ЭЛ 40 50 50 15,,,,KSI160002260
,,,CMBA,,,,Лампа бактерицидная ультрафиолетовая,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,20.3.02.01,,,,,KSI160002261
,,,CMBB,,,,Лампа биспиральная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,20.3.02.02,,,,,KSI160002262
,,,CMBC,,,,Лампа газопольная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,20.3.02.03,,,,,KSI160002263
,,,CMBD,,,,Лампа газоразрядная высокого давления,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,20.3.02.04,,,,,KSI160002264
,,,CMBE,,,,Лампа дуговая ртутная высокого давления,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,20.3.02.05,,,,,KSI160002265
,,,CMBF,,,,Лампа концентрированного светораспределения,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,20.3.02.06,,,,,KSI160002266
,,,CMBG,,,,Лампа люминесцентная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,20.3.02.07,,,,,KSI160002267
,,,CMBH,,,,Лампа люминесцентная ртутная низкого давления,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,20.3.02.08,,,,,KSI160002268
,,,CMBJ,,,,Лампа накаливания кварцевая галогенная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,20.3.02.09,,,,,KSI160002269
,,,CMBK,,,,Лампа накаливания общего назначения,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,20.3.02.10,,,,,KSI160002270
,,,CMBL,,,,Лампа широкого светораспределения,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,20.3.02.11,,,,,KSI160002271
,,,CMBM,,,,Лампа энергосберегающая,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,20.3.02.12,,,,,KSI160002272
,,CMC,,,,,Люстры и светильники,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"20.3.03
",,,,,KSI160002273
,,,CMCA,,,,Люстра с плафонами,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,20.3.03.01,ЭЛ 40 50 50 20,,,,KSI160002274
,,,CMCB,,,,Светильник для металлогалогенных ламп,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,20.3.03.02,ЭЛ 40 50 50 30,,,,KSI160002275
,,,CMCC,,,,Светильник под лампу накаливания,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,20.3.03.03,ЭЛ 40 50 50 30,,,,KSI160002276
,,,CMCD,,,,Светильник под люминесцентные лампы,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,20.3.03.04,ЭЛ 40 50 50 30,,,,KSI160002277
,,,CMCE,,,,Светильник под натриевую лампу,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,20.3.03.05,ЭЛ 40 50 50 30,,,,KSI160002278
,,,CMCF,,,,Светильник под ртутную лампу,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,20.3.03.06,ЭЛ 40 50 50 30,,,,KSI160002279
,,,CMCG,,,,Светильник светодиодный,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,20.3.03.07,ЭЛ 40 50 50 30,,,,KSI160002280
,,,CMCH,,,,Светильник точечный,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,20.3.03.08,ЭЛ 40 50 50 30,,,,KSI160002281
,,CMD,,,,,Осветительные устройства специального назначения,,,,,20.3.04.,,,,,KSI160002282
,,,CMDA,,,,Знак дорожный светодиодный,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,20.3.04.01,ЭЛ 40 50 50 99,,,,KSI160002283
,,,CMDB,,,,Знак надомный световой,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,20.3.04.02,ЭЛ 40 50 50 99,,,,KSI160002284
,,,CMDC,,,,Облучатель бактерицидный,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,20.3.04.03,ЭЛ 40 50 50 99,,,,KSI160002285
,,,CMDD,,,,Прожектор дорожный,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,20.3.04.04,ЭЛ 40 50 50 25,,,,KSI160002286
,,,CMDE,,,,Светильник подводный,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,20.3.04.05,ЭЛ 40 50 50 30,,,,KSI160002287
,,,CMDF,,,,Светотехника декоративная,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,20.3.04.06,ЭЛ 40 50 50 99,,,,KSI160002288
,,,CMDG,,,,Указатель световой,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,20.3.04.07,"ЭЛ 40 50 50 55
ЭЛ 40 50 50 60
ЭЛ 40 50 50 65",,,,KSI160002289
,CN,,,,,,Материалы и изделия для системы газоснабжения,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,18.4.,ЭЛ 40 15 42,,,,KSI160002290
,,CNA,,,,,Баллоны для сжиженных газов,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,18.4.01.01,ЭЛ 40 15 42 10,,,,KSI160002291
,,CNB,,,,,Конструкции и элементы газопроводов,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.4.01.02,,,,,KSI160002292
,,CNC,,,,,Протекторы,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.4.01.03,,,,,KSI160002293
,,CND,,,,,Установки шкафные,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.4.01.04,,,,,KSI160002294
,,CNE,,,,,Фильтры газовые сетчатые конические,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,18.4.01.05,ЭЛ 40 15 42 60,,,,KSI160002295
,,CNF,,,,,Фильтры фланцевые волосяные,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,18.4.01.06,ЭЛ 40 15 30 60,,,,KSI160002296
,,CNG,,,,,Фитинги для счетчиков газа,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,18.4.01.07,ЭЛ 40 15 20,,,,KSI160002297
,,CNH,,,,,Вводы цокольные,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.4.01.09,,,,,KSI160002298
D,,,,,,,Изделия для дорожного строительства,,,По виду дорожного строительства,, 01.,,,,,KSI160002299
,DA,,,,,,Изделия для дорожного покрытия,,,,,,,,,,KSI160002300
,,DAA,,,,,Брусчатка,"Небольшой блок из камня, прямоугольной формы в плане, используемый для мощеного покрытия","ГОСТ Р ИСО 6707-1-2020
Приказ Минстроя России от 17.11.2022 N 969/пр",,,"
05.2.02.11
05.2.02.12
05.2.02.15
13.2.03.01",,,,,KSI160002301
,,DAB,,,,,Плитки тротуарные,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"05.2.02.19
05.2.02.21
05.2.02.22",,,,,KSI160002302
,,DAC,,,,,Кирпич керамический клинкерный для мощения,"Изделие определенной формы и размера, применяемое для мощения и изготовляемое из глины или глинистых материалов с добавками или без них","ГОСТ 32311-2012
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,06.1.01.10,СТ 10 13 10 10 50,,,,KSI160002303
,,,,,,DAC010,Клинкерный кирпич прямоугольный,,ГОСТ 32311-2012,,,06.1.01.07,,,,,KSI160002304
,,,,,,DAC020,Клинкерный кирпич квадратный,,ГОСТ 32311-2012,,,,,,,,KSI160002305
,,,,,,DAC030,Клинкерный кирпич фигурный,,ГОСТ 32311-2012,,,,,,,,KSI160002306
,,,,,,DAC040,Клинкерный кирпич доборный,,ГОСТ 32311-2012,,,,,,,,KSI160002307
,,DAD,,,,,Плиты дорожного покрытия,,,,,"05.1.08.06
",,,,,KSI160002308
,,,,,,DAD010,Плита дорожная,,"Приказ Минстроя России от 17.11.2022 N 969/пр
ТР ТС 014/2011 ",,,05.1.08.06,,,,,KSI160002309
,,,,,,DAD020,Плита аэродромная,,ГОСТ 25912-2015,,,05.1.08.06,,,,,KSI160002310
,,,,,,DAD030,Плита для покрытия трамвайных путей,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,05.1.08.06,,,,,KSI160002311
,,DAE,,,,,Плиты бетонные тротуарные,"Изделия, изготовленные из бетона и применяемые в качестве покрытия дорожных и других поверхностей","ГОСТ 17608-2017
Приказ Минстроя России от 17.11.2022 N 969/пр",,,05.2.04.04,,,,,KSI160002312
,,DAF,,,,,Покрытия дорожные мобильные,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.5.03.10,,,,,KSI160002313
,,DAG,,,,,Камни бетонные и железобетонные бортовые,"бортовой камень: изделие из при-родного или искусственного кам-ня, применяемое на автомобиль-ных дорогах в составе сборных конструкций бортов, предназна-ченных для обозначения и огра-ничения транспортных зон и габа-ритов приближения, разделения поверхностей проезжей части и элементов дорог, не предназна-ченных для движения автомо-бильного транспорта.","Приказ Минстроя России от 17.11.2022 N 969/пр
ГОСТ 32961- 2014
ГОСТ 6665-91",,,"05.2.03.03
05.1.08.02",,,,,KSI160002314
,,DAH,,,,,Маты асфальтовые,,,,,01.7.13.03,,,,,KSI160002315
,,DAJ,,,,,Плиты укрепления откосов,,,,,05.2.02.05,,,,,KSI160002316
,,DAK,,,,,Камни бортовые из гранита,"Изделие из природного или искусственного камня, применяемое на автомобильных дорогах в составе сборных конструкций бортов, предназначенных для обозначения и ограничения транспортных зон и габаритов приближения, разделения поверхностей проезжей части и элементов дорог, не предназначенных для движения автомобильного транспорта","Приказ Минстроя России от 02.03.2017 N 597/пр
ГОСТ 32961- 2014",,,13.2.03.02,,,,,KSI160002317
,DB,,,,,,Изделия для пропуска (прокладки) труб,,,,,05.1.02.,,,,,KSI160002318
,,DBA,,,,,Элемент водопропускных труб,"Элемент (изделие) конструкции трубы, укладываемой в теле насыпи автомобильной дороги для пропуска водного потока","ГОСТ 32871-2014
ТР ТС 014/2011",,,,,,Определение синтезировано,,KSI160002319
,,,DBAA,,,,Элементы круглых водопропускных труб,"Элемент (изделие) конструкции трубы круглой формы, укладываемой в теле насыпи автомобильной дороги для пропуска водного потока","ГОСТ 32871-2014
ТР ТС 014/2011",,,05.1.02.04,,,Определение синтезировано,,KSI160002320
,,,,,,DBAA010,Звено круглое,"Элемент сборной круглой водопропускной трубы, являющийся частью ее тела","ГОСТ 32871-2014
ТР ТС 014/2011",,,05.1.02.04,,,Определение синтезировано,,KSI160002321
,,,,,,DBAA020,Звено оголовка конусное круглых водопроводных труб,"Крайний, замыкающий тело круглой водопропускной трубы элемент конусной формы, удерживающий откос насыпи по концам трубы и обеспечивающий необходимые условия входа водного потока в трубу и выхода из нее","ГОСТ 32871-2014
ТР ТС 014/2011",,,23.3.07.03,,,Определение синтезировано,,KSI160002322
,,,,,,DBAA030,Стенка портальная круглых водопроводных труб,,"Приказ Минстроя России от 17.11.2022 N 969/пр
ТР ТС 014/2011",,,,,,,,KSI160002323
,,,,,,DBAA040,Стенка откосная круглых водопроводных труб,,,,,,,,,,KSI160002324
,,,,,,DBAA050,Лекальный блок,,,,,05.1.08.01,,,,,KSI160002325
,,,,,,DBAA060,Фундаментный блок для труб,,"Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128
ТР ТС 014/2011",,,05.1.08.01,ЭЛ 10 10 40,,,,KSI160002326
,,,,,,DBAA070,Фундаментная плита для труб,,"Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128
ТР ТС 014/2011",,,,ЭЛ 10 10 25,,,,KSI160002327
,,,DBAB,,,,Элементы прямоугольных водопропускных труб,"Элемент (изделие) конструкции трубы прямоугольной формы, укладываемой в теле насыпи автомобильной дороги для пропуска водного потока","ГОСТ 32871-2014
ТР ТС 014/2011",,,,,,Определение синтезировано,,KSI160002328
,,,,,,DBAB010,Звено трубы прямоугольное,"Элемент сборной прямоугольной водопропускной трубы, являющийся частью ее тела","ГОСТ 32871-2014
ТР ТС 014/2011",,,05.1.02.04,,,Определение синтезировано,,KSI160002329
,,,,,,DBAB020,Стенка откосная для прямоугольных труб,,"Приказ Минстроя России от 17.11.2022 N 969/пр
ТР ТС 014/2011",,,05.1.08.11,,,,,KSI160002330
,,,,,,DBAB030,Блок фундамента для прямоугольных труб,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,05.1.08.01,ЭЛ 10 10 40,,,,KSI160002331
,,,,,,DBAB040,Плита фундаментная для прямоугольных труб,,"Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128
ТР ТС 014/2011",,,,ЭЛ 10 10 25,,,,KSI160002332
,,,,,,DBAB050,Звено оголовка прямоугольное,"Крайний, замыкающий тело прямоугольной водопропускной трубы элемент прямоугольной формы, удерживающий откос насыпи по концам трубы и обеспечивающий необходимые условия входа водного потока в трубу и выхода из нее","ГОСТ 32871-2014
ТР ТС 014/2011",,,05.1.08.01,,,Определение синтезировано,,KSI160002333
,,,DBAC,,,,Элементы круглых водопропускных труб с плоским опиранием,"Элемент (изделие) конструкции трубы круглой формы с плоским опиранием, укладываемой в теле насыпи автомобильной дороги для пропуска водного потока","ГОСТ 32871-2014
ТР ТС 014/2011",,,,,,Определение синтезировано,,KSI160002334
,,,,,,DBAC010,Звено круглое с плоским опиранием,"Элемент сборной круглой водопропускной трубы с плоским опиранием, являющийся частью ее тела","ГОСТ 32871-2014
ТР ТС 014/2011",,,,,,Определение синтезировано,,KSI160002335
,,,,,,DBAC020,Звено оголовка цилиндрическое,"Крайний, замыкающий тело круглой водопропускной трубы с плоским опиранием элемент цилиндрической формы, удерживающий откос насыпи по концам трубы и обеспечивающий необходимые условия входа водного потока в трубу и выхода из нее","ГОСТ 32871-2014
ТР ТС 014/2011",,,,,,Определение синтезировано,,KSI160002336
,,,,,,DBAC030,Звено оголовка конусное для труб с плоским опиранием,"Крайний, замыкающий тело круглой водопропускной трубы с плоским опиранием элемент конусной формы, удерживающий откос насыпи по концам трубы и обеспечивающий необходимые условия входа водного потока в трубу и выхода из нее","ГОСТ 32871-2014
ТР ТС 014/2011",,,,,,Определение синтезировано,,KSI160002337
,,,,,,DBAC040,Стенка портальная для труб с плоским опиранием,,"Приказ Минстроя России от 17.11.2022 N 969/пр
ТР ТС 014/2011",,,,,,,,KSI160002338
,,,,,,DBAC050,Стенка откосная для труб с плоским опиранием,,,,,,,,,,KSI160002339
,,,,,,DBAC060,Фундаментная плита для труб с плоским опиранием,,"Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128
ТР ТС 014/2011",,,,ЭЛ 10 10 25,,,,KSI160002340
,,,,,,DBAC070,Противофильтрационный блок,,ТР ТС 014/2011,,,,,,,,KSI160002341
,,,,,,DBAC080,Фундаментные блоки для труб с плоским опиранием,,"Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128
ТР ТС 014/2011",,,,ЭЛ 10 10 40,,,,KSI160002342
,,,DBAD,,,,Элементы безнапорных раструбных труб,,Тр ТС 014/2011,,,,,,,,KSI160002343
,,,,,,DBAD010,Трубы безнапорные раструбные,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128
Тр ТС 014/2011",,,05.1.02.08,ЭЛ 40 15 10 10,,,,KSI160002344
,,,,,,DBAD020,Портальная стенка безнапорных растровых труб,,Тр ТС 014/2011,,,,,,,,KSI160002345
,,,,,,DBAD030,Стенка откосная безнапорных растровых труб,,Тр ТС 014/2011,,,,,,,,KSI160002346
,,DBB,,,,,Лоток металлической гофрированной трубы,"Дополнительное покрытие из бетона или асфальтобетона, устраиваемое на внутренней поверхности металлической гофрированной трубы в нижней части сечения (лотковая часть), которая подвержена интенсивному размыву под действием водотока",ГОСТ 32871-2014,,,,,,,,KSI160002347
