Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Код класса по ОКПДТР,Примеры,Примечания,Синонимы,УИН
,,,,ACA020,Агент по снабжению,,Постановление Госстандарта РФ от 26.12.1994 N 367,,20031,,,,KSI190000093
,,,,ACA030,Агент по операциям с недвижимостью,,ГОСТ Р 10.0.05–2019,,,,,,KSI190000094
,,,,ACA040,Агент по сдаче в эксплуатацию,,ГОСТ Р 10.0.05–2019,,,,,,KSI190000095
,,ACB,,,Делопроизводитель,,Постановление Госстандарта РФ от 26.12.1994 N 367,,21299,,,,KSI190000096
,,ACC,,,Секретарь руководителя,,Постановление Госстандарта РФ от 26.12.1994 N 367,,26341,,,,KSI190000097
,,ACD,,,Чертежник,,Постановление Госстандарта РФ от 26.12.1994 N 367,,27530,,,,KSI190000098
B,,,,,Рабочий,"Производственный персонал, выполняющий одно или более производственных заданий, обеспечивающих достижение поставленной цели в производственной системе",Единый тарифно-квалификационный справочник работ и профессий рабочих,По специальности,,,,,KSI190000099
,BA,,,,Рабочий земляных работ,,,По специализации,,,,,KSI190000100
,,BAA,,,Землекоп,,Постановление Госстандарта РФ от 26.12.1994 N 367,,12266,,,,KSI190000101
,,BAB,,,Рабочий карты намыва,,Постановление Госстандарта РФ от 26.12.1994 N 367,,17532,,,,KSI190000102
,,BAC,,,Рабочий зеленого строительства,,Постановление Госстандарта РФ от 26.12.1994 N 367,,17530,,,,KSI190000103
,,BAD,,,Проходчик на поверхностных работах,,Постановление Госстандарта РФ от 26.12.1994 N 367,,17495,,,,KSI190000104
,BB,,,,Рабочий по производству и укладке бетонных смесей и растворов,,,По специализации,,,,,KSI190000105
,,BBA,,,Бетонщик,,Постановление Госстандарта РФ от 26.12.1994 N 367,,11196,,,,KSI190000106
,,BBB,,,Цементатор,,Постановление Госстандарта РФ от 26.12.1994 N 367,,19526,,,,KSI190000107
,,BBC,,,Известегасильщик,,Постановление Госстандарта РФ от 26.12.1994 N 367,,12282,,,,KSI190000108
,BC,,,,Рабочий по устройству каменных конструкций,,,По специализации,,,,,KSI190000109
,,BCA,,,Каменщик,,Постановление Госстандарта РФ от 26.12.1994 N 367,,12680,,,,KSI190000110
,,BCB,,,Печник,,Постановление Госстандарта РФ от 26.12.1994 N 367,,16600,,,,KSI190000111
,BD,,,,Рабочий управляющий машинами и механизмами,,Единый тарифно-квалификационный справочник работ и профессий рабочих,По специализации,,,,,KSI190000112
,,BDA,,,Копровщик,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13121,,,,KSI190000113
,,BDB,,,Бункеровщик,,Постановление Госстандарта РФ от 26.12.1994 N 367,,11289,,,,KSI190000114
,,BDC,,,Лебедчик,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13361,,,,KSI190000115
,,BDD,,,Водитель,,Постановление Госстандарта РФ от 26.12.1994 N 367,,11442,,,,KSI190000116
,,,,BDD010,Водитель вездехода,,Постановление Госстандарта РФ от 26.12.1994 N 367,,11447,,,,KSI190000117
,,,,BDD020,Водитель погрузчика,,Постановление Госстандарта РФ от 26.12.1994 N 367,,11453,,,,KSI190000118
,,BDE,,,Машинист,,Единый тарифно-квалификационный справочник работ и профессий рабочих,По виду машины,,,,,KSI190000119
,,,BDEA,,Машинист землеройной машины,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13734,,,,KSI190000120
,,,,BDEA010,Машинист экскаватора,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14388,,,,KSI190000121
,,,,BDEA020,Машинист дренажной машины,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13706,,,,KSI190000122
,,,,BDEA030,Машинист землеройно-фрезерной самоходной машины,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13734,,,,KSI190000123
,,,,BDEA040,Машинист автогрейдера,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13509,,,,KSI190000124
,,,,BDEA050,Машинист автоямобура,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13532,,,,KSI190000125
,,,,BDEA060,Машинист бульдозера,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13583,,,,KSI190000126
,,,,BDEA070,Машинист гидромониторно-эжекторного плавучего несамоходного снаряда,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13662,,,,KSI190000127
,,,,BDEA080,Машинист грейдера прицепного,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13681,,,,KSI190000128
,,,,BDEA090,Машинист грейдер-элеватора,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13683,,,,KSI190000129
,,,,BDEA100,Машинист землесосного плавучего несамоходного снаряда,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13736,,,,KSI190000130
,,,,BDEA110,Машинист скрепера,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14184,,,,KSI190000131
,,,BDEB,,Машинист машины для устройства свайного фундамента,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,,,KSI190000132
,,,,BDEB010,Машинист вибровдавливающего погружателя свай самоходного,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13620,,,,KSI190000133
,,,,BDEB020,Машинист вибропогружателя бескопрового,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13622,,,,KSI190000134
,,,,BDEB030,Машинист копра,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13783,,,,KSI190000135
,,,,BDEB040,Машинист дизель-молота бескопрового,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13694,,,,KSI190000136
,,,BDEC,,Машинист подъемной машины,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14021,,,,KSI190000137
,,,,BDEC010,Машинист автовышки и автогидроподъемника,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13507,,,,KSI190000138
,,,,BDEC020,Машинист крана автомобильного,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13788,,,,KSI190000139
,,,,BDEC030,Машинист подъемника строительного,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,,,KSI190000140
,,,,BDEC040,Машинист крана (крановщик),,Постановление Госстандарта РФ от 26.12.1994 N 367,,13790,,,,KSI190000141
,,,,BDEC050,Машинист подъемно-передвижных подмостей,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14023,,,,KSI190000142
,,,BDED,,Машинист машины по производству и укладке бетонной смеси,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,,,KSI190000143
,,,,BDED010,Машинист автобетононасоса,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13505,,,,KSI190000144
,,,,BDED020,Машинист бетоносмесителя передвижного,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13564,,,,KSI190000145
,,,,BDED030,Машинист бетоноукладчика,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13565,,,,KSI190000146
,,,,BDED040,Машинист распределителя цемента аэрационного самоходного,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14114,,,,KSI190000147
