c_1,c_2,c_3,c_4,c_5,lev_1,lev_2,lev_3,lev_4,lev_5,code,def,source,type,list,ifc,par_1,par_2,sect,sect_parts,synonyms,ksi_uin
,,,,0015,,,,,Объект массового пребывания граждан,XNT_0015,,Градостроительный кодекс Российской Федерации от 29.12.2004 N 190-ФЗ,Логический,,,,,"<RZo>
<CCo>
<Cen>",,,KSI210002129
,,U,,,,,Пользовательские,,,XNU_,,,,,,,,,,,KSI210000107
,L,,,,,Расположение,,,,XL__,,,,,,,,,,,KSI210000108
,,G,,,,,Географическое расположение,,,XLG_,,,,,,,,,,,KSI210000109
,,,,0001,,,,,Географическая широта,XLG_0001,,,Текстовый,,,,,,,,KSI210000110
,,,,0002,,,,,Географическая долгота,XLG_0002,,,Текстовый,,,,,,,,KSI210000111
,,,,0003,,,,,Географическая высота,XLG_0003,,,Текстовый,,,,,,,,KSI210000112
,,,,0004,,,,,GPS координаты,XLG_0004,,,Текстовый,,,,,,,,KSI210000113
,,,,0005,,,,,Ориентация стороны света,XLG_0005,,,Из списка,"юг; 
север; 
запад; 
восток; 
юго-запад; 
юго-восток; 
северо-запад; 
северо-восток; ",,,,,,,KSI210000114
,,U,,,,,Пользовательские,,,XLU_,,,,,,,,,,,KSI210000115
,,A,,,,,Адрес,,,XLA_,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,ПР 10 20 10,,,,,KSI210000116
,,,,0001,,,,,Индекс,XLA_0001,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,Числовой,,,ПР 10 20 10 10,,"<CCo>
<Cen>",,,KSI210000117
,,,,0002,,,,,Страна,XLA_0002,,,Текстовый,,,,,"<RZo>
<CCo>
<Cen>",,,KSI210000118
,,,,0003,,,,,Область,XLA_0003,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,Текстовый,,,ПР 10 20 10 20,,"<RZo>
<CCo>
<Cen>",,,KSI210000119
,,,,0004,,,,,Район,XLA_0004,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,Текстовый,,,ПР 10 20 10 40,,"<RZo>
<CCo>
<Cen>",,,KSI210000120
,,,,0005,,,,,Штат,XLA_0005,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,Текстовый,,,ПР 10 20 10 20,,"<RZo>
<CCo>
<Cen>",,,KSI210000121
,,,,0006,,,,,Город,XLA_0006,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,Текстовый,,,"ПР 10 20 10 30
ПР 10 20 10 50",,"<RZo>
<CCo>
<Cen>",,,KSI210000122
,,,,0007,,,,,Село,XLA_0007,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,Текстовый,,,ПР 10 20 10 50,,"<RZo>
<CCo>
<Cen>",,,KSI210000123
