Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по ГЭСН,Примечание,Синонимы,УИН
,,,AAFE,,,,Корчевка деревьев и пней,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-02-103
ГЭСН 01-02-104
ГЭСН 01-02-105
ГЭСН 01-02-106
ГЭСН 01-02-111
ГЭСН 01-02-123",,,KSI110000127
,,,AAFF,,,,"Засыпка ям при работах, связанных с валкой леса и расчисткой территории",,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-107,,,KSI110000128
,,,AAFG,,,,Обивка земли с выкорчеванных пней,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-108,,,KSI110000129
,,,AAFH,,,,Вывозка пней,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-110,,,KSI110000130
,,,AAFJ,,,,Срезка кустарника и мелколесья,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-02-112
ГЭСН 01-02-113",,,KSI110000131
,,,AAFK,,,,Корчевка кустарника и мелколесья,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-02-114
ГЭСН 01-02-115",,,KSI110000132
,,,AAFL,,,,Сгребание срезанного или выкорчеванного кустарника и мелколесья,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-02-116
ГЭСН 01-02-117",,,KSI110000133
,,,AAFM,,,,Расчистка площадей от кустарника и мелколесья,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-02-118
ГЭСН 01-02-119",,,KSI110000134
,,,AAFN,,,,"Сжигание с перетряхиванием валов из кустарников, мелколесья и корней",,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-120,,,KSI110000135
,,,AAFP,,,,"Повторное сжигание с перетряхиванием валов из кустарников, мелколесья и корней",,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-121,,,KSI110000136
,,,AAFQ,,,,Корчевка и уборка камней,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-124,,,KSI110000137
,,AAG,,,,,Водопонижение,,ГЭСН 81-02-01-2020 ,по виду работ,,,,,KSI110000138
,,,AAGA,,,,"Гидравлическое погружение иглофильтров, обсадных труб, установка иглофильтров",,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-130,,,KSI110000139
,,,AAGB,,,,Извлечение легких иглофильтров,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-131,,,KSI110000140
,,,AAGC,,,,Монтаж всасывающего коллектора,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-132,,,KSI110000141
,,,AAGD,,,,Установка эжекторных водоподъемников,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-133,,,KSI110000142
,,,AAGE,,,,Извлечение эжекторных водоподъемников,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-134,,,KSI110000143
,,,AAGF,,,,"Укладка грунта толщиной 20 см, пропитанного битумом",,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-135,,,KSI110000144
,,,AAGG,,,,Демонтаж всасывающего коллектора,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-132,,,KSI110000145
,AB,,,,,,Горновскрышные работы,,ГЭСН 81-02-02-2020 ,по виду работ,,"ГЭСН 02-01-001
ГЭСН 02-01-002
ГЭСН 02-01-003
ГЭСН 02-01-008
ГЭСН 02-01-009
ГЭСН 02-01-010
ГЭСН 02-01-015
ГЭСН 02-01-016
ГЭСН 02-01-017
ГЭСН 02-01-018
ГЭСН 02-01-019
ГЭСН 02-01-020
ГЭСН 02-01-021
ГЭСН 02-01-022
ГЭСН 02-01-027
ГЭСН 02-01-028
ГЭСН 02-01-029
ГЭСН 02-01-034
ГЭСН 02-02-001
ГЭСН 02-02-002",,,KSI110000146
,AC,,,,,,Буровзрывные работы,,ГЭСН 81-02-03-2020,по виду работ,,,,,KSI110000147
,,ACA,,,,,Разрыхление скальных грунтов шпуровыми зарядами,,ГЭСН 81-02-03-2020,,,"ГЭСН 03-01-001
ГЭСН 03-01-002 
ГЭСН 03-01-003
ГЭСН 03-01-004
ГЭСН 03-01-005 ",,,KSI110000148
