Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по ГЭСН,Примечания,Синонимы,УИН
,,,ECZM,,,Соединение фланцев с затяжкой болтов при восстановлении водопроводных трубопроводов гибким самонесущим рукавом низкого давления,,ГЭСНр 81-02-66-2020,,,,,,KSI140001898
,,,ECZN,,,Устройство тягового узла для восстановления водопроводных трубопроводов гибким самонесущим рукавом низкого давления,,ГЭСНр 81-02-66-2020,,,,,,KSI140001899
,,,ECZP,,,Разборка тягового узла для восстановления водопроводных трубопроводов гибким самонесущим рукавом низкого давления,,ГЭСНр 81-02-66-2020,,,,,,KSI140001900
,,,ECZQ,,,Спуск воды из трубопровода при восстановлении водопроводных трубопроводов гибким самонесущим рукавом низкого давления,,ГЭСНр 81-02-66-2020,,,,,,KSI140001901
,,,ECZR,,,Наружный осмотр при восстановлении водопроводных трубопроводов гибким самонесущим рукавом низкого давления,,ГЭСНр 81-02-66-2020,,,,,,KSI140001902
,,,ECZS,,,Разборка механизмов и их погрузка после восстановления водопроводных трубопроводов гибким самонесущим рукавом низкого давления,,ГЭСНр 81-02-66-2020,,,,,,KSI140001903
F,,,,,,Электромонтажные работы при капитальном ремонте,,ГЭСНр 81-02-67-2020,По виду работ,,,,,KSI140001904
,FA,,,,,Демонтаж электропроводки при ремонте,,ГЭСНр 81-02-67-2020,По виду работ,,ГЭСНр 67-1,,,KSI140001905
,,FAA,,,,Снятие проводок с отсоединением жил,,ГЭСНр 81-02-67-2020,,,,,,KSI140001906
,,FAB,,,,"Демонтаж конструкций, изоляторов",,ГЭСНр 81-02-67-2020,,,,,,KSI140001907
,FB,,,,,Демонтаж труб и проводов из труб при ремонте,,ГЭСНр 81-02-67-2020,По виду работ,,ГЭСНр 67-2,,,KSI140001908
,,FBA,,,,Вытягивание проводов из труб,,ГЭСНр 81-02-67-2020,,,,,,KSI140001909
,,FBB,,,,Демонтаж труб и креплений,,ГЭСНр 81-02-67-2020,,,,,,KSI140001910
,FC,,,,,Демонтаж кабеля при ремонте,,ГЭСНр 81-02-67-2020,По виду работ,,ГЭСНр 67-3,,,KSI140001911
,,FCA,,,,"Демонтаж кабеля, проложенного с креплением скобами",,ГЭСНр 81-02-67-2020,,,,,,KSI140001912
,FD,,,,,Демонтаж приборов при ремонте,,ГЭСНр 81-02-67-2020,По виду работ,,ГЭСНр 67-4,,,KSI140001913
,,FDA,,,,"Снятие приборов, аппаратов",,ГЭСНр 81-02-67-2020,,,,,,KSI140001914
,FE,,,,,Смена ламп при ремонте,,ГЭСНр 81-02-67-2020,По виду работ,,ГЭСНр 67-5,,,KSI140001915
,,FEA,,,,Снятие плафона,,ГЭСНр 81-02-67-2020,,,,,,KSI140001916
,,FEB,,,,Снятие перегоревшей лампы,,ГЭСНр 81-02-67-2020,,,,,,KSI140001917
,,FEC,,,,Установка новой лампы,,ГЭСНр 81-02-67-2020,,,,,,KSI140001918
,,FED,,,,Установка и закрепление плафона,,ГЭСНр 81-02-67-2020,,,,,,KSI140001919
,,FEE,,,,Проверка работы после смены лампы,,ГЭСНр 81-02-67-2020,,,,,,KSI140001920
,FF,,,,,Смена магнитных пускателей при ремонте,,ГЭСНр 81-02-67-2020,По виду работ,,ГЭСНр 67-6,,,KSI140001921
,,FFA,,,,Снятие крышки магнитного пускателя,,ГЭСНр 81-02-67-2020,,,,,,KSI140001922
,,FFB,,,,Отсоединение проводов при смене магнитных пускателей,,ГЭСНр 81-02-67-2020,,,,,,KSI140001923
,,FFC,,,,Снятие магнитного пускателя,,ГЭСНр 81-02-67-2020,,,,,,KSI140001924
,,FFD,,,,Подготовка к установке нового пускателя,,ГЭСНр 81-02-67-2020,,,,,,KSI140001925
,,FFE,,,,Установка нового магнитного пускателя,,ГЭСНр 81-02-67-2020,,,,,,KSI140001926
,,FFF,,,,Подсоединение проводов при смене магнитных пускателей,,ГЭСНр 81-02-67-2020,,,,,,KSI140001927
,,FFG,,,,Установка крышки магнитного пускателя,,ГЭСНр 81-02-67-2020,,,,,,KSI140001928
,,FFH,,,,Опробование работы и регулировка магнитного пускателя,,ГЭСНр 81-02-67-2020,,,,,,KSI140001929
,FG,,,,,Смена пакетных выключателей при ремонте,,ГЭСНр 81-02-67-2020,По виду работ,,ГЭСНр 67-7,,,KSI140001930
,,FGA,,,,Снятие ручки и крышки старого пакетного выключателя,,ГЭСНр 81-02-67-2020,,,,,,KSI140001931
,,FGB,,,,Отсоединение проводов при смене пакетных выключателей,,ГЭСНр 81-02-67-2020,,,,,,KSI140001932
,,FGC,,,,Снятие пакетного выключателя,,ГЭСНр 81-02-67-2020,,,,,,KSI140001933
,,FGD,,,,Подготовка к установке нового выключателя,,ГЭСНр 81-02-67-2020,,,,,,KSI140001934
,,FGE,,,,Установка нового пакетного выключателя,,ГЭСНр 81-02-67-2020,,,,,,KSI140001935
,,FGF,,,,Подсоединение проводов при смене пакетных выключателей,,ГЭСНр 81-02-67-2020,,,,,,KSI140001936
,,FGG,,,,Установка крышки и ручки пакетного выключателя,,ГЭСНр 81-02-67-2020,,,,,,KSI140001937
,,FGH,,,,Опробование работы пакетного выключателя,,ГЭСНр 81-02-67-2020,,,,,,KSI140001938
,FH,,,,,Смена светильников при ремонте,,ГЭСНр 81-02-67-2020,По виду работ,,ГЭСНр 67-8,,,KSI140001939
,,FHA,,,,Снятие плафона или рассеивателя (при необходимости),,ГЭСНр 81-02-67-2020,,,,,,KSI140001940
,,FHB,,,,Снятие светильника,,ГЭСНр 81-02-67-2020,,,,,,KSI140001941
,,FHC,,,,Установка нового светильника,,ГЭСНр 81-02-67-2020,,,,,,KSI140001942
,,FHD,,,,Установка плафона или рассеивателя (при необходимости),,ГЭСНр 81-02-67-2020,,,,,,KSI140001943
,,FHE,,,,Проверка работы светильника,,ГЭСНр 81-02-67-2020,,,,,,KSI140001944
,FJ,,,,,Смена выключателей и розеток при ремонте,,ГЭСНр 81-02-67-2020,По виду работ,,ГЭСНр 67-9,,,KSI140001945
,,FJA,,,,Снятие выключателей или розеток с отсоединением их от проводов,,ГЭСНр 81-02-67-2020,,,,,,KSI140001946
,,FJB,,,,Установка новых выключателей или розеток с подсоединением проводов,,ГЭСНр 81-02-67-2020,,,,,,KSI140001947
,,FJC,,,,Проверка работы выключателей или розеток,,ГЭСНр 81-02-67-2020,,,,,,KSI140001948
,FK,,,,,Смена электросчетчиков при ремонте,,ГЭСНр 81-02-67-2020,По виду работ,,ГЭСНр 67-10,,,KSI140001949
,,FKA,,,,Отсоединение счетчика от сети,,ГЭСНр 81-02-67-2020,,,,,,KSI140001950
,,FKB,,,,Демонтаж старого счетчика,,ГЭСНр 81-02-67-2020,,,,,,KSI140001951
,,FKC,,,,Монтаж нового счетчика,,ГЭСНр 81-02-67-2020,,,,,,KSI140001952
,,FKD,,,,Опробование работы электросчетчика,,ГЭСНр 81-02-67-2020,,,,,,KSI140001953
,FL,,,,,Смена патронов осветительных приборов при ремонте,,ГЭСНр 81-02-67-2020,По виду работ,,ГЭСНр 67-11,,,KSI140001954
,,FLA,,,,Отсоединение жил проводов от зажимов в патроне,,ГЭСНр 81-02-67-2020,,,,,,KSI140001955
,,FLB,,,,Присоединение проводов к зажимам нового патрона,,ГЭСНр 81-02-67-2020,,,,,,KSI140001956
,,FLC,,,,Опробование работы патрона,,ГЭСНр 81-02-67-2020,,,,,,KSI140001957
,FM,,,,,Ремонт магнитных пускателей,,ГЭСНр 81-02-67-2020,По виду работ,,ГЭСНр 67-12,,,KSI140001958
,,FMA,,,,Очистка корпуса магнитного пускателя от грязи и пыли,,ГЭСНр 81-02-67-2020,,,,,,KSI140001959
,,FMB,,,,Снятие магнитного пускателя с отключением подсоединенных проводов,,ГЭСНр 81-02-67-2020,,,,,,KSI140001960
,,FMC,,,,Разборка магнитного пускателя,,ГЭСНр 81-02-67-2020,,,,,,KSI140001961
,,FMD,,,,Зачистка поверхностей сердечника и контактов,,ГЭСНр 81-02-67-2020,,,,,,KSI140001962
,,FME,,,,Сборка магнитного пускателя,,ГЭСНр 81-02-67-2020,,,,,,KSI140001963
,,FMF,,,,Проверка легкости хода подвижных частей,,ГЭСНр 81-02-67-2020,,,,,,KSI140001964
,FN,,,,,Ремонт групповых щитков на лестничной клетке без ремонта автоматов,,ГЭСНр 81-02-67-2020,По виду работ,,ГЭСНр 67-13,,,KSI140001965
,,FNA,,,,Очистка щитка от грязи и пыли,,ГЭСНр 81-02-67-2020,,,,,,KSI140001966
,,FNB,,,,Осмотр щитка,,ГЭСНр 81-02-67-2020,,,,,,KSI140001967
,,FNC,,,,Замена вышедших из строя элементов,,ГЭСНр 81-02-67-2020,,,,,,KSI140001968
,,FND,,,,Опробование работы щитка,,ГЭСНр 81-02-67-2020,,,,,,KSI140001969
,FP,,,,,Ремонт групповых щитков на лестничной клетке со сменой автоматов,,ГЭСНр 81-02-67-2020,По виду работ,,ГЭСНр 67-14,,,KSI140001970
,FQ,,,,,Ремонт силового предохранительного шкафа,,ГЭСНр 81-02-67-2020,По виду работ,,ГЭСНр 67-15,,,KSI140001971
,,FQA,,,,Очистка щита от грязи и пыли,,ГЭСНр 81-02-67-2020,,,,,,KSI140001972
,,FQB,,,,Осмотр щита,,ГЭСНр 81-02-67-2020,,,,,,KSI140001973
,,FQC,,,,Замена автоматического выключателя,,ГЭСНр 81-02-67-2020,,,,,,KSI140001974
,,FQD,,,,Замена силового электрического провода с изготовлением колец под клеммы,,ГЭСНр 81-02-67-2020,,,,,,KSI140001975
,,FQE,,,,Зачистка контактов,,ГЭСНр 81-02-67-2020,,,,,,KSI140001976
,,FQF,,,,Снятие старой платы с губками с отключением проводов,,ГЭСНр 81-02-67-2020,,,,,,KSI140001977
,,FQG,,,,Разметка и сверление отверстий при ремонте силового предохранительного шкафа,,ГЭСНр 81-02-67-2020,,,,,,KSI140001978
,,FQH,,,,Крепление губок к плате,,ГЭСНр 81-02-67-2020,,,,,,KSI140001979
,,FQJ,,,,Установка новой платы с губками с подключением проводов,,ГЭСНр 81-02-67-2020,,,,,,KSI140001980
,,FQK,,,,Проверка работы щита,,ГЭСНр 81-02-67-2020,,,,,,KSI140001981
G,,,,,,Дополнительные ремонтно-строительные работы при капитальном ремонте,,ГЭСНр 81-02-69-2020,По виду работ,,,,,KSI140001982
,GA,,,,,Пробивка вручную отверстий в кирпичных стенах для водогазопроводных труб,,ГЭСНр 81-02-69-2020,По виду работ,,ГЭСНр 69-1,,,KSI140001983
,,GAA,,,,Пробивка отверстий шлямбуром,,ГЭСНр 81-02-69-2020,,,,,,KSI140001984
,GB,,,,,Сверление отверстий при ремонте,,ГЭСНр 81-02-69-2020,По виду работ,,ГЭСНр 69-2,,,KSI140001985
,,GBA,,,,Разметка мест сверления,,ГЭСНр 81-02-69-2020,,,,,,KSI140001986
,,GBB,,,,Непосредственное сверление отверстий,,ГЭСНр 81-02-69-2020,,,,,,KSI140001987
,GC,,,,,Прорезка отверстий в деревянных конструкциях для водогазопроводных и чугунных трубопроводов при ремонте,,ГЭСНр 81-02-69-2020,По виду работ,,ГЭСНр 69-3,,,KSI140001988
,GD,,,,,Заделка отверстий в деревянных конструкциях после прокладки труб при ремонте,,ГЭСНр 81-02-69-2020,По виду работ,,ГЭСНр 69-4,,,KSI140001989
,,GDA,,,,Заделка отверстий в местах прохода трубопроводов,,ГЭСНр 81-02-69-2020,,,,,,KSI140001990
,,GDB,,,,Оштукатуривание мест прохода трубопроводов,,ГЭСНр 81-02-69-2020,,,,,,KSI140001991
,GE,,,,,Заделка гнезд на фасадах после разборки лесов при ремонте,,ГЭСНр 81-02-69-2020,По виду работ,,ГЭСНр 69-5,,,KSI140001992
,GF,,,,,Устройство и разборка деревянных неинвентарных лесов при ремонте,,ГЭСНр 81-02-69-2020,По виду работ,,ГЭСНр 69-6,,,KSI140001993
,,GFA,,,,Планировка места установки лесов и укладка подкладок,,ГЭСНр 81-02-69-2020,,,,,,KSI140001994
,,GFB,,,,Разметка и раскрой материалов для деревянных неинветарных лесов,,ГЭСНр 81-02-69-2020,,,,,,KSI140001995
,,GFC,,,,Изготовление сопряжений всех видов и элементов лесов,,ГЭСНр 81-02-69-2020,,,,,,KSI140001996
,,GFD,,,,Установка и сборка элементов лесов,,ГЭСНр 81-02-69-2020,,,,,,KSI140001997
,,GFE,,,,Закрепление лесов к стене,,ГЭСНр 81-02-69-2020,,,,,,KSI140001998
,,GFF,,,,Пробивка гнезд для крепления лесов,,ГЭСНр 81-02-69-2020,,,,,,KSI140001999
,,GFG,,,,Установка пробок и анкеров для крепления лесов,,ГЭСНр 81-02-69-2020,,,,,,KSI140002000
,,GFH,,,,Устройство настила из щитов через 2 м по высоте,,ГЭСНр 81-02-69-2020,,,,,,KSI140002001
,,GFJ,,,,Установка стремянок и ограждений,,ГЭСНр 81-02-69-2020,,,,,,KSI140002002
,,GFK,,,,Подъем элементов на необходимую высоту при помощи блока,,ГЭСНр 81-02-69-2020,,,,,,KSI140002003
,,GFL,,,,Разборка лесов с отноской материалов,,ГЭСНр 81-02-69-2020,,,,,,KSI140002004
,GG,,,,,"Устройство ходов, переходных мостиков на чердаке при ремонте",,ГЭСНр 81-02-69-2020,По виду работ,,ГЭСНр 69-7,,,KSI140002005
,,GGA,,,,"Укладка ходов из дощатых щитов с изготовлением их, по балкам чердачного перекрытия",,ГЭСНр 81-02-69-2020,,,,,,KSI140002006
,,GGB,,,,Изготовление и установка переходных мостиков из досок с перилами,,ГЭСНр 81-02-69-2020,,,,,,KSI140002007
,GH,,,,,Утепление трубопроводов в каналах и коробах при ремонте,,ГЭСНр 81-02-69-2020,По виду работ,,ГЭСНр 69-8,,,KSI140002008
,,GHA,,,,Заполнение канала или короба утепляющим материалом,,ГЭСНр 81-02-69-2020,,,,,,KSI140002009
,,GHB,,,,Послойное разравнивание и уплотнение материалов,,ГЭСНр 81-02-69-2020,,,,,,KSI140002010
,GJ,,,,,Очистка помещений от строительного мусора при ремонте,,ГЭСНр 81-02-69-2020,По виду работ,,ГЭСНр 69-9,,,KSI140002011
,,GJA,,,,Сгребание мусора в кучи и относка его,,ГЭСНр 81-02-69-2020,,,,,,KSI140002012
,,GJB,,,,Спуск мусора по желобу с откидкой его от желоба в сторону,,ГЭСНр 81-02-69-2020,,,,,,KSI140002013
,,GJC,,,,"Подметание пола со смачиванием, соскабливанием раствора",,ГЭСНр 81-02-69-2020,,,,,,KSI140002014
,GK,,,,,Антисептирование древесины при ремонте,,ГЭСНр 81-02-69-2020,,,ГЭСНр 69-10,,,KSI140002015
,,GKA,,,,Очистка и обработка поверхности древесины антисептиком,,ГЭСНр 81-02-69-2020,,,,,,KSI140002016
,GL,,,,,Механизированное приготовление растворов в построечных условиях при ремонте,,ГЭСНр 81-02-69-2020,По виду работ,,ГЭСНр 69-11,,,KSI140002017
,,GLA,,,,Загрузка растворосмесителя составляющими с дозировкой их и подноской вручную при ремонте,,ГЭСНр 81-02-69-2020,,,,,,KSI140002018
,,GLB,,,,Приготовление раствора в растворосмесителе при ремонте,,ГЭСНр 81-02-69-2020,,,,,,KSI140002019
,GM,,,,,Приготовление растворов вручную при ремонте,,ГЭСНр 81-02-69-2020,По виду работ,,ГЭСНр 69-12,,,KSI140002020
,,GMA,,,,Дозировка составляющих при приготовлении растворов вручную при ремонте,,ГЭСНр 81-02-69-2020,,,,,,KSI140002021
,,GMB,,,,Перемешивание песка или крошки с цементом при ремонте,,ГЭСНр 81-02-69-2020,,,,,,KSI140002022
,,GMC,,,,Приготовление цементного прыска или известкового молока при ремонте,,ГЭСНр 81-02-69-2020,,,,,,KSI140002023
,,GMD,,,,Затворение составляющих водой или известковым молоком при ремонте,,ГЭСНр 81-02-69-2020,,,,,,KSI140002024
,GN,,,,,Разогрев битумных материалов при ремонте,,ГЭСНр 81-02-69-2020,По виду работ,,ГЭСНр 69-13,,,KSI140002025
,,GNA,,,,Дозировка составляющих битумных материалов при ремонте,,ГЭСНр 81-02-69-2020,,,,,,KSI140002026
,,GNB,,,,Загрузка котла битумными материалами при ремонте,,ГЭСНр 81-02-69-2020,,,,,,KSI140002027
,,GNC,,,,Непосредственный разогрев битумных материалов при ремонте,,ГЭСНр 81-02-69-2020,,,,,,KSI140002028
,,GND,,,,Выдача готовых битумных материалов при ремонте,,ГЭСНр 81-02-69-2020,,,,,,KSI140002029
,,GNE,,,,Очистка котла после разогрева битумных материалов при ремонте,,ГЭСНр 81-02-69-2020,,,,,,KSI140002030
,GP,,,,,Приготовление силаксанового клея при ремонте,,ГЭСНр 81-02-69-2020,По виду работ,,ГЭСНр 69-14,,,KSI140002031
,,GPA,,,,Дозировка составляющих силаксанового клея при ремонте,,ГЭСНр 81-02-69-2020,,,,,,KSI140002032
,,GPB,,,,Затворение состава жидким стеклом при ремонте,,ГЭСНр 81-02-69-2020,,,,,,KSI140002033
,GQ,,,,,Ремонт отмостки,,ГЭСНр 81-02-69-2020,По виду работ,,ГЭСНр 69-16,,,KSI140002034
,,GQA,,,,Разборка асфальтобетонного (бетонного) покрытия отмостки при ремонте,,ГЭСНр 81-02-69-2020,,,,,,KSI140002035
,,GQB,,,,Погрузка разобранного покрытия отмостки при ремонте,,ГЭСНр 81-02-69-2020,,,,,,KSI140002036
,,GQC,,,,Перевозка щебня ручными тележками при ремонте,,ГЭСНр 81-02-69-2020,,,,,,KSI140002037
,,GQD,,,,Подсыпка щебня при ремонте,,ГЭСНр 81-02-69-2020,,,,,,KSI140002038
,,GQE,,,,Асфальтирование (бетонирование) отмостки при ремонте,,ГЭСНр 81-02-69-2020,,,,,,KSI140002039
,,GQF,,,,Разборка опалубки после бетонирования отмостки при ремонте,,ГЭСНр 81-02-69-2020,,,,,,KSI140002040
,GR,,,,,Ремонт подкрановых путей мостовых кранов,,ГЭСНр 81-02-69-2020,По виду работ,,ГЭСНр 69-17,,,KSI140002041
,,GRA,,,,Визуальный осмотр подкрановых путей мостовых кранов при ремонте,,ГЭСНр 81-02-69-2020,,,,,,KSI140002042
,,GRB,,,,"Снятие болтов, гаек, шайб подкрановых путей мостовых кранов при ремонте",,ГЭСНр 81-02-69-2020,,,,,,KSI140002043
,,GRC,,,,"Зачистка отверстий после снятия болтов, гаек, шайб подкрановых путей мостовых кранов при ремонте",,ГЭСНр 81-02-69-2020,,,,,,KSI140002044
,,GRD,,,,Установка болтов подкрановых путей мостовых кранов при ремонте,,ГЭСНр 81-02-69-2020,,,,,,KSI140002045
,,GRE,,,,Затяжка болтов подкрановых путей мостовых кранов до проектного усилия при ремонте,,ГЭСНр 81-02-69-2020,,,,,,KSI140002046
,,GRF,,,,Установка рельса подкрановых путей мостовых кранов в проектное положение при ремонте,,ГЭСНр 81-02-69-2020,,,,,,KSI140002047
,,GRG,,,,Установка подкрановой балки подкрановых путей мостовых кранов в проектное положение при ремонте,,ГЭСНр 81-02-69-2020,,,,,,KSI140002048
,,GRH,,,,Срезка упорной планки подкрановых путей мостовых кранов при ремонте,,ГЭСНр 81-02-69-2020,,,,,,KSI140002049
,,GRJ,,,,Очистка поверхности при ремонте подкрановых путей мостовых кранов при ремонте,,ГЭСНр 81-02-69-2020,,,,,,KSI140002050
,,GRK,,,,Установка новой упорной планки при ремонте подкрановых путей мостовых кранов,,ГЭСНр 81-02-69-2020,,,,,,KSI140002051
,,GRL,,,,Установка и закрепление прижимной планки при помощи болтов,,ГЭСНр 81-02-69-2020,,,,,,KSI140002052
,,GRM,,,,Приварка прижимной планки к упорной планке при ремонте подкрановых путей мостовых кранов,,ГЭСНр 81-02-69-2020,,,,,,KSI140002053
,,GRN,,,,Срезка сварных швов узла крепления подкрановой балки к опорной конструкции при ремонте подкрановых путей мостовых кранов,,ГЭСНр 81-02-69-2020,,,,,,KSI140002054
,,GRP,,,,Обработка мест сварки электрошлифовальной машиной при ремонте подкрановых путей мостовых кранов,,ГЭСНр 81-02-69-2020,,,,,,KSI140002055
,,GRQ,,,,Устройство нового сварного соединения узла крепления подкрановой балки к опорной конструкции при ремонте подкрановых путей мостовых кранов,,ГЭСНр 81-02-69-2020,,,,,,KSI140002056
,,GRR,,,,Разборка бетона на глубину анкера вручную подкрановых путей мостовых кранов при ремонте подкрановых путей мостовых кранов,,ГЭСНр 81-02-69-2020,,,,,,KSI140002057
,,GRS,,,,Извлечение анкера подкрановых путей мостовых кранов при ремонте подкрановых путей мостовых кранов,,ГЭСНр 81-02-69-2020,,,,,,KSI140002058
,,GRT,,,,Подготовка поверхности под установку нового анкера подкрановых путей мостовых кранов,,ГЭСНр 81-02-69-2020,,,,,,KSI140002059
,,GRU,,,,Установка анкеров подкрановых путей мостовых кранов при ремонте подкрановых путей мостовых кранов,,ГЭСНр 81-02-69-2020,,,,,,KSI140002060
,,GRV,,,,Подливка смеси под устанавливаемый анкер подкрановых путей мостовых кранов с одновременным разравниванием при ремонте подкрановых путей мостовых кранов,,ГЭСНр 81-02-69-2020,,,,,,KSI140002061
,,GRW,,,,Срезка поврежденного заземления подкрановых путей мостовых кранов при ремонте подкрановых путей мостовых кранов,,ГЭСНр 81-02-69-2020,,,,,,KSI140002062
,,GRX,,,,Приварка нового заземления подкрановых путей мостовых кранов при ремонте подкрановых путей мостовых кранов,,ГЭСНр 81-02-69-2020,,,,,,KSI140002063
,GS,,,,,Ремонт подкрановых путей козловых кранов,,ГЭСНр 81-02-69-2020,По виду работ,,ГЭСНр 69-18,,,KSI140002064
,,GSA,,,,Визуальный осмотр подкрановых путей козловых кранов при ремонте,,ГЭСНр 81-02-69-2020,,,,,,KSI140002065
,,GSB,,,,"Снятие болтов, гаек, шайб подкрановых путей козловых кранов при ремонте",,ГЭСНр 81-02-69-2020,,,,,,KSI140002066
,,GSC,,,,"Зачистка отверстий, включая снятие кровельного покрытия подкрановых путей козловых кранов при ремонте",,ГЭСНр 81-02-69-2020,,,,,,KSI140002067
,,GSD,,,,Установка болтов подкрановых путей козловых кранов при ремонте,,ГЭСНр 81-02-69-2020,,,,,,KSI140002068
,,GSE,,,,Затяжка болтов подкрановых путей козловых кранов до проектного усилия при ремонте,,ГЭСНр 81-02-69-2020,,,,,,KSI140002069
,,GSF,,,,Ослабление болтов подкрановых путей козловых кранов при ремонте,,ГЭСНр 81-02-69-2020,,,,,,KSI140002070
,,GSG,,,,"Установка рельса подкрановых путей козловых кранов в проектное положение, включая выверку стыковочного шва при ремонте",,ГЭСНр 81-02-69-2020,,,,,,KSI140002071
,,GSH,,,,Срезка шва крепления прижимной и упорной планки подкрановых путей козловых кранов,,ГЭСНр 81-02-69-2020,,,,,,KSI140002072
,,GSJ,,,,Снятие планок и очистка поверхности подкрановых путей козловых кранов при ремонте,,ГЭСНр 81-02-69-2020,,,,,,KSI140002073
,,GSK,,,,Установка новой упорной планки подкрановых путей козловых кранов при ремонте,,ГЭСНр 81-02-69-2020,,,,,,KSI140002074
,,GSL,,,,Установка и закрепление прижимной планки подкрановых путей козловых кранов при помощи болтов при ремонте,,ГЭСНр 81-02-69-2020,,,,,,KSI140002075
,,GSM,,,,Приварка прижимной планки к упорной планке подкрановых путей козловых кранов при ремонте,,ГЭСНр 81-02-69-2020,,,,,,KSI140002076
,,GSN,,,,Срезка поврежденного заземления подкрановых путей козловых кранов при ремонте,,ГЭСНр 81-02-69-2020,,,,,,KSI140002077
,,GSP,,,,Приварка нового заземления подкрановых путей козловых кранов при ремонте,,ГЭСНр 81-02-69-2020,,,,,,KSI140002078
,GT,,,,,Разборка бетонных и железобетонных конструкций при помощи отбойных молотков при ремонте,,ГЭСНр 81-02-69-2020,По виду работ,,ГЭСНр 69-19,,,KSI140002079
,,GTA,,,,Подготовка участка работ для разборки бетонных и железобетонных конструкций при помощи отбойных молотков,,ГЭСНр 81-02-69-2020,,,,,,KSI140002080
,,GTB,,,,Приведение отбойных молотков в рабочее положение для разборки бетонных и железобетонных конструкций при помощи отбойных молотков,,ГЭСНр 81-02-69-2020,,,,,,KSI140002081
,,GTC,,,,Разборка бетонных конструкций при помощи отбойных молотков,,ГЭСНр 81-02-69-2020,,,,,,KSI140002082
,,GTD,,,,Уборка мусора после разборки бетонных и железобетонных конструкций при помощи отбойных молотков,,ГЭСНр 81-02-69-2020,,,,,,KSI140002083
,,GTE,,,,Разборка железобетонных конструкций при помощи отбойных молотков,,ГЭСНр 81-02-69-2020,,,,,,KSI140002084
,,GTF,,,,Резка арматуры в процессе разборки бетонных и железобетонных конструкций при помощи отбойных молотков,,ГЭСНр 81-02-69-2020,,,,,,KSI140002085
,GU,,,,,Ремонт запани,,ГЭСНр 81-02-69-2020,По виду работ,,ГЭСНр 69-50,,,KSI140002086
,,GUA,,,,Размотка троса с бухты при ремонте запани,,ГЭСНр 81-02-69-2020,,,,,,KSI140002087
,,GUB,,,,Резка стального троса при ремонте запани,,ГЭСНр 81-02-69-2020,,,,,,KSI140002088
,,GUC,,,,Демонтаж хомутов при ремонте запани,,ГЭСНр 81-02-69-2020,,,,,,KSI140002089
,,GUD,,,,Демонтаж изношенного стального троса при ремонте запани,,ГЭСНр 81-02-69-2020,,,,,,KSI140002090
,,GUE,,,,Монтаж хомутов при ремонте запани,,ГЭСНр 81-02-69-2020,,,,,,KSI140002091
,,GUF,,,,Демонтаж прижимных планок при ремонте запани,,ГЭСНр 81-02-69-2020,,,,,,KSI140002092
,,GUG,,,,Демонтаж ниток изношенного лежневого троса при ремонте запани,,ГЭСНр 81-02-69-2020,,,,,,KSI140002093
,,GUH,,,,Монтаж ниток лежневого троса при ремонте запани,,ГЭСНр 81-02-69-2020,,,,,,KSI140002094
,,GUJ,,,,Монтаж прижимных планок при ремонте запани,,ГЭСНр 81-02-69-2020,,,,,,KSI140002095
,,GUK,,,,Снятие монтажного троса при ремонте запани,,ГЭСНр 81-02-69-2020,,,,,,KSI140002096
,,GUL,,,,Подъем понтона из воды при ремонте запани,,ГЭСНр 81-02-69-2020,,,,,,KSI140002097
,,GUM,,,,Демонтаж неисправного бракета понтона при ремонте запани,,ГЭСНр 81-02-69-2020,,,,,,KSI140002098
,,GUN,,,,Установка и приварка нового бракета при ремонте запани,,ГЭСНр 81-02-69-2020,,,,,,KSI140002099
,,GUP,,,,Опускание понтона на воду при ремонте запани,,ГЭСНр 81-02-69-2020,,,,,,KSI140002100
,,GUQ,,,,Укладка монтажного троса при ремонте запани,,ГЭСНр 81-02-69-2020,,,,,,KSI140002101
,,GUR,,,,Сушка понтона при ремонте запани,,ГЭСНр 81-02-69-2020,,,,,,KSI140002102
,,GUS,,,,Очистка поверхности понтона от ржавчины при ремонте запани,,ГЭСНр 81-02-69-2020,,,,,,KSI140002103
,,GUT,,,,Окраска поверхности понтона при ремонте запани,,ГЭСНр 81-02-69-2020,,,,,,KSI140002104
,,GUU,,,,Снятие изношенного болтового соединения при ремонте запани,,ГЭСНр 81-02-69-2020,,,,,,KSI140002105
,,GUV,,,,Установка новых болтовых при ремонте запани,,ГЭСНр 81-02-69-2020,,,,,,KSI140002106
,,GUW,,,,Установка новой прижимной планки при ремонте запани,,ГЭСНр 81-02-69-2020,,,,,,KSI140002107
H,,,,,,Капитальный ремонт оборудования,,"ГЭСНмр 81-06-01-2020
ГЭСНмр 81-06-02-2020",По виду работ,,"ГЭСНмр 81-06-01-2020
ГЭСНмр 81-06-02-2020",,,KSI140002108
,HA,,,,,"Определение состояния оборудования, включая устройства безопасности при ремонте оборудования",,"ГЭСНмр 81-06-01-2020
ГЭСНмр 81-06-02-2020",По виду работ,,ГЭСНмр 01-05-001,,,KSI140002109
,,HAA,,,,"Выявление дефектов, неисправностей, степени износа и коррозии при ремонте оборудования",,"ГЭСНмр 81-06-01-2020
ГЭСНмр 81-06-02-2020",,,ГЭСНмр 01-05-001,,,KSI140002110
