Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,"Код по классификатору ОАО ""РЖД""",Примеры,Примечания,Синонимы,УИН
,CJ,,,,Комплексы ОКС промышленности пластмасс и синтетических смол,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000123
,,CJA,,,Комплекс объектов производства синтетических смол и пластических масс,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000124
,,CJB,,,Комплекс объектов роизводства полуфабрикатов из синтетических смол и пластических масс,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000125
,CK,,,,Комплексы ОКС целлюлозно-бумажной промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000127
,,CKD,,,Комплекс объектов побочных продуктов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000128
,,CKE,,,"Комплекс объектов макулатурной массы, хлопковой и тряпичной полумассы",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000129
,,CKH,,,Комплекс объектов по производству бумаги и картона,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000130
,,CKJ,,,Комплекс объектов производства полуфабрикатов целлюлозно-бумажной промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000131
,,CKK,,,Комплекс объектов производства целлюлозы и полуцеллюлозы,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000132
,CL,,,,Комплексы ОКС промышленности химических волокон,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000134
,,CLA,,,Комплекс объектов производства компонентов химических волокон и нитей,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000135
,,CLB,,,Комплекс объектов производства химических волокон и нитей,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000136
,CM,,,,Комплексы ОКС вспомогательной инфраструктуры химической промышленности,,,По виду комплекса ОКС,,,,,KSI020000622
,,CMA,,,Комплекс вспомогательных объектов производства синтетических смол и пластических масс,,,,,,,,KSI020000623
,,CMB,,,Комплекс вспомогательных объектов химического производства и удобрений,,,,,,,,KSI020000624
,,CMC,,,Комплекс объектов абсорбции и улавливания газов при производстве удобрений и ином химическом производстве,,,,,,,,KSI020000625
,,CMD,,,Комплекс обеспечивающих объектов производства химической промышленности,,,,,,,,KSI020000626
,,CME,,,Комплекс вспомогательных объектов коксохимической и нефтеперерабатывающей промышленности,,,,,,,,KSI020000627
,CN,,,,Комплексы ОКС производства промышленных газов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000154
,,CNA,,,Комплекс объектов получения и переработки газов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000155
,,CNL,,,Комплекс объектов кислородной промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000156
,,CNM,,,Комплекс объектов получения инертного газа,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000157
,CQ,,,,Комплексы ОКС нефтеперерабатывающей и нефтехимической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000497
,,CQA,,,Комплекс объектов предприятий переработки нефти,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000498
,,CQB,,,Комплекс объектов производства нефтепродуктов и продуктов нефтехимического синтеза,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000499
D,,,,,Комплексы ОКС энергетики,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000164
,DA,,,,Комплексы ОКС атомной энергетики,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000165
,,DAA,,,Комплекс объектов атомной электростанции,"Электростанция, преобразующая энергию деления ядер атомов в электрическую энергию или в электрическую энергию и тепло","
 Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ 19431-84",,,,,,KSI020000166
,DB,,,,Комплексы ОКС гидроэнергетики,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000170
,,DBA,,,Комплекс объектов гидроэлектростанции,"Электростанция, преобразующая механическую энергию воды в электрическую энергию","
 Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ 19431-84",,,,,,KSI020000171
,DC,,,,Комплексы ОКС теплоэнергетики,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000174
,,DCA,,,Комплекс объектов теплоэлектростанции,,"
 Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ 19431-84",,,,,,KSI020000175
,DD,,,,Комплексы ОКС прочей энергетики,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000500
,,DDA,,,Комплекс объектов электрических станций на возобновляемых источниках энергии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000501
,,DDB,,,Комплекс объектов электрических станций на невозобновляемых источниках энергии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000502
,DH,,,,Комплексы ОКС обеспечивающей и вспомогательной инфраструктуры энергетики,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000178
,,DHA,,,Комплекс вспомогательных объектов энергетики,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000179
,,DHB,,,Комплекс объектов передачи электроэнергии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000180
,,DHC,,,Комплекс объектов промышленности ядерного топлива,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000503
E,,,,,Комплексы ОКС инженерных сетей и объектов инфраструктуры,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000191
,EA,,,,Комплексы ОКС инженерных сетей ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000192
,,EAA,,,Комплекс объектов сети теплоснабжения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000193
,,EAB,,,Комплекс объектов сети водоотведения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000194
,,EAC,,,Комплекс объектов электрической сети,," Приказ Минстроя России от 02.11.2022 N 928/пр 
ОСТ 108.030.128-78",,,,,,KSI020000195
,,EAD,,,Комплекс объектов сети водоснабжения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000196
,,EAE,,,"Комплекс объектов слаботочных сетей (сети связи, видеонаблюдения, пожарной сигнализации и др.)",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000504
,,EAF,,,Комплекс объектов сети газоснабжения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000505
,,EAG,,,Комплекс объектов сетей кондиционирования и вентиляции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000506
,,EAH,,,Комплекс объектов сетей пожаротушения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000507
,,EAJ,,,Комплекс объектов объединяющих несколько видов инженерных сетей,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000508
,,EAK,,,Комплекс объектов прочих видов инженерных сетей,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000509
,EB,,,,Комплексы ОКС гидротехнических сооружений и сооружений для защиты населения и территорий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000197
,,EBA,,,Комплекс гидротехнических объектов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000198
,,EBB,,,Комплекс объектов защиты населения и территорий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000199
F,,,,,Комплексы ОКС производства готовых изделий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000210
,FA,,,,Комплексы ОКС лёгкой промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000211
,,FAA,,,"Комплекс объектов производства ткани, кожи",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000212
,,FAB,,,Комплекс объектов производства обуви,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000213
,,FAC,,,Комплекс объектов производства одежды,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000510
,,FAD,,,Комплекс объектов производства сопутствующей продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000511
,FB,,,,Комплексы ОКС промышленности готовых изделий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000214
,,FBA,,,Комплекс объектов производства товаров для личных бытовых нужд и профессиональной деятельности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000215
,,FBB,,,Комплекс объектов производства ювелирных изделий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000216
,,FBC,,,"Комплекс объектов производства изделий из бумаги, картона",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000512
,,FBD,,,Комплекс объектов производства изделий из дерева,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000513
,,FBE,,,Комплекс объектов производства мебели,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000514
,,FBF,,,Комплекс объектов промышленности другой неметаллической минеральной продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000515
,,FBG,,,Комплекс объектов производства изделий из резины и пластмассы,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000516
,,FBH,,,Комплекс объектов производства изделий из стекла,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000517
,FC,,,,Комплексы ОКС промышленности готовых металлических изделий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000217
,,FCA,,,Комплекс объектов производства металлических изделий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000218
,,FCB,,,Комплекс объектов производства обычных вооружений,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000219
,,FCС,,,"Комплекс объектов производства оружия, создаваемого на основе ядерных оружейных технологий, и его составных частей",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000518
,,FCD,,,"Комплекс объектов роизводства металлических цистерн, резервуаров и прочих емкостей",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000519
,FD,,,,Комплексы ОКС медико-инструментальной промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000520
,,FDA,,,"Комплекс объектов производства материалов и изделий, применяемых в медицинских целях",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000521
,,FDB,,,Комплекс объектов производства медицинских изделий из стекла,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000522
,,FDC,,,"Комплекс объектов производства медицинских инструментов, приборов",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000523
,FF,,,,Комплексы ОКС вспомогательной инфраструктуры отрасли производство готовых изделий,,,По виду комплекса ОКС,,,,,KSI020000628
,,FFA,,,Комплекс вспомогательных объектов легкой промышленности,,,,,,,,KSI020000629
,,FFB,,,Комплекс вспомогательных объектов промышленности готовых металлических изделий,,,,,,,,KSI020000630
,,FFC,,,Комплекс вспомогательных объектов промышленности готовых изделий,,,,,,,,KSI020000631
,,FFD,,,Комплекс вспомогательных объектов радиоэлектронной и электротехнической промышленности,,,,,,,,KSI020000632
,,FFE,,,Комплекс вспомогательных объектов медико-инструментальной промышленности,,,,,,,,KSI020000633
,FE,,,,Комплексы ОКС промышленности радиоэлектронных и электротехнических изделий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000524
,,FEA,,,Комплекс объектов производства источников питания,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000525
,,FEB,,,Комплекс объектов производства и сборки средств электронно-вычислительной техники,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000526
,,FEC,,,Комплекс объектов производства облучающих аппаратов и электронных ламп,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000527
,,FED,,,"Комплекс объектов производства оптических приборов, устройств и оборудования",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000528
,,FEE,,,"Комплекс объектов производства электрических ламп, осветительного оборудования и светотехнических изделий",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000529
,,FEF,,,Комплекс объектов кабельного производства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000530
,,FEG,,,"Комплекс объектов производства электродвигателей, электрогенераторов и трансформаторов",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000531
,,FEH,,,Комплекс объектов производства электроники и электрооборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000532
,,FEJ,,,"Комплекс объектов производства конденсаторов, полупроводниковых компонентов и электроугольных изделий",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000533
,,FEK,,,Комплекс объектов производства электроизоляционных материалов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000534
