Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по ГЭСН,Примечания,Синонимы,УИН
,,CBB,,,Резка арматуры бетонных и железобетонных перекрытий,,ГЭСН 81-02-46-2022,,,,,,KSI130000161
,CC,,,,Разборка бетонных и железобетонных конструкций при помощи отбойных молотков,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-04-003,,,KSI130000162
,,CCA,,,Разборка бетонных конструкций,,ГЭСН 81-02-46-2022,,,,,,KSI130000163
,,CCB,,,Разборка железобетонных конструкций,,ГЭСН 81-02-46-2022,,,,,,KSI130000164
,,CCC,,,Резка арматуры бетонных и железобетонных конструкций,,ГЭСН 81-02-46-2022,,,,,,KSI130000165
,CD,,,,Выбивка сборных железобетонных колонн при увеличении шага колонн в действующих цехах промышленных зданий,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-04-004,,,KSI130000166
,,CDA,,,Установка тупиков на подкрановых путях при выбивке сборных железобетонных колонн при увеличении шага колонн в действующих цехах промышленных зданий,,ГЭСН 81-02-46-2022,,,,,,KSI130000167
,,CDB,,,Установка направляющих металлоконструкций,,ГЭСН 81-02-46-2022,,,,,,KSI130000168
,,CDC,,,Установка временных приспособлений для демонтажа,,ГЭСН 81-02-46-2022,,,,,,KSI130000169
,,CDD,,,Выбивка бетона на всех ветвях колонны,,ГЭСН 81-02-46-2022,,,,,,KSI130000170
,,CDE,,,Резка арматуры при выбивке сборных железобетонных колонн при увеличении шага колонн в действующих цехах промышленных зданий,,ГЭСН 81-02-46-2022,,,,,,KSI130000171
,,CDF,,,Демонтаж временных приспособлений после выбивки сборных железобетонных колонн при увеличении шага колонн в действующих цехах промышленных зданий,,ГЭСН 81-02-46-2022,,,,,,KSI130000172
,CE,,,,Разборка монолитных перегородок,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-04-005,,,KSI130000173
,,CEA,,,Разборка монолитных перегородок общая,,ГЭСН 81-02-46-2022,,,,,,KSI130000174
,,CEB,,,Резка арматуры монолитных перегородок,,ГЭСН 81-02-46-2022,,,,,,KSI130000175
,CF,,,,Разборка деревянных перегородок,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-04-006,,,KSI130000176
,,CFA,,,Разборка деревянных перегородок со снятием креплений,,ГЭСН 81-02-46-2022,,,,,,KSI130000177
,,CFB,,,Отбивка штукатурки деревянных перегородок,,ГЭСН 81-02-46-2022,,,,,,KSI130000178
,CG,,,,Разборка деревянных элементов перекрытий и покрытий,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-04-007,,,KSI130000179
,,CGA,,,"Разборка засыпок, смазок и изоляционных прокладок деревянных элементов перекрытий и покрытий",,ГЭСН 81-02-46-2022,,,,,,KSI130000180
,,CGB,,,Отбивка штукатурки деревянных элементов перекрытий и покрытий,,ГЭСН 81-02-46-2022,,,,,,KSI130000181
,,CGC,,,"Разборка балок, накатов и подшивок деревянных элементов перекрытий и покрытий",,ГЭСН 81-02-46-2022,,,,,,KSI130000182
,,CGD,,,"Разборка прогонов, защитного и рабочего настилов при разборке деревянных элементов перекрытий и покрытий",,ГЭСН 81-02-46-2022,,,,,,KSI130000183
,,CGE,,,Разборка потолка с отвинчиванием шурупов и снятием болтов с несущих балок и деревянных направляющих брусков,,ГЭСН 81-02-46-2022,,,,,,KSI130000184
,,CGF,,,Разборка плит со сдвижкой их по направляющим и срезка алюминиевых гребенок с направляющими,,ГЭСН 81-02-46-2022,,,,,,KSI130000185
,,CGG,,,Снятие подвесок со скобами с резкой несущих уголков и разбалчиванием,,ГЭСН 81-02-46-2022,,,,,,KSI130000186
,CH,,,,Разборка покрытий кровель,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-04-008,,,KSI130000187
,,CHA,,,Снятие материала покрытия кровли,,ГЭСН 81-02-46-2022,,,,,,KSI130000188
,,CHB,,,"Скатывание рулонных материалов, полученных от разборки покрытий кровель",,ГЭСН 81-02-46-2022,,,,,,KSI130000189
,CJ,,,,Разборка бетонных оснований под полы,,ГЭСН 81-02-46-2022,,,ГЭСН 46-04-009,,,KSI130000190
,CK,,,,Разборка покрытий полов,,ГЭСН 81-02-46-2022,,,ГЭСН 46-04-010,,,KSI130000191
