Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Код соответствующего ОКС по классификатору МССК,"Код соответствующего ОКС по КТИМ ОАО ""РЖД""",Примечания,Синонимы
,,HGE,,,Линейная часть магистрального трубопровода,"Объект магистрального трубопровода, предназначенный для перемещения транспортируемых нефти/нефтепродуктов, включающий собственно трубопровод, вдольтрассовые линии электропередачи, кабельные линии и сооружения связи, устройства электрохимической защиты от коррозии и иные сооружения и технические устройства, обеспечивающие его эксплуатацию.",ГОСТ Р 57512-2017,,,04.07.002.006,,,,
,HH,,,,Объекты магистральных трубопроводов для транспортирования аммиака и других сред,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,04.07.003.,,,,
,,HHA,,,"Сооружение насосной станции, объектов приемо-сдаточной инфраструктуры и сопутствующих объектов трубопроводов для транспортирования аммиака и других сред","Объект магистрального нефтепровода [нефтепродуктопровода], предназначенный для создания и поддержания рабочего давления в линейной части магистрального нефтепровода [нефтепродуктопровода]"," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ 34182-2017",,"Сооружение замерного устройства магистрального трубопровода для транспортирования аммиака и других сред
Сооружение нагнетательной станции магистрального трубопровода для транспортирования аммиака и других сред
Сооружение наливного устройства магистрального трубопровода для транспортирования аммиака и других сред","04.09.002.007 
04.09.002.008 
04.07.003.002 ",,,,
,,HHB,,,Сооружение трубопровода для транспортировки аммиака и других сред,"Сооружение, состоящее из плотно соединенных между собой труб, деталей, запорно-регулирующей аппаратуры, контрольно-измерительных приборов, средств автоматики, опор, подвесок, крепежных деталей, прокладок, материалов и деталей тепловой изоляции и противокоррозионной защиты и предназначенное для транспортирования под воздействием разницы давлений в поперечных сечениях трубы газообразных и жидких веществ, а также твердого топлива и иных твердых веществ в виде раствора"," Приказ Минстроя России от 02.11.2022 N 928/пр 
СТО НОСТРОЙ 2.23.85-2013",,"Противоэрозионное, защитное сооружение магистрального трубопровода для транспортирования аммиака и других сред
Сооружение автоматизации и телемеханизации, электроснабжения, технологической связи, ЭХЗ магистрального трубопровода для транспортирования аммиака и других сред
Сооружение перехода через естественные и искусственные препятствия магистрального трубопровода для транспортирования аммиака и других сред (воздушные - балочные и вантовые, подземные - траншейные, ННБ, в микротоннелях и т.д.)","04.09.002.004 
04.09.002.007 
04.09.002.003 ",,,,
,HJ,,,,"Объекты магистральных трубопроводов СУГ, СПГ, нестабильного конденсата и нестабильного бензина, нефтяного газа и других сжиженных углеводородов (ШФЛУ)",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,04.07.003.,,,,
,,HJA,,,"Насосная станция, объекты приемо-сдаточная инфраструктура и сопутствующие объекты трубопроводов СУГ, СНГ и пр.","Объект магистрального трубопровода сжиженных углеводородных газов, включающий в себя комплекс зданий, сооружений и устройств для приема, накопления, учета и перекачки сжиженных углеводородных газов по магистральному трубопроводу."," Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 36.13330.2012",,"Сооружение замерного устройства магистрального трубопровода СУГ, СПГ и пр.
Сооружение узла пуска-приема средств очистки и диагностики магистрального трубопровода СУГ, СПГ и пр.
Сооружение резервуара, резервуарного парка магистрального трубопровода СУГ, СПГ и пр.","04.09.002.007 
04.09.002.005 
04.09.002.006 ",,,,
,,HJB,,,"Сооружение трубопровода СУГ, СПГ и пр.","Сооружение, состоящее из плотно соединенных между собой труб, деталей, запорно-регулирующей аппаратуры, контрольно-измерительных приборов, средств автоматики, опор, подвесок, крепежных деталей, прокладок, материалов и деталей тепловой изоляции и противокоррозионной защиты и предназначенное для транспортирования под воздействием разницы давлений в поперечных сечениях трубы газообразных и жидких веществ, а также твердого топлива и иных твердых веществ в виде раствора"," Приказ Минстроя России от 02.11.2022 N 928/пр 
СТО НОСТРОЙ 2.23.85-2013",,"Противоэрозионное, защитное сооружение магистрального трубопровода СУГ, СПГ и пр
Сооружение автоматизации и телемеханизации, электроснабжения, технологической связи, ЭХЗ магистрального трубопровода СУГ, СПГ и пр
Сооружение перехода через естественные и искусственные препятствия магистрального трубопровода СУГ, СПГ и пр. (воздушные - балочные и вантовые, подземные - траншейные, ННБ, в микротоннелях и т.д.)",04.07.003.003,,,,
,HK,,,,Объекты метрополитена,," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду ОКС,,04.05.002.,ВН ЛО 10 30,,,
,,HKA,,,Сооружение перегонного тоннеля,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Сооружение камеры съездов в однопутном тоннеле
Сооружение перегонного тоннеля метрополитена
Сооружение перегонного тоннеля с гидропригрузом",04.05.002.001,,,,
,,HKB,,,Здание (сооружение) станции метрополитена,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание наземного станционного комплекса без эскалаторов метрополитена
Сооружение лестничного входа в пешеходный тоннель метрополитена (односторонний)
Сооружение наклонного (эскалаторного) тоннеля метрополитена","04.05.002.002 
04 09 001 003 ",,,,
,,HKC,,,Здание (сооружение) электродепо метрополитена,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание для отстоя, технического обслуживания и ремонта внутридеповского транспорта аварийно­восстановительных служб метрополитена
Здание цеха ночного отстоя отстойно­ремонтного корпуса метрополитена
Здание эксплуатационного персонала служб метрополитена",04.05.002.003,,,,
,HL,,,,"Системы перевозок, в том числе внеуличный транспорт",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,,,,,
,,HLA,,,Сооружение грузовой канатной дороги,"сооружения и устройства промышленного канатного подвесного транспорта, предназначенный для перевозки грузов от пункта погрузки к пункту выгрузки", Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Грузовые подвесные канатные дороги с реверсивным (маятниковым) движением подвижного состава одноканатные или двухканатные)
Двухканатные кольцевые подвесные канатные дороги с отцепляемым на станциях подвижным составом
Одноканатные кольцевые грузовые подвесные канатные дороги (с отцепляемым или неотцепляемым на станциях подвижным составом)",04.05.003.001,,,Синтезированное определени,
,,HLB,,,Сооружение пассажирской канатной дороги,"Сооружение дороги, использующей транспортные средства, подвешенные к канату, расположенному на опорах выше уровня поверхности земли"," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Буксировочная канатная дорога (БКД)
Комбинированная канатная дорога (ККД)
Пассажирская подвесная канатная дорога с кольцевым движением (с использованием кабин и (или) кресел)
Пассажирская подвесная маятниковая канатная дорога",04.05.003.001,ВН ЛО 10 60 10,,Синтезированное определение,Канатная дорога
,,HLC,,,Сооружение рельсового транспорта,," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Монорельсовая дорога
Фуникулёр грузовой
Фуникулер пассажирский",04.05.003.002,"ВН ЛО 10 40
ВН ЛО 10 60 20",,,"Монорельс
Фуникулер"
,HM,,,,Транспортные проходы и переходы,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,04.06.,,,,
,,HMA,,,Мостовое сооружение,"Дорожное инженерное сооружение, состоящее из одного или нескольких пролетных строений и опор, прокладывающее транспортный или пешеходный путь над препятствиями в виде водотоков, водоемов, каналов, горных ущелий, городских улиц, железных и автомобильных дорог, трубопроводов и коммуникаций различного назначения"," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ Р 53627-2009
ГОСТ 33384-2015
СП 35.13330",,"Автодорожный мост
Городской мост
Мост вантовый
Путепровод
Эстакада","04.06.001.001
04.06.001.002 
04.06.001.005 ",,,,
,,,HMAA,,Мост,Мостовое сооружение через водное препятствие," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ 33384-2015
СП 35.13330.2011
ГОСТ Р 70072-2022
ГОСТ 33178-2014",,"Пешеходный мост
Городской мост
Автодорожный мост
Мост подвесной
Мост железнодорожный
Мост вантовый
Виадук
Разводной мост
Трамвайный мост","04.06.001.001 
04.06.001.004 
04.06.001.007 
04.06.001.003 
04.06.001.009 ",,,,
,,,,HMAA010,Автодорожный мост,"Мост на автомобильных дорогах, предназначенный для движения по нему транспортных средств","ГОСТ 33178-2014
СП 35.13330.2011
ГОСТ 33178-2014",,,04.06.001.001,,,определение синтезировано,
,,,,HMAA020,Трамвайный мост ,"Мосты, на которых расположены трамвайные пути","СП 18.13330.2019
СП 35.13330.2011",,,04.06.001.009,,,определение синтезировано,
,,,,HMAA030,Железнодорожный мост,"Мосты, на которых расположены пути железной дороги"," Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 35.13330.2011",,,04.06.001.004,,,определение синтезировано,
,,,,HMAA040,Метромост,"Мосты, на которых расположены пути метрополитена",СП 120.13330.2012 ,,,04.06.001.004,,,определение синтезировано,
,,,,HMAA050,Пешеходный мост,"Мост, предназначенный в основном для движения пешеходов"," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ 33178-2014",,,04.06.001.007,,,,
,,,,HMAA060,Городской мост,"Мост, являющийся частью уличной сети городов"," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ 33178-2014",,,04.06.001.001,,,,
,,,,HMAA070,Совмещенный мост,"Мост, предназначенный для совмещенного движения автомобильного и рельсового транспорта (железнодорожного, трамвайного, поездов метрополитена)",ГОСТ 33178-2014,,,04.06.001.009,,,,
,,,,HMAA080,Разводной мост,Мост с перемещающимися пролетными строениями для пропуска судов," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ 33178-2014",,,04.06.001.001,,,,
,,,HMAB,,Мостовой переход,"Комплекс сооружений, включающий мост, участки подходов в пойме реки, регуляционные и другие укрепления","СП 35.13330.2011
ГОСТ 33384-2015",,,04.06.001.,,,,
,,,,HMAB010,Автодорожный мостовой переход,"Комплекс сооружений, включающий мост, участки подходов в пойме реки, регуляционные и другие укрепления предназначенный для движения транспортных средств","НИМП-72 Наставление по изысканиям и проектированию железнодорожных и автодорожных мостовых переходов через водотоки
ГОСТ 33177-2014
ГОСТ 33384-2015",,,04.06.001.,,,определение синтезировано,
,,,,HMAB020,Железнодорожный мостовой переход,"Комплекс сооружений, включающий мост, участки подходов в пойме реки, регуляционные и другие укрепления на которых расположены пути железной дороги",НИМП-72 Наставление по изысканиям и проектированию железнодорожных и автодорожных мостовых переходов через водотоки,,,04.06.001.,,,определение синтезировано,
,,,HMAC,,Эстакада,"Многопролетное сооружение с относительно небольшими пролетами, перекрывающее суходол, пойму реки, проходящее по застроенным территориям или заменяющее насыпь на подходах к мостам"," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ 33179-2014
ГОСТ 33178-2014",,,04.06.001.,,,,
H,,,,HMAC010,Железнодорожная эстакада,,"СП 43.13330.2012
 Приказ Минстроя России от 02.11.2022 N 928/пр ",,Разгрузочная железнодорожная эстакада,04.06.001.005,,B,,
H,,,,HMAC020,Крановая эстакада,,СП 43.13330.2012,,,,,,,
H,,,,HMAC030,Переходной мост,,СП 43.13330.2012,,,04.06.001.006,,,,
H,,,,HMAC040,Эстакада мазутопровода,,СП 43.13330.2012,,,12.01.099.002,,,,
,,,,HMAC050,Морская эстакада,"Стационарное морское нефтегазопромысловое сооружение мостового типа, состоящее из опор и пролетных строений и предназначенное для транспортного сообщения и прокладки инженерных коммуникаций между берегом и/или объектами нефтегазопромысла",ГОСТ Р 55311-2012,,,"08.05.001.006 
08.06.002.006 ",,,,
,,,,HMAC060,Автодорожная эстакада,"Инженерное (искусственное) сооружение для пропуска транспортных средств, пешеходов, животных в местах пересечения автомобильной дороги с естественным или искусственным препятствием","СП 35.13330.2011
ТР ТС 014/2011",,,04.06.001.002,,,Определение синтезировано,
,,,,HMAC070,Эстакада метрополитена,,"СП 32-105-2004
СП 120.13330.2012",,,04.06.001.005,,,,
,,,,HMAC080,Пешеходная эстакада,,"СП 43.13330.2012
ГОСТ 33178-2014",,,04.06.001.006,,,,
,,,,HMAC090,Городская эстакада,,ГОСТ 33178-2014,,,04.06.001.002,,,,
,,,,HMAC100,Совмещенная эстакада,,ГОСТ 33178-2014,,,04.06.001.009,,,,
,,,,HMAC110,Трамвайная эстакада,,СП 98.13330.2018,,,04.06.001.009,,,,
,,,HMAD,,Путепровод,Мостовое сооружение для пропуска одной транспортной магистрали над другой в разных уровнях," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ 33178-2014
СП 35.13330.2011
ГОСТ 33384-2015
СП 18.13330.2019
ГОСТ 33179-2014",,"Сооружение автодорожного путепровода
Сооружение железнодорожного путепровода
Сооружение путепровода пешеходного","04.06.001.002 
04.06.001.005 
04.06.001.006 ",,B,,
,,,,HMAD010,Автодорожный путепровод,,"ГОСТ 33178-2014
СП 35.13330.2011
ГОСТ 33179-2014
ГОСТ 33384-2015",,,04.06.001.002,,,,
,,,,HMAD020,Железнодорожный путепровод,,"ГОСТ 33178-2014
СП 35.13330.2011
СП 35.13330.2011",,,04.06.001.005,,,,
,,,,HMAD030, Путепровод метрополитена,,"СП 120.13330.2012
СП 32-105-2004",,,04.06.001.005,,,,
,,,,HMAD040,Пешеходный путепровод,,"СП 18.13330.2019
СП 35.13330.2011
ГОСТ 33178-2014",,,04.06.001.006,,,,
,,,,HMAD050,Городской путепровод,,"СП 35.13330.2011
ГОСТ 33178-2014",,,04.06.001.002,,,,
,,,,HMAD060,Совмещенный путепровод,,"СП 35.13330.2011
ГОСТ 33178-2014",,,04.06.001.009,,,,
,,,,HMAD070,Путепровод трамвайных линий,,"СП 98.13330.2018
СП 35.13330.2011",,,04.06.001.009,,,,
,,,HMAE,,Путепровод тоннельного типа,"Подземное сооружение, являющееся элементом транспортной развязки и предназначенное для движения транспортных средств",СП 166.1311500.2014,,,"04.06.002.001 
04.06.002.002",,,,
,,,HMAF,,Виадук,"Мост, перекрывающий суходол или узкую долину"," Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 35.13330.2011
ГОСТ 33384-2015
ГОСТ 33178-2014
СП 120.13330.2012
СП 32-105-2004",,,04.06.001.003,,,,
,,,,HMAF010,Автодорожный виадук,,"СП 35.13330.2011
ГОСТ 33384-2015
ГОСТ 33178-2014",,,04.06.001.003,,,,
,,,,HMAF020,Железнодорожный виадук,,"СП 35.13330.2011
ГОСТ 33384-2015
ГОСТ 33178-2014",,,04.06.001.003,,,,
,,,,HMAF030,Виадук метрополитена,,"СП 35.13330.2011
СП 120.13330.2012
СП 32-105-2004",,,04.06.001.003,,,,
,,,,HMAF040,Виадук трамвайных линий,,"СП 98.13330.2018
СП 35.13330.2011
ГОСТ 33384-2015
ГОСТ 33178-2014",,,04.06.001.003,,,,
,,,,HMAF050,Пешеходный виадук,,"СП 35.13330.2011
ГОСТ 33384-2015
ГОСТ 33178-2014",,,04.06.001.003,,,,
,,,,HMAF060,Городской виадук,,"СП 35.13330.2011
ГОСТ 33384-2015
ГОСТ 33178-2014",,,04.06.001.003,,,,
,,,,HMAF070,Совмещенный виадук,,"СП 35.13330.2011
ГОСТ 33384-2015
ГОСТ 33178-2014",,,04.06.001.003,,,,
,,,HMAG,,Путепровод-эстакада,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,"04.06.001.002
04.06.001.005",,,,
,,,,HMAG010,Путепровод-эстакада железнодорожная ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,04.06.001.005,,,,
,,,HMAH,,Экодук,"Искусственное дорожное сооружение (мостового, трубного или тоннельного типа), обеспечивающее безопасное пересечение автомобильной дороги представителями фауны",ГОСТ Р 58947-2020,,,04.06.003.003,,,,
,,,,HMAH010,Экодук мостового типа,"Биопереход, обеспечивающий безопасное пересечение автомобильной дороги представителями фауны над проезжей частью дороги",ГОСТ Р 58947-2020,,,04.06.003.003,,,,
,,,,HMAH020,Экодук трубного типа,"Биопереход в виде водопропускного сооружения, обеспечивающий безопасное пересечение автомобильной дороги отдельными видами мелких млекопитающих, пресмыкающихся и земноводных под проезжей частью дороги",ГОСТ Р 58947-2020,,,04.06.003.003,,,,
,,,,HMAH030,Экодук тоннельного типа,"Биопереход, обеспечивающий безопасное пересечение автомобильной дороги представителями фауны под проезжей частью дороги по тоннелю или через подмостовое пространство мостового сооружения",ГОСТ Р 58947-2020,,,04.06.003.003,,,,
,,,,HMAH040,Экодук ландшафный,"Биопереход, обеспечивающий не только безопасное пересечение автомобильной дороги представителями фауны, но и сохранение природного ландшафта, а также создание благоприятной визуальной среды",ГОСТ Р 58947-2020,,,04.06.003.003,,,,
,,HMB,,,Сооружение тоннеля,"Протяженное подземное (подводное) инженерное сооружение, предназначенное для транспортных целей, пропуска воды и прокладки инженерных коммуникаций, являющееся основным объектом тоннельного перехода"," Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 122.13330.2012
СП 21.13330.2012
СП 43.13330.2012
СП 32-105-2004
ГОСТ 33152-2014
ГОСТ 33153-2014",,"Сооружение штольни (тоннеля)
Сооружение автодорожного тоннеля
Сооружение городского транспортного тоннеля
Сооружение железнодорожного тоннеля
Сооружение пешеходного тоннеля под железнодорожными путями",04.06.002.,,,,
,,,HMBA,,Автодорожный тоннель,"Подземное (или подводное) инженерное сооружение, предназначенное для пропуска (проезда) автотранспортных средств в целях преодоления высотных или контурных препятствий","СП 122.13330.2012
ГОСТ 33152-2014
ГОСТ 33153-2014
",,,04.06.002.001,,,,
,,,HMBB,,Железнодорожный тоннель,"Подземное протяженное инженерное сооружение, предназначенное для пропуска железнодорожного транспорта в целях преодоления высотных или контурных препятствий, в том числе и в городах",СП 122.13330.2012,,,04.06.002.002,,,,
,,,HMBC,,Тоннель метрополитена,Перегонные тоннели метрополитена,СП 32-105-2004,,,04.06.002.002,,,определение синтезировано,
,,,HMBD,,Трамвайный тоннель,"Тоннель, в которыом расположены трамвайные пути",СП 84.13330.2016,,,04.06.002.099,,,определение синтезировано,
,,,HMBE,,Пешеходный тоннель,"Горизонтальное или наклонное протяженное подземное сооружение, предназначенное для  пешеходных переходов","СП 43.13330.2012
СП 21.13330.2012",,,04.06.002.003,,,определение синтезировано,
,,,HMBF,,Городской тоннель,"Тоннель, являющийся частью уличной сети городов",СП 166.1311500.2014,,,04.06.002.001,,,определение синтезировано,
,,,HMBG,,Горный тоннель,Подземное инженерное (искусственное) сооружение для пропуска транспортных средств в местах пересечения автомобильной дороги с высотным препятствием,ГОСТ 33152-2014,,,"04.06.002.001 
04.06.002.002",,,,
,,,HMBH,,Подземный тоннель,"Протяженное подземное инженерное сооружение, предназначенное для транспортных целей, пропуска воды и прокладки инженерных коммуникаций, являющееся основным объектом тоннельного перехода","СП 122.13330.2012
СП 21.13330.2012
СП 43.13330.2012
СП 32-105-2004
ГОСТ 33152-2014
ГОСТ 33153-2014",,,04.06.003.001,,,определение синтезировано,
,,,HMBJ,,Подводный тоннель,Подводное инженерное (искусственное) сооружение для пропуска транспортных средств в местах пересечения автомобильной дороги с водным препятствием,ГОСТ 33152-2014,,,"04.06.002.001 
04.06.002.002",,,,
,,,HMBK,,Сервисный (коммуникационный) тоннель,"Тоннель, располагаемый, как правило, параллельно основному тоннелю и предназначенный для его обслуживания (прокладки коммуникаций, подачи или удаления воздуха, устройства эвакуационных выходов и т.п.)","ГОСТ 33152-2014
СП 43.13330.2012",,,04.06.002.001,,,,
,,,HMBL,,Совмещенный тоннель,Тоннели для смешанного движения безрельсового и рельсового транспорта,СП 166.1311500.2014,,,04.06.002.099,,,определение синтезировано,
,,HMC,,,Подпорное сооружение,"Сооружение или конструкция, выполняемая для восприятия горизонтального давления и удержания грунта при перепаде высотных отметок, может быть самостоятельным сооружением или служить частью объекта капитального строительства","СП 381.1325800.2018
СП 43.13330.2012",,,12.02.002.002,,,,
,,HMD,,,Сооружение водопропускной трубы,"Инженерное сооружение, укладываемое в теле насыпи автомобильной дороги для пропуска водного потока"," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ 32871-2014",,,04.06.003.001,,,,
,HN,,,,Шумозащитное сооружение,"Элемент транспортной инфраструктуры, располагаемый между транспортной дорогой и защищаемыми от шума объектами и предназначенный для снижения уровня транспортного шума, воздействующего на защищаемые от него объекты, за счет образования акустической тени за элементом транспортной инфраструктуры.","ТР ТС 002/2011
СП 276.1325800.2016
",,"Сооружение акустического экрана
Сооружение шумозащитного земляного вала
Сооружение шумозащитной земляной выемки
Сооружение шумозащитной галереи","04.01.004.006
04.04.006.001",ЭЛ 10 40 30,,,
H,HP,,,,Объекты для подъема,,СП 18.13330.2019,По виду ОКС,,,,,,
H,,HPA,,,Здание (сооружение) объектов предприятий по производству электрических мостовых и козловых кранов,,СП 18.13330.2019,,,10.09.001.099,,,,
H,,HPB,,,"Здание (сооружение) объектов предприятий по производству конвейеров ленточных, скребковых, подвесных грузонесущих, погрузочных устройств для контейнерных грузов, талей (тельферов), эскалаторов и другого подъемно-транспортного оборудования",,СП 18.13330.2019,,,10.09.002.002,,,,
,HQ,,,,Объекты магистральных трубопроводов,"Единый производственно-технологический комплекс, предназначенный для транспортировки подготовленных жидких или газообразных углеводородов от объектов добычи и (или) пунктов приема до пунктов сдачи потребителям и (или) передачи в распределительные газопроводы или иной вид транспорта и (или) хранения, состоящий из конструктивно и технологически взаимосвязанных объектов, включая сооружения и здания, используемые для целей обслуживания и управления объектами магистрального трубопровода.","СП 36.13330.2012
",,"Магистральный газопровод
Магистральный нефтепровод
",04.05.,,,,
,,HQA,,,Переходы трубопроводов через естественные и искуственные препятствия,"К естественным и искусственным препятствиям относят реки, водохранилища, каналы, озера, пруды, ручьи, протоки и болота, овраги, балки, железные и автомобильные дороги.","СП 36.13330.2012
ГОСТ Р 55989-2014",,,04.09.002.003,,,,
,,,HQAA,,"Переход магистрального трубопровода через малый водоток, водоем","Участок магистрального трубопровода, проложенный через малый водоток [водоем] шириной по зеркалу воды в межень менее 25 м и глубиной менее 1,5 м или шириной по зеркалу воды в межень менее 10 м независимо от глубины, за исключением временных водотоков, водоемов.",ГОСТ Р 57512-2017,,,04.09.002.003,,,,
,,,HQAB,,Подводный переход магистрального трубопровода,"Участок магистрального трубопровода, проложенный с заглублением в дно пересекаемой водной преграды шириной по зеркалу воды в межень 10 м и более и глубиной 1,5 м и более или шириной по зеркалу воды в межень 25 м и более независимо от глубины.","ГОСТ Р 57512-2017
СП 422.1325800.2018
СП 36.13330.2012
СП 36.13330.2012
ГОСТ 34826-2022",,,04.09.002.003,,,,
,,,HQAC,,Переход трубопровода через автодорогу,,"СП 36.13330.2012
ГОСТ Р 55989-2014",,,04.09.002.003,,,,
,,,HQAD,,Переход трубопровода через железную дорогу,,"СП 36.13330.2012
ГОСТ Р 55989-2014",,,04.09.002.003,,,,
,,,HQAE,,"Переход воздушный через малый водоток, водоем",,"СП 284.1325800.2016
СП 422.1325800.2018",,,04.09.002.003,,,,
,,HQB,,,"Узлы пуска, приема и пропуска средств очистки и диагностирования",,"ГОСТ 34563-2019
ГОСТ 34568-2019
ГОСТ Р 57512-2017",,,04.09.002.005,,,,
,,,HQBA,,Узел камеры пуска средств очистки и диагностирования,"Техническое устройство, обеспечивающее пуск внутритрубных очистных, диагностических, разделительных и герметизирующих устройств в потоке перекачиваемой рабочей среды в магистральный трубопровод.","ГОСТ 34563-2019
ГОСТ 34568-2019
ГОСТ Р 57512-2017",,,04.09.002.005,,,,
,,,HQBB,,Узел камеры приема средств очистки и диагностирования,"Техническое устройство, обеспечивающее прием внутритрубных очистных, диагностических, разделительных и герметизирующих устройств в потоке перекачиваемой рабочей среды из магистрального трубопровода.","ГОСТ 34563-2019
ГОСТ 34568-2019
ГОСТ Р 57512-2017",,,04.09.002.005,,,,
,,,HQBC,,Узел пропуска средств очистки и диагностирования,"Производственная площадка с комплексом взаимосвязанного оборудования, предназначенного для проведения технологических операций по пропуску внутритрубных очистных, диагностических, разделительных и герметизирующих устройств, минуя НПС.","ГОСТ 34563-2019
ГОСТ 34568-2019
ГОСТ Р 57512-2017",,,04.09.002.005,,,,
,,HQC,,,Проезд вдольтрассовый,"Объект магистрального трубопровода, предназначенный для перевозок грузов и персонала вдоль трассы магистрального трубопровода в период его строительства и эксплуатации",СП 36.13330.2012,,,04.01.001.003,,,,
J,,,,,Объекты хранения,,,По виду ОКС,,,,,,
,JA,,,,Объекты хранения продукции сельского хозяйства и пищевых продуктов,,,По виду ОКС,,06.05.,,,,
,,JAA,,,Объекты хранения продукции сельского хозяйства и пищевых продуктов при температуре окружающей среды,,,По виду ОКС,,"06.05.003.
06.05.004.
",,,,
,,,JAAA,,Здание (сооружение) объектов хранения продукции сельского хозяйства и пищевых продуктов при температуре окружающей среды,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание склада лесных семян
Здание склада семян в таре
Здание яйцесклада
Здание плодоовощной базы","06.05.003.004
06.05.005.006
06.05.004.005",,,,
,,,JAAB,,Здание (сооружение) объектов для хранения продукции сельского хозяйства и пищевых продуктов силосного типа,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание силосного корпуса из железобетонных конструкций
Рабочее здание элеватора
Сооружение элеватора","06.05.004.004 
06.05.002.006 
",,,,
,,JAB,,,Объекты хранения продукции сельского хозяйства и пищевых продуктов в охлажденном виде,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,"Здание холодильника
Сооружение низкотемпературного хранилища семени и вакцины","06.05.003.006
06.05.001.005",,,,
,JB,,,,Объекты хранения материалов,,,По виду ОКС,,,,,,
,,JBA,,,Здание (сооружение) объектов хранения горючих жидкостей и жидкого топлива,,,,"Сооружение маслохранилища при производстве летательных аппаратов
Здание склада ЛВЖ и ГСМ резервуарного хранения при производстве целлюлозы
Сооружение открытого склада масла
Сооружение склада масла",07.12.002.007,,,,
,,JBB,,,Здание (сооружение) объектов хранения негорючих жидкостей,,,,"Здание склада технической соляной кислоты фармацевтической промышленности
Здание склада, приготовления и подачи реагентов в оборотную систему градирен
Здание склада АОС
Здание склада кислот и щелочей фармацевтической промышленности","07.12.002.006
",,,,
,,JBC,,,Здание (сооружение) объектов хранения твердого топлива,,,,"Здание погрузочно-складского комплекса железнодорожного транспорта при добыче угля
Сооружение склада угля
Здание склада кокса с галереей транспорта","08.01.001.001 
08.08.001.004 ",,,,
,,JBD,,,Здание (сооружение) объектов хранения газов,,,,"Здание склада азота высокого давления
Здание товарно-сырьевого склада сжиженных углеводородных газов нефтеперерабатывающей промышленности
Здание склада газообразных химических веществ","07.12.002.006 
07.12.005.004
",,,,
,,JBE,,,Объекты хранения сыпучих материалов,,,По виду ОКС,,,,,,
,,,JBEA,,Здание (сооружение) объектов хранения сыпучих материалов,,,,"Здание склада древесного сырья производств целлюлозы
Здание силосного (бункерного) склада порошков, оборудованный установками пневмотранспорта
Сооружение прирельсового склада компонентов сырья, затаренных и сыпучих материалов производства изделий из стекловолокна","06.05.004.004 
06.05.004.005 
06.05.004.001 
06.05.004.011 
08.08.001.004 
08.08.002.001 
07.12.002.006 ",,,,
,,,JBEB,,Здание (сооружение) объектов для хранения сыпучих материалов силосного типа,,,,"Сооружение силосного склада клинкера
Сооружение силосного склада цемента",08.08.002.001,,,,
