Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Код соответствующего ОКС по классификатору МССК,"Код соответствующего ОКС по КТИМ ОАО ""РЖД""",Примечания,Синонимы
,,AGC,,,Здание (сооружение) объектов обработки и хранения зерна и семян,," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Здание цеха вторичной очистки и калибрования семян
Здание цеха обмолота и первичной очистки семян
Здание цеха обработки зерна","06.04.002.003
06.04.002.002
06.04.002.004",ВН ПН 10 50 10 ,,,
,,AGD,,,Здание (сооружение) объектов хлопкового растениеводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание лаборатории контроля качества хлопка-сырца
Здание цеха обеззараживания посевных семян
Здание цеха оголения посевных семян","06.05.004.007
06.04.002.004
06.04.002.003",ВН ПН 10 50,,,
,,AGE,,,Здание (сооружение) объектов производства рассады,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха пастеризации субстрата и проращивания мицелия
Здание цеха приготовления субстрата и покровной земли","06.04.001.002
06.05.004.008",ВН ПН 10 50,,,
,,AGF,,,Здание (сооружение) объектов тепличных комбинатов и комплексов,"Комплекс производственных, вспомогательных, административно-хозяйственных построек, предназначенных для выращивания овощей."," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Здание агрохимлаборатории (биолаборатории)
Сооружение для приготовления и хранения почвенных смесей
Сооружение теплицы","07.12.004.004
06.05.004.008
06.04.001.002",ВН ПН 10 50 30,,,
,,AGG,,,Здание (сооружение) объектов садоводческого растениеводства,,,,Здание селекционной станции,06.04.002.001,,,,
,,AGH,,,Здание (сооружение) объектов овощехранения,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,06.05.004.005,ВН ПН 10 50 20,,,
,,AGJ,,,Здание (сооружение) питомников растений,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,06.04.002.001,ВН ПН 10 50 40,,,
,AH,,,,Объекты предприятий биопромышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,,,,,
,,AHA,,,Здание (сооружение) объектов по производству вакцин,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,Здание биофабрики производства вакцин,07.10.002.,,,,
,,AHB,,,Здание (сооружение) объектов по производству лечебных сывороток,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,Здание биофабрики производства лечебных сывороток,07.10.002.,,,,
,,AHC,,,Здание (сооружение) вспомогательных объектов предприятий биопромышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание клиники для животных
Здание клинико-диагностического корпуса
Здание контрольной лаборатории","06.01.001.002 
06.05.001.008 ",,,,
,AJ,,,,"Объекты вспомогательной инфраструктуры сельского и лесного хозяйства, охоты, рыболовства и рыбоводства",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,06.05.,,,,
,,AJA,,,Сооружение водопойного пункта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Сооружение водопойного пункта с водозабором воды из поверхностных источников из реки, канала, пруда, озера
Сооружение водопойного пункта с забором воды из группового водопровода
Сооружение водопойного пункта с забором подземных вод из каптажа родников",06.05.005.009,,,,
,,AJB,,,Здание (сооружение) моторо-тракторных станций,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха предпродажного обслуживания сельскохозяйственной техники
Здание цеха сборки сельскохозяйственной техники",10.07.002.001,,,,
,,AJC,,,Здание (сооружение) объектов обезвреживания результатов деятельности сельскохозяйственных предприятий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха обезвоживания навозных стоков
Сооружение навозохранилища
Сооружение очистки жиросодержащих стоков","01.03.003.003 
06.05.001.006
",,,,
,,AJD,,,"Здание (сооружение) объектов предприятий ремонта, технического обслуживания и хранения сельскохозяйственной техники",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха по ремонту автотракторного электрооборудования
Здание цеха по ремонту комбайнов
Здание цеха по ремонту сельскохозяйственной техники",06.05.004.002,ВН ПН 10 60 40,,,
B,,,,,Объекты добывающей промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,08.,,,,
,BA,,,,Объекты добычи и обогащения железных руд,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,08.03.,,,,
,,BAA,,,Здание (сооружение) объектов добычи железных руд открытым способом,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Сооружение дробильно­перегрузочного пункта железных руд
Сооружение рудного разреза добычи железных руд","08.03.001.001
08.03.001.002",,,,
,,BAB,,,Здание (сооружение) объектов добычи железных руд подземным способом,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание подачи в шахту добычи железных руд электроэнергии
Сооружение вентиляционного ствола шахты добычи железных руд
Сооружение временного хранения и отгрузки железной руды","08.03.002.001
08.08.001.004",,,,
,,BAC,,,Здание (сооружение) объектов обогащения железных руд,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха дробления, грохочения сырья железных руд
Здание цеха сепарации сырья железных руд","08.03.003.002
08.03.003.004",,,,
,,BAD,,,Здание (сооружение) вспомогательных объектов при добыче и обогащении железных руд,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание мастерской по ремонту горных механизмов и оборудования шахты добычи железных руд
Здание обеспечения и работы инженерно-технических служб шахты добычи железных руд",08.08.001.003,,,,
,BB,,,,Объекты добычи и обогащения руд цветных металлов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,08.04.,,,,
,,BBA,,,Здание (сооружение) объектов добычи руд цветных металлов открытым способом,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Сооружение дробильно­перегрузочного пункта руд цветных металлов
Сооружение рудного разреза добычи руд цветных металлов","08.04.002.001
08.04.002.002",,,,
,,BBB,,,Здание (сооружение) объектов добычи руд цветных металлов закрытым способом,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Сооружение вентиляционного ствола шахты добычи руд цветных металлов
Сооружение шахты добычи руд цветных металлов","08.04.001.001
08.04.001.002",,,,
,,BBC,,,Здание (сооружение) объектов обогащения руд цветных металлов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха дробления, грохочения сырья руд цветных металлов
Здание цеха сепарации сырья руд цветных металлов","08.04.003.001
08.04.003.002",,,,
,BC,,,,"Объекты добычи полезных ископаемых, кроме топливно-энергетических",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,08.02.,,,,
