code,level_1,level_2,level_3,level_4,level_5,param_1
СТ 10 14 20 32,,,,Полуцилиндры и сегменты асбестовермикулитовые,,
СТ 10 14 20 33,,,,Полуцилиндры и сегменты известково-кремнеземистые,,
СТ 10 14 20 34,,,,Стекловата,,
СТ 10 14 30,,,Утеплители смешанные,,,
СТ 10 15,,Гидроизоляционные материалы,,,,
СТ 10 15 10,,,Мастика,,,
СТ 10 15 20,,,Рулонный материал,,,
СТ 10 15 20 10,,,,Рубероид,,
СТ 10 15 20 20,,,,Стеклорубероид,,
СТ 10 15 20 30,,,,Пергамин,,
СТ 10 15 20 40,,,,Толь,,
СТ 10 15 20 50,,,,Гидроизол,,
СТ 10 15 20 60,,,,Бризол,,
СТ 10 15 20 70,,,,Гидробутил,,
СТ 10 15 30,,,Порошок,,,
СТ 10 15 40,,,Пленка,,,
СТ 10 15 40 10,,,,Полиэтиленовая пленка,,
СТ 10 15 40 20,,,,Полипропиленовая пленка,,
СТ 10 15 40 30,,,,Гидроизоляционная мембрана,,
СТ 10 15 50,,,Окрасочная гидроизоляция,,,
СТ 10 15 50 10,,,,Битумная смесь,,
СТ 10 15 50 20,,,,Каучуковый гель,,
СТ 10 15 50 30,,,,Силиконовый гель,,
СТ 10 15 50 40,,,,Акриловая взвесь,,
СТ 10 15 50 50,,,,Эпоксидные составы,,
СТ 10 15 50 60,,,,Гидроизоляционный лак,,
СТ 10 15 60,,,Жидкая гидроизоляция,,,
СТ 10 15 60 10,,,,Жидкое стекло,,
СТ 10 15 60 20,,,,Жидкая резина,,
СТ 10 15 70,,,Проникающая гидроизоляция,,,
СТ 10 15 70 10,,,,Песчано-цементный состав,,
СТ 10 15 70 20,,,,Пенетрон,,
СТ 10 15 80,,,Монтируемая гидроизоляция,,,
СТ 10 15 80 10,,,,Бентонитовые маты,,
СТ 10 16,,Материалы труб,,,,
СТ 10 16 05,,,Асбестоцемент,,,
СТ 10 16 10,,,Медь,,,
СТ 10 16 15,,,Латунь,,,
СТ 10 16 20,,,Сталь коррозионно-стойкая,,,
СТ 10 16 25,,,Хризотилцемент,,,
СТ 10 16 30,,,Сталь,,,
СТ 10 16 35,,,Нержавеющая сталь,,,
СТ 10 16 40,,,Чугун,,,
СТ 10 16 45,,,Композитные материалы,,,
СТ 10 16 45 10,,,,Труба стеклобазальтокомпозитная,,
СТ 10 16 45 20,,,,Труба стеклокомпозитная,,
СТ 10 16 45 30,,,,Труба базальтокомпозитная,,
СТ 10 16 50,,,Полимерные,,,
СТ 10 16 50 10,,,,Полиэтилен (PE),,
СТ 10 16 50 10 10,,,,,Полиэтилен (PEX),
СТ 10 16 50 20,,,,Поливинилхлорид (PVC),,
СТ 10 16 50 30,,,,Полипропилен (PP),,
СТ 10 16 50 40,,,,Полиамид (ПА),,
СТ 10 16 50 50,,,,Полибутилен (PB),,
СТ 10 16 55,,,Металлопластик,,,
