Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Примечания
,,ACU,,,Кран нулевого цикла,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,ТО 14 15 20,
,AD,,,,"Машины и механизмы подъемно-транспортные, кроме кранов","Машины (устройства), предназначенные для перемещения грузов и людей в вертикальной, горизонтальной и наклонной плоскостях на относительно небольшие расстояния в пределах заводов, строительных площадок, портов, складов и т.п.",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),Характер перемещения груза,,91.06,,Определение синтезировано
,,ADA,,,Домкрат,Переставной механизм для подъема конструкций на небольшую высоту при воздействии на конструкцию снизу,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.06.01,ТО 16 16,ГОСТ 33650-2015
,,ADB,,,Конвейер ленточный,"Конвейер, грузонесущим и тяговым элементом которого является замкнутая лента","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.06.02,ТО 16 18 20,ГОСТ 18501-73 (СТ СЭВ 3512-81)
,,ADC,,,Лебедка,"Механизм, тяговое усилие которого передается посредством гибкого элемента (каната, цепи) от приводного барабана","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.06.03,ТО 16 14 ,ГОСТ 27555-87 
,,,,ADC010,Лебедка ручная,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"91.06.03-045
91.06.03-046
91.06.03-047
91.06.03-048
91.06.03-049
",ТО 16 14 10,
,,,,ADC020,Лебедка электрическая,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"91.06.03-051
91.06.03-055
.91.06.03-056
91.06.03-057
91.06.03-058
91.06.03-059
91.06.03-060
91.06.03-061
91.06.03-062
91.06.03-063
91.06.03-578","ТО 16 14 20 01
ТО 16 14 20 02
ТО 16 14 20 03
ТО 16 14 20 04
ТО 16 14 20 05
ТО 16 14 20 06
ТО 16 14 20 07
ТО 16 14 20 08
ТО 16 14 60 05",
,,,,ADC030,Лебедка проходческая,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"91.06.03-040
91.06.03-041
91.06.03-043",ТО 16 14 30,
,,,,ADC040,Лебедка тракторная,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.06.03-052,ТО 16 14 40,
,,,,ADC050,Мотолебедка,Устройство для перемещения грузов,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,ТО 16 14 50,Определение синтезировано
,,,,ADC060,Лебедка для прочистки внутренней поверхности трубопроводов,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"91.06.03-514
91.06.03-039","ТО 16 14 60 01
ТО 16 14 60 02",
,,ADD,,,Погрузчик,"Машина, оборудованная рабочими органами для погрузки, разгрузки и штабелирования грузов","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Погрузчик универсальный на пневмоколесном ходу
Погрузчик на автомобильном ходу",91.06.05,ТО 16 10,ГОСТ 18501-73 (СТ СЭВ 3512-81)
A,,,,ADD010,Автопогрузчик,,СП 18.13330.2019,,,,,
,,ADE,,,Подъемник,"Механизм, предназначенный для вертикального перемещения грузонесущих устройств","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Подъемник строительный грузопассажирский
Подъемник мачтовый
Подъемник реечный
Подъемник шахтный
Подъемник многошахтный грузопассажирский
Подъемник двухстоечный грузовой
Подъемник скиповой
Площадка подъемная для монтажа сборных дымовых труб",91.06.06,ТО 14 40,СТО НОСТРОЙ 2.23.134-2013
,,ADF,,,Таль,"Компактная машина циклического действия для подъема и опускания груза, подвешенного на грузозахватном органе","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.06.07,ТО 16 24,ГОСТ 18501-73 (СТ СЭВ 3512-81)
