Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Примечания,Синонимы,УИН
,,,,AED030,Котел битумоварочный,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Котел битумоварочный дизельный
Котел битумоварочный электрический
Котел битумоварочный передвижной",91.08.04,"ТО 18 65 10 01
ТО 18 65 10 02",,,KSI180000085
,,,,AED040,Котел маточный передвижной для приготовления термопластика,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.08.04,,,,KSI180000086
,,,,AED050,Машина для разогрева асфальтобетонных покрытий,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.08.04,,,,KSI180000087
,,,,AED060,Машина плавильно-заливочная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.08.04,,,,KSI180000088
,,,,AED070,"Нагреватель асфальтобетонного покрытия, предварительный",,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.08.04,,,,KSI180000089
,,,,AED080,Разогреватель асфальтобетонных покрытий,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.08.04,,,,KSI180000090
,,,,AED090,Инфракрасная линейка-разогреватель,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,"ТО 38 10 10 12
ТО 38 10 10 13",,,KSI180000091
,,AEE,,,Машина и агрегат бетоноукладочные,Машина и агрегат для укладки бетона,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.08.05,,Определение синтезировано,,KSI180000092
,,,,AEE010,Агрегат распределения бетона на железных дорогах,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.08.05,,,,KSI180000093
,,,,AEE020,Агрегат для бетонирования стен самоходный,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.08.05,,,,KSI180000094
,,,,AEE030,Бетоноукладчик-планировщик со скользящими формами,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.08.05,,,,KSI180000095
,,,,AEE040,Комплект машин для бетонирования каналов,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.08.05,,,,KSI180000096
,,,,AEE050,Машина бетоноукладочного комплекта на рельс-формах,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.08.05,,,,KSI180000097
,,,,AEE060,Бетоноукладчик со скользящими формами в составе высокопроизводительного бетоноукладочного комплекта,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.08.05,,,,KSI180000098
,,,,AEE070,Машина для нанесения пленкообразущих материалов в составе высокопроизводительного бетоноукладочного комплекта,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.08.05,ТО 18 30 10 05,,,KSI180000099
,,,,AEE080,Нарезчик швов в затвердевшем бетоне продольный и поперечный в составе высокопроизводительного бетоноукладочного комплекта,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.08.05,"ТО 18 40 10 02
ТО 18 40 10 03",,,KSI180000100
