Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Примечания,Синонимы,УИН
,,,,BAM070,Камера ускоренного старения битума,,,,,,,,,KSI180000748
,,,,BAM080,Мешалка лабораторная для полимерно-битумных вяжущих,,,,,,,,,KSI180000749
,,,,BAM090,Пеногаситель для битума,,,,,,,,,KSI180000750
,,,,BAM100,Перемешивающее устройство для битумных эмульсий,,,,,,,,,KSI180000751
,,,,BAM110,Приспособление ОСВ-Ф,,,,,,,,,KSI180000752
,,,,BAM120,Реометр,,,,,,,,,KSI180000753
,,,,BAM130,Термокриостат,,,,,,,,,KSI180000754
,,BAN,,,Прибор и приспособление для контроля параметров дорог,,,,,,,,,KSI180000755
,,,,BAN010,Измеритель колейности,,,,,,,,,KSI180000756
,,,,BAN020,Измеритель коэффициента сцепления дорожных покрытий,,,,,,,,,KSI180000757
,,,,BAN030,Измеритель плотности асфальтобетонных покрытий,,,,,,,,,KSI180000758
,,,,BAN040,Счетчик интенсивности автомобильного движения,,,,,,,,,KSI180000759
,,,,BAN050,Устройство для контроля геометрических параметров дорог,,,,,,,,,KSI180000760
,,,,BAN060,Приспособление «Песчаное пятно» по ВСН 38-90,,,,,,,,,KSI180000761
,,,,BAN070,Прибор Виалита,,,,,,,,,KSI180000762
,,BAP,,,Прибор и оборудование для инженерно-геологических изысканий и геодезических работ ,,,,,,,,,KSI180000763
,,,,BAP010,Буровой станок и установка,, ГОСТ 26698.2-93,,,,,,,KSI180000764
,,,,BAP020,Буровой инструмент,Набор приспособлений для бурения скважин,СТО НОСТРОЙ 2.29.109-2013,,,,,Определение синтезировано,,KSI180000765
,,,,BAP030,Грунтонос,Устройство для отбора образцов грунта ненарушенного сложения,ГОСТ 12071-2014,,,,,Определение синтезировано,,KSI180000766
,,,,BAP040,Компрессионный прибор,"Прибор, в котором охлаждение осуществляется за счет испарения жидкого хладагента при низком давлении в теплообменнике (испарителе); пары хладагента при высоком давлении, достигнутом в результате их механического сжатия, превращаются в жидкость в другом охлаждаемом теплообменнике (конденсаторе)",ГОСТ IEC 60335-2-24-2016 ,,,,,Определение синтезировано,,KSI180000767
,,,,BAP050,Срезный прибор,"Прибор с фиксированной плоскостью среза, состоящий из подвижной и неподвижной частей, применяемый для испытаний методом одноплоскостного среза по поверхности смерзания для определения сопротивления срезу (при необходимости угла внутреннего трения  и удельного сцепления) мерзлого грунта, грунтового раствора и льда по поверхности их смерзания с материалом фундамента или другим твердым материалом (в т.ч. с нанесенными на него специальными смазками и покрытиями), сопротивления срезу мерзлого грунта по поверхности смерзания с грунтом или грунтовым раствором, сопротивления срезу льда по поверхности смерзания с грунтом или грунтовым раствором",ГОСТ 12248.8-2020,,,,,Определение синтезировано,,KSI180000768
,,,,BAP060,Прибор трехосного сжатия (стабилометр),"Прибор, применяемый для исследования механических свойств грунта в условиях трёхосного сжатия (стабилометрии)", ГОСТ Р 56353-2022,,,,,Определение синтезировано,,KSI180000769
,,,,BAP070,Прибор сжатия-растяжения,,"Информационный каталог-справочник по оборудованию
 приборам и аппаратуре для инженерно-геологических изысканий в строительстве",,,,,,,KSI180000770
,,,,BAP080,Прибор стандартного уплотнения,Устройство для механизированного или ручного уплотнения грунта падающим грузом с постоянной высоты (типа прибора СОЮЗДОРНИИ),ГОСТ 22733-2016,,"ПСУ
ПСУ-м
ПСУ-ПА",,,,,KSI180000771
,,,,BAP090,Прибор для определения гранулометрического состава,,"Информационный каталог-справочник по оборудованию
 приборам и аппаратуре для инженерно-геологических изысканий в строительстве",,Ареометр,,,,,KSI180000772
,,,,BAP100,Прибор для определения характеристик набухания,"Прибор для определения характеристик свободного набухания глинистых грунтов природного и нарушенного сложения (кроме глинистых грунтов, содержащих крупнообломочные включения с размерами зерен более 5 мм, и глинистых грунтов в мерзлом состоянии), которые проявляются при изменении влажности грунтов",ГОСТ 12248.6-2020,,ПНГ-1,,,Определение синтезировано,,KSI180000773
,,,,BAP110,Фильтрационный прибор,Предназначены для определения проницаемости грунтов,"Информационный каталог-справочник по оборудованию
 приборам и аппаратуре для инженерно-геологических изысканий в строительстве",,"КФ-00
 КФ-00
 ОКФ",,,Определение синтезировано,,KSI180000774
,,,,BAP120,Оборудование для статического зондирования,,"Информационный каталог-справочник по оборудованию
 приборам и аппаратуре для инженерно-геологических изысканий в строительстве",,установка С-832М,,,,,KSI180000775
,,,,BAP130,Зондировочно-буровая установка,Предназначена для бурения скважин и зондирования грунта,"Информационный каталог-справочник по оборудованию
 приборам и аппаратуре для инженерно-геологических изысканий в строительстве",,"установка УЗБ-5М/3
 установка УЗБ-5У-3",,,Определение синтезировано,,KSI180000776
,,,,BAP140,Теодолит,"Геодезический прибор, предназначенный для измерения горизонтальных и вертикальных углов.",ГОСТ 21830-76,,,,,,,KSI180000777
,,,,BAP150,Нивелир,Геодезический высотомер для определения превышений горизонтальной линией визирования,ГОСТ 21830-76,,,,,,,KSI180000778
,,,,BAP160,Лазерный сканер,"Съёмочная система, измеряющая с высокой скоростью (от нескольких тысяч до миллиона точек в секунду) расстояния от сканера до поверхности объекта и регистрирующая соответствующие направления (вертикальные и горизонтальные углы) с последующим формированием трёхмерного изображения (скана) в виде облака точек",СП 317.1325800.2017,,,,,Определение синтезировано,,KSI180000779
,,,,BAP170,Тахеометр,"Геодезический прибор, предназначенный для измерения горизонтальных и вертикальных углов, длин линий и превышений.",ГОСТ 21830-76,,,,,,,KSI180000780
,,,,BAP180,GPS оборудование,,,,,,,Определение синтезировано,,KSI180000781
,,,,BAP190,Вешка,,"ГОСТ 32963-2014
Приказ Минстроя России от 17.11.2022 N 969/пр",,,01.5.03.02,,,,KSI180000782
,,,,BAP200,Трубокабелеискатель,Прибор для поиска и составления цифровых моделей и мест расположения подземных коммуникаций,СП 126.13330.2017,,ТКИ-03,,,,,KSI180000783
,,,,BAP210,Штатив для геодезических приборов,"Принадлежность геодезического прибора, предназначенная для установки на грунт и закрепления на ней прибора в рабочем положении",ГОСТ 21830-76,,,,,Определение синтезировано,,KSI180000784
,,,,BAP220,Нивелирная рейка,"Рейка, предназначенная для определения превышений",ГОСТ 21830-76,,,,,Определение синтезировано,,KSI180000785
,,,,BAP230,Устройство отбора проб,,KKS,,,,,,,KSI180000786
,,BAQ,,,Измерительные приборы,,,,,,,,,KSI180000787
,,,,BAQ010,Рулетка металлическая,,ГОСТ 7502-98,,,,,,,KSI180000788
,,,,BAQ020,Линейка металлическая,,ГОСТ 427-75,,,,,,,KSI180000789
,,,,BAQ030,Штангенциркуль,,ГОСТ 166-89,,,,,,,KSI180000790
,,,,BAQ040,Угольник,,ГОСТ 22820-83,,,,,,,KSI180000791
,,,,BAQ050,Дальномер,,ГОСТ 21830-76,,,,,,,KSI180000792
,,,,BAQ060,Дорожное колесо,,,,"КП-230
 MW190RN",,,,,KSI180000793
,,,,BAQ070,Рейка,,ГОСТ Р 56925-2016,,,,,,,KSI180000794
,,,,BAQ080,Весы,,,,,,,,,KSI180000795
,,,,BAQ090,Строительный уровень,,СТО НОСТРОЙ 2.23.138-2013,,,,,,,KSI180000796
,,,,BAQ100,Индикатор часового типа,,ГОСТ 577-68,,,,,,,KSI180000797
,,,,BAQ110,Щуп,,ГОСТ 34519-2019,,,,,,,KSI180000798
,,,,BAQ120,Толщиномер,,"ГОСТ 23829-85
Приказ Минстроя России от 17.11.2022 N 969/пр",,,91.17.02,,,,KSI180000799
,,,,BAQ130,Шаблон,,ГОСТ Р ИСО 17637-2014 ,,"УШК-1
 УШС-2
 УШС-3
 WG01",,,,,KSI180000800
,,,,BAQ140,Щелемер,Приспособление для измерения величины развития трещин по трем направлениям,РД 07-166-97,,,,,,,KSI180000801
,,,,BAQ150,Микрометр,,ГОСТ 6507-90,,"МГ
 МЗ
 МТ
 МЛ
 МК",,,,,KSI180000802
,,,,BAQ160,Глубиномер,,ГОСТ 23829-85 ,,,,,,,KSI180000803
,,,,BAQ170,Прогибомер,,ГОСТ Р 56076-2014,,,,,,,KSI180000804
,,BAR,,,Прибор ударного действия (удар ручной),,,,,,,,,KSI180000805
,,,,BAR010,Молоток Кашкарова,"Эталонный (шариковый) молоток для определения поверхностной прочности бетона  методом пластической деформации, основанным на теоретической зависимости прочности бетона от диаметра лунки, полученной в результате удара молотком по поверхности бетона",РД 03-422-01,,,,,,,KSI180000806
,,,,BAR020,Молоток Физделя,,СП 13-102-2003,,,,,,,KSI180000807
,,,,BAR030,Молоток Шмидта,,СП 349.1325800.2017,,,,,,,KSI180000808
,,,,BAR040,Шлямбур,,СНиП 5.02.02-86,,"Ш-14
 Ш-22",,,,,KSI180000809
,,,,BAR050,Прибор Польди,,МДС 13-20.2004,,,,,,,KSI180000810
,,BAS,,,Прибор для контроля параметров окружающей среды,,,,,,,,,KSI180000811
,,,,BAS010,Дозиметр,"Прибор или установка для измерения ионизирующих излучений, предназначенные для получения измерительной информации об экспозиционной дозе и мощности экспозиционной дозы фотонного излучения и (или) об энергии, переносимой ионизирующим излучением или переданной им объекту, находящемуся в поле действия излучения","ГОСТ 14337-78
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128 ",,,91.10.11,ТО 38 10 10 18,,,KSI180000812
,,,,BAS020,Анемометр,Прибор для измерения скорости воздуха,,,"Анемометр Testo 416
 Анемометр Testo 417",,,Определение синтезировано,,KSI180000813
,,,,BAS030,Барометр,Прибор для измерения атмосферного давления,,,Барометр анероид БАММ-1,,,Определение синтезировано,,KSI180000814
,,,,BAS040,Гигрометр психрометрический,Прибор для измерения относительной влажности и температуры воздуха в помещении,,,"Гигрометр психрометрический ВИТ-1
 гигрометр психрометрический ВИТ-2",,,Определение синтезировано,,KSI180000815
,,,,BAS050,Метеометр,"Прибор для измерения атмосферного давления, относительной влажности и температуры воздуха, скорости воздушных потоков (в базовой комплектации); интегрального показателя тепловой нагрузки среды (ТНС-индекса), концентрации токсичных газов (с дополнительными датчиками) в помещениях и вентиляционных каналах",,,Метеометр МЭС-200,,,Определение синтезировано,,KSI180000816
,,,,BAS060,Психрометр,Прибор для определения относительной влажности и температуры воздуха в наземных условиях (в помещении и на открытом воздухе),,,"Психрометр М-34М (электрический)
 психрометр МВ-4-2М (механический)",,,Определение синтезировано,,KSI180000817
,,,,BAS070,Термогигрометр,Прибор для измерения и регистрации температуры и влажности воздуха в помещениях и вне их,,,Термогигрометр ИВА-6АР термогигрометр ИВА-6Н-КП-Д (погодная станция) термогигрометр ИВА-6Н-КП термогигрометр ИВА-6Н термогигрометр ИВА-6НШ термогигрометр ТГЦ-МГ4,,,Определение синтезировано,,KSI180000818
,,,,BAS080,Люксометр,Устройство для измерения проникающей способности пучка рентгеновского или иного проникающего излучения,ГОСТ Р МЭК 60050-881-2008,,,,,Определение синтезировано,,KSI180000819
,,,,BAS090,Альбедометр,Фотометрический прибор для измерений плоского Альбедо различных веществ и материалов,МДС 13-20.2004,,,,,Определение синтезировано,,KSI180000820
,,,,BAS100,Батомер,"Гидрологический прибор, предназначенный для взятия проб воды на различной глубине",СТО 70238424.27.140.043-2009,,,,,Определение синтезировано,,KSI180000821
,,,,BAS110,Шумомер,"Прибор для проверки шума, снабженный микрофоном, устройством обработки сигналов и устройством отображения, соответствующий установленным требованиям",ГОСТ 33997-2016,,,,,Определение синтезировано,,KSI180000822
,,,,BAS120,Гидрометрическая вертушка,Прибор для измерения скорости воды в потоках,СТО 70238424.27.140.043-2009,,,,,Определение синтезировано,,KSI180000823
,,,,BAS130,Пылемер,Прибор для измерений запылённости воздуха непосредственно на месте замера,ГОСТ 12.2.106-85,,"Атмас
 ИКВЧ(п)",,,Определение синтезировано,,KSI180000824
,,,,BAS140,Пиранометр,"Прибор, используемый для измерения общей освещенности на плоскости", ГОСТ Р 8.807-2012,,,,,Определение синтезировано,,KSI180000825
,,,,BAS150,Актинометр,Прибор для измерения интенсивности прямой солнечной радиации (излучения) по степени нагрева поглощающей радиацию зачерненной поверхности, ГОСТ Р 8.807-2012,,,,,Определение синтезировано,,KSI180000826
,,,,BAS160,Гигрометр,"Измерительный прибор, предназначенный для измерения одной или нескольких величин влажности газов",РД 153-34.1-11.320-00,,,,,Определение синтезировано,,KSI180000827
,,,,BAS170,Аспиратор,"Прибор для отбора проб воздуха или газов с целью определения их химического состава, содержания в них пыли, влаги и других примесей",СТО 70238424.27.010.001-2008,,,,,Определение синтезировано,,KSI180000828
,,,,BAS180,Газоанализатор,Средство измерения объемной концентрации вредных веществ,"ГОСТ Р 17.2.2.07-2000
Приказ Минстроя России от 17.11.2022 N 969/пр",,,62.9.01.02,,Определение синтезировано,,KSI180000829
,,BAT,,,Общелабораторное и вспомогательное оборудование,,,,,,,,,KSI180000830
,,,,BAT010,Вискозиметр,Прибор для измерения вязкости жидкостей и газов,Большой Энциклопедический словарь. 2000,,,,,,,KSI180000831
,,,,BAT020,Дистиллятор,Прибор для получения высококачественной дистиллированной воды,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"91.21.22 
01.7.07.29",,,,KSI180000832
,,,,BAT030,Деионизатор,"Устройство, предназначенное для снижения концентрации аэроионов путем искусственного лишения носителя его электрического заряда",МУ 4.3.1517-03,,,,,,,KSI180000833
,,,,BAT040,Штатив,,,,,,,,,KSI180000834
,,,,BAT050,Держатель,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,KSI180000835
,,,,BAT060,Подъемный столик,,,,,,,,,KSI180000836
,,,,BAT070,Перемешивающее устройство,,,,,,,,,KSI180000837
,,,,BAT080,Перекачивающая система,,,,,,,,,KSI180000838
,,,,BAT090,Сушильно-моечное оборудование,,,,,,,,,KSI180000839
,,,,BAT100,Сушильный шкаф лабораторный,,,,,91.21.18,,,,KSI180000840
,,,,BAT110,Печь лабораторная,,,,,91.21.18,,,,KSI180000841
,,,,BAT120,Колбонагреватель,,,,,,,,,KSI180000842
,,,,BAT130,Электроплитка,Переносный бытовой нагревательный электроприбор с одной или несколькими электроконфорками,ГОСТ 15047-78,,,62.5.01.02,,,,KSI180000843
,,,,BAT140,Термоблок,,,,,,,,,KSI180000844
,,,,BAT150,Жидкостная баня,,,,,,,,,KSI180000845
,,,,BAT160,Термостат,,,,,69.3.02.01,,,,KSI180000846
,,,,BAT170,Термопара,,,,,,,,,KSI180000847
,,,,BAT180,"Камера (климатическая, пропарочная, нормального твердения, морозильная)",,,,,,,,,KSI180000848
,,,,BAT190,Пирометр,"Средство (совокупность средств) измерений температуры по тепловому электромагнитному излучению, предназначенное для выработки сигнала измерительной информации в форме, удобной для непосредственного восприятия наблюдателем. Конструктивно пирометр может представлять собой совокупность пирометрического преобразователя и устройства отображения информации в аналоговой или цифровой форме.",ГОСТ 28243-96,,,62.1.04.01,,,,KSI180000849
,,,,BAT200,Секундомер,,,,,,,,,KSI180000850
,,,,BAT210,Таймер лабораторный,,,,,,,,,KSI180000851
,,,,BAT220,Дробилка,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"91.21.22
",,,,KSI180000852
,,,,BAT230,Просеивающая машина,,,,,91.21.22,,,,KSI180000853
,,,,BAT240,Истиратель,,,,,,,,,KSI180000854
,,,,BAT250,Мельница,,,,,,,,,KSI180000855
,,,,BAT260,Миксер,,,,,,,,,KSI180000856
,,,,BAT270,Пенетрометр,,,,,,,,,KSI180000857
,,,,BAT280,Станок для выпиливания образцов,,,,,,,,,KSI180000858
,,,,BAT290,Буровая колонка,,,,,,,,,KSI180000859
,,,,BAT300,Металлоискатель,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.21.22,ТО 38 50 50 12,,,KSI180000860
,,,,BAT310,Виброплощадка лабораторная,Стационарная вибрационная установка для уплотнения бетонной смеси,Терминологический словарь по строительству на 12 языках (ВНИИИС Госстроя СССР),,,,,,,KSI180000861
,,,,BAT320,Встряхивающий столик,,,,,,,,,KSI180000862
,,,,BAT330,Вибростол,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,KSI180000863
,,,,BAT340,Вибросито,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.21.22,ТО 38 10 10 10,,,KSI180000864
,,,,BAT350,Грохот,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"91.08.11
91.21.22",,,,KSI180000865
,,,,BAT360,Алмазный диск,,,,,01.7.17.06,,,,KSI180000866
,,,,BAT370,Отвес,,ГОСТ Р 58513-2019,,,,,,,KSI180000867
,,,,BAT380,Фонарик,,,,,,,,,KSI180000868
,,,,BAT390,Стрелочно-рычажное устройство для наблюдения за трещинами,,СТО 70238424.27.010.011-2008,,,,,,,KSI180000869
,,,,BAT400,Маяк для наблюдения за трещинами,,СП 305.1325800.2017,,,,,,,KSI180000870
,,BAU,,,"Прибор, измеряющий давление жидкости или газа, расход воды",,,,,,,,,KSI180000871
,,,,BAU010,Манометр,Измерительный прибор или измерительная установка для измерения давления или разности давлений.,"ГОСТ 8.271-77
Приказ Минстроя России от 17.11.2022 N 969/пр",,," 63.4.01
",,Определение синтезировано,,KSI180000872
,,,,BAU020,Водомер,Прибор для определения расхода воды,"СТО НОСТРОЙ 2.33.190-2016
Приказ Минстроя России от 17.11.2022 N 969/пр",,,65.1.01,,Определение синтезировано,,KSI180000873
,,BAV,,,Спектральные и оптические приборы,,,,,,,,,KSI180000874
,,,,BAV010,Микроскоп,,,,,,,,,KSI180000875
,,,,BAV020,Лупа,,,,,,,,,KSI180000876
,,,,BAV030,Бинокль,,ГОСТ 7048-81 ,,,,,,,KSI180000877
,,,,BAV040,Кювет оптический,"Сосуд плоской формы, предназначенный для фотометрирования в фотометрах, спектрофотометрах, колориметрах, флуориметрах, микроколориметрах, гемоглобинометрах и других приборах",,,,,,,,KSI180000878
,,,,BAV050,Спектрофотометр,"Спектральный прибор, сравнивающий измеряемый поток излучения с эталонным. Применяется в спектральном анализе",Большой Энциклопедический словарь. 2000,,,,,,,KSI180000879
,,,,BAV060,Спектрометр,Оптический прибор для измерения оптических спектров с помощью фотоэлектрических приемников излучения,Большой Энциклопедический словарь. 2000,,,,,,,KSI180000880
,,BAW,,,Электрохимические анализаторы,,,,,,,,,KSI180000881
,,,,BAW010,Иономер,,,,,,,,,KSI180000882
,,,,BAW020,рН-метр,,,,,,,,,KSI180000883
,,,,BAW030,Электрод ионселективный,,,,,,,,,KSI180000884
,,,,BAW040,Кондуктометр,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,63.4.07.01,,,,KSI180000885
,,,,BAW050,Солемер,,,,,,,,,KSI180000886
,,,,BAW060,Раствор для калибровки,,,,,,,,,KSI180000887
,,,,BAW070,Раствор для хранения и очистки электродов,,,,,,,,,KSI180000888
,,BAX,,,Приборы для контроля лакокрасочных материалов,,,,,,,,,KSI180000889
,,,,BAX010,Измеритель эластичности,,,,,,,,,KSI180000890
,,,,BAX020,Блескомер,,,,,,,,,KSI180000891
,,,,BAX030,Спектроколориметр,,,,,,,,,KSI180000892
,,,,BAX040,Гребенка,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,KSI180000893
,,,,BAX050,Гриндометр-клин,,,,,,,,,KSI180000894
,,,,BAX060,Пикнометр для лакокрасочных материалов,,,,,,,,,KSI180000895
,,BAY,,,Оборудование для фиксации и записи,,,,,,,,,KSI180000896
,,,,BAY010,Фотоаппарат,,,,,,,,,KSI180000897
,,,,BAY020,Видеокамера,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,61.3.01.01,,,,KSI180000898
,,,,BAY030,Квадрокоптер,,,,,,,,,KSI180000899
,,,,BAY040,Перископ,"Оптический прибор, дающий возможность рассматривать предметы, расположенные в горизонтальных плоскостях, не совпадающих с горизонтальной плоскостью глаза наблюдателя","ГОСТ 32963-2014
Приказ Минстроя России от 17.11.2022 N 969/пр",,,91.17.02,,,,KSI180000900
,,,,BAY050,Диктофон,,,,,,,,,KSI180000901
,,BAZ,,,Лабораторный инвентарь,,,,,,,,,KSI180000902
,,,,BAZ010,Бутыль с притертой пробкой,,,,,,,,,KSI180000903
,,,,BAZ020,Воронка,,,,,,,,,KSI180000904
,,,,BAZ030,Ванна для воды,,,,,,,,,KSI180000905
,,,,BAZ040,Бюретка,,,,,,,,,KSI180000906
,,,,BAZ050,Колба,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,KSI180000907
,,,,BAZ060,Пикнометр для жидкости,,,,,,,,,KSI180000908
,,,,BAZ070,Пипетка,,,,,,,,,KSI180000909
,,,,BAZ080,Пробирка,,,,,,,,,KSI180000910
,,,,BAZ090,Склянка,,,,,,,,,KSI180000911
,,,,BAZ100,Стаканчик стеклянный с притертой крышкой для взвешивания,,,,,,,,,KSI180000912
,,,,BAZ110,Стакан лабораторный,,,,,,,,,KSI180000913
,,,,BAZ120,Ступка и пестик,,,,,,,,,KSI180000914
,,,,BAZ130,Тигель,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,25.1.06.11,,,,KSI180000915
,,,,BAZ140,Чашка,,,,,,,,,KSI180000916
,,,,BAZ150,Цилиндр измерительный,,,,,,,,,KSI180000917
,,,,BAZ160,Эксикатор,,,,,,,,,KSI180000918
,,,,BAZ170,Сито,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,KSI180000919
,,,,BAZ180,Ареометр,Прибор для измерения плотности жидкостей и твердых тел,Большой Энциклопедический словарь. 2000,,,,,,,KSI180000920
,,,,BAZ190,Форма,,,,,,,,,KSI180000921
,,,,BAZ200,Конус,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,KSI180000922
,,,,BAZ210,Кольцо,,,,,,,,,KSI180000923
,,,,BAZ220,Туба,,,,,,,,,KSI180000924
,,,,BAZ230,Щипцы,,,,,,,,,KSI180000925
,,,,BAZ240,Пинцет,,,,,,,,,KSI180000926
,,,,BAZ250,Скальпель,,,,,,,,,KSI180000927
,,,,BAZ260,Корзина для проб,,,,,,,,,KSI180000928
,,,,BAZ270,Дозатор для пипеток,,,,,,,,,KSI180000929
,,,,BAZ280,Магнит,,,,,,,,,KSI180000930
,,,,BAZ290,Гири,,,,,,,,,KSI180000931
,,,,BAZ300,Фильтровальная бумага,,,,, 01.7.02.10,,,,KSI180000932
,,,,BAZ310,Фильтры обеззоленные,,,,,,,,,KSI180000933
,,,,BAZ320,Чашка выпарительная,,,,,,,,,KSI180000934
,,,,BAZ330,Стеклянная палочка,,,,,,,,,KSI180000935
,,,,BAZ340,Емкость для испытания образцов на морозостойкость,,,,,,,,,KSI180000936
,BB,,,,Оборудование для обеспечения безопасности движения при производстве работ,,"ГОСТ 32757-2014
Приказ Минстроя России от 17.11.2022 N 969/пр",Вид оборудования,,,,,,KSI180000937
,,BBA,,,Защитный блок,,ГОСТ 32757-2014,,,,,,,KSI180000938
,,BBB,,,Буфер дорожный,,"ГОСТ 32757-2014
Приказ Минстроя России от 17.11.2022 N 969/пр",,,,,,,KSI180000939
,,BBC,,,Временные дорожные знаки и сигналы,,ГОСТ 32757-2014,,, 01.5.03.03,,,,KSI180000940
,,,BBCA,,Временные дорожные светофоры,,ГОСТ 33385-2015,,,01.5.03.09,,,,KSI180000941
,,,BBCB,,Сигнальные фонари,,ГОСТ 32758-2014,,,,,,,KSI180000942
,,BBD,,,Временные дорожные ограждающие устройства,,ГОСТ 32757-2014,,,01.5.02.,,,,KSI180000943
,,,BBDA,,Временные дорожные барьеры,,ГОСТ 32758-2014,,,01.5.02.02,,,,KSI180000944
,,,BBDB,,Временные дорожные щиты,,ГОСТ 32758-2014,,,,,,,KSI180000945
,,,BBDC,,Временные дорожные ограждения,,ГОСТ 33128-2014,,,01.5.02.,,,,KSI180000946
,,BBE,,,Временные дорожные направляющие устройства,,ГОСТ 32757-2014,,,01.5.03.,,,,KSI180000947
,,,BBEA,,Временные дорожные тумбы,"Элемент обустройства автомобильной дороги, относящийся к направляющим устройствам и применяющийся совместно с другими техническими средствами организации дорожного движения.",ГОСТ 32759-2014,,,,,,,KSI180000948
,,,BBEB,,Дорожные конусы,,ГОСТ 32758-2014,,,,,,,KSI180000949
,,,BBEC,,Дорожные пластины,,ГОСТ 32758-2014,,,,,,,KSI180000950
,,,BBED,,Дорожные сигнальные вехи,,ГОСТ 32758-2014,,,01.5.03.06,,,,KSI180000951
,,,BBEE,,Дорожные сепараторы (делиниаторы),,"ГОСТ 32758-2014
Приказ Минстроя России от 17.11.2022 N 969/пр",,,01.5.03.02,,,,KSI180000952
,,BBF,,,"Дорожные оградительные ленты
","Ленты, изготавливленные из полиэтилена, имеющие чередующиеся красные и белые полосы, расположенные под углом от 45° до 70° к продольной оси дорожной оградительной ленты.","ГОСТ 32758-2014
ГОСТ 32757-2014",,,,,,,KSI180000953
,,BBG,,,Комплексы временных технических средств организации дорожного движения,"Состоят из следующих временных технических средств организации дорожного движения: временные дорожные знаки (включая знаки, изготовленные с использованием светодиодов), сигнальные фонари желтого цвета","ГОСТ 32757-2014
ГОСТ 32758-2014",,,,,,,KSI180000954
,,,BBGA,,Переносной комплекс временных технических средств организации дорожного движения,Комплекс смонтированный на щите желтого цвета или на временном дорожном щите. Координаты цветности и коэффициент яркости поверхности щита желтого цвета должны соответствовать установленным для дорожных знаков с внутренним и внешним освещением по ГОСТ 32945,ГОСТ 32758-2014,,,,,,,KSI180000955
,,,BBGB,,Передвижной (мобильный) комплекс временных технических средств организации дорожного движения,"Комплекс монтируется на автомобиле прикрытия или на автомобильном прицепе, выполняющем с автомобилем - тягачом роль автомобиля прикрытия, или на дорожных машинах. Передвижной (мобильный) комплекс временных технических средств организации дорожного движения может быть смонтирован на щите желтого цвета, расположенном на автомобиле прикрытия или на дорожных машинах. Координаты цветности и коэффициент яркости поверхности щита желтого цвета должны соответствовать установленным для дорожных знаков с внутренним и внешним освещением по ГОСТ 32945.",ГОСТ 32758-2014,,,,,,,KSI180000956
,,BBU,,,Автомобиль прикрытия,"Автомобиль, оборудованный проблесковым маячком оранжевого или желтого цвета и временными техническими средствами организации дорожного движения, предназначенный для ограждения (обозначения и защиты) мест краткосрочных работ (событий).",ГОСТ 32757-2014,,,,,,,KSI180000957
,,BBV,,,Громкоговоритель,,"ГОСТ 32757-2014
Приказ Минстроя России от 17.11.2022 N 969/пр",,,61.3.02,,,,KSI180000958
,BC,,,,"Оборудование, приборы и материалы для взрывных работ",,Приказ Ростехнадзора от 15.09.2011 N 537,"Вид оборудования, прибора или материала",,01.7.09,,,,KSI180000959
,,BCA,,,Взрывчатое вещество,,Приказ Ростехнадзора от 15.09.2011 N 537,,,,,,,KSI180000960
,,,BCAA,,"Взрывчатое вещество и изделие из него, предназначенное для взрывания только на земной поверхности (I класс)",,Приказ Ростехнадзора от 15.09.2011 N 537,,,,,,,KSI180000961
,,,,BCAA010,Взрывчатое вещество и изделие из него гранулированное I класс,,Приказ Ростехнадзора от 15.09.2011 N 537,,,,,,,KSI180000962
,,,,BCAA020,Взрывчатое вещество и изделие из него порошкообразное,,Приказ Ростехнадзора от 15.09.2011 N 537,,,,,,,KSI180000963
,,,,BCAA030,Взрывчатое вещество и изделие из него водосодержащее I класс,,Приказ Ростехнадзора от 15.09.2011 N 537,,,,,,,KSI180000964
,,,,BCAA040,Взрывчатое вещество и изделие из него эмульсионное I класс,,Приказ Ростехнадзора от 15.09.2011 N 537,,,,,,,KSI180000965
,,,BCAB,,"Взрывчатое вещество и изделие из него, предназначенное для взрывания на земной поверхности и в забоях подземных выработок шахт (рудников), не опасных по газу или пыли (II класс)",,Приказ Ростехнадзора от 15.09.2011 N 537,,,,,,,KSI180000966
