Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Примечания
,,AFQ,,,Вышка съемная монтажная,Средство для технического обслуживания и ремонта контактной сети на железнодорожном транспорте,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,30.20.31.118.91.09.14-001,ТО 36 10 30 06,Определение синтезировано
,,AFR,,,Робот гидродемонтажный для разборки бетонных и железобетонных поверхностей,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.92.12.129.91.09.14-010,,
,,AFS,,,Машина вакуумная путевая,"Машина путевая вакуумная уборочная предназначеная для проведения на железнодорожных путях местной выборки загрязненного щебня без снятия рельсошпальной решетки; очистки стрелок, переездов, тоннелей, мостов, водных пропусков и дренажных каналов железнодорожного пути, отрытия электрических и сигнальных кабелей, рытье траншей и ям, разгрузки сыпучих материалов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,30.20.31.118.91.09.14-021,,Определение синтезировано
,,AFT,,,Машина кюветоочистительная,"Путевая машина, применяемая на железных дорогах для нарезки и очистки кюветов при текущем содержании железнодорожных путей",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,30.20.31.118.91.09.14-031,,Определение синтезировано
,,AFU,,,Модуль тягово-энергетический для несамоходных машин,Тягово-энергетический модуль (установка) (ТЭМ) для несамоходных путевых машин предназначеная для транспортирования и энергообеспечения щебнеочистительных машин в комплексе с составом для засорителей,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,30.20.31.117.91.09.14-041,,Определение синтезировано
,,AFV,,,Прибор для регулировки стыков и зазоров железнодорожных путей,Путевой инструмент для регулировки (разгонки) зазоров в рельсовых стыках,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,"30.20.31.118.91.09.14-061
30.20.31.118.91.09.14-062",,Определение синтезировано
,,AFW,,,Состав для засорителей,"Состав для вывозки засорителей , состоящий из шести универсальных полувагонов и одного концевого, предназначен для механизированного наполнения при производстве путевых работ, транспортирования к месту выгрузки засорителей, загрязненного щебня, сыпучих материалов в отведенных местах",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,30.20.31.115.91.09.14-071,,Определение синтезировано
,,AFX,,,Оборудование для срезки грата,Оборудование для срезки грата,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,30.20.31.118.91.09.14-500,,Определение синтезировано
,,AFY,,,Экскаватор-погрузчик на комбинированном ходу при устройстве верхнего строения пути,Экскаватор-погрузчик на комбинированном ходу при устройстве верхнего строения пути,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,30.20.31.118.91.09.14-502,,Определение синтезировано
,AG,,,,Машины для строительства магистральных трубопроводов,"Машины, используемые при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),Назначение (функция) машины,,91.10,,Определение синтезировано
,,AGA,,,Агрегат наполнительно-опрессовочный,"Агрегат наполнительно-опрессовочный, используемый при строительстве магистральных трубопроводов","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,91.10.01,"ТО 38 10 10 01
ТО 38 10 10 02",Определение синтезировано
,,AGB,,,Битумозаправщик,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,91.10.03,,Определение синтезировано
,,AGC,,,"Машина для очистки, грунтовки и изоляции труб","Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,91.10.04,,Определение синтезировано
,,,,AGC010,Машина прочистная секционного типа для труб,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.99.39.190.91.10.04-001,,Определение синтезировано
,,,,AGC020,Машина для очистки и грунтовки труб,"Машина, используемая при строительстве магистральных трубопроводов","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,28.99.39.190.91.10.04-011 28.99.39.190.91.10.04-012 28.99.39.190.91.10.04-013,ТО 42 20 40 10,Определение синтезировано
,,,,AGC030,Машина для очистки и изоляции полимерными лентами труб,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.99.39.190.91.10.04-015 28.99.39.190.91.10.04-016 28.99.39.190.91.10.04-017 28.99.39.190.91.10.04-018 28.99.39.190.91.10.04-019,,Определение синтезировано
,,,,AGC040,Машина изоляционная для труб,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.99.39.190.91.10.04-020 28.99.39.190.91.10.04-021 28.99.39.190.91.10.04-023 28.99.39.190.91.10.04-024,,Определение синтезировано
,,,,AGC050,"Машина навивочная для навивки профиля из НПВХ сложной конфигурации шириной от 67 до 80 мм, армированного сталью, с двойным механическим замком с уплотнением, в трубу методом спиральной навивки","Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.99.39.190.91.10.04-025,,Определение синтезировано
,,,,AGC060,Установка для очистки трубопроводов,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.99.39.190.91.10.04-031,,Определение синтезировано
,,,,AGC070,Установка для химической очистки маслопроводов,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.99.39.190.91.10.04-041,,Определение синтезировано
,,,,AGC080,Установка для нанесения полимерного покрытия методом напыления на внутреннюю поверхность трубопроводов,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.99.39.190.91.10.04-051,,Определение синтезировано
,,,,AGC090,Комплект оборудования для цементно-песчаной облицовки внутренних поверхностей трубопроводов,Комплект оборудования используемый при строительстве магистральных трубопроводов,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,28.99.39.190.91.10.04-500,ТО 38 10 10 20,Определение синтезировано
,,,,AGC100,Машина механической очистки канализационных сетей,"Машина, используемая при строительстве магистральных трубопроводов","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,28.99.39.190.91.10.04-524,ТО 38 50 10 01,Определение синтезировано
,,,,AGC110,Машина центробежного набрызга для облицовки внутренней поверхности трубопровода,"Машина, используемая при строительстве магистральных трубопроводов","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,28.99.39.190.91.10.04-526,ТО 38 50 10 07,Определение синтезировано
,,,,AGC120,Питающая тележка для устройства цементно-песчаной изоляции внутренних поверхностей стальных труб,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.99.39.190.91.10.04-528,,Определение синтезировано
,,,,AGC130,Платформа прицепная для устройства цементно-песчаной изоляции внутренних поверхностей стальных труб в комплекте с растворосмесителем и дизель-генератором,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.99.39.190.91.10.04-530,,Определение синтезировано
,,,,AGC140,Робот для устранения ответвлений и устранения препятствий в трубопроводе на шасси автомобиля,Робот используемый при строительстве магистральных трубопроводов,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,28.99.39.190.91.10.04-532,ТО 38 50 20 09,Определение синтезировано
,,,,AGC150,Тросопротягиватель самоходный для устройства цементно-песчаной изоляции,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.99.39.190.91.10.04-534,,Определение синтезировано
,,,,AGC160,Установка для бестраншейного обновления старых трубопроводов,"Установка, используемая при строительстве магистральных трубопроводов","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,28.99.39.190.91.10.04-538,ТО 38 50 10 02,Определение синтезировано
,,,,AGC170,Установка для гидроочистки труб под сверхвысоким давлением,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.99.39.190.91.10.04-540,,Определение синтезировано
,,,,AGC180,Установка для очистки внутренних поверхностей стальных труб,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.99.39.190.91.10.04-542 28.99.39.190.91.10.04-544 28.99.39.190.91.10.04-546,,Определение синтезировано
,,,,AGC190,Установка для устройства цементно-песчаной изоляции внутренних поверхностей стальных труб,"Установка, используемая при строительстве магистральных трубопроводов","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,28.99.39.190.91.10.04-548 28.99.39.190.91.10.04-550 28.99.39.190.91.10.04-552 28.99.39.190.91.10.04-554 28.99.39.190.91.10.04-556 28.99.39.190.91.10.04-558,ТО 38 50 50 05,Определение синтезировано
,,,,AGC200,Установка на базе автомобиля для напыления внутренней поверхности труб двухкомпонентным полимерным материалом,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.99.39.190.91.10.04-562,,Определение синтезировано
,,,,AGC210,Установка реверсивная с парогенератором для санации труб тканевым шлангом,"Установка, используемая при строительстве магистральных трубопроводов","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,28.99.39.190.91.10.04-564 28.99.39.190.91.10.04-566 28.99.39.190.91.10.04-568,ТО 38 50 50 09,Определение синтезировано
,,,,AGC220,Установка электрогидроимпульсная для очистки внутренних поверхностей трубопровода,"Установка, используемая при строительстве магистральных трубопроводов","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,28.99.39.190.91.10.04-570,ТО 34 30 20 02,Определение синтезировано
,,,,AGC230,Машина центробежного набрызга для облицовки внутренней поверхности трубопровода,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,"28.99.39.190.91.10.04-526
28.99.39.190.91.10.04-571
28.99.39.190.91.10.04-572
28.99.39.190.91.10.04-573
28.99.39.190.91.10.04-574",,Определение синтезировано
,,,,AGC240,Комплект приспособлений для проведения работ по санации трубопровода рукавом из нержавеющей стали,Комплект приспособлений используемый при строительстве магистральных трубопроводов,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.99.39.190.91.10.11-510,,Определение синтезировано
,,,,AGC250,Установка самоходная комплексная для санации безнапорных канализационных трубопроводов светополимерным рукавом,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.99.39.190.91.10.11-570,,Определение синтезировано
,,AGD,,,Трубоукладчик,"Самоходная гусеничная машина, предназначенная для подъема и укладки труб и транспортирования оборудования для трубопроводов. Данная машина, базой для которой служит гусеничный трактор, имеет специально сконструированные составные части, например главную раму, противовес, механизм подъема стрелы и груза и боковую стрелу, поворачивающуюся только в вертикальной плоскости.","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,91.10.05,ТО 14 25,ГОСТ 27963-88 (ИСО 7136-86) 
,,AGE,,,Установка для подогрева стыков труб,"Установка, используемая при строительстве магистральных трубопроводов","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,91.10.06,ТО 38 50 50 04,Определение синтезировано
,,AGF,,,Установка для продавливания труб,"Установка, используемая при строительстве магистральных трубопроводов","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,91.10.07,"ТО 14 20 10 01
ТО 14 20 10 02",Определение синтезировано
,,AGG,,,Установка для сушки труб,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,91.10.08,,Определение синтезировано
,,AGH,,,Устройство для  испытаний трубопроводов ,"Устройство, используемое при строительстве магистральных трубопроводов для обследований и испытаний трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,91.10.09,,Определение синтезировано
,,,,AGH010,Система телеинспекционная для обследования труб на базе автомобиля,"Система, используемая при строительстве магистральных трубопроводов для обследований и испытаний трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,29.10.59.390.91.10.11-031,,Определение синтезировано
,,,,AGH020,Георадар,"Геофизический прибор, предназначенный для георадиолокационных исследований любой среды, кроме металла, (грунты, материалы, горные породы, акватории, строительные конструкции и т.д.), применяется для оценки однородности уложенных дорожностроительных материалов","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,28.99.39.190.91.10.11-500,ТО 38 50 20 13,СП 78.13330.2012 
,,,,AGH030,Комплекс робототехнический для телевизионного контроля и ремонта трубопровода,Комплекс используемый при строительстве магистральных трубопроводов для обследований и испытаний трубопроводов,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,"28.99.39.190.91.10.11-506
28.99.39.190.91.10.11-508","ТО 38 50 10 03
ТО 38 50 20 14",Определение синтезировано
,,,,AGH040,Микроавтобус со встроенным оборудованием для видеосъемки внутренней полости и поиска повреждений трубопровода,"Машина, используемая при строительстве магистральных трубопроводов для обследований и испытаний трубопроводов","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,28.99.39.190.91.10.11-522,ТО 38 50 10 13,Определение синтезировано
,,,,AGH050,Детектор обнаружения течи на плоских поверхностях методом векторного картирования,"Устройство, используемое при строительстве магистральных трубопроводов для обследований и испытаний трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.99.39.190.91.10.11-523,,Определение синтезировано
,,,,AGH060,Комплекс мобильный для диагностики внутренней поверхности трубопроводов методом акустического резонанса,Комплекс используемый при строительстве магистральных трубопроводов для обследований и испытаний трубопроводов,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.99.39.190.91.10.11-524,,Определение синтезировано
,,,,AGH070,"Установка для гидравлических испытаний трубопроводов, давление нагнетания низкое 0,1 МПа (1 кгс/см2), высокое 10 МПа (100 кгс/см2)","Установка, используемая при строительстве магистральных трубопроводов для обследований и испытаний трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.99.39.190.91.10.09-011,,Определение синтезировано
,,,,AGH080,"Установка для гидравлических испытаний трубопроводов, давление нагнетания низкое 0,1 МПа (1 кгс/см2), высокое 10 МПа (100 кгс/см2) при работе от передвижных электростанций","Установка, используемая при строительстве магистральных трубопроводов для обследований и испытаний трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.99.39.190.91.10.09-012,,Определение синтезировано
,,AGJ,,,Центратор,Приспособление используемое при строительстве магистральных трубопроводов,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,91.10.10,,Определение синтезировано
,,AGK,,,Машина для завинчивания анкеров (без крана-трубоукладчика),"Машина, используемая при строительстве магистральных трубопроводов","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,28.99.39.190.91.10.11-021,ТО 42 20 40 11,Определение синтезировано
,,AGL,,,Установка для обработки кромок труб,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.41.31.120.91.10.11-042,,Определение синтезировано
,,AGM,,,Устройство для исправления вмятин на трубах,"Устройство, используемое при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.99.39.190.91.10.11-051,,Определение синтезировано
,,AGN,,,Установка с 4 гидравлическими домкратами для продавливания труб диаметром 1000-1720 мм при работе на сооружении магистральных трубопроводов,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.12.20.000.91.10.11-043,,Определение синтезировано
,,AGP,,,Фиксатор модулей,"Устройство, используемое при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.99.39.190.91.10.11-061,,Определение синтезировано
,,AGQ,,,Машина для безогневой резки труб,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.41.24.190.91.10.11-011,,Определение синтезировано
,,AGR,,,Разрушитель гидравлический для замены трубопроводов,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.99.39.190.91.10.11-081 28.99.39.190.91.10.11-082,,Определение синтезировано
,,AGS,,,Машина для врезки в действующий стальной газопровод,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.99.39.190.91.10.11-516 28.99.39.190.91.10.11-518,,Определение синтезировано
,,AGT,,,Механизм установки пробок в действующем стальном газопроводе,Механизм используемый при строительстве магистральных трубопроводов,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,28.99.39.190.91.10.11-520,ТО 38 50 10 08,Определение синтезировано
,,AGU,,,Механизм для врезки в магистральный стальной трубопровод,"Механизм, используемый при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.99.39.190.91.10.11-525,,Определение синтезировано
,,AGV,,,Механизм для перекрытия полости магистрального стального трубопровода при врезке,"Механизм, используемый при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.99.39.190.91.10.11-526,,Определение синтезировано
,,AGW,,,Эндоскоп канализационный,"Устройство, используемое при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.99.39.190.91.10.11-540,,Определение синтезировано
,AH,,,,Машины для водохозяйственного строительства и мелиоративных работ,"Машины, используемые в водохозяйственном строительстве и мелиоративных работах",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),Назначение (функция) машины,,91.12,,Определенике сгенерировано
,,AHA,,,Машина для освоения закустаренных земель,"Машина, предназначенная для освоения закустаренных земель",,,,,,Определение синтезировано
,,,,AHA010,Борона,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,91.12.01,ТО 38 10 10 07,Определение синтезировано
,,,,AHA020,Корчеватель,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,91.12.02,ТО 38 20,Определение синтезировано
,,,,AHA030,Кусторез,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,91.12.04,,Определение синтезировано
,,,,AHA040,Плуг,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Машина глубинной подготовки полей на тракторе
Плуг выкопочный (без трактора)
Плуг трехкорпусный навесной
Плуг четырехкорпусный навесной",91.12.05,ТО 38 50 10 15,Определение синтезировано
,,,,AHA050,Мульчер самоходный на гусеничном ходу,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.30.86.130.91.12.08-514 28.30.86.130.91.12.08-516 28.30.86.130.91.12.08-518,,Определение синтезировано
,,,,AHA060,Валкователь древесных остатков (без трактора),,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.30.86.130.91.12.08-001,,Определение синтезировано
,,,,AHA070,Грабли кустарниковые навесные (без трактора),,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.30.86.130.91.12.08-021,,Определение синтезировано
,,,,AHA080,Подборщик мелких древесных остатков,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.30.86.130.91.12.08-131,,Определение синтезировано
,,,,AHA090,Пнедробилка,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,28.30.86.130.91.21.22-636,ТО 42 20 80 07,Определение синтезировано
,,AHB,,,Машина для обработки почвы,"Машина, предназначенная для обработки почвы",,,,,,Определение синтезировано
,,,,AHB010,Рыхлитель,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,28.30.32.140.91.12.06-012,ТО 38 50 10 16,Определение синтезировано
,,,,AHB020,Культиватор,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.30.32.130.91.12.06-001,,Определение синтезировано
,,,,AHB030,Лущильщик,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.30.32.130.91.12.08-071,,Определение синтезировано
,,,,AHB040,Каток прицепной кольчатый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.30.86.110.91.12.08-051,,Определение синтезировано
,,,,AHB050,Планировщик длиннобазовый (без трактора),,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.92.22.120.91.12.08-121,,Определение синтезировано
,,,,AHB060,Машина камнеуборочные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.30.39.000.91.12.08-081,,Определение синтезировано
,,AHC,,,Машина для посадочных работ,"Машина, предназначенная для посадочных работ",,,,,,Определение синтезировано
,,,,AHC010,Сеялка,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,28.30.33.119.91.12.07-021 28.30.33.119.91.12.07-022,ТО 38 10 10 15,Определение синтезировано
,,,,AHC020,Сажалка,,,,,,,Определение синтезировано
,,,,AHC030,Рассадопосадочная машина,,СТО АИСТ 5.3.2010,,,,,Определение синтезировано
,,,,AHC040,Ямокопатель,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,28.92.27.111.91.12.08-161,ТО 38 50 50 15,Определение синтезировано
,,,,AHC050,Агрегат для травосеяния на откосах автомобильных и железных дорог,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.30.33.119.91.12.07-001,,Определение синтезировано
,,,,AHC060,Агрегаты посадочный прицепной,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.30.33.130.91.12.07-002,,Определение синтезировано
,,,,AHC070,Машина для укрепления откосов земляного полотна гидропосевом с мульчированием,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.30.33.119.91.12.07-011,,Определение синтезировано
,,,,AHC080,Установка для гидропосева многолетних трав,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,28.30.33.119.91.12.07-030 28.30.33.119.91.12.07-031 28.30.33.119.91.12.07-516,ТО 38 50 50 07,Определение синтезировано
,,,,AHC090,Машина самоходная для засыпки и разметания наполнителей для искусственной травы,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.30.34.000.91.12.07-506,,Определение синтезировано
,,,,AHC100,Укладчик полимерных покрытий на игровых и спортивных площадках,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.92.30.190.91.12.07-512,,Определение синтезировано
,,,,AHC110,Машина лесопосадочная (без трактора),,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.30.86.130.91.12.08-083,,Определение синтезировано
,,,,AHC120,Разбрасыватель тракторный прицепной,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.30.34.000.91.12.08-141,,Определение синтезировано
,,AHD,,,Машина для устройства дренажа,"Машина, предназначенная для устройства дренажа",,,,,,Определение синтезировано
,,,,AHD010,Канавокопатель,"Машина, предназначенная для отрытия осушительных канав дренажных и оросительных каналов, кюветов и т.п.",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.92.27.111.91.12.08-031 28.92.27.111.91.12.08-032,,Определение синтезировано
,,,,AHD020,Машина кротодренажная,Мелиоративная машина для прокладки дрены формированием ее в грунте,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.92.30.190.91.12.08-082,,Определение синтезировано
,,AHE,,,Машина для ухода за зелеными насаждениями,"Машина, предназначенная для ухода за зелеными насаждениями",,,,,,Определение синтезировано
,,,,AHE010,Генератор аэрозольный,"Устройство, вырабатывающее и распыляющее аэрозоли (туманы)",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.30.60.000.91.12.08-011,,Определение синтезировано
,,,,AHE020,Опрыскиватель,Машина для опрыскивания растений растворами,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,Опрыскиватель вентиляторный,28.30.60.000.91.12.08-101,ТО 20 90 20 01,Определение синтезировано
,,,,AHE030,Опыливатель,Машина для опыливания растений,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,Опыливатель широкозахватный универсальный,28.30.60.000.91.12.08-111,ТО 20 90 20 02,Определение синтезировано
