Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Код соответствующего ОКС по классификатору МССК,Примечания
,,JCC,,,"Здание (сооружение) объектов хранения оборудования, деталей машин и механизмов",,,,"Сооружение механизированного склада заводов тяжелого и транспортного машиностроения
Здание склада материалов, изделий и механизмов шахты добычи железных руд
Сооружение склада хранения средств гражданской обороны",,,
,,JCD,,,Здание (сооружение) объектов хранения товаров,,,,"Здание (сооружение) склада транспортно-экспедиционной службы
Магазин-склад
Специализированный общетоварный склад
Здание склада товаров",,,
,JD,,,,Объекты хранения отходов,,,По виду ОКС,,,,
,,JDA,,,Объекты хранения неопасных отходов,,,По виду ОКС,,,,
,,,JDAA,,Здание (сооружение) объектов хранения твердых коммунальных и смешанных отходов,,,,Полигон ТБО,,,
,,,JDAB,,Здание (сооружение) объектов хранения промышленных отходов,,,,Сооружение площадки для складирования металлического лома,,,
,,JDB,,,Объекты хранения опасных отходов,,,По виду ОКС,,,,
,,,JDBA,,Здание (сооружение) объектов хранения биологических отходов,,,,Сооружение скотомогильника,,,
,,,JDBB,,Здание (сооружение) объектов хранения радиоактивных отходов,,Приказ Минстроя России от 10.07.2020 N 374/пр,,Здание хранилища РАО,16.3.1.9,,
,,,JDBC,,Здание (сооружение) объектов хранения токсичных отходов,,,,Здание склада хранения химических отходов,,,
K,,,,,Объекты культуры и искусства,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,21,,
,KA,,,,"Объекты культуры, искусства и истории",,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",По виду ОКС,,21.2,ВН НН 30,
,,KAA,,,Библиотеки и архивы,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,21.2.2,,
,,,KAAA,,Здание архива,"Учреждение или структурное подразделение организации, осуществляющие хранение, комплектование, учет и использование архивных документов.","Приказ Минстроя России от 10.07.2020 N 374/пр
Федеральный закон от 22.10.2004 г. N 125-ФЗ",,Архив,21.2.2,,
,,,KAAB,,Здание библиотеки,"Информационное, культурное, образовательное учреждение, располагающее организованным фондом документов и предоставляющее их во временное пользование абонентам, а также осуществляющее другие библиотечные услуги","Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39
ГОСТ 7.0-99 СИБИД",,Библиотека,21.2.2,ВН НН 30 10 10,
,,KAB,,,"Исторические места и здания, памятники культуры",,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,21.2.5,,
,,,KABA,,Историческое здание,,Приказ Минстроя России от 10.07.2020 N 374/пр,,Памятник архитектуры,21.2.5,,
,,,KABB,,Сооружение памятника культуры,"Расположенный на данной территории и связанный с историческими событиями и развитием города объект недвижимого историко-культурного наследия, зарегистрированный в Государственном реестре памятников истории и культуры: историко-градостроительный ансамбль, историко-архитектурный комплекс и ансамбль, здание, строение с принадлежащей ему территорией, сооружение, участок культурного слоя, достопримечательное место, особо охраняемая территория, а также движимые объекты, находящиеся на нем и являющиеся его неотъемлемой частью, представляющие историческую, научную, художественную или иную культурную ценность.","Приказ Минстроя России от 10.07.2020 N 374/пр
ТСН 11-301-2005",,Памятник,21.2.5,,
,,KAC,,,Здание культурно-досугового объекта,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Здание дома (дворца) культуры
Здание дома декоративно-прикладного творчества
Здание дома музыки
Здание дома национального искусства
Здание многоцелевого центра искусств","21.2.3.1
21.2.3.2
21.2.3.3
21.2.3.5
21.2.3.6",ВН НН 30 30 20,
,,KAD,,,Здание культурно-зрелищного объекта,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Здание кинотеатра
Здание концертного зала
Здание музыкального театра
Здание театра
Здание филармонии
Здание цирка","21.2.4.1
21.2.4.3
21.2.4.4",ВН НН 30 20,
,,KAE,,,Здание культурно-просветительского объекта,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Здание выставочного зала
Здание музея
Здание картинной галереи",21.2.1.1,"ВН НН 30 10 20
ВН НН 30 10 30
ВН НН 30 10 40",
,KB,,,,"Объекты производства и издания литературных и музыкальных произведений, кино- и видеофильмов, телевизионных программ и звукозаписей",,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,21.1,,
,,KBA,,,Здание издательства,"Юридически оформленное хозяйственно самостоятельное учреждение, ведущее подготовку и выпуск издательской продукции.","Приказ Минстроя России от 10.07.2020 N 374/пр
ГОСТ 7.81-2001 СИБИД",,"Здание издательства газет и журналов
Здание издательства книг",21.1.1,,
,,KBB,,,Здание студии звукозаписи и издания музыкальных произведений,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание студии звукозаписи
Здание студии издания музыкальных произведений",21.1.3,,
,,KBC,,,Здание студии производства кинофильмов и телевизионных программ,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание студии по производству кинофильмов
Здание студии по производству телевизионных программ",21.1.2,,
,KC,,,,Объекты религиозного и культового обеспечения,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",По виду ОКС,,21.3,ВН НН 30 40,
,,KCA,,,Здание (сооружение) религиозных и культовых объектов образовательного назначения,"Здания, сооружения, помещения, монастырские, храмовые и (или) иные культовые комплексы, построенные или перепрофилированные (целевое назначение которых изменено) для осуществления и (или) обеспечения таких видов деятельности религиозных организаций, как совершение богослужений, других религиозных обрядов и церемоний, проведение молитвенных и религиозных собраний, обучение религии, профессиональное религиозное образование, монашеская жизнедеятельность, религиозное почитание (паломничество)","Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39
СП 258.1311500.2016",,"Здание воскресной школы
Здание медресе
Здание семинарии
Здание церковного училища",21.3.2,"ВН НН 30 40 65
ВН НН 30 40 70
ВН НН 30 40 75",
,,KCB,,,"Здание (сооружение) религиозных и культовых объектов, монастырей","Здания, сооружения, помещения, монастырские, храмовые и (или) иные культовые комплексы, построенные или перепрофилированные (целевое назначение которых изменено) для осуществления и (или) обеспечения таких видов деятельности религиозных организаций, как совершение богослужений, других религиозных обрядов и церемоний, проведение молитвенных и религиозных собраний, обучение религии, профессиональное религиозное образование, монашеская жизнедеятельность, религиозное почитание (паломничество)","Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39
СП 258.1311500.2016",,"Административное здание монастыря
Здание братского (сестринского) корпуса
Здание костела
Здание мечети
Здание минарета
Здание собора
Здание храма
Здание церкви
Здание колокольни
Здание часовни
Здание молельного дома
Здание синагоги",21.3.1,"ВН НН 30 40 10
ВН НН 30 40 15
ВН НН 30 40 20
ВН НН 30 40 25
ВН НН 30 40 30
ВН НН 30 40 35
ВН НН 30 40 40
ВН НН 30 40 45
ВН НН 30 40 50
ВН НН 30 40 55
ВН НН 30 40 60",
L,,,,,Объекты капитального строительства информационно-коммуникационных технологий,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,22,,
,LA,,,,Объекты обработки и хранения данных,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,22.3,,
,,LAA,,,Здание (сооружение) объектов обработки данных,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание научно-исследовательского вычислительного центра
Здание центра информационно­вычислительного",22.3.1,,
,,LAB,,,Здание (сооружение) объектов организаций хранения данных,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание дата-центра
Здание модульного дата-центра",22.3.2,,
,LB,,,,Объекты связи на базе беспроводных технологий,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,22.2,,
,,LBA,,,Здание (сооружение) радиотелецентра,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание аппаратной радиотелефонной связи
Здание аппаратно-студийного комплекса
Здание радиовещательного узла",22.2.1,,
,,LBB,,,Здание (сооружение) объектов для обеспечения связи,,Приказ Минстроя России от 10.07.2020 N 374/пр,,Сооружение радиобашни (радиомачты),22.2.2,,
,LC,,,,Объекты связи на базе проводных технологий,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,22.1,,
,,LCA,,,Сооружение кабельной линии связи с волоконно-оптическим кабелем,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание автоматического междугородного цифрового коммутатора (РМТС)
Здание для ведомого задающего генератора
Здание станции оконечной или промежуточной системы передачи",22.1.5,,
,,LCB,,,Здание (сооружение) объектов проводной связи,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Сооружение канализации кабелей связи
Сооружение коллектора для кабелей связи",22.1.1,,
,,LCC,,,Здание (сооружение) объектов сетей проводного вещания,,Приказ Минстроя России от 10.07.2020 N 374/пр,,Здание центральной станции трехпрограммного проводного вещания,22.1.2,,
,,LCD,,,Здание (сооружение) телефонной (телеграфной) станции,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Здание комбинированной АМТС/АТС
Здание телефонной станции (подстанции)
Здание электронной телеграфной станции",22.1.3,ВН ПН 20 40 30,
,,LCE,,,Здание (сооружение) центра коммутации,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание автоматизированного узла коммутации сообщений
Здание локального центра коммутации
Здание территориального центра коммутации",22.1.4,,
M,,,,,"Объекты административно-делового, государственного, муниципального и общественного управления",,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,23,,
,MA,,,,Объекты административного управления и бытового обеспечения промышленных предприятий,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,23.3,,
,,MAA,,,Здание (сооружение) объектов административно­бытовые,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Административно-бытовое здание
Административное здание с санпропускником
Административно-производственное здание",23.3.1,,
,,MAB,,,Здание (сооружение) объектов административно-охранные,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание (сооружение) проходной
Здание охранного комплекса
Здание служебного собаководства войсковой охраны",23.3.2,,
,MB,,,,Объекты бизнес управления,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,23.1,,
,,MBA,,,Здание бизнес-центра,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Здание бизнес-инкубатора
Здание делового центра
Здание многофункционального комплекса",23.1.1,"ВН НН 10 50 20
ВН НН 10 80 20",
,,MBB,,,Здание (сооружение) логистического центра,,Приказ Минстроя России от 10.07.2020 N 374/пр,,Здание грузового терминала,20.1.3,,
,,MBC,,,Здание (сооружение) объектов финансово­кредитных и страховых организаций,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Здание банка
Здание страховой организации",23.1.2,ВН НН 10 60,
,MC,,,,Объекты государственного и муниципального управления общего и социально­экономического назначения,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",По виду ОКС,,23.2,ВН НН 10,
,,MCA,,,Здание (сооружение) объектов органов законодательной власти и органов местного самоуправления,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание органов государственной власти Российской Федерации
Здание органов местного самоуправления
Здание органов региональной власти",23.2.1,,
,,MCB,,,Здание (сооружение) объектов органов исполнительной власти,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Здание государственного фонда
Здание многофункционального центра предоставления государственных и муниципальных услуг
Здание налоговой инспекции",23.2.2,"ВН НН 10 40 15
ВН НН 10 40 20
ВН НН 10 40 25
ВН НН 10 40 30
ВН НН 10 40 60",
,,MCC,,,Здание (сооружение) объектов представительств иностранных государств,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Здание консульства
Здание посольства
Здание торгового представительства",23.2.3,"ВН НН 10 40 45
ВН НН 10 40 50
ВН НН 10 40 55",
,,MCD,,,Здание (сооружение) объектов представительств Российской Федерации за рубежом,,Приказ Минстроя России от 10.07.2020 N 374/пр,,Здание представительства Российской Федерации за рубежом,23.2.4,,
N,,,,,"Объекты для осуществления научных исследований, проектирования, изысканий",,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,24,,
,NA,,,,Объекты для осуществления фундаментальных научных исследований,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,24.1,,
,,NAA,,,Здание (сооружение) объектов для осуществления научной деятельности в фундаментальных науках,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Здание исследовательского (экспериментального) корпуса института
Здание научного центра
Здание научно-исследовательского института",24.1.1,ВН НН 10 70 10,
,,NAB,,,Здание (сооружение) объектов экспериментальной базы фундаментальной науки,,Приказ Минстроя России от 10.07.2020 N 374/пр,,Здание (сооружение) научно­экспериментальной установки (стенда),24.1.2,,
,NB,,,,"Объекты для проведения инженерных изысканий, проектирования",,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",По виду ОКС,,24.3,ВН НН 10 20,
,,NBA,,,"Здание (сооружение) объектов организаций, осуществляющие изыскательскую деятельность",,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Здание гидрометеоцентра, радиометеоцентра
Сооружение организации инженерных изысканий",24.3.2,"ВН НН 10 90 30
ВН НН 10 90 40
ВН НН 10 90 50",
,,NBB,,,"Здание (сооружение) объектов организаций, осуществляющих проектную деятельность",,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Здание конструкторского бюро
Здание проектного института",24.3.1,"ВН НН 10 90 10
ВН НН 10 90 20",
,NC,,,,"Объекты для проведения технических испытаний, прикладных исследований, анализа и сертификации",,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,24.2,,
,,NCA,,,"Здание (сооружение) объектов для осуществления анализа, сертификации, технических испытаний",,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание центра сертификации
Сооружение испытательного стенда",24.2.2,,
,,NCB,,,Здание (сооружение) объектов для осуществления деятельности в сфере прикладных исследований,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Здание лабораторного корпуса
Здание научной и опытной станции
Здание производственно­лабораторного корпуса",24.2.1,"ВН НН 10 70 20
ВН НН 10 70 40
ВН НН 10 70 50",
P,,,,,Объекты обеспечения безопасности и правопорядка,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,25,,
,PA,,,,Объекты гражданской обороны и защиты населения,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,25.4,,
,,PAA,,,Здание (сооружение) объектов гражданской обороны,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание системы оповещения
Здание цента управления
Сооружение командного пункта или пункта управления (защищенного)",25.4.1,,
,,PAB,,,Здание (сооружение) объектов защиты населения,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание (сооружение) санитарно­обмывочного пункта
Здание (сооружение) станции обеззараживания техники
Сооружение противорадиационного укрытия",25.4.2,,
,PB,,,,Объекты обеспечения безопасности и охраны правопорядка,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,25.2,,
,,PBA,,,Здание (сооружение) объектов обустройства государственной границы,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание кинологической службы
Здание контрольно- пропускного пункта режимной зоны
Здание с блоком ветеринарного контроля",25.2.2,,
,,PBB,,,"Здание (сооружение) объектов органов власти, обеспечивающих безопасность и охрану правопорядка",,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Здание государственной инспекции по обеспечению безопасности дорожного движения
Здание общественного пункта охраны порядка
Здание полиции
Здание поста дорожно-патрульной службы",25.2.1,ВН НН 10 30,
,PC,,,,Объекты обеспечения ликвидации чрезвычайных ситуаций и стихийных бедствий,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,25.3,,
,,PCA,,,Здание (сооружение) объектов обеспечения ликвидации чрезвычайных ситуаций,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание горноспасательной части
Здание отряда Центроспас
Здание центра по проведению спасательных операций",25.3.1.1,,
,,PCB,,,Здание (сооружение) объектов пожарной охраны,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание диспетчерской пожарной охраны и сигнализации
Здание пожарного депо
Здание пожарной части",25.3.2.1,,
,PD,,,,Объекты органов юстиции и правосудия,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,25.1,,
,,PDA,,,Здание (сооружение) объектов инфраструктуры уголовно-исполнительной системы,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Административное здание учреждения уголовно-исполнительной системы
Городок для содержания служебных собак с кинодромом
Здание бани-санпропускника
Здание врачебного здравпункта ФСИН
Здание дисциплинарного изолятора (ДИЗО)",25.1.1,,
,,PDB,,,"Здание (сооружение) объектов судебных органов, прокуратуры, адвокатуры",,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Здание осуществления адвокатской деятельности
Здание прокуратуры
Здание службы судебных приставов
Здание суда",25.1.2,ВН НН 10 20,
Q,,,,,Объекты образования,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,26,,
,QA,,,,Объекты общего среднего и дошкольного образования,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,26.1,,
,,QAA,,,Здание (сооружение) объектов дошкольного образования,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Здание детского сада
Здание детского сада с бассейном
Здание детского сада-яслей",26.1.2,"ВН НН 20 10 10
ВН НН 20 10 15",
,,QAB,,,Здание (сооружение) объектов среднего образования,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Здание начальной школы
Здание начальной школы с бассейном
Здание общеобразовательной школы
Здание общеобразовательной школы с бассейном
Здание школы-интерната
Сооружение школьного ботанического сада
Школьный стадион",26.1.1,"ВН НН 20 10 20
ВН НН 20 10 25
ВН НН 20 10 30
ВН НН 20 10 35
ВН НН 60 10 70",
,QB,,,,"Объекты среднего профессионального, высшего и дополнительного образования",,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,26.2,,
,,QBA,,,Здание (сооружение) объектов высшего образования,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Здание института
Здание учебного корпуса
Здание учебно-лабораторного корпуса",26.2.3,ВН НН 20 20 40,
,,QBB,,,Здание (сооружение) объектов дополнительного образования,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Здание музыкальной школы
Здание спортивной школы
Здание театральной школы (студии)
Здание детской школы искусств",26.2.1,ВН НН 20 30,
,,QBC,,,Здание (сооружение) объектов среднего профессионального образования,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Здание профессионального училища
Здание учебно-производственного корпуса
Здание колледжа
Здание техникума",26.2.2,"ВН НН 20 20 10
ВН НН 20 20 20
ВН НН 20 20 30",
R,,,,,Объекты здравоохранения,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,27,,
,RA,,,,Объекты лечебного обеспечения,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,27.1,,
,,RAA,,,Здание больницы общего профиля,"Медицинская организация, в которой, при стационаре круглосуточного пребывания интегрированы поликлинические, диагностические, лечебные, научные и просветительские функции (или часть их), а также связанные с ними функции обслуживания пациентов, посетителей и персонала.","Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39
СП 158.13330.2014",,"Здание детской клинической больницы
Здание клинической больницы",27.1.4,"ВН НН 40 10 10
ВН НН 40 10 20
ВН НН 40 10 40",
,,RAB,,,Здание больницы специализированной,"Медицинская организация, в которой, при стационаре круглосуточного пребывания интегрированы поликлинические, диагностические, лечебные, научные и просветительские функции (или часть их), а также связанные с ними функции обслуживания пациентов, посетителей и персонала.","Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39
СП 158.13330.2014",,"Здание больницы медицинской реабилитации
Здание больницы скорой помощи
Здание гериатической больницы",27.1.5,"ВН НН 40 10 45
ВН НН 40 10 50",
,,RAC,,,Здание (сооружение) диагностической организации,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Здание диагностического центра
Здание клинико-диагностического центра
Здание консультативно­диагностического центра, в том числе детского",27.1.6,ВН НН 40 20 25,
,,RAD,,,Здание диспансера,"Медицинская организация, в которой, при стационаре круглосуточного пребывания интегрированы поликлинические, диагностические, лечебные, научные и просветительские функции (или часть их), а также связанные с ними функции обслуживания пациентов, посетителей и персонала.","Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39
СП 158.13330.2014",,"Здание врачебно-физкультурного диспансера
Здание кардиологического диспансера
Здание кожно-венерологического диспансера
Здание наркологического диспансера",27.1.7,"ВН НН 40 10 15
ВН НН 40 20 35",
,,RAE,,,Здание лаборатории медицинской,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Здание бактериологической лаборатории
Здание клинико-диагностической лаборатории
Здание контрольно-аналитической лаборатории",27.1.11,"ВН НН 40 60 60
ВН НН 40 60 70",
,,RAF,,,Здание (сооружение) объектов инфраструктуры лечебного обеспечения,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание административно-приемного корпуса
Здание детского отделения
Здание инфекционного отделения",27.1.9,,
,,RAG,,,Здание поликлиники,"Организации, оказывающие внебольничную помощь пациентам, приходящим на прием, и на дому","Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39
СП 158.13330.2014",,"Здание детской поликлиники
Здание консультативно­диагностической поликлиники
Здание поликлиники медицинской реабилитации
Здание женской консультации
Здание стоматологической поликлиники
Здание психотерапевтической поликлиники
Здание физиотерапевтической поликлиники
Здание поликлиники медицинской реабилитации",27.1.10,"ВН НН 40 20 10
ВН НН 40 20 40
ВН НН 40 20 45
ВН НН 40 20 50
ВН НН 40 20 65
ВН НН 40 20 70
ВН НН 40 20 75
ВН НН 40 20 80",
,,RAH,,,Здание (сооружение) объектов специализированной лечебно­профилактической организации,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Здание амбулатории, в том числе врачебной
Здание госпиталя
Здание дома (больницы) сестринского ухода
Здание лепрозория
Здание хосписа",27.1.2,"ВН НН 40 10 35
ВН НН 40 20 55
ВН НН 40 70 10
ВН НН 40 70 20
ВН НН 40 70 30",
,,RAJ,,,"Здание станции скорой медицинской помощи, переливания крови",,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Здание станции переливания крови
Здание станции скорой медицинской помощи",27.1.1,ВН НН 40 30,
,,RAK,,,Здание центра медицинского,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Здание гериатрического центра
Здание диабетологического центра
Здание лечебно-реабилитационного центра
Здание медико-генетического центра
Здание центра мануальной терапии",27.1.3,"ВН НН 40 20 15
ВН НН 40 20 20
ВН НН 40 20 30",
,RB,,,,Объекты санаторно-курортного обеспечения,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,27.4,,
,,RBA,,,Здание (сооружение) объектов курортной инфраструктуры,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Сооружение для добычи лечебных грязей
Сооружение питьевых галерей и бюветов, эстакад и других видов сооружений для добычи минеральных вод",27.4.1,,
,,RBB,,,Здание (сооружение) санатория,"Предприятие, расположенное обычно в курортной местности и предоставляющее комплекс санаторно-оздоровительных и рекреационных услуг с использованием преимущественно природных факторов (климат, минеральные воды, грязи) и физиотерапевтических средств, диеты и режима","Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Здание бальнеологической лечебницы
Здание грязелечебницы
Здание курортной поликлиники
Здание санатория",27.4.2,ВН НН 40 50,Определение синтезировано на основе ГОСТ Р 54599-2011
,RC,,,,Объекты санитарно-эпидемиологического обеспечения,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,27.2,,
,,RCA,,,Здание (сооружение) объектов санитарно-профилактической организации,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Здание дезинфекционного центра
Здание центра гигиенического образования населения",27.2.1,ВН НН 40 40 40,
,,RCB,,,Здание (сооружение) объектов эпидемиологической организации,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Здание противочумного центра
Здание центра гигиены и эпидемиологии",27.2.2,"ВН НН 40 40 20
ВН НН 40 40 30",
,RD,,,,Медицинские организации особого типа,,,По виду ОКС,,,,
,,RDA,,,Здание (сооружение) объектов медицинских экспертных организаций,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Здание организации, производящей военно-врачебную экспертизу
Здание организации, производящей медико-социальную экспертизу
Здание организации, производящей судебно-медицинскую экспертизу",27.3.2,"ВН НН 40 60 10
ВН НН 40 60 30",
