Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Код соответствующего ОКС по классификатору МССК,Примечания
,,AGC,,,Здание (сооружение) объектов обработки и хранения зерна и семян,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Здание цеха вторичной очистки и калибрования семян
Здание цеха обмолота и первичной очистки семян
Здание цеха обработки зерна",1.1.2,ВН ПН 10 50 10 ,
,,AGD,,,Здание (сооружение) объектов хлопкового растениеводства,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание лаборатории контроля качества хлопка-сырца
Здание цеха обеззараживания посевных семян
Здание цеха оголения посевных семян",1.1.5,,
,,AGE,,,Здание (сооружение) объектов производства рассады,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха пастеризации субстрата и проращивания мицелия
Здание цеха приготовления субстрата и покровной земли",1.1.3,,
,,AGF,,,Здание (сооружение) объектов тепличных комбинатов и комплексов,"Комплекс производственных, вспомогательных, административно-хозяйственных построек, предназначенных для выращивания овощей.","Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Здание агрохимлаборатории (биолаборатории)
Сооружение для приготовления и хранения почвенных смесей
Сооружение теплицы",1.9.13,ВН ПН 10 50 30,
,,AGG,,,Здание (сооружение) объектов садоводческого растениеводства,,,,Здание селекционной станции,,,
,,AGH,,,Здание (сооружение) объектов овощехранения,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,,ВН ПН 10 50 20,
,,AGJ,,,Здание (сооружение) питомников растений,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,,ВН ПН 10 50 40,
,AH,,,,Объекты предприятий биопромышленности,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,1.9.3,,
,,AHA,,,Здание (сооружение) объектов по производству вакцин,,Приказ Минстроя России от 10.07.2020 N 374/пр,,Здание биофабрики производства вакцин,1.9.3.2,,
,,AHB,,,Здание (сооружение) объектов по производству лечебных сывороток,,Приказ Минстроя России от 10.07.2020 N 374/пр,,Здание биофабрики производства лечебных сывороток,1.9.3.3,,
,,AHC,,,Здание (сооружение) вспомогательных объектов предприятий биопромышленности,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание клиники для животных
Здание клинико-диагностического корпуса
Здание контрольной лаборатории",1.9.3,,
,AJ,,,,"Объекты вспомогательной инфраструктуры сельского и лесного хозяйства, охоты, рыболовства и рыбоводства",,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,1.9,,
,,AJA,,,Сооружение водопойного пункта,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Сооружение водопойного пункта с водозабором воды из поверхностных источников из реки, канала, пруда, озера
Сооружение водопойного пункта с забором воды из группового водопровода
Сооружение водопойного пункта с забором подземных вод из каптажа родников",1.9.2,,
,,AJB,,,Здание (сооружение) моторо-тракторных станций,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха предпродажного обслуживания сельскохозяйственной техники
Здание цеха сборки сельскохозяйственной техники",1.9.8,,
,,AJC,,,Здание (сооружение) объектов обезвреживания результатов деятельности сельскохозяйственных предприятий,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха обезвоживания навозных стоков
Сооружение навозохранилища
Сооружение очистки жиросодержащих стоков",1.9.12,,
,,AJD,,,"Здание (сооружение) объектов предприятий ремонта, технического обслуживания и хранения сельскохозяйственной техники",,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по ремонту автотракторного электрооборудования
Здание цеха по ремонту комбайнов
Здание цеха по ремонту сельскохозяйственной техники",1.9.11,,
B,,,,,Объекты добывающей промышленности,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,2,,
,BA,,,,Объекты добычи и обогащения железных руд,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,2.4,,
,,BAA,,,Здание (сооружение) объектов добычи железных руд открытым способом,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Сооружение дробильно­перегрузочного пункта железных руд
Сооружение рудного разреза добычи железных руд",2.4.1,,
,,BAB,,,Здание (сооружение) объектов добычи железных руд подземным способом,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание подачи в шахту добычи железных руд электроэнергии
Сооружение вентиляционного ствола шахты добычи железных руд
Сооружение временного хранения и отгрузки железной руды",2.4.2,,
,,BAC,,,Здание (сооружение) объектов обогащения железных руд,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха дробления, грохочения сырья железных руд
Здание цеха сепарации сырья железных руд",2.4.3,,
,,BAD,,,Здание (сооружение) вспомогательных объектов при добыче и обогащении железных руд,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание мастерской по ремонту горных механизмов и оборудования шахты добычи железных руд
Здание обеспечения и работы инженерно-технических служб шахты добычи железных руд",2.8.4,,
,BB,,,,Объекты добычи и обогащения руд цветных металлов,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,2.5,,
,,BBA,,,Здание (сооружение) объектов добычи руд цветных металлов открытым способом,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Сооружение дробильно­перегрузочного пункта руд цветных металлов
Сооружение рудного разреза добычи руд цветных металлов",2.5.1,,
,,BBB,,,Здание (сооружение) объектов добычи руд цветных металлов закрытым способом,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Сооружение вентиляционного ствола шахты добычи руд цветных металлов
Сооружение шахты добычи руд цветных металлов",2.5.2,,
,,BBC,,,Здание (сооружение) объектов обогащения руд цветных металлов,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха дробления, грохочения сырья руд цветных металлов
Здание цеха сепарации сырья руд цветных металлов",2.5.3,,
,BC,,,,"Объекты добычи полезных ископаемых, кроме топливно-энергетических",,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,2,,
,,BCA,,,Здание (сооружение) объектов добычи минерального сырья для химической промышленности и производства минеральных удобрений,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха очистки и обогащения серы
Здание цеха обогащения сырья
Шахта по добычи сырья для химической промышленности и производства минеральных удобрений",2.6.1,,
,,BCB,,,Здание (сооружение) объектов добычи соли,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха дробления и очистки соли от примесей
Сооружение шахты добычи соли",2.7.1,,
,,BCC,,,Здание (сооружение) объектов добычи инертных материалов для строительства,"Совокупность горных выработок, образованных при добыче твердых полезных ископаемых открытым способом",СП 103.13330.2012,,Сооружение карьера,,,
,BD,,,,Объекты добычи природного газа,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,2.3,,
,,BDA,,,Здание (сооружение) объектов добычи природного газа и конденсата,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание лаборатории для анализа проб продукции газовых скважин
Сооружение берегового технологического комплекса
Сооружение куста газовых скважин (газового месторождения)",2.3.1,,
,,BDB,,,Здание (сооружение) объектов переработки газа,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание центрального пункта управления
Сооружение коллектора трубопровода
Сооружение компрессорной станции сжатого воздуха с установкой осушки для нужд КИП",2.3.2,,
,,BDC,,,"Здание (сооружение) объектов сбора, подготовки и транспорта газа",,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание операторной при транспорте газа
Сооружение дожимной компрессорной станции
Сооружение компрессорной станции внешнего транспорта газа
Сооружение промыслового трубопровода газовых месторождений",2.3.4,,
,,BDD,,,Здание производственной базы при добыче газа,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание базы производственного обслуживания вышкомонтажной конторы (БПО ВМК) при добыче газа
Здание базы производственного обслуживания нефтегазодобывающего управления (БПО НГДУ) при добыче газа
Здание промыслово-геофизической базы",2.3.3,,
,BE,,,,Объекты добычи сырой нефти,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,2.2,,
,,BEA,,,Здание (сооружение) объектов добычи сырой нефти из скважин,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Морское нефтегазовое сооружение (платформа)
Сооружение дожимной нефтенасосной станции
Сооружение наблюдательной скважины на водоносные горизонты",2.2.1,,
,,BEB,,,"Здание (сооружение) объектов подготовки нефти, газа и воды",,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Сооружение для улавливания нефтяных газов, выбрасываемых из технологического оборудования
Сооружение компрессорной газа при подготовке нефти и газа
Сооружение концевой ступени сепарации при подготовке нефти и газа",2.2.3,,
,,BEC,,,Здание (сооружение) объектов поддержания пластового давления,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Сооружение водовода высокого давления
Сооружение водораспределительного пункта при добыче нефти и газа
Сооружение газопровода высокого давления
Сооружение компрессорной станции для газлифтной добычи нефти и закачки в пласт газа высокого давления",2.2.4,,
,,BED,,,Здание (сооружение) объектов сбора и транспорта нефти и нефтяного газа,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Водозаборное сооружение из артезианской скважины
Здание операторной при транспорте нефти и нефтяного газа
Сооружение групповой распределительной гребенки при транспорте нефти и нефтяного газа",2.2.2,,
,,BEE,,,Здание (сооружение) объектов термического воздействия на пласт,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Очистное сооружение по подготовке воды на нужды парогенераторной и промывки фильтров при добыче нефти и газа
Очистное сооружение хозбытовых и производственных сточных вод при добыче нефти и газа
Сооружение внутрипластового горения при добыче нефти и газа",2.2.5,,
,,BEF,,,Здание (сооружение) объектов производственных баз при добыче нефти и газа,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание базы производственного обслуживания вышкомонтажной конторы (БПО ВМК) при добыче нефти и газа
Здание базы производственного обслуживания нефтегазодобывающего управления
Здание базы производственного обслуживания нефтегазодобывающего управления (БПО НГДУ) при добыче нефти и газа",2.2.6,,
,BF,,,,Объекты добычи угля и антрацита,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,2.1.1,,
,,BFA,,,Здание (сооружение) объектов добычи угля,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Сооружение главного ствола шахты добычи угля и антрацита
Сооружение спуска и подъёма людей в шахту добычи угля и антрацита
Сооружение угольного разреза",2.1.1,,
,,BFB,,,Здание (сооружение) вспомогательных объектов при добыче и обогащении угля и антрацита,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание административно-бытового комплекса разреза
Здание мастерской по ремонту горных механизмов и оборудования шахты добычи угля и антрацита
Здание обеспечения и работы инженерно-технических служб шахты добычи угля и антрацита",2.8.3,,
,BG,,,,Вспомогательные объекты добывающей промышленности,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,2.8,,
,,BGA,,,Здание (сооружение) объектов геологоразведки,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание геологической лаборатории
Здание стационарной геологической и геофизической разведки",2.8.2,,
,,BGB,,,Здание (сооружение) производственно-технических баз,,Приказ Минстроя России от 10.07.2020 N 374/пр,,Здание производственно-технической базы геологической организации,2.8.1.1,,
C,,,,,Объекты обрабатывающей промышленности,,,По виду ОКС,,,,
,CA,,,,Объекты коксохимической и нефтеперерабатывающей промышленности,,,По виду ОКС,,,,
,,CAA,,,Здание (сооружение) объектов коксохимической промышленности,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Здание коксового цеха
Здание пекококсового цеха
Здание смолоперерабатывающего цеха",6.1,ВН ПН 40 10 28,
,,CAB,,,Объекты нефтеперерабатывающей и нефтехимической промышленности,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",По виду ОКС,,6.2,ВН ПН 40 10 30,
,,,CABA,,Здание (сооружение) объектов нефтехимического производства для НПЗ,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,6.2.2.1,,
,,,CABB,,"Здание (сооружение) объектов подсобно­производственного, вспомогательного и общезаводского назначения нефтеперерабатывающей промышленности",,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание анализаторной
Здание заводоуправления, управления производственным объединением, комбинатом
Здание операторной, контроллерной, управления производством, цехом",6.2.9,,
,,,CABC,,Здание (сооружение) объектов предприятий переработки нефти,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здания (сооружения) вторичной переработки нефти
Здания (сооружения) глубокой переработки нефти
Здания (сооружения) первичной переработки нефти",6.2.10,,
,,,CABD,,Здание (сооружение) объектов производства катализаторов,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха производства железооксидных катализаторов
Здание цеха производства ионитных катализаторов
Здание цеха производства катализаторов диалюминий триоксида",6.2.7,,
,,,CABE,,Здание (сооружение) объектов производства каучуков и латексов,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха агломерации латекса под давлением концентрирования и хранения латекса
Здание цеха выделения каучука
Здание цеха выделения мономеров и растворителя",6.2.3,,
,,,CABF,,Здание (сооружение) объектов производства мономеров и продуктов нефтехимического синтеза,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха алкилирования бензола пропиленом
Здание цеха выделения и очистки изопрена
Здание цеха выделения фенола и ацетона",6.2.4,,
,,,CABG,,Здание (сооружение) объектов производства резиновых технических изделий,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание подготовительного цеха производств резиновых технических изделий
Здание цеха по производству технического углерода
Здание цеха резиновых технических изделий",6.2.6,,
,,,CABH,,Здание (сооружение) объектов производства синтетических жирозаменителей и поверхностно-активных веществ,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха извлечения сульфата натрия из сточных вод производства синтетических жирных кислот
Здание цеха очистки синтетических жирных кислот
Здание цеха по производству порошкообразных синтетических моющих средств бытового назначения",6.2.5,,
,,,CABJ,,Здание (сооружение) объектов производства смазочных масел и присадок,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству авиационной пластичной смазки
Здание цеха по производству алкил фенольной присадки
Здание цеха по производству антиокислительной присадки",6.2.1,,
