Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Код класса по ОКПДТР,Примеры,Примечания
,,,,BDEC040,Машинист крана (крановщик),,Постановление Госстандарта РФ от 26.12.1994 N 367,,13790,,
,,,,BDEC050,Машинист подъемно-передвижных подмостей,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14023,,
,,,BDED,,Машинист машины по производству и укладке бетонной смеси,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,
,,,,BDED010,Машинист автобетононасоса,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13505,,
,,,,BDED020,Машинист бетоносмесителя передвижного,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13564,,
,,,,BDED030,Машинист бетоноукладчика,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13565,,
,,,,BDED040,Машинист распределителя цемента аэрационного самоходного,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14114,,
,,,,BDED050,Машинист распределителя цемента гравитационного прицепного,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14115,,
,,,,BDED060,Машинист растворонасоса,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14117,,
,,,,BDED070,Машинист растворосмесителя передвижного,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14119,,
,,,BDEE,,Машинист погрузочно-разгрузочной машины,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,
,,,,BDEE010,Машинист автомобилеразгрузчика,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13527,,
,,,,BDEE020,Машинист вагоноопрокидывателя,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13598,,
,,,,BDEE030,Машинист перегружателя,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13977,,
,,,BDEF,,Машинист машины дорожно-строительного комплекса,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,
,,,,BDEF010,Машинист машины для укладки дорожных бордюров,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,
,,,,BDEF020,Машинист машины для устройства защитных шероховатых слоев дорожных покрытий,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,
,,,,BDEF030,Машинист машины для устройства укрепительных полос,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13860,,
,,,,BDEF040,Машинист машины для устройства швов при выполнении дорожных работ,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13862,,
,,,,BDEF050,Машинист маркировочной машины для разметки автомобильных дорог,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13832,,
,,,,BDEF060,Машинист уплотняющей и планировочно-уплотняющей машины,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14291,,
,,,,BDEF070,Машинист автогудронатора,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13511,,
,,,,BDEF080,Машинист планировщика,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,
,,,,BDEF090,Машинист профилировщика,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14082,,
,,,,BDEF100,Машинист катков самоходных и полуприцепных на пневматических шинах,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13753,,
,,,,BDEF110,Машинист катка самоходного с гладкими вальцами,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13755,,
,,,,BDEF120,Машинист смесителя асфальтобетона передвижного,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14199,,
,,,,BDEF130,Машинист укладчика асфальтобетона,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14288,,
,,,,BDEF140,Машинист фрезы дорожной,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,
,,,,BDEF150,Машинист щебнераспределителя,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,
,,,,BDEF160,Машинист ремиксера,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,
,,,,BDEF170,Машинист ресайклера (холодного),,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,
,,,,BDEF180,Машинист финишера,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14324,,
,,,,BDEF190,Машинист машины для нанесения пленкообразующей жидкости,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13856,,
,,,,BDEF200,Машинист автобетонолома,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13503,,
,,,,BDEF210,Машинист ледорезной машины,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13817,,
,,,,BDEF220,Машинист заливщика швов,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,
,,,,BDEF230,Машинист нарезчика швов самоходного,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13904,,
,,,BDEG,,Машинист машины для строительства и ремонта трубопроводов,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,
,,,,BDEG010,Машинист машины для изоляции газонефтепродуктопроводов,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13853,,
,,,,BDEG020,Машинист трубоочистительной машины,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14275,,
,,,,BDEG030,Машинист трубоукладчика,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14277,,
,,,BDEH,,Машинист машины для общестроительных работ,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,
,,,,BDEH010,Машинист бурильно-крановой самоходной машины,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13589,,
,,,,BDEH020,Машинист автокомпрессора,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13515,,
,,,,BDEH030,Машинист гидросеялки самоходной,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13668,,
,,,,BDEH040,Машинист электролебедки,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14407,,
,,,,BDEH050,Машинист электростанции передвижной,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14413,,
,,,,BDEH060,Машинист газодувных машин,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13652,,
,,,,BDEH070,Машинист двигателей внутреннего сгорания,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13689 ,,
,,,,BDEH080,Машинист моечных машин,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13891,,
,,,BDEJ,,Машинист компрессора,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,
,,,,BDEJ010,Машинист компрессора для подачи воздуха водолазам,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13769,,
,,,,BDEJ020,Машинист компрессора передвижного,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13771,,
,,,BDEK,,Машинист оборудования,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,
,,,,BDEK010,Машинист механизированного оборудования по подъему подвижной (скользящей) опалубки,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13878,,
,,,,BDEK020,Машинист механического оборудования землесосных плавучих несамоходных снарядов и грунтонасосных установок,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13884,,
,,,,BDEK030,Машинист механизированного натяжного устройства для изготовления напряженно- армированных конструкций,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13876,,
,,,,BDEK040,Машинист электрического оборудования землесосных плавучих несамоходных снарядов и грунтонасосных установок,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14397,,
,,,BDEL,,Машинист установки,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,
,,,,BDEL010,Машинист вентиляционной и аспирационной установок,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13616,,
,,,,BDEL020,Машинист воздухоразделительной установки,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13631,,
,,,,BDEL030,Машинист компрессорной установки,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13775,,
,,,,BDEL040,Машинист насосной установки,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13910,,
,,,,BDEL050,Машинист баровой установки,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13558,,
,,,,BDEL060,Машинист бетононасосной установки,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13562,,
,,,,BDEL070,Машинист битумоплавильной передвижной установки,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13569,,
,,,,BDEL080,Машинист вакуумной установки,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13600,,
,,,,BDEL090,Машинист контактносварочной установки передвижной для сварки магистральных газонефтепродуктопроводов,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13781,,
,,,,BDEL100,Машинист установки мобильной по сортировке и приготовлению минеральных материалов для устройства защитных слоев покрытия,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,
,,,,BDEL110,Машинист установки передвижной автоматизированной непрерывного действия для приготовления бетонной смеси,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14293,,
,,,,BDEL120,Машинист установки по продавливанию и горизонтальному бурению грунта,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14303,,
,,,,BDEL130,Машинист холодильной установки,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14341,,
,,,,BDEL140,Машинист холодильной установки по замораживанию грунтов,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14339,,
,,,,BDEL150,Машинист трубогибочной установки передвижной,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14273,,
,,,BDEM,,Машинист станции,,Постановление Госстандарта РФ от 26.12.1994 N 367,,"13560
13650
13654
13656
13830
13908
14016
14379
34217",,
