Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания,Синонимы,УИН
,,,BCAA,,Снос дроблением конструкции,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000073
,,,BCAB,,Снос раскалыванием конструкции,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000074
,,BCB,,,Снос термическим способом,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000075
,,,,BCB010,Термическое разрушение с применением кислородного копья,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000076
,,,,BCB020,Термическое разрушение с применением газоструйного порошково-кислородного копья,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000077
,,,,BCB030,Термическое разрушение с применением порошково-кислородного резака,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000078
,,,,BCB040,Термическое разрушение с применением реактивно-струйной горелки,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000079
,,,,BCB050,Термическое разрушение с применением электродугового плавления,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000080
,,BCC,,,Снос электрогидравлическим способом,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По виду работ,,,,KSI150000081
,,,BCCA,,Раскалывание конструкции гидравлическим ударом высокого давления,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000082
,,BCD,,,Снос гидрораскалыванием,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По виду работ,,,,KSI150000083
,,,BCDA,,Бурение скважин при сносе гидрораскалыванием,Образование горной выработки путём последовательного разрушения поверхности забоя и извлечения продуктов разрушения с помощью специального бурового оборудования,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000084
,,,BCDB,,Установка в скважины клиновых устройств,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000085
,,,BCDC,,Приведение в действие клиновых устройств с помощью гидроцилиндра,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000086
C,,,,,Демонтаж конструкций ,Ликвидация здания (сооружения) путем разборки сборных и обрушения монолитных конструкций с предварительным демонтажем технических систем и элементов отделки,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011","По виду конструкций, материалов и изделий",,,,KSI150000087
,CA,,,,Демонтаж железобетонных конструкций ,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000088
,,CAA,,,Демонтаж железобетонных фундаментов,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000089
,,CAB,,,Демонтаж железобетонных стен,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000090
,,CAC,,,Демонтаж железобетонных перекрытий,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000091
,,CAD,,,Демонтаж железобетонных колонн,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000092
,,CAE,,,Демонтаж железобетонных ферм,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000093
,,CAF,,,Демонтаж железобетонных балок и блоков,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000094
,,CAG,,,Демонтаж железобетонных свай,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000095
,,CAH,,,Демонтаж железобетонных панелей,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000096
,,CAJ,,,Демонтаж железобетонных ригелей,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000097
,,CAK,,,Демонтаж железобетонных перемычек,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000098
,,CAL,,,Демонтаж железобетонных лестниц,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000099
,,CAM,,,Демонтаж железобетонных перегородок,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000100
,CB,,,,Демонтаж стальных конструкций ,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000101
,,CBA,,,Демонтаж стальных каркасов,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000102
,,CBB,,,Демонтаж стальных подпорок и эстакад,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000103
,,CBC,,,Демонтаж стальных балок,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000104
,,CBD,,,Демонтаж стальных площадок,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000105
,,CBE,,,Демонтаж стальных ферм,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000106
,,CBF,,,Демонтаж стальных лестниц,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000107
,,CBG,,,Демонтаж стальных колонн,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000108
,,CBH,,,Демонтаж стальных листовых материалов,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000109
,CC,,,,Демонтаж каменных конструкций,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000110
,,CCA,,,Демонтаж каменных фундаментов,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000111
,,CCB,,,Демонтаж каменных стен,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000112
,,CCC,,,Демонтаж каменных столбов,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000113
,,CCD,,,Демонтаж каменных отопительных печей,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000114
,,CCE,,,Демонтаж каменных сводов,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000115
,,CCF,,,Демонтаж каменных куполов,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000116
,,CCG,,,Демонтаж каменных перегородок,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000117
