Класс,Подкласс 1,Подкласс 2,Тип (%%),Наименование компонента,Определение компонента,Источник,Критерии определения подклассов,IFC-entity,IFC-Predefined Type,КСР,МССК,ПСК,Примечание,Синонимы,УИН
B__,,,,объект сбора и представления информации,объект для сбора и представления информации,ISO 81346-2:2019,Вид количества,,,,,,,,KSI060000002
,BA_,,,объект для измерения электрического потенциала,объект для измерения электрического потенциала,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,KSI060000003
,,BAA,,измерительный трансформатор напряжения,"объект для измерения электрического потенциала со скалярным выходом
-
Измерительный трансформатор, в котором, при рабочих условиях применения, вторичное напряжение практически пропорционально первичному и отличается от него углом фазового сдвига, который приблизительно равен нулю для соответствующего направления соединений",ГОСТ IEC 61869-3-2012,,IfcTransformer,VOLTAGE,,,,,,KSI060000004
,,BAB,,реле напряжения,"объект индикации наличия электрического потенциала
-
Измерительное реле, характеристической величиной которого является напряжение.",ГОСТ IEC 60050-447-2014,,IfcFlowInstrument, ,"89.1.62.01-0822
,,UUA,,скальный грунт,"существующий грунт, состоящий из каменистой породы",,,IfcCivilElement,,,,,,,KSI060000704
,,UUB,,песчаный грунт,"существующий грунт, состоящий из фрикционного грунта",,,IfcCivilElement,,,,,,,KSI060000705
,,UUC,,глинистый грунт,"существующий грунт, состоящий из связного грунта",,,IfcCivilElement,,,,,,,KSI060000706
,,UUD,,верхний слой грунта,"существующий грунт, состоящий из органического грунта",,,IfcCivilElement,,,,,,,KSI060000707
,,UUE,,грунт обратной засыпки,"существующий грунт, состоящий из заполняющего материала",,,IfcCivilElement,,,,,,,KSI060000708
,,UUF,,грунт дисперсный,"существующий грунт, в котором преобладают механические, физические и физико-химические структурные связи.",,,IfcCivilElement,,,,,,,KSI060000709
,,UUG,,грунт мерзлый,"существующий грунт, имеющий отрицательную или нулевую температуру, содержащий видимые ледяные включения и/или лед-цемент, за счет которых образованы криогенные структурные связи.",,,IfcCivilElement,,,,,,,KSI060000710
,,UUH,,грунт крупнообломочный,"существующий грунт, состоящий из несвязного минерального грунта",,,IfcCivilElement,,,,,,,KSI060000711
,,UUJ,,почва,"существующий грунт, в виде поверхностного слоя дисперсного грунта, обладающего плодородием.",,,IfcCivilElement,,,,,,,KSI060000712
W_,,,,направляющий объект,"объект, для проведения из одного места в другое",ISO 81346-2:2019,Вид потока и вид технологии,,,,,,,,KSI060000713
,WB,,,"объект, направляющий электрическую энергию высокого и среднего напряжения","объект, направляющий электрическую энергию высокого и среднего напряжения",ISO 81346-2:2019,Вид метода,,,,,,,,KSI060000714
,,WBA,,шина высокого и среднего напряжения,"объект, направляющий электрическую энергию высокого и среднего напряжения при помощи системы шин",,,IfcCableSegment,BUSBARSEGMENT,,,,,,KSI060000715
,,,WBA010,жесткая ошиновка высокого и среднего напряжения,,Правила устройства электроустановок (ПУЭ),,IfcCableSegment,,,,,,,KSI060001057
,,,WBA020,гибкая ошиновка высокого и среднего напряжения,,Правила устройства электроустановок (ПУЭ),,IfcCableSegment,,,,,,,KSI060001058
,,WBB,,кабель высокого и среднего напряжения,"объект, направляющий электрическую энергию высокого и среднего напряжения при помощи кабеля",,,IfcCableSegment,CABLESEGMENT,,"ЭЛ 40 36 10 02
ЭЛ 40 36 10 01",,,,KSI060000716
,,WBC,,провод высокого и среднего напряжения,"объект, направляющий электрическую энергию высокого и среднего напряжения при помощи провода",,,IfcCableSegment,CONDUCTORSEGMENT,,ЭЛ 40 36 10 03,,,,KSI060000717
,,,WBC010,контактный провод высокого и среднего напряжения,неизолированный провод для подвесной контактной сети электрифицированного транспорта,ГОСТ 15845-2024 ,,,,,,,,,KSI060001259
,,,WBC020,провод воздушной линии электропередачи высокого и среднего напряжения,,,,,,,,,,,KSI060001261
,,WBD,,проходной изолятор высокого и среднего напряжения,"объект, направляющий электрическую энергию высокого и среднего напряжения через корпус, стену или барьер",,,IfcDiscreteAccessory,INSULATOR,,,,,,KSI060000718
,WD,,,"объект, направляющий низковольтную электрическую энергию","объект, направляющий низковольтную электрическую энергию",ISO 81346-2:2019,Вид метода,,,,,,,,KSI060000719
,,WDA,,низковольтная шина,"объект, направляющий низковольтную электрическую энергию при помощи системы шин",,,IfcCableSegment,BUSBARSEGMENT,,,,,,KSI060000720
,,WDB,,низковольтный кабель,"объект, направляющий низковольтную электрическую энергию при помощи кабеля",,,IfcCableSegment,CABLESEGMENT,,ЭЛ 40 36 10 02,,,,KSI060000721
,,WDC,,низковольтный провод,"объект, направляющий низковольтную электрическую энергию при помощи провода",,,IfcCableSegment,CONDUCTORSEGMENT,,"ЭЛ 40 36 10 03
ЭЛ 40 36 10 06",,,,KSI060000722
,,,WDC010,контактный провод низкого напряжения,неизолированный провод для подвесной контактной сети электрифицированного транспорта,ГОСТ 15845-2024 ,,,,,,,,,KSI060001258
,,,WDC020,провод воздушной линии электропередачи низкого напряжения,,,,,,,,,,,KSI060001260
,,WDD,,низковольтный проходной изолятор,"объект, направляющий низковольтную электрическую энергию через корпус, стену или барьер",,,IfcDiscreteAccessory,INSULATOR,,,,,,KSI060000723
,WE,,,"объект, направляющий опорный потенциал","объект, направляющий опорный потенциал",ISO 81346-2:2019,Вид метода,,,,,,,,KSI060000724
,,WEA,,шина заземления,"объект, направляющий опорный потенциал на землю при помощи шины",,,IfcCableSegment,BUSBARSEGMENT,,,,,,KSI060000725
,,WEB,,кабель заземления,"объект, направляющий опорный потенциал на землю при помощи кабеля",,,IfcCableSegment,CABLESEGMENT,,,,,,KSI060000726
,,WEC,,шина для выравнивания потенциалов,"объект, направляющий опорный потенциал при помощи шины",,,IfcCableSegment,BUSBARSEGMENT,,,,,,KSI060000727
,,WED,,кабель для выравнивания потенциалов,"объект, направляющий опорный потенциал при помощи кабеля",,,IfcCableSegment,CABLESEGMENT,,,,,,KSI060000728
,,WEE,,электрод сравнения,"Электрохимический полуэлемент - источник постоянного электрического потенциала, который является опорным при потенциометрических измерениях",ГОСТ 9.108-2023,,,,,,,,,KSI060001230
,,WEF,,электроотводящий контур,"Медные шинки, расположенные между электропроводящей грунтовкой и подстилающим слоем, служащие для отвода электрических зарядов",СТО-009-02495342-2010,,,,,,,,,KSI060001267
,WG,,,объект для направления электрического сигнала,"объект, направляющий электрические сигналы",ISO 81346-2:2019,Вид назначения,,,,,,,,KSI060000729
,,WGA,,управляющий кабель,"объект, направляющий электрические сигналы с целью контроля и измерения",,,IfcCableSegment,CABLESEGMENT,,,,,,KSI060000730
,,WGB,,кабель данных,"объект, направляющий электрические сигналы с целью передачи данных",,,IfcCableSegment,CABLESEGMENT,,,,,,KSI060000731
,,WGC,,проходной изолятор электрического сигнала,"объект, направляющий электрические сигналы через корпус или стену",,,IfcDiscreteAccessory,INSULATOR,,,,,,KSI060000732
,WH,,,объект для направления света,"объект, направляющий свет",ISO 81346-2:2019,Вид потока,,,,,,,,KSI060000733
,,WHA,,волоконно-оптический кабель,"объект, направляющий свет для передачи сигнала",,,IfcCableSegment ,OPTICALCABLESEGMENT,,ЭЛ 40 36 10 04,,,,KSI060000734
,,WHB,,оптоволокно,"объект, направляющий свет для передачи света",,,IfcCableSegment,FIBERSEGMENT,,,,,,KSI060000735
,,WHC,,линза,"объект, направляющий свет для получения определенного преломления света",,,,,,,,,,KSI060000736
,,WHD,,зеркало,"объект, направляющий свет для получения определенного отражения света",Большая строительная энциклопедия stroi.gov.ru,,,,,ЭЛ 40 60 10 14,,,,KSI060000737
,WJ,,,объект для направления звука,"объект, направляющий звук",ISO 81346-2:2019,Вид метода,,,,,,,,KSI060000738
,,WJA,,звукоотражатель,"объект, направляющий звук при помощи отражения",,,,,,,,,,KSI060000739
,WL,,,объект для направления твердых веществ,"объект, направляющий твердое вещество в открытом корпусе",ISO 81346-2:2019,Вид метода,,,,,,,,KSI060000740
,,WLA,,рольганг,"объект, направляющий твердое вещество путем скатывания",,,IfcConveyorSegment, ,,,,,,KSI060000741
,,WLB,,спускной желоб,"объект, направляющий твердое вещество путем скольжения",,,IfcConveyorSegment,CHUTECONVEYOR,,ЭЛ 40 10 20 10,,,,KSI060000742
,WM,,,направляющий объект в открытом корпусе,"объект, направляющий поток жидкости в открытом корпусе",ISO 81346-2:2019,Вид метода,,,,,,,,KSI060000743
,,WMA,,дренажный слой,направляющий объект в открытом корпусе в виде слоя,,,IfcEarthworksCut,DREDGING,,ЭЛ 10 25 60,,,,KSI060000744
,,WMB,,водосточный желоб,"объект в открытом корпусе, направляющий жидкости в открытом канале",,,IfcPipeSegment,GUTTER,,ЭЛ 40 40 10 10,,,,KSI060000745
,,WMC,,дренажный отлив,"объект в открытом корпусе, направляющий жидкости по открытой поверхности",,,IfcPipelineSegment,GUTTER,,ЭЛ 30 19 40,,,,KSI060000746
,,,WMC010,дренажный канал,,СП 90.13330.2012,,,,,,,,,KSI060000930
,,WMD,,отлив,"объект в открытом корпусе, направляющий жидкости по выступу",,,IfcCovering ,,,ЭЛ 30 19 40,,,,KSI060000747
,,WME,,водослив,"объект в открытом корпусе, направляющий жидкости по профилю слива жидкости",,,IfcPipeSegment,GUTTER,,"ЭЛ 40 40 20 50
ЭЛ 40 40 20 60",,,,KSI060000748
,,WMF,,водосточная труба,"объект в открытом корпусе, направляющий при использовании перфорированной трубы",,,IfcPipeSegment,RIGIDSEGMENT,,ЭЛ 40 40 10 20,,,,KSI060000749
,,WMG,,инфильтрационная камера,направляющий объект в открытом корпусе в камере,,,,,,,,,,KSI060000750
,,WMH,,канава (кювет) боковая придорожная,"Канава, проходящая вдоль земляного полотна для сбора и отвода поверхностных вод, с поперечным сечением лоткового, треугольного или трапецеидального профиля","СП 34.13330.2021 
СП 104.13330.2016",,IfcEarthworksCut,TRENCH,,,,,,KSI060000828
,,WMJ,,канава (кювет) нагорная,"Канава, расположенная с нагорной стороны от дороги для перехвата стекающей по склону воды и с отводом ее от дороги","СП 34.13330.2021 
СП 104.13330.2016",,IfcEarthworksCut,TRENCH,,,,,,KSI060000829
,,WMK,,Желоб для стока жидкости,"объект в открытом корпусе, направляющий жидкости в открытом канале",,,IfcPipeSegment ,GUTTER,,ЭЛ 40 40 10 10,,,,KSI060000837
,,WML,,водоприемник,,СП 90.13330.2012,,,,,,,,,KSI060000953
,,WMM,,канава осмотровая,,,,,,,,,,,KSI060001081
,WP,,,направляющий объект в закрытом корпусе,"объект, направляющий поток вещества в закрытом корпусе",ISO 81346-2:2019,Вид применяемой формы,,,,,,,,KSI060000751
,,WPA,,труба,"направляющий объект в закрытом корпусе в виде жесткой конструкции с круглым, прямоугольным или другим сечением",,,IfcDuctSegment,RIGIDSEGMENT,,"ЭЛ 40 15 10
ЭЛ 40 15 20 35
ЭЛ 40 20 20 16
ЭЛ 40 20 40 18",,,,KSI060000752
,,,WPA010,Газоотводящий ствол,"Конструктивный канал, расположенный внутри оболочки (ствола трубы дымовой, вентиляционной и т.п.) или несущего каркаса, служащий для эвакуации в атмосферу продуктов сгорания топлива или загрязненного воздуха",,,,,,,,,,KSI060000902
,,,WPA020,Оголовок трубы,"Верхняя часть ствола трубы, находящаяся в зоне окутывания отходящими газами",,,,,,,,,,KSI060000903
,,,WPA030,контрольная трубка,,,,,,,,,,,KSI060001115
,,,WPA040,труба кабеленесущая,"Часть трубной системы, имеющая круглое поперечное сечение, предназначенная для изолированных проводников и/или кабелей в электрических или коммуникационных установках, обеспечивающая их затяжку внутрь и/или замену",ГОСТ Р МЭК 61386.1-2014,,,,,,,,,KSI060001204
,,,WPA050,водопропускная труба,"Поперечная дренажная труба или водопропускное сооружение, расположенное под дорогой, железной дорогой или каналом или проходящее сквозь насыпь в виде трубы большого диаметра или закрытого водовода",ГОСТ Р ИСО 6707-1-2020 ,,,,,,,,,KSI060001263
,,,WPA060,дренажная труба (дрена),"Канал, как правило, подземный или водовод, предназначенные для отвода сточных вод, ливневых стоков или других удаляемых жидкостей",ГОСТ Р ИСО 6707-1-2020,,,,,,,,,KSI060001268
,,WPB,,канал,направляющий объект в закрытом корпусе в виде жесткой конструкции с некруглым сечением,,,IfcDuctSegment,RIGIDSEGMENT,,"ЭЛ 30 16 78
ЭЛ 30 25 50",,,,KSI060000753
,,,WPB010,золошлаковый канал,,СП 90.13330.2012,,,,,,,,,KSI060000929
,,WPC,,шланг,направляющий объект в закрытом корпусе в виде гибкой конструкции,,,IfcPipeSegment,FLEXIBLESEGMENT,,,,,,KSI060000754
,,,WPC010,металлорукав (высокого давления),"Гибкий трубопровод, предназначенный для транспортирования рабочей среды, компенсации температурных и монтажных деформаций жестких трубопроводов, состоящий из гофрированной трубки, покрытой одним или несколькими слоями оплетки с присоединительной арматурой или арматурой под неразъемное соединение",ГОСТ Р 58621-2019,,,,,,,,,KSI060001127
,WQ,,,"объект, направляющий механическую энергию","объект, направляющий механическую энергию",ISO 81346-2:2019,Вид метода,,,,,,,,KSI060000755
,,WQA,,ведущий мост,"объект, направляющий механическую энергию при помощи вала",,,IfcMotorConnection,DIRECTDRIVE,,,,,,KSI060000756
,,WQB,,приводной ремень,"объект, направляющий механическую энергию при помощи ремня",,,IfcMotorConnection,BELTDRIVE,,,,,,KSI060000757
,,WQC,,приводная цепь,"объект, направляющий механическую энергию при помощи цепи",,,,,,,,,,KSI060000758
,,WQD,,приводной рычаг,"объект, направляющий механическую энергию при помощи звеньев",,,,,,,,,,KSI060000759
,,WQE,,колесо,"объект, направляющий механическую энергию при помощи колеса",,,,,,,,,,KSI060000760
,,WQF,,зубчатая рейка,"объект, направляющий механическую энергию при помощи зубчатой рейки",,,,,,,,,,KSI060000761
,,WQG,,гидравлический шланг,"объект, направляющий механическую энергию при помощи жидкости",,,,,,ЭЛ 40 15 10 10,,,,KSI060000762
,WR,,,рельсовый объект,"объект, направляющий объекты, связанные с железной дорогой",ISO 81346-2:2019,Вид метода,,,,,,,,KSI060000763
,,WRA,,путь,"рельсовый объект, обеспечивающий направленный путь",,,,,,ЭЛ 30 16 61,,,,KSI060000764
,,WRB,,пересечение путей,"рельсовый объект, обеспечивающий переезд",,,,,,,,,,KSI060000765
,,WRC,,Сортировочная горка,"специально профилированное возвышение на железнодорожной станции, состоящее из надвижной части, горба и спускной части сортировочной горки, обеспечивающее под действием силы тяжести скатывание вагонов распускаемого железнодорожного подвижного состава до расчетной точки","ГОСТ Р 53431-2009 
ГОСТ 34530-2019",,,,,,,,,KSI060000848
,,,WRC010,Механизированная сортировочная горка,"сортировочная горка, оснащенная вагонными замедлителями, которые располагаются на одной или более тормозных позициях",ГОСТ Р 53431-2009,,,,,,,,,KSI060000849
,,,WRC020,Автоматизированная сортировочная горка,"механизированная сортировочная горка, оснащенная средствами автоматизации технологических операций дистанционного управления расформированием железнодорожных подвижных составов",ГОСТ Р 53431-2009,,,,,,,,,KSI060000850
,,WRD,,Рельс ,"Стальное изделие в виде специального фасонного профиля, состоящее из головки, шейки, подошвы и предназначенное для верхнего строения рельсовых путей железнодорожного магистрального и промышленного транспорта, метрополитенов и трамвайных путей, а также для крановых и подвесных путей.",ГОСТ 34530-2019,,IfcRail,RAIL,,ЭЛ 60 20 01,,,,KSI060000852
,,,WRD010,Контррельс,"Рельс специального или обычного профиля для предотвращения угрожающего безопасности движения поперечного смещения колесной пары подвижного состава перед стрелкой, на крестовинных узлах, на подходах к мостам, на самих мостах и на кривых участках пути малого радиуса внутризаводского транспорта",ГОСТ Р 50542-93,,IfcRail,CHECKRAIL,,ЭЛ 60 20 01 01,,,,KSI060000856
,,,WRD020,Рамный рельс,,СП 119.13330.2024 ,,IfcRail,STOCKRAIL,,ЭЛ 60 20 01 02,,,,KSI060000862
,,WRE,,Шпала,"Составная часть верхнего строения железнодорожного пути, служащая для фиксирования рельсов в устойчивом положении, обеспечения постоянства геометрических размеров и положения рельсовой колеи в плане и профиле, а также для передачи давления от железнодорожного подвижного состава и рельсов на нижнее строение пути непосредственно или через балластную призму",ГОСТ 34530-2019,,IfcTrackElement ,SLEEPER,,ЭЛ 60 20 02,,,,KSI060000853
,,WRF,,Остряк,,,,IfcRail,BLADE,,ЭЛ 60 20 01 04,,,,KSI060000854
,,WRG,,Стрелочная крестовина,"Часть железнодорожного стрелочного перевода или ромбовидного скрещения железнодорожных путей в виде клиновидного сердечника и двух усовиков, обеспечивающая безопасное для движения железнодорожного подвижного состава пересечение правого рельса одного пути с левым рельсом другого пути",ГОСТ Р 53431-2009,,IfcTrackElement,FROG,,ЭЛ 60 20 03,,,,KSI060000855
,,WRH,,Ограничивающие уклоны,"Уклоны, определяющие наибольшую допустимую крутизну элементов продольного профиля железнодорожного пути (трассы): руководящий уклон, уклон усиленной тяги, уравновешенный уклон, инерционный уклон",СП 119.13330.2024,,IfcRailwayPart, ,,,,,,KSI060000857
,,,WRH010,Инерционный уклон,"Уклон круче руководящего, преодолеваемый грузовым поездом при движении на подъем за счет работы силы тяги локомотива и использования накопленной на предыдущем участке кинетической энергии поезда",СП 119.13330.2024,,IfcRailwayPart, ,,,,,,KSI060000858
,,,WRH020,Руководящий уклон,"Наибольший затяжной подъем, по значению которого и расчетной минимальной скорости движения принятого тягового подвижного состава устанавливается норма массы поезда при одиночной тяге",СП 119.13330.2024,,IfcRailwayPart, ,,,,,,KSI060000859
,,,WRH030,Уклон усиленной тяги,"Уклон круче руководящего, преодолеваемый грузовым поездом с расчетной массой состава при движении на подъем за счет силы тяги основного и дополнительных локомотивов",СП 119.13330.2024,,IfcRailwayPart, ,,,,,,KSI060000860
,,,WRH040,Уравновешенный уклон,"Уклон (на подъем) круче руководящего уклона, применяемый в негрузовом направлении движения поездов при ярко выраженной неравномерности перевозок, который преодолевается грузовыми поездами с массой меньше, чем масса поездов, следующих в грузовом направлении",СП 119.13330.2024,,IfcRailwayPart, ,,,,,,KSI060000861
,,WRJ,,Предохранительные устройства,,СП 119.13330.2024,,,,,,,,,KSI060000863
,,,WRJ010,Предохранительный тупик,,СП 119.13330.2024,,IfcTrackElement,VEHICLESTOP,,,,,,KSI060000864
,,,WRJ020,Охранная стрелка,,СП 119.13330.2024,,IfcRail,GUARDRAIL,,,,,,KSI060000865
,,,WRJ030,Сбрасывающая стрелка,,СП 119.13330.2024,,,,,ЭЛ 60 20 12,,,,KSI060000866
,,,WRJ040,Колесосбрасывающий башмак,,СП 119.13330.2024,,IfcTrackElement ,DERAILER,,ЭЛ 60 20 04,,,,KSI060000867
,,,WRJ050,Сбрасывающий остряк,,СП 119.13330.2024,,,,,,,,,KSI060000868
,,WRK,,подрельсовое основание,"опоры для рельсов железнодорожного пути, предназначенные для восприятия нагрузок от рельсов и передачи их на балластный слой или искусственные сооружения",СП 238.1326000.2015,,,,,,,,,KSI060001257
,WV,,,"объект, направляющий тепловую энергию","объект, направляющий тепловую энергию","ISO 81346-2:2019
",Вид метода,,,,ЭЛ 40 15 37,,,,KSI060000766
,,WVA,,проводник тепла,"объект, направляющий тепловую энергию твердого вещества",,,,,,ЭЛ 40 50 26 05,,,,KSI060000767
,,WVB,,термопаста,"объект, направляющий тепловую энергию при помощи статичной жидкости",,,,,,,,,,KSI060000768
,WZ,,,"объект, направляющий несколько видов потоков",направляющий объект с несколькими видами потоков,ISO 81346-2:2019,Вид метода,,,,,,,,KSI060000769
,,WZA,,шлангокабель,"объект, направляющий несколько видов потоков электрической энергии, механической энергии, электрического сигнала, оптических сигналов и/или жидкости",,,IfcCableSegment,CABLESEGMENT,,,,,,KSI060000770
X_,,,,объект сопряжения,"объект, предназначенный для сопряжения объектов",ISO 81346-2:2019,Вид потока объектов и вид метода,,,,,,,,KSI060000771
,XB,,,высоковольтный соединительный объект,объект сопряжения для сетей высоковольтной электроэнергии,ISO 81346-2:2019,Вид метода,,,,,,,,KSI060000772
,,XBA,,высоковольтная клемма,высоковольтный соединительный объект для одиночного соединения,,,IfcCableFitting,JUNCTION,,"ЭЛ 40 50 20 50
ЭЛ 40 36 15",,,,KSI060000773
,,,XBA010,контактный зажим высокого и среднего напряжения,"изолированное или неизолированное соединительное устройство, предназначенное для многократного электрического соединения внешних проводников",ГОСТ 30988.1-2020 (IEC 60884-1:2013),,IfcCableFitting,,,,,,,KSI060001064
,,XBB,,розетка высокого напряжения,высоковольтный соединительный объект для подключаемых соединений,,,IfcOutlet,POWEROUTLET,,"ЭЛ 40 50 20 10
ЭЛ 40 50 20 90",,,,KSI060000774
,,XBC,,распределительная коробка высокого напряжения,высоковольтный соединительный объект для нескольких фиксированных соединений,,,IfcJunctionBox ,POWER,,ЭЛ 40 50 20 50,,,,KSI060000775
,XD,,,низковольтный соединительный объект,объект сопряжения для сетей низковольтной электроэнергии,ISO 81346-2:2019,Вид метода,,,,,,,,KSI060000776
,,XDA,,электрическая клемма,низковольтный соединительный объект для одиночного соединения,,,IfcCableFitting ,JUNCTION,,ЭЛ 60 40 02,,,,KSI060000777
,,,XDA010,контактный зажим низкого напряжения,"изолированное или неизолированное соединительное устройство, предназначенное для многократного электрического соединения внешних проводников",ГОСТ 30988.1-2020 (IEC 60884-1:2013),,IfcCableFitting ,,,,,,,KSI060001065
,,,XDA020,клеммная коробка,,ГОСТ 31195 .2 .5—2012,,,,,,,,,KSI060001107
,,,XDA030,коробка соединительная,,,,,,,,,,,KSI060001117
,,,XDA040, ящик кабельный,,ГОСТ Р 50889-96,,,,,,,,,KSI060001234
,,XDB,,розетка низкого напряжения,низковольтный соединительный объект для подключаемых соединений,,,IfcOutlet ,POWEROUTLET,,ЭЛ 40 50 20 10,,,,KSI060000778
,,XDC,,распределительная коробка,низковольтный соединительный объект для нескольких фиксированных соединений,,,IfcJunctionBox,POWER,,ЭЛ 40 50 20 50,,,,KSI060000779
,,XDD,,штепсельная розетка,низковольтный соединительный объект для стационарного подключения гибкого кабеля к приемнику электроэнергии,,,IfcOutlet,AUDIOVISUALOUTLET,,ЭЛ 40 50 20 10,,,,KSI060000780
,,XDE,,распределитель мощности,низковольтный соединительный объект из нескольких подключаемых приемников электроэнергии,,,IfcElectricDistributionBoard,CONSUMERUNIT,,,,,,KSI060000781
,XE,,,"объект, соединяющий потенциалы",объект сопряжения для заземления или опорного потенциала,ISO 81346-2:2019,Вид потенциала и метод,,,,,,,,KSI060000782
,,XEA,,клемма защитного заземления (PE),"объект, соединяющий потенциалы для подключения к проводникам защитного заземления",,,IfcCableFitting ,JUNCTION,,,,,,KSI060000783
,,XEB,,клемма защитного соединения (PB),"объект, соединяющий потенциалы для подключения к проводникам защитного соединения",,,IfcCableFitting ,JUNCTION,,,,,,KSI060000784
,,XEC,,клемма рабочего заземления,"объект, соединяющий потенциалы для подключения к проводам рабочего заземления",,,IfcCableFitting ,JUNCTION,,,,,,KSI060000785
,,XED,,клемма рабочего соединения,"объект, соединяющий потенциалы для подключения к проводникам рабочего соединения",,,IfcCableFitting ,JUNCTION,,,,,,KSI060000786
,,XEE,,заземляющий электрод,"объект, соединяющий потенциалы, обеспечивающий электрический контакт с заземлением",,,IfcProtectiveDevice,,,,,,,KSI060000787
,,XEF,,токоприемник,"объект, соединяющий потенциалы молнии и электрической цепи",,,IfcProtectiveDevice,,,,,,,KSI060000788
,,XEG,,щит заземления,,,,,,,,,,,KSI060001227
,XG,,,объект для соединения электрического сигнала,объект сопряжения для электрических сигналов,ISO 81346-2:2019,Вид метода,,,,,,,,KSI060000789
,,XGA,,сигнальная розетка,"объект, соединяющий электрические сигналы для одиночных подключаемых соединений",,,IfcOutlet,POWEROUTLET,,ЭЛ 40 50 20 10,,,,KSI060000790
,,,XGA010,телекоммуникационная розетка,Устройство на рабочем месте для соединения стационарно установленной части кабельной системы и подвижных кабелей для подключения оборудования пользователя,ГОСТ Р 56556-2015,,IfcOutlet,,,,,,,KSI060001180
,,XGB,,клемма,"объект, соединяющий электрические сигналы для одиночных соединений",,,IfcCableFitting ,JUNCTION,,,,,,KSI060000791
,,XGC,,коммутационная панель,"объект, соединяющий электрические сигналы по нескольким линиям",,,,,,,,,,KSI060000792
,,XGD,,распределитель сигналов,"объект, соединяющий электрические сигналы для нескольких подключаемых соединений",,,IfcCommunicationsAppliance,ROUTER,,,,,,KSI060000793
,XH,,,"объект, соединяющий оптико-волоконный сигнал",объект сопряжения оптических волокон,ISO 81346-2:2019,Вид метода,,,,,,,,KSI060000794
,,XHA,,фиксированная розетка для оптоволокна,"объект, соединяющий свет для подключаемых соединений",,,IfcOutlet,DATAOUTLET,,,,,,KSI060000795
,XK,,,объект для сбора,"объект сопряжения, собирающий вещество для передачи в поток",ISO 81346-2:2019,Вид собранного объекта,,,,,,,,KSI060000796
,,XKA,,раковина,объект для сбора сточных вод,,,IfcSanitaryTerminal,WASHHANDBASIN,,ЭЛ 40 50 40 50,,,,KSI060000797
,,XKB,,унитаз,объект для сбора фекалий и мочи,,,IfcSanitaryTerminal,TOILETPAN,,ЭЛ 40 50 40 70,,,,KSI060000798
,,XKC,,писсуар,объект для сбора только мочи,,,IfcSanitaryTerminal,URINAL,,ЭЛ 40 50 40 35,,,,KSI060000799
,,XKD,,маслосборник,объект для сбора излишней жидкости из технической системы,,,IfcTank,OILRETENTIONTRAY,,,,,,KSI060000800
,,XKE,,сточный колодец,объект для сбора излишков жидкости,,,IfcWasteTerminal,GULLYSUMP,,"
ЭЛ 40 15 31 04",,,,KSI060000801
,,,XKE010,колодец водоприемный,"тип колодца, предназначенный для приема и отвода ливневых и сточных вод",ГОСТ 8020-2016,,,,,,,,,KSI060001051
,,,XKE020,дренажный колодец,"колодец, который используется для сбора дренажных вод",ГОСТ Р 59611-2021,,,,,,,,,KSI060001052
,,,XKE030,"водосборный колодец (приемный, мокрый)","Колодец, предназначенный для получения грунтовых вод для водоснабжения или для сбора избыточных вод при осушении",ГОСТ 25151-2024,,,,,,,,,KSI060001128
,,XKF,,душ,,СП 30.13330.2020,,,,,ЭЛ 40 50 40 20,,,,KSI060000908
,,,XKF10,гигиенический душ,,СП 30.13330.2020,,,,,ЭЛ 40 50 40 20,,,,KSI060000909
,,XKG,,воронка водосточная,,ГОСТ Р 58956-2020,,,,,,,,,KSI060001033
,,XKH,,трап (канализационный),устройство для приема и отвода в канализационную сеть сточных вод с полов помещений,ГОСТ 1811-2019,,,,,,,,,KSI060001202
,,XKJ,,санитарно-технический прибор,"стационарный прибор, как правило, с подводом питьевой или технической воды или с отводом сточных вод",ГОСТ Р ИСО 6707-1-2020 ,,IfcSanitaryTerminal,,,,,,,KSI060001248
,XM,,,"объект, соединяющий герметичный поток",объект сопряжения для герметичного потока вещества,ISO 81346-2:2019,Вид метода,,,,,,,,KSI060000802
,,XMA,,фланец трубы,"объект, соединяющий герметичный поток при помощи реверсивной конструкции",,,IfcPipeFitting,CONNECTOR,,ЭЛ 40 15 20 60,,,,KSI060000803
,,XMB,,фитинг трубы,"объект, соединяющий герметичный поток при помощи нереверсивной конструкции",,,IfcPipeFitting, ,,ЭЛ 40 15 20,,,,KSI060000804
,,,XMB010,водорозетка,,,,,,,,,,,KSI060000910
,,,XMB020,сифон,"Техническое устройство, позволяющее подключить санитарный прибор или приемник сточных вод (производственных стоков) к системе канализации, в конструкции которого может быть использован гидрозатвор или иной принцип защиты от канализационных газов",СП 30.13330.2020,,,,,,,,,KSI060000911
,,,XMB030,ревизия,,СП 30.13330.2020,,,,,ЭЛ 40 15 20 50,,,,KSI060000912
,,,XMB040,компенсационный раструб,,СП 30.13330.2020,,,,,,,,,KSI060000913
,,,XMB050,соединительный калач,,ГОСТ 27590-2005 ,,,,,,,,,KSI060001080
,,,XMB060,Крестовина,"Соединение, в котором расстояние между осями ответвляемых трубопроводов составляет: для ответвлений диаметром до 100 мм - не менее D + 50 мм; для ответвлений диаметром 100 мм и более - не менее D + 100 мм",ГОСТ 32569-2013,,,,,,,,,KSI060001123
,,,XMB070,манжета,,,,,,,,,,,KSI060001125
