Класс,Подкласс 1,Подкласс 2,Тип (%%),Наименование компонента,Определение компонента,Источник,Критерии определения подклассов,IFC-entity,IFC-Predefined Type,КСР,МССК,ПСК,Примечание,Синонимы,УИН
B__,,,,объект сбора и представления информации,объект для сбора и представления информации,ISO 81346-2:2019,Вид количества,,,,,,,,KSI060000002
,BA_,,,объект для измерения электрического потенциала,объект для измерения электрического потенциала,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,KSI060000003
,,BAA,,измерительный трансформатор напряжения,"объект для измерения электрического потенциала со скалярным выходом
-
Измерительный трансформатор, в котором, при рабочих условиях применения, вторичное напряжение практически пропорционально первичному и отличается от него углом фазового сдвига, который приблизительно равен нулю для соответствующего направления соединений",ГОСТ IEC 61869-3-2012,,IfcTransformer,VOLTAGE,,,,,,KSI060000004
,,BAB,,реле напряжения,"объект индикации наличия электрического потенциала
-
Измерительное реле, характеристической величиной которого является напряжение.",ГОСТ IEC 60050-447-2014,,IfcFlowInstrument, ,"89.1.62.01-0822
,,,BRC010,ИК-датчик,Датчик для измерения интенсивности и/или спектральных характеристиках ИК-излучения на поверхности сенсора или в области пространства,ГОСТ Р 71199-2023 ,,IfcSensor,,,,,,,KSI060001294
,,BRD,,электромагнитное реле,"объект индикации наличия излучения невидимых электромагнитных волн
-
Электромеханическое реле, предопределенная реакция которого является результатом действия электромагнитных сил.",ГОСТ IEC 61810-1-2013,,IfcSensor, ,"89.1.62.01-0843
89.1.62.01-0844
89.1.62.01-0845
89.1.62.01-0846
89.1.62.01-0847
89.1.62.01-0848
89.1.62.01-0849
89.1.62.01-0850
89.1.62.01-0851
89.1.62.01-0852
89.1.62.01-0853
89.1.62.01-0854
89.1.62.01-0855
89.1.62.01-0856
89.1.62.01-0857
89.1.62.01-0858
89.1.62.01-0859
89.1.62.01-0860
89.1.62.01-0861
89.1.62.01-0862
89.1.62.01-0863
89.1.62.01-0864
89.1.62.01-0865
89.1.62.01-0866
89.1.62.01-0867
89.1.62.01-0868",,,,,KSI060000066
,,BRE,,датчик излучения,объект для измерения излучения ионизирующих частиц (скалярное значение),Большая строительная энциклопедия stroi.gov.ru,,IfcSensor,"IONCONCENTRATIONSENSOR
",,"ЭЛ 40 55 20 14
ЭЛ 40 55 20 10",,,,KSI060000067
,,BRF,,детектор излучения,объект индикации излучения ионизирующих частиц,,,IfcSensor,"IONCONCENTRATIONSENSOR
",,ЭЛ 40 55 20 17,,,,KSI060000068
,BS_,,,объект оценки временем,объект для измерения интенсивности чего-либо по времени,ISO 81346-2:2019,Вид измеряемого объекта времени и вид выходного сигнала,,,,,,,,KSI060000069
,,BSA,,датчик продолжительности цикла,объект для измерения времени неповторяющихся циклов действий (скалярное значение),Большая строительная энциклопедия stroi.gov.ru,,IfcSensor, ,,ЭЛ 40 55 20 10,,,,KSI060000070
,,BSB,,реле продолжительности цикла,объект индикации времени неповторяющихся циклов действий ,,,IfcSensor, ,,,,,,KSI060000071
,,BSC,,датчик скорости,объект для измерения скорости (скалярное значение),Большая строительная энциклопедия stroi.gov.ru,,IfcSensor, ,,ЭЛ 40 55 20 10,,,,KSI060000072
,,BSD,,реле контроля скорости,объект индикации скорости,,,IfcFlowInstrument , ,,ЭЛ 40 55 20 17,,,,KSI060000073
,,BSE,,тахометр,"объект для измерения скорости вращения (скалярное значение).
Прибор для измерения угловой скорости вращающихся частей машин, механизмов и приборов ","ГОСТ 18303-72
",,IfcSensor, ,,"ЭЛ 40 55 20 20
ЭЛ 40 55 20 10",,,,KSI060000074
,,BSF,,реле скорости вращения,объект индикации наличия скорости вращения,,,IfcSensor, ,,,,,,KSI060000075
,,BSG,,датчик ускорения,объект для измерения ускорения (скалярное значение),Большая строительная энциклопедия stroi.gov.ru,,IfcSensor, ,,ЭЛ 40 55 20 10,,,,KSI060000076
,,BSH,,реле ускорения,объект индикации ускорения,,,IfcSensor, ,,,,,,KSI060000077
,BT_,,,объект для измерения температуры,объект для измерения температуры,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,KSI060000078
,,BTA,,датчик температуры,"объект для измерения температуры (скалярное значение)
-
Компонент, определяющий температуру контролируемой или окружающей среды.","ГОСТ EN 1020-2014
",,IfcSensor,TEMPERATURESENSOR,,ЭЛ 40 55 20 10,,,,KSI060000079
,,,BTA010,распределитель тепла,"Устройство для измерения разности температур между поверхностью отопительного прибора и окружающей средой с последующим вычислением значения, пропорционального количеству тепловой энергии отопительного прибора",ГОСТ Р 71870-2024,,,,,,,,,KSI060001295
,,,BTA020,термостат,Устройство для регулировки и фиксирования желаемой температуры,ГОСТ Р 71870-2024,,,,,,,,,KSI060001296
,,BTB,,температурное реле,объект индикации наличия температуры,,,IfcSensor,TEMPERATURESENSOR,,ЭЛ 40 55 20 17,,,,KSI060000080
,,BTC,,термометрическая коса,,,,,,,,,,,KSI060001195
,,,BTC010,термометрическая скважина геотехнического мониторинга (ГТМ),,,,,,,,,,,KSI060001196
,,,BTC020,термометрическая скважина инженерно-геологического и геотехнического мониторинга (ИГТМ),,,,,,,,,,,KSI060001197
,BU_,,,объект для измерения множества величин параметров,объект для измерения множества величин,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,KSI060000081
,,BUA,,многосенсорное измерительное устройство,объект для измерения множества величин (одно или несколько скалярных значений),,,IfcSensor, ,,,,,,KSI060000082
,,,BUA010,беспроводное устройство мониторинга систем управления,"Устройство для периодического контроля параметров устройств, использующее в качестве канала связи беспроводный канал связи (радиосвязь, беспроводная оптическая связь)",ГОСТ Р 71199-2023,,,,,,,,,KSI060001297
,,,BUA020,мультисенсор,"Устройство умного дома, совмещающее функции нескольких датчиков и измеряющее несколько параметров окружающей среды, и обеспечивающее возможность передачи результатов измерений в автоматизированную систему управления зданием (АСУЗ)",ГОСТ Р 71870-2024,,,,,,,,,KSI060001327
,,BUB,,многоканальный детектор,объект индикации наличия множества величин,,,IfcSensor, ,,ЭЛ 40 55 20 17,,,,KSI060000083
,,BUC,,контрольно-измерительный пункт,"предназначен для контроля параметров электрохимической защиты, коммутации отдельных элементов системы электрохимической защиты, обозначения трасс трубопроводов и других металлических подземных сооружений и коммуникаций",ГОСТ Р 9.606-2021,,,,,,,,,KSI060001116
,BW_,,,объект для измерения силы,"объект для измерения веса, усилия или крутящего момента",ISO 81346-2:2019,"Вид измеряемого объекта и вид выходного
сигнала",,,,,,,,KSI060000084
