Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Код класса по ОКПДТР,Примеры,Примечания,Синонимы,УИН
,,BEY,,,Монтажник горного оборудования,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102624,,,,KSI190000264
,BF,,,,Рабочий такелажных работ,,,По специализации,,,,,KSI190000265
,,BFA,,,Такелажник,,Приказ Росстандарта от 16.05.2025 N 423-ст,,105047,,,,KSI190000266
,,,,BFA010,Такелажник на монтаже,,Приказ Росстандарта от 16.05.2025 N 423-ст,,105048,,,,KSI190000267
,,BFB,,,Транспортировщик,,Приказ Росстандарта от 16.05.2025 N 423-ст,,105123,,,,KSI190000268
,,BFC,,,Стропальщик,,Приказ Росстандарта от 16.05.2025 N 423-ст,,104947,,,,KSI190000269
,BG,,,,Арматурщик,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,,,KSI190000270
,BH,,,,Рабочий отделочных работ,,,По специализации,,,,,KSI190000271
,,BHA,,,Камнетес,,Приказ Росстандарта от 16.05.2025 N 423-ст,,101528,,,,KSI190000272
,,BHB,,,Стекольщик,,Приказ Росстандарта от 16.05.2025 N 423-ст,,104927,,,,KSI190000273
,,BHC,,,Штукатур,,Приказ Росстандарта от 16.05.2025 N 423-ст,,105452,,,,KSI190000274
,,BHD,,,Пескоструйщик,,Приказ Росстандарта от 16.05.2025 N 423-ст,,103681,,,,KSI190000275
,,BHE,,,Паркетчик,,Приказ Росстандарта от 16.05.2025 N 423-ст,,103629,,,,KSI190000276
,,BHF,,,Облицовщик,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,,,KSI190000277
,,,,BHF010,Облицовщик-мозаичник,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102952,,,,KSI190000278
,,,,BHF020,Облицовщик-мраморщик,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102953,,,,KSI190000279
,,,,BHF030,Облицовщик-плиточник,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102954,,,,KSI190000280
,,,,BHF040,Облицовщик-полировщик,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102955,,,,KSI190000281
,,,,BHF050,Облицовщик синтетическими материалами,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102951,,,,KSI190000282
,,BHG,,,Модельщик архитектурных деталей,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102582,,,,KSI190000283
,,BHH,,,Лепщик архитектурных деталей,,Приказ Росстандарта от 16.05.2025 N 423-ст,,101987,,,,KSI190000284
,,BHJ,,,Маляр,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102029,,,,KSI190000285
,,,,BHJ010,Маляр строительный,,"Приказ Росстандарта от 16.05.2025 N 423-ст
Приказ Минздравсоцразвития РФ от 06.04.2007 N 243
Приказ Минтруда России от 15.07.2024 N 355н",,102031,,,,KSI190000286
,BJ,,,,"Рабочий по устройству защиты строительных конструкций, зданий, сооружений и технологического оборудования",,Единый тарифно-квалификационный справочник работ и профессий рабочих,По специализации,,,,,KSI190000287
,,BJA,,,Кислотоупорщик,,"Единый тарифно-квалификационный справочник работ и профессий рабочих
Приказ Минздравсоцразвития РФ от 06.04.2007 N 243 ",,,,,,KSI190000288
,,,,BJA010,Футеровщик (кислотоупорщик),,Приказ Росстандарта от 16.05.2025 N 423-ст,,105293,,,,KSI190000289
,,,,BJA020,Кислотоупорщик-гуммировщик,,Приказ Росстандарта от 16.05.2025 N 423-ст,,101563,,,,KSI190000290
,,,,BJA030,Кислотоупорщик-винипластчик,,Приказ Росстандарта от 16.05.2025 N 423-ст,,101562,,,,KSI190000291
,,BJB,,,Пропитчик по огнезащитной пропитке,,Приказ Росстандарта от 16.05.2025 N 423-ст,,104144,,,,KSI190000292
,,BJC,,,Изолировщик,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,,,KSI190000293
,,,,BJC020,Изолировщик на гидроизоляции,,Приказ Росстандарта от 16.05.2025 N 423-ст,,101434,,,,KSI190000294
,,,,BJC030,Изолировщик на термоизоляции,,Приказ Росстандарта от 16.05.2025 N 423-ст,,101435,,,,KSI190000295
,,,,BJC040,Изолировщик-пленочник,,Приказ Росстандарта от 16.05.2025 N 423-ст,,101441,,,,KSI190000296
,,BJD,,,Огнеупорщик,,Приказ Росстандарта от 16.05.2025 N 423-ст,,103044,,,,KSI190000297
,,BJE,,,Кровельщик,,"Приказ Минздравсоцразвития РФ от 06.04.2007 N 243
Приказ Минтруда России от 31.10.2014 N 860н
Приказ Росстандарта от 16.05.2025 N 423-ст",,101832,,,,KSI190000298
,,,,BJE010,Кровельщик по рулонным кровлям и по кровлям из штучных материалов,,Приказ Росстандарта от 16.05.2025 N 423-ст,,101833,,,,KSI190000299
,,,,BJE020,Кровельщик по стальным кровлям,,Приказ Росстандарта от 16.05.2025 N 423-ст,,101834,,,,KSI190000300
,BK,,,,Рабочий сварочного производства,,"Единый тарифно-квалификационный справочник работ и профессий рабочих
",По специализации,,,,,KSI190000301
,,BKA,,,Оператор-термист на передвижных термических установках,,Приказ Росстандарта от 16.05.2025 N 423-ст,,103522,,,,KSI190000302
,,BKB,,,Газорезчик,,"Приказ Росстандарта от 16.05.2025 N 423-ст 
Приказ Минтруда России от 28.11.2013 N 701н 
Приказ Минтруда России от 03.12.2015 N 989н",,100932,,,,KSI190000303
,,,,BKB010,Газорезчик термической резки металлов,,Приказ Минтруда России от 03.12.2015 N 989н,,,,,,KSI190000507
,,,,BKB020,Резчик ручной кислородной резки металлов,,Приказ Минтруда России от 03.12.2015 N 989н,,,,,,KSI190000508
,,,,BKB030,Резчик ручной плазменной резки металлов,,Приказ Минтруда России от 03.12.2015 N 989н,,,,,,KSI190000509
,,,,BKB040,Резчик ручной термической резки металлов,,Приказ Минтруда России от 03.12.2015 N 989н,,,,,,KSI190000510
,,BKC,,,Сварщик,,"Единый тарифно-квалификационный справочник работ и профессий рабочих
Приказ Минтруда России от 28.11.2013 N 701н",,,,,,KSI190000304
,,,,BKC010,Газосварщик,,Приказ Росстандарта от 16.05.2025 N 423-ст,,100933,,,,KSI190000305
,,,,BKC020,Электрогазосварщик,,Приказ Росстандарта от 16.05.2025 N 423-ст,,105466,,,,KSI190000306
,,,,BKC030,Электросварщик ручной сварки,,Приказ Росстандарта от 16.05.2025 N 423-ст,,105558,,,,KSI190000307
,,,,BKC040,Сварщик на машинах контактной (прессовой) сварки,,Приказ Росстандарта от 16.05.2025 N 423-ст,,104610,,,,KSI190000308
,,,,BKC050,Сварщик пластмасс,,Приказ Минтруда России от 28.11.2013 N 701н,,,,,,KSI190000501
,,,,BKC060,Сварщик термитной сварки,,Приказ Минтруда России от 28.11.2013 N 701н,,,,,,KSI190000502
,,,,BKC070,Сварщик частично механизированной сварки плавлением,,Приказ Минтруда России от 28.11.2013 N 701н,,,,,,KSI190000503
,,,,BKC080,Электросварщик на автоматических и полуавтоматических машинах,,Приказ Минтруда России от 28.11.2013 N 701н,,,,,,KSI190000504
,,BKD,,,Контролер сварочных работ,,Приказ Росстандарта от 16.05.2025 N 423-ст,,101737,,,,KSI190000309
,,BKE,,,Паяльщик по свинцу (свинцовопаяльщик),,Приказ Росстандарта от 16.05.2025 N 423-ст,,103638,,,,KSI190000310
,,BKF,,,Водолаз по сварке и резке под водой,,Приказ Минтруда России от 19.07.2022 N 421н,,,,,,KSI190000505
,,BKG,,,Электрогазосварщик-врезчик,,Распоряжение РЖД от 30.01.2023 № 170р,,,,,,KSI190000506
,BL,,,,Кессонщик,,Приказ Росстандарта от 16.05.2025 N 423-ст,По специализации,,,,,KSI190000311
,,BLA,,,Кессонщик-аппаратчик,,Приказ Росстандарта от 16.05.2025 N 423-ст,,101553,,,,KSI190000312
,,BLB,,,Кессонщик-проходчик,,Приказ Росстандарта от 16.05.2025 N 423-ст,,101554,,,,KSI190000313
,,BLC,,,Кессонщик-слесарь,,Приказ Росстандарта от 16.05.2025 N 423-ст,,101555,,,,KSI190000314
,,BLD,,,Кессонщик-электромонтажник,,Приказ Росстандарта от 16.05.2025 N 423-ст,,101556,,,,KSI190000315
,BM,,,,Плотник,,Приказ Росстандарта от 16.05.2025 N 423-ст,,103756,,,,KSI190000316
,BN,,,,Рабочий занятый на электромонтажных работах,,Единый тарифно-квалификационный справочник работ и профессий рабочих,По специализации,,,,,KSI190000317
,,BNA,,,Электромонтер,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,,,KSI190000318
,,,,BNA010,Электромонтер диспетчерского оборудования и телеавтоматики,,Приказ Росстандарта от 16.05.2025 N 423-ст,,105508,,,,KSI190000319
,,,,BNA020,Электромонтер по обслуживанию электрооборудования,,Приказ Росстандарта от 16.05.2025 N 423-ст,,105524,,,,KSI190000320
,,,,BNA030,Электромонтер по ремонту и обслуживанию электрооборудования,,Приказ Росстандарта от 16.05.2025 N 423-ст,,105534,,,,KSI190000321
,,,,BNA040,Электромонтер по ремонту электрооборудования,,Приказ Росстандарта от 16.05.2025 N 423-ст,,105537,,,,KSI190000322
,,BNB,,,Электромонтажник,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,,,KSI190000323
,,,,BNB010,Электромонтажник-наладчик,,Приказ Росстандарта от 16.05.2025 N 423-ст,,105505,,,,KSI190000324
,,,,BNB020,Электромонтажник по аккумуляторным батареям,,Приказ Росстандарта от 16.05.2025 N 423-ст,,105497,,,,KSI190000325
,,,,BNB030,Электромонтажник по кабельным сетям,,Приказ Росстандарта от 16.05.2025 N 423-ст,,105498,,,,KSI190000326
,,,,BNB040,Электромонтажник по освещению и осветительным сетям,,Приказ Росстандарта от 16.05.2025 N 423-ст,,105499,,,,KSI190000327
,,,,BNB050,Электромонтажник по распределительным устройствам и вторичным цепям,,Приказ Росстандарта от 16.05.2025 N 423-ст,,105500,,,,KSI190000328
,,,,BNB060,"Электромонтажник по сигнализации, централизации и блокировке",,Приказ Росстандарта от 16.05.2025 N 423-ст,,105501,,,,KSI190000329
,,,,BNB070,Электромонтажник по силовым сетям и электрооборудованию,,Приказ Росстандарта от 16.05.2025 N 423-ст,,105502,,,,KSI190000330
,,,,BNB080,Электромонтажник по электрическим машинам,,Приказ Росстандарта от 16.05.2025 N 423-ст,,105503,,,,KSI190000331
,,,,BNB090,Электромонтер-линейщик по монтажу воздушных линий высокого напряжения и контактной сети,,Приказ Росстандарта от 16.05.2025 N 423-ст,,105549,,,,KSI190000332
,BP,,,,Электромеханик,,Единый тарифно-квалификационный справочник работ и профессий рабочих,По специализации,,,,,KSI190000333
,,BPA,,,Электромеханик по лифтам,,Приказ Росстандарта от 16.05.2025 N 423-ст,,105481,,,,KSI190000334
,,BPB,,,Электромеханик по эксплуатации и обслуживанию подъемных платформ для инвалидов,,"Единый тарифно-квалификационный справочник работ и профессий рабочих
Приказ Минтруда России от 23.08.2018 N 548н",,,,,,KSI190000335
,,BPC,,,"Электромеханик по эксплуатации, техническому обслуживанию и ремонту эскалаторов и пассажирских конвейеров",,"Единый тарифно-квалификационный справочник работ и профессий рабочих
Приказ Минтруда России от 14.04.2025 N 240н",,,,,,KSI190000336
,,BPD,,,Электромеханики устройств (систем) железнодорожного транспорта,,"Приказ Росстандарта от 16.05.2025 N 423-ст 
Распоряжение РЖД от 30.01.2023 № 170р",,,,,,KSI190000511
,,,,BPD010,Электромеханик линейного отдела,,"Приказ Росстандарта от 16.05.2025 N 423-ст 
Распоряжение РЖД от 30.01.2023 № 170р",,,,,,KSI190000512
,,,,BPD020,"Электромеханик по обслуживанию устройств сигнализации, централизации и блокировки",,"Приказ Росстандарта от 16.05.2025 N 423-ст 
Распоряжение РЖД от 30.01.2023 № 170р",,,,,,KSI190000513
,,,,BPD030,Электромеханик района контактной сети,,"Приказ Росстандарта от 16.05.2025 N 423-ст 
Распоряжение РЖД от 30.01.2023 № 170р",,,,,,KSI190000514
,,,,BPD040,Электромеханик района электроснабжения,,"Приказ Росстандарта от 16.05.2025 N 423-ст 
Распоряжение РЖД от 30.01.2023 № 170р",,,,,,KSI190000515
,,,,BPD050,Электромеханик ремонтно-ревизионного участка,,"Приказ Росстандарта от 16.05.2025 N 423-ст 
Распоряжение РЖД от 30.01.2023 № 170р",,,,,,KSI190000516
,,,,BPD060,Электромеханик электротехнической лаборатории,,"Приказ Росстандарта от 16.05.2025 N 423-ст 
Распоряжение РЖД от 30.01.2023 № 170р",,,,,,KSI190000517
,,BPE,,,Электромеханики устройств (систем) железнодорожного подвижного состава,,"Приказ Минтруда России от 02.04.2024 N 165н 
Распоряжение РЖД от 30.01.2023 № 170р",,,,,,KSI190000518
,,,,BPE010,Электромеханик устройств (систем) безопасности и средств радиосвязи железнодорожного подвижного состава,,Приказ Минтруда России от 02.04.2024 N 165н ,,,,,,KSI190000519
,,,,BPE020,Электромеханик поездной железнодорожного транспорта,,Приказ Минтруда России от 02.04.2024 N 165н ,,,,,,KSI190000520
,,,,BPE030,Электромеханик тяговой подстанции,,Распоряжение РЖД от 30.01.2023 № 170р,,,,,,KSI190000521
,BQ,,,,Рабочий дорожного строительства,,,По специализации,,,,,KSI190000337
,,BQA,,,Асфальтобетонщик ,,Приказ Росстандарта от 16.05.2025 N 423-ст,,100637,,,,KSI190000338
,,BQB,,,Асфальтобетонщик-варильщик,,Приказ Росстандарта от 16.05.2025 N 423-ст,,100638,,,,KSI190000339
,,BQC,,,Дорожный рабочий,,Приказ Росстандарта от 16.05.2025 N 423-ст,,101088,,,,KSI190000340
,,BQD,,,Мостовщик,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102694,,,,KSI190000341
,,BQE,,,Рабочие железнодорожной инфраструктуры,,"Приказ Минтруда России от 09.08.2022 N 475н
Приказ Минтруда России от 1 .03.2023 г. N 115н
Приказ Минтруда России от 20.12.2022 г. N 797н
Приказ Минтруда России от 16.03.2018 N 147н
Приказ Минтруда России от 11.03.2024 N 96н 
Приказ Минтруда России от 06.04.2021 N 217н
Приказ Минтруда России от 02.04.2024 N 168н
Распоряжение РЖД от 30.01.2023 № 170р
Приказ Минтруда России от 01.04.2024 N 163н 
Приказ Минтруда России от 18.10.2022 г. N 673н
Приказ Минтруда России от 02.04.2024 N 167н Приказ Минтруда России от 11.03.2024 N 95н
Приказ Минтруда России от 16.04.2024 N 211н",,,,,,KSI190000522
,,,,BQE010,Бандажник,,Приказ Минтруда России от 09.08.2022 N 475н,,,,,,KSI190000523
,,,,BQE020,Контролер состояния железнодорожного пути,,Приказ Минтруда России от 1.03.2023 г. N 115н,,,,,,KSI190000524
,,,,BQE030,Контролер состояния искусственных сооружений железнодорожного транспорта,,Приказ Минтруда России от 1.03.2023 г. N 115н,,,,,,KSI190000525
,,,,BQE040,Контролер состояния объектов железнодорожной инфраструктуры,,Приказ Минтруда России от 1.03.2023 г. N 115н,,,,,,KSI190000526
,,,,BQE050,Монтер пути,,Приказ Минтруда России от 20.12.2022 г. N 797н,,,,,,KSI190000527
,,,,BQE060,Монтер железнодорожной инфраструктуры на малоинтенсивных железнодорожных участках,,Приказ Минтруда России от 16.03.2018 N 147н,,,,,,KSI190000528
,,,,BQE070,Обходчик пути и искусственных сооружений,,Приказ Минтруда России от 1.03.2023 г. N 115н,,,,,,KSI190000529
,,,,BQE080,Осмотрщик вагонов,,Приказ Минтруда России от 20.12.2022 г. N 797н,,,,,,KSI190000530
,,,,BQE090,Осмотрщик-ремонтник вагонов,,Приказ Минтруда России от 11.03.2024 N 96н,,,,,,KSI190000531
,,,,BQE100,Прессовщик колесных пар подвижного состава,,Приказ Минтруда России от 06.04.2021 N 217н,,,,,,KSI190000532
,,,,BQE110,Рабочий по обслуживанию локомотива,,Приказ Минтруда России от 02.04.2024 N 168н,,,,,,KSI190000533
,,,,BQE120,Рабочий тоннельный,,Приказ Минтруда России от 01.04.2024 N 163н ,,,,,,KSI190000534
,,,,BQE130,Ремонтник искусственных сооружений,,Приказ Минтруда России от 01.04.2024 N 163н ,,,,,,KSI190000535
,,,,BQE140,Дежурный по переезду,, Приказа Минтруда России от 18.10.2022 N 671н,,,,,,KSI190000536
,,,,BQE150,Дежурный стрелочного поста,,Приказ Минтруда России от 4.10.2022 г. N 619н,,,,,,KSI190000537
,,,,BQE160,Кондуктор,,Распоряжение РЖД от 30.01.2023 № 170р,,,,,,KSI190000538
,,,,BQE170,Кондуктор грузовых поездов,,Приказ Минтруда России от 18.10.2022 г. N 673н,,,,,,KSI190000539
,,,,BQE180,Приемосдатчик груза и багажа в поездах,,Приказ Минтруда России от 02.04.2024 N 167н,,,,,,KSI190000540
,,,,BQE190,Приемщик поездов,,Приказ Минтруда России от 02.04.2024 N 167н,,,,,,KSI190000541
,,,,BQE200,Регулировщик скорости движения вагонов,,Приказ Минтруда России от 11.03.2024 N 95н,,,,,,KSI190000542
,,,,BQE210,Сигналист,,Приказ Минтруда России от 17.03.2022 N 136н,,,,,,KSI190000543
,,,,BQE220,Составитель поездов,,Приказ Минтруда России от 18.10.2022 г. N 673н,,,,,,KSI190000544
,,,,BQE230,Помощник составителя поездов,,Распоряжение РЖД от 30.01.2023 № 170р,,,,,,KSI190000545
,,,,BQE240,Механизатор (докер-механизатор) комплексной бригады на погрузочно-разгрузочных работах,,Приказ Минтруда России от 05.07.2022 N 395н,,,,,,KSI190000546
,,,,BQE250,Раздатчик нефтепродуктов,,Приказ Минтруда России от 16.04.2024 N 211н,,,,,,KSI190000547
,,,,BQE260,Сливщик-разливщик по снабжению нефтепродуктами,,Приказ Минтруда России от 16.04.2024 N 211н,,,,,,KSI190000548
,,,,BQE270,Экипировщик транспортных средств нефтепродуктами,,Приказ Минтруда России от 16.04.2024 N 211н,,,,,,KSI190000549
,,,,BQE280,Кочегар паровозов в депо,,Приказ Минтруда России от 02.04.2024 N 168н,,,,,,KSI190000550
,,,,BQE290,Вызывальщик локомотивных и поездных бригад,,Распоряжение РЖД от 30.01.2023 № 170р,,,,,,KSI190000551
,,,,BQE300,Токарь (по обточке бандажей колесных пар),,Распоряжение РЖД от 30.01.2023 № 170р,,,,,,KSI190000552
,,,,BQE310,Промывальщик котлов паровозов,,Распоряжение РЖД от 30.01.2023 № 170р,,,,,,KSI190000553
,,BQF,,,Бригадиры железнодорожной инфраструктуры,,Приказ Минтруда России от 12.02.2018 N 76н,,,,,,KSI190000554
,,,,BQF010,Бригадир (освобожденный) по обслуживанию и ремонту устройств железнодорожной инфраструктуры,,Приказ Минтруда России от 12.02.2018 N 76н,,,,,,KSI190000555
,,,,BQF020,Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений,,Приказ Минтруда России от 31.07.2020 N 461н,,,,,,KSI190000556
,,,,BQF030,Бригадир (освобожденный) предприятий железнодорожного транспорта,,Приказ Минтруда России от 31.07.2020 N 462н,,,,,,KSI190000557
,,BQG,,,Рабочие пассажирского городского рельсового транспорта,,Приказ Минтруда России от 20.03.2023 N 184н,,,,,,KSI190000558
,,,,BQG010,Монтер пути метрополитена,,Приказ Минтруда России от 20.03.2023 N 184н,,,,,,KSI190000559
,,,,BQG020,Монтер трамвайных путей,,Приказ Минтруда России от 01.03.2023 N 120н,,,,,,KSI190000560
,,,,BQG030,Тоннельный рабочий метрополитена,,Приказ Минтруда России от 14.09.2022 N 530н,,,,,,KSI190000561
,,BQH,,,Бригадиры пассажирского городского рельсового транспорта,,Приказ Минтруда России от 20.03.2023 N 184н,,,,,,KSI190000562
,,,,BQH010,Бригадир (освобожденный) по комплексному обслуживанию пути и контактного рельса метрополитена,,Приказ Минтруда России от 20.03.2023 N 184н,,,,,,KSI190000563
,,,,BQH020,Бригадир (освобожденный) по комплексному обслуживанию трамвайных путей,,Приказ Минтруда России от 01.03.2023 N 120н,,,,,,KSI190000564
,BR,,,,Слесарь,,,По специализации,,,,,KSI190000342
,,BRA,,,"Слесарь по изготовлению деталей и узлов систем вентиляции, кондиционирования воздуха, пневмотранспорта и аспирации",,Приказ Росстандарта от 16.05.2025 N 423-ст,,104680,,,,KSI190000343
,,BRB,,,Слесарь по изготовлению узлов и деталей санитарно-технических систем,,Приказ Росстандарта от 16.05.2025 N 423-ст,,104683,,,,KSI190000344
,,BRC,,,Слесарь по изготовлению узлов и деталей технологических трубопроводов,,Приказ Росстандарта от 16.05.2025 N 423-ст,,104684,,,,KSI190000345
,,BRD,,,Слесарь строительный,,Приказ Росстандарта от 16.05.2025 N 423-ст,,104729,,,,KSI190000346
,,BRE,,,Электрослесарь строительный,,Приказ Росстандарта от 16.05.2025 N 423-ст,,105570,,,,KSI190000347
,,BRF,,,Электрослесарь на проходке,,Приказ Росстандарта от 16.05.2025 N 423-ст,,105560,,,,KSI190000348
,,BRG,,,Электрослесарь-монтажник подземного горнопроходческого оборудования,,Приказ Росстандарта от 16.05.2025 N 423-ст,,105572,,,,KSI190000349
,BS,,,,Наладчик,,,По специализации,,,,,KSI190000350
,,BSA,,,"Наладчик приборов, аппаратуры и систем автоматического контроля, регулирования и управления (Наладчик КИП и автоматики)",,Приказ Росстандарта от 16.05.2025 N 423-ст,,102834,,,,KSI190000351
,,BSB,,,Наладчик строительных машин,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102842,,,,KSI190000352
,,BSC,,,Наладчик сварочного и газоплазморезательного оборудования,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102837,,,,KSI190000353
,,BSD,,,Наладчики железнодорожно-строительных машин и механизмов железнодорожного транспорта,,Приказ Минтруда России от 22.09.2020 г. N 638н,,,,,,KSI190000565
,,,,BSD010,Наладчик железнодорожно-строительных машин и механизмов,,Приказ Минтруда России от 22.09.2020 г. N 638н,,,,,,KSI190000566
,,BSE,,,Наладчики контрольно-измерительных вагонов железнодорожного транспорта,,Приказ Минтруда России от 23.07.2020 N 448н,,,,,,KSI190000567
,,,,BSE010,Наладчик контрольно-измерительных вагонов,,Приказ Минтруда России от 23.07.2020 N 448н,,,,,,KSI190000568
,,BSF,,,Наладчики подъемно-транспортных машин и механизмов,,Приказ Минтруда России от 15.04.2025 N 245н,,,,,,KSI190000569
,,,,BSF010,Наладчик электронного оборудования подъемных сооружений,,Приказ Минтруда России от 15.04.2025 N 245н,,,,,,KSI190000570
,BT,,,,Речной рабочий,,Приказ Росстандарта от 16.05.2025 N 423-ст,По специализации,,,,,KSI190000354
,,BTA,,,"Речной рабочий на подводно-технических, габионных и фашинных работах, выполняемых с поверхности",,Приказ Росстандарта от 16.05.2025 N 423-ст,,104482,,,,KSI190000355
,,BTB,,,Речной рабочий на эксплуатации и обслуживании несамоходных плавучих снарядов и других плавучих средств,,Приказ Росстандарта от 16.05.2025 N 423-ст,,104483,,,,KSI190000356
,BU,,,,Трубоклад,,Приказ Росстандарта от 16.05.2025 N 423-ст,По специализации,,,,,KSI190000357
,,BUA,,,Трубоклад промышленных железобетонных труб,,Приказ Росстандарта от 16.05.2025 N 423-ст,,105134,,,,KSI190000358
,,BUB,,,Трубоклад промышленных кирпичных труб,,Приказ Росстандарта от 16.05.2025 N 423-ст,,105135,,,,KSI190000359
,BV,,,,"Комплектовщик строительных материалов, изделий и оборудования",,"Приказ Росстандарта от 16.05.2025 N 423-ст
Приказ Минздравсоцразвития РФ от 06.04.2007 N 243",,101635,,,,KSI190000360
,BW,,,,Рабочий по комплексному обслуживанию и ремонту зданий,,Приказ Росстандарта от 16.05.2025 N 423-ст,,104198,,,,KSI190000361
,BX,,,,Промышленный альпинист,,Приказ Росстандарта от 16.05.2025 N 423-ст,,104131,,,,KSI190000362
,BY,,,,Столяр,,Приказ Росстандарта от 16.05.2025 N 423-ст,По специализации,104935,,,,KSI190000363
,,BYA,,,Столяр строительный,,Приказ Росстандарта от 16.05.2025 N 423-ст,,104938,,,,KSI190000364
,BZ,,,,Подсобный рабочий,,Приказ Росстандарта от 16.05.2025 N 423-ст,,103804,,,,KSI190000365
C,,,,,Роли,,,По виду участника градостроительных отношений,,,,,KSI190000366
,CA,,,,Застройщик,,Градостроительный кодекс Российской Федерации от 29.12.2004 № 190-ФЗ,,,,,,KSI190000367
,CB,,,,Технический заказчик,,Градостроительный кодекс Российской Федерации от 29.12.2004 № 190-ФЗ,,,,,,KSI190000368
,CC,,,,Инвестор,,Градостроительный кодекс Российской Федерации от 29.12.2004 № 190-ФЗ,,,,,,KSI190000369
,CD,,,,Кредитная организация,,Федеральный закон от 02.12.1990 N 395-1,По виду организации,,,,,KSI190000370
,,CDA,,,Банк,,Федеральный закон от 02.12.1990 N 395-1,,,,,,KSI190000371
,,CDB,,,Небанковская кредитная организация,,Федеральный закон от 02.12.1990 N 395-1,,,,,,KSI190000372
,CE,,,,Саморегулируемая организация,,Градостроительный кодекс Российской Федерации от 29.12.2004 № 190-ФЗ,,,,,,KSI190000373
,CF,,,,Проектировщик,,МДС 80-16.2000,,,,,,KSI190000374
,CG,,,,Субъект градостроительных отношений,,Градостроительный кодекс Российской Федерации от 29.12.2004 № 190-ФЗ,По уровню субъекта,,,,,KSI190000375
,,CGD,,,Физическое лицо,,Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 № 51-ФЗ,,,,,,KSI190000376
,,CGE,,,Юридическое лицо,,Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 № 51-ФЗ,,,,,,KSI190000377
,CH,,,,Орган строительного надзора,,Градостроительный кодекс Российской Федерации от 29.12.2004 № 190-ФЗ,,,,,,KSI190000378
,,,,CH010,Орган федерального государственного строительного надзора,,Градостроительный кодекс Российской Федерации от 29.12.2004 № 190-ФЗ,,,,,,KSI190000379
,,,,CH020,Орган государственного строительного надзора,,Градостроительный кодекс Российской Федерации от 29.12.2004 № 190-ФЗ,,,,,,KSI190000380
,CJ,,,,Орган экспертизы,,Постановление Правительства РФ от 05.03.2007 N 145,,,,,,KSI190000381
,,,,CJ010,Орган государственной экспертизы,,Постановление Правительства РФ от 05.03.2007 N 145,,,,,,KSI190000382
,,,,CJ020,Орган негосударственной экспертизы,,Постановление Правительства РФ от 31.05.2022 N 994,,,,,,KSI190000383
,CK,,,,"Лицо, осуществляющее строительный контроль",,Градостроительный кодекс Российской Федерации от 29.12.2004 № 190-ФЗ,,,,,,KSI190000384
,CL,,,,Генеральный подрядчик,,Гражданский кодекс Российской Федерации (часть вторая) от 26.01.1996 № 14-ФЗ,,,,,,KSI190000385
,CM,,,,Субподрядчик,,Гражданский кодекс Российской Федерации (часть вторая) от 26.01.1996 № 14-ФЗ,,,,,,KSI190000386
,CN,,,,Региональный оператор,,Федеральный закон от 24.06.1998 № 89-ФЗ ,,,,,,KSI190000387
,CP,,,,Производитель,"Человек или организация, изготовляющие материалы, продукцию, компоненты или другие товары вне строительной площадки",ГОСТ Р ИСО 6707-1-2020,,,,,,KSI190000388
,CQ,,,,Изготовитель,,Закон РФ от 07.02.1992 N 2300-1,,,,,,KSI190000389
,CR,,,,Поставщик,,Федеральный закон от 05.04.2013 № 44-ФЗ ,,,,,,KSI190000390
D,,,,,Органы власти,,,,,,,,KSI190000391
,DL,,,,Федеральные органы исполнительной власти,,,,,,,,KSI190000392
,,,,DL010,Российская Федерация,,Конституция Российской Федерации от 12.12.1993,,,,,,KSI190000393
,,,,DL020,Президент Российской Федерации,,Конституция Российской Федерации от 12.12.1993,,,,,,KSI190000394
,,,,DL030,Государственная Дума Федерального Собрания Российской Федерации,,Конституция Российской Федерации от 12.12.1993,,,,,,KSI190000395
,,,,DL040,Совет Федерации Федерального Собрания Российской Федерации,,Конституция Российской Федерации от 12.12.1993,,,,,,KSI190000396
,,,,DL050,Правительство Российской Федерации,,Федеральный конституционный закон от 06.11.2020 N 4-ФКЗ,,,,,,KSI190000397
,,,,DL060,"Федеральные министерства, подведомственные им агентства, службы, надзоры",,Указ Президента РФ от 21.01.2020 N 21,,,,,,KSI190000398
