Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по ГЭСН,Примечания
,,CNC,,,"Пробивка борозд и гнезд в местах заделки ступеней, площадок, балок для разборки лестничных маршей и площадок",,ГЭСН 81-02-46-2020,,,,
,,CND,,,Разборка поручней и лестничных решеток,,ГЭСН 81-02-46-2020,,,,
,,CNE,,,Разборка косоуров и балок площадок,,ГЭСН 81-02-46-2020,,,,
,CP,,,,Разборка ступеней,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-04-014,
,,CPA,,,Разборка каменных ступеней,,ГЭСН 81-02-46-2020,,,,
,,CPB,,,Разборка железобетонных ступеней,,ГЭСН 81-02-46-2020,,,,
,CQ,,,,Разборка облицовки из тесаного камня,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-04-015,
,,CQA,,,Разборка облицовки с очисткой от раствора,,ГЭСН 81-02-46-2020,,,,
,CR,,,,"Резка бетонных и железобетонных конструкций стен, перегородок и перекрытий дисковыми стенорезными машинами",,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-04-016,
,,CRA,,,"Разметка линии резания, мест крепления направляющей шины",,ГЭСН 81-02-46-2020,,,,
,,CRB,,,"Установка направляющей шины в готовые отверстия, включая затяжку болтовых соединений до проектного усилия",,ГЭСН 81-02-46-2020,,,,
,,CRC,,,"Сборка стенорезной машины, включая установку режущего диска на поворотную стрелу",,ГЭСН 81-02-46-2020,,,,
,,CRD,,,"Подключение электропитания, проверка направления вращения режущего диска, фазировка, сборка системы охлаждения и промывки",,ГЭСН 81-02-46-2020,,,,
,,CRE,,,Сборка гидравлической схемы стенорезной машины,,ГЭСН 81-02-46-2020,,,,
,,CRF,,,"Проверка уровня масла, проведение необходимых регулировок и отладки системы гидравлического привода, проверка работоспособности стенорезной машины на холостом ходу",,ГЭСН 81-02-46-2020,,,,
,,CRG,,,"Подача воды на маслостанцию и стенорезную машину, пробная резка при малых оборотах",,ГЭСН 81-02-46-2020,,,,
,,CRH,,,"Резка бетонной конструкции, контроль процесса резки",,ГЭСН 81-02-46-2020,,,,
,,CRJ,,,Демонтаж стенорезной машины,,ГЭСН 81-02-46-2020,,,,
,,CRK,,,Смена режущего диска,,ГЭСН 81-02-46-2020,,,,
