Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания
,,CDA,,,Контрольно-измерительные работы при инженерно-экологических изысканиях,,"СП 11-102-97
СБЦ",,,
,,CDB,,,Проходка горных выработок для получения экологической информации,,"СП 11-102-97
СБЦ",,,
,CE,,,,Инженерно-геотехнические полевые работы,,Приказ Минрегиона РФ от 30.12.2009 N 625,По виду работ,,
,,CEA,,,Полевые испытания грунтов с определением их стандартных прочностных характеристик,,Приказ Минрегиона РФ от 30.12.2009 N 626,,,
,,CEB,,,Полевые испытания грунтов с определением их стандартных деформационных характеристик,,Приказ Минрегиона РФ от 30.12.2009 N 627,,,
,,CEC,,,Испытание эталонных свай,,Приказ Минрегиона РФ от 30.12.2009 N 628,,,
,,CED,,,Испытание натурных свай,,Приказ Минрегиона РФ от 30.12.2009 N 629,,,
,,CEE,,,Определение стандартных механических характеристик грунтов,,Приказ Минрегиона РФ от 30.12.2009 N 630,,,
,,,,CEE010,Определение характеристик грунтов методом статического зондирования,,Приказ Минрегиона РФ от 30.12.2009 N 631,,,
,,,,CEE020,Определение характеристик грунтов методом динамического зондирования,,Приказ Минрегиона РФ от 30.12.2009 N 632,,,
,,,,CEE030,Определение характеристик грунтов методом бурового зондирования,,Приказ Минрегиона РФ от 30.12.2009 N 633,,,
,,CEF,,,Проходка горных выработок при инженерно-геотехнических работах,,Приказ Минрегиона РФ от 30.12.2009 N 634,,,
,CF,,,,Гидрометеорологические полевые работы,,"СП 11-103-97
СБЦ",По виду работ,,
,,CFA,,,Гидроморфологические работы,,"СП 11-103-97
СБЦ",По виду работ,,
,,,CFAA,,Разбивка морфометрического створа,,"СП 11-103-97
СБЦ",,,
,,,CFAB,,Нивелирование морфометрического створа,,"СП 11-103-97
СБЦ",,,
,,,CFAC,,Установление высоких исторических уровней воды,,"СП 11-103-97
СБЦ",,,
,,,CFAD,,Определение мгновенных уклонов водной поверхности,,"СП 11-103-97
СБЦ",,,
,,,CFAE,,Съемка земляного полотна подходов к существующим мостам,,"СП 11-103-97
СБЦ",,,
,,,CFAF,,Съемка земляного полотна подходов к существующим регуляционным берегоукрепительным сооружениям,,"СП 11-103-97
СБЦ",,,
,,,CFAG,,Нивелирование земляного полотна подходов к существующим мостам,,"СП 11-103-97
СБЦ",,,
,,,CFAH,,Съемка земляного полотна подходов к существующим выправительным берегоукрепительным сооружениям,,"СП 11-103-97
СБЦ",,,
,,,CFAJ,,Нивелирование земляного полотна подходов к существующим выправительным берегоукрепительным сооружениям,,"СП 11-103-97
СБЦ",,,
,,,CFAK,,Нивелирование земляного полотна подходов к существующим регуляционным берегоукрепительным сооружениям,,"СП 11-103-97
СБЦ",,,
,,,CFAL,,Прокладка магистрального теодолитно-нивелирного хода для привязки точек высоких вод,,"СП 11-103-97
СБЦ",,,
,,,CFAM,,Промеры глубин гидроморфологических работ,,"СП 11-103-97
СБЦ",,,
,,,CFAN,,Установка постоянных реперов,,"СП 11-103-97
СБЦ",,,
,,,CFAP,,Нивелирование постоянных реперов,,"СП 11-103-97
СБЦ",,,
,,CFB,,,Инженерно-гидрологические изыскания,,"СП 11-103-97
СБЦ",По виду работ,,
,,,CFBA,,Измерение уровней водного объекта,,"СП 11-103-97
СБЦ",,,
,,,CFBB,,Измерение уклонов водной поверхности,,"СП 11-103-97
СБЦ",,,
,,,CFBC,,Измерение расходов воды,,"СП 11-103-97
СБЦ",,,
,,,CFBD,,Измерение скоростей течений воды,,"СП 11-103-97
СБЦ",,,
