Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Примечания
,HJ,,,,"Объекты магистральных трубопроводов СУГ, СПГ, нестабильного конденсата и нестабильного бензина, нефтяного газа и других сжиженных углеводородов (ШФЛУ)",,Классификатор ОКС по НФТО,По виду ОКС,,20.6.1,
,,HJA,,,"Насосная станция, объекты приемо-сдаточная инфраструктура и сопутствующие объекты трубопроводов СУГ, СНГ и пр.","Объект магистрального трубопровода сжиженных углеводородных газов, включающий в себя комплекс зданий, сооружений и устройств для приема, накопления, учета и перекачки сжиженных углеводородных газов по магистральному трубопроводу.","Классификатор ОКС по НФТО
СП 36.13330.2012",,"Сооружение замерного устройства магистрального трубопровода СУГ, СПГ и пр.
Сооружение узла пуска-приема средств очистки и диагностики магистрального трубопровода СУГ, СПГ и пр.
Сооружение резервуара, резервуарного парка магистрального трубопровода СУГ, СПГ и пр.",20.7.2,
,,HJB,,,"Сооружение трубопровода СУГ, СПГ и пр.","Сооружение, состоящее из плотно соединенных между собой труб, деталей, запорно-регулирующей аппаратуры, контрольно-измерительных приборов, средств автоматики, опор, подвесок, крепежных деталей, прокладок, материалов и деталей тепловой изоляции и противокоррозионной защиты и предназначенное для транспортирования под воздействием разницы давлений в поперечных сечениях трубы газообразных и жидких веществ, а также твердого топлива и иных твердых веществ в виде раствора","Классификатор ОКС по НФТО
СТО НОСТРОЙ 2.23.85-2013",,"Противоэрозионное, защитное сооружение магистрального трубопровода СУГ, СПГ и пр
Сооружение автоматизации и телемеханизации, электроснабжения, технологической связи, ЭХЗ магистрального трубопровода СУГ, СПГ и пр
Сооружение перехода через естественные и искусственные препятствия магистрального трубопровода СУГ, СПГ и пр. (воздушные - балочные и вантовые, подземные - траншейные, ННБ, в микротоннелях и т.д.)",20.7.1,
,HK,,,,Объекты метрополитена,,Классификатор ОКС по НФТО,По виду ОКС,,20.7.1,
,,HKA,,,Сооружение перегонного тоннеля,,Классификатор ОКС по НФТО,,"Сооружение камеры съездов в однопутном тоннеле
Сооружение перегонного тоннеля метрополитена
Сооружение перегонного тоннеля с гидропригрузом",20.2.1,
,,HKB,,,Здание (сооружение) станции метрополитена,,Классификатор ОКС по НФТО,,"Здание наземного станционного комплекса без эскалаторов метрополитена
Сооружение лестничного входа в пешеходный тоннель метрополитена (односторонний)
Сооружение наклонного (эскалаторного) тоннеля метрополитена",20.2.2,
,,HKC,,,Здание (сооружение) электродепо метрополитена,,Классификатор ОКС по НФТО,,"Здание для отстоя, технического обслуживания и ремонта внутридеповского транспорта аварийно­восстановительных служб метрополитена
Здание цеха ночного отстоя отстойно­ремонтного корпуса метрополитена
Здание эксплуатационного персонала служб метрополитена",20.2.3,
,HL,,,,"Системы перевозок, в том числе внеуличный транспорт",,Классификатор ОКС по НФТО,По виду ОКС,,20.2.3,
,,HLA,,,Сооружение грузовой канатной дороги,"сооружения и устройства промышленного канатного подвесного транспорта, предназначенный для перевозки грузов от пункта погрузки к пункту выгрузки",Классификатор ОКС по НФТО,,"Грузовые подвесные канатные дороги с реверсивным (маятниковым) движением подвижного состава одноканатные или двухканатные)
Двухканатные кольцевые подвесные канатные дороги с отцепляемым на станциях подвижным составом
Одноканатные кольцевые грузовые подвесные канатные дороги (с отцепляемым или неотцепляемым на станциях подвижным составом)",20.12.3,Синтезированное определени
,,HLB,,,Сооружение пассажирской канатной дороги,"Сооружение дороги, использующей транспортные средства, подвешенные к канату, расположенному на опорах выше уровня поверхности земли",Классификатор ОКС по НФТО,,"Буксировочная канатная дорога (БКД)
Комбинированная канатная дорога (ККД)
Пассажирская подвесная канатная дорога с кольцевым движением (с использованием кабин и (или) кресел)
Пассажирская подвесная маятниковая канатная дорога",20.12.2,Синтезированное определение
,,HLC,,,Сооружение рельсового транспорта,,Классификатор ОКС по НФТО,,"Монорельсовая дорога
Фуникулёр грузовой
Фуникулер пассажирский",20.12.1,
,HM,,,,Транспортные проходы и переходы,,Классификатор ОКС по НФТО,По виду ОКС,,20.12.1,
,,HMA,,,Мостовое сооружение,"Искусственное сооружение над водной преградой, состоящее из пролетных строений и опор и служащее для пропуска различных видов подвижных нагрузок","Классификатор ОКС по НФТО
ГОСТ 33179-2014",,"Автодорожный мост
Виадук
Городской мост
Мост вантовый",20.10.1,
,,HMB,,,Сооружение Тоннеля,"Подземное сооружение, внутри которого проходят пассажирские и грузовые поезда, а также служебные транспортные средства","Классификатор ОКС по НФТО
ГОСТ Р 51399-99 (ИСО 10815-96)",,"Сооружение автодорожного тоннеля
Сооружение городского транспортного тоннеля
Сооружение железнодорожного тоннеля
Сооружение пешеходного тоннеля под железнодорожными путями",20.10.2,
,HL,,,,Шумозащитное сооружение,"Элемент транспортной инфраструктуры, располагаемый между транспортной дорогой и защищаемыми от шума объектами и предназначенный для снижения уровня транспортного шума, воздействующего на защищаемые от него объекты, за счет образования акустической тени за элементом транспортной инфраструктуры.","ТР ТС 002/2011
СП 276.1325800.2016
",,"Сооружение акустического экрана
Сооружение шумозащитного земляного вала
Сооружение шумозащитной земляной выемки
Сооружение шумозащитной галереи",,
J,,,,,Объекты хранения,,,По виду ОКС,,,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,JA,,,,Объекты хранения продукции сельского хозяйства и пищевых продуктов,,,По виду ОКС,,,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,JAA,,,Объекты хранения продукции сельского хозяйства и пищевых продуктов при температуре окружающей среды,,,По виду ОКС,,,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,,JAAA,,Здание (сооружение) объектов хранения продукции сельского хозяйства и пищевых продуктов при температуре окружающей среды,,,,"Здание склада лесных семян
Здание склада семян в таре
Здание яйцесклада
Здание плодоовощной базы",1.9.4.3,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,,JAAB,,Здание (сооружение) объектов для хранения продукции сельского хозяйства и пищевых продуктов силосного типа,,,,"Здание силосного корпуса из железобетонных конструкций
Рабочее здание элеватора
Сооружение элеватора",1.9.1.5,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,JAB,,,Объекты хранения продукции сельского хозяйства и пищевых продуктов в охлажденном виде,,,По виду ОКС,"Здание холодильника
Сооружение низкотемпературного хранилища семени и вакцины",10.6.5.47,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,JB,,,,Объекты хранения материалов,,,По виду ОКС,,,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,JBA,,,Здание (сооружение) объектов хранения горючих жидкостей и жидкого топлива,,,,"Сооружение маслохранилища при производстве летательных аппаратов
Здание склада ЛВЖ и ГСМ резервуарного хранения при производстве целлюлозы
Сооружение открытого склада масла
Сооружение склада масла",,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,JBB,,,Здание (сооружение) объектов хранения негорючих жидкостей,,,,"Здание склада технической соляной кислоты фармацевтической промышленности
Здание склада, приготовления и подачи реагентов в оборотную систему градирен
Здание склада АОС
Здание склада кислот и щелочей фармацевтической промышленности",,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,JBC,,,Здание (сооружение) объектов хранения твердого топлива,,,,"Здание погрузочно-складского комплекса железнодорожного транспорта при добыче угля
Сооружение склада угля
Здание склада кокса с галереей транспорта",,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,JBD,,,Здание (сооружение) объектов хранения газов,,,,"Здание склада азота высокого давления
Здание товарно-сырьевого склада сжиженных углеводородных газов нефтеперерабатывающей промышленности
Здание склада газообразных химических веществ",,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,JBE,,,Объекты хранения сыпучих материалов,,,По виду ОКС,,,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,,JBEA,,Здание (сооружение) объектов хранения сыпучих материалов,,,,"Здание склада древесного сырья производств целлюлозы
Здание силосного (бункерного) склада порошков, оборудованный установками пневмотранспорта
Сооружение прирельсового склада компонентов сырья, затаренных и сыпучих материалов производства изделий из стекловолокна",,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,,JBEB,,Здание (сооружение) объектов для хранения сыпучих материалов силосного типа,,,,"Сооружение силосного склада клинкера
Сооружение силосного склада цемента",,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,JBF,,,Здание (сооружение) объектов хранения расфасованных и штучных материалов,,,,"Сооружение склада хранения средств дезактивации
Здание склада для хранения различных видов материалов, не требующих особых условий эксплуатации
Здание склада для напольного хранения затаренной продукции
Здание склада длительного хранения бумаги",,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,JBG,,,Здание (сооружение) объектов хранения взрывчатых веществ,,,,"Здание склада порохов и твердых топлив
Здание склада прекурсоров порохов и твердых топлив
Здание склада для хранения взрывоопасных и пожароопасных материалов",,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,JBH,,,Здание (сооружение) объектов хранения радиоактивных веществ,,,,Здание склада контейнерного отработанного ядерного топлива,18.2.1.2,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,JBJ,,,Здание (сооружение) объектов хранения токсичных материалов,,,,"Здание склада сильнодействующих ядовитых веществ
Здание склада сильнодействующих ядовитых веществ фармацевтической промышленности",,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,JC,,,,"Объекты хранения оборудования, машин, деталей машин и механизмов",,,По виду ОКС,,,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,JCA,,,Здание (сооружение) объектов хранения готовой продукции,,,,"Здание склада готовой продукции в пластмассовой таре с узлом погрузки фармацевтической промышленности
Здание склада готовой продукции, реагентов, вспомогательных материалов на производстве синтетических жирозаменителей и поверхностно-активных веществ
Здание склада готовой продукции триходермина",,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,JCB,,,Объекты хранения машин,,,,Сооружение материально­технического склада сельскохозяйственной техники,1.9.11.6,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,JCC,,,"Здание (сооружение) объектов хранения оборудования, деталей машин и механизмов",,,,"Сооружение механизированного склада заводов тяжелого и транспортного машиностроения
Здание склада материалов, изделий и механизмов шахты добычи железных руд
Сооружение склада хранения средств гражданской обороны",,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,JCD,,,Здание (сооружение) объектов хранения товаров,,,,"Здание (сооружение) склада транспортно-экспедиционной службы
Магазин-склад
Специализированный общетоварный склад
Здание склада товаров",,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,JD,,,,Объекты хранения отходов,,,По виду ОКС,,,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,JDA,,,Объекты хранения неопасных отходов,,,По виду ОКС,,,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,,JDAA,,Здание (сооружение) объектов хранения твердых коммунальных и смешанных отходов,,,,Полигон ТБО,,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,,JDAB,,Здание (сооружение) объектов хранения промышленных отходов,,,,Сооружение площадки для складирования металлического лома,20.8.5.13,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,JDB,,,Объекты хранения опасных отходов,,,По виду ОКС,,,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,,JDBA,,Здание (сооружение) объектов хранения биологических отходов,,,,Сооружение скотомогильника,16.8.7.11,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,,JDBB,,Здание (сооружение) объектов хранения радиоактивных отходов,,,,Здание хранилища РАО,16.8.3.54,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,,JDBC,,Здание (сооружение) объектов хранения токсичных отходов,,,,Здание склада хранения химических отходов,5.6.3.17,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
K,,,,,Объекты культуры и искусства,,Классификатор ОКС по НФТО,По виду ОКС,,21,
,KA,,,,"Объекты культуры, искусства и истории",,Классификатор ОКС по НФТО,По виду ОКС,,21.2,
,,KAA,,,Библиотеки и архивы,,Классификатор ОКС по НФТО,По виду ОКС,,21.2.2,
,,,KAAA,,Здание архива,"Учреждение или структурное подразделение организации, осуществляющие хранение, комплектование, учет и использование архивных документов.","Классификатор ОКС по НФТО
Федеральный закон от 22.10.2004 г. N 125-ФЗ",,Архив,21.2.2,
,,,KAAB,,Здание библиотеки,"Информационное, культурное, образовательное учреждение, располагающее организованным фондом документов и предоставляющее их во временное пользование абонентам, а также осуществляющее другие библиотечные услуги","Классификатор ОКС по НФТО
ГОСТ 7.0-99 СИБИД",,Библиотека,21.2.2,
,,KAB,,,"Исторические места и здания, памятники культуры",,Классификатор ОКС по НФТО,По виду ОКС,,21.2.5,
,,,KABA,,Историческое здание,,Классификатор ОКС по НФТО,,Памятник архитектуры,21.2.5,
,,,KABB,,Сооружение памятника культуры,"Расположенный на данной территории и связанный с историческими событиями и развитием города объект недвижимого историко-культурного наследия, зарегистрированный в Государственном реестре памятников истории и культуры: историко-градостроительный ансамбль, историко-архитектурный комплекс и ансамбль, здание, строение с принадлежащей ему территорией, сооружение, участок культурного слоя, достопримечательное место, особо охраняемая территория, а также движимые объекты, находящиеся на нем и являющиеся его неотъемлемой частью, представляющие историческую, научную, художественную или иную культурную ценность.","Классификатор ОКС по НФТО
ТСН 11-301-2005",,Памятник,21.2.5,
,,KAC,,,Здание культурно-досугового объекта,,Классификатор ОКС по НФТО,,"Здание дома (дворца) культуры
Здание дома декоративно-прикладного творчества
Здание дома музыки
Здание дома национального искусства",21.2.3.1,
,,KAD,,,Здание культурно-зрелищного объекта,,Классификатор ОКС по НФТО,,"Здание кинотеатра
Здание концертного зала
Здание музыкального театра",21.2.4.1,
,,KAE,,,Здание культурно-просветительского объекта,,Классификатор ОКС по НФТО,,"Здание выставочного зала
Здание музея",21.2.1.1,
,KB,,,,"Объекты производства и издания литературных и музыкальных произведений, кино- и видеофильмов, телевизионных программ и звукозаписей",,Классификатор ОКС по НФТО,По виду ОКС,,21.1,
,,KBA,,,Здание издательства,"Юридически оформленное хозяйственно самостоятельное учреждение, ведущее подготовку и выпуск издательской продукции.","Классификатор ОКС по НФТО
ГОСТ 7.81-2001 СИБИД",,"Здание издательства газет и журналов
Здание издательства книг",21.1.1,
,,KBB,,,Здание студии звукозаписи и издания музыкальных произведений,,Классификатор ОКС по НФТО,,"Здание студии звукозаписи
Здание студии издания музыкальных произведений",21.1.3,
,,KBC,,,Здание студии производства кинофильмов и телевизионных программ,,Классификатор ОКС по НФТО,,"Здание студии по производству кинофильмов
Здание студии по производству телевизионных программ",21.1.2,
,KC,,,,Объекты религиозного и культового обеспечения,,Классификатор ОКС по НФТО,По виду ОКС,,21.3,
,,KCA,,,Здание (сооружение) религиозных и культовых объектов образовательного назначения,"Здания, сооружения, помещения, монастырские, храмовые и (или) иные культовые комплексы, построенные или перепрофилированные (целевое назначение которых изменено) для осуществления и (или) обеспечения таких видов деятельности религиозных организаций, как совершение богослужений, других религиозных обрядов и церемоний, проведение молитвенных и религиозных собраний, обучение религии, профессиональное религиозное образование, монашеская жизнедеятельность, религиозное почитание (паломничество)","Классификатор ОКС по НФТО
СП 258.1311500.2016",,"Здание воскресной школы
Здание медресе
Здание семинарии
Здание церковного училища",21.3.2,
,,KCB,,,"Здание (сооружение) религиозных и культовых объектов, монастырей","Здания, сооружения, помещения, монастырские, храмовые и (или) иные культовые комплексы, построенные или перепрофилированные (целевое назначение которых изменено) для осуществления и (или) обеспечения таких видов деятельности религиозных организаций, как совершение богослужений, других религиозных обрядов и церемоний, проведение молитвенных и религиозных собраний, обучение религии, профессиональное религиозное образование, монашеская жизнедеятельность, религиозное почитание (паломничество)","Классификатор ОКС по НФТО
СП 258.1311500.2016",,"Административное здание монастыря
Здание братского (сестринского) корпуса
Здание костела
Здание мечети
Здание минарета",21.3.1,
L,,,,,Объекты капитального строительства информационно-коммуникационных технологий,,Классификатор ОКС по НФТО,По виду ОКС,,22,
,LA,,,,Объекты обработки и хранения данных,,Классификатор ОКС по НФТО,По виду ОКС,,22.3,
,,LAA,,,Здание (сооружение) объектов обработки данных,,Классификатор ОКС по НФТО,,"Здание научно-исследовательского вычислительного центра
Здание центра информационно­вычислительного",22.3.1,
,,LAB,,,Здание (сооружение) объектов организаций хранения данных,,Классификатор ОКС по НФТО,,"Здание дата-центра
Здание модульного дата-центра",22.3.2,
,LB,,,,Объекты связи на базе беспроводных технологий,,Классификатор ОКС по НФТО,По виду ОКС,,22.2,
,,LBA,,,Здание (сооружение) радиотелецентра,,Классификатор ОКС по НФТО,,"Здание аппаратной радиотелефонной связи
Здание аппаратно-студийного комплекса
Здание радиовещательного узла",22.2.1,
,,LBB,,,Здание (сооружение) объектов для обеспечения связи,,Классификатор ОКС по НФТО,,Сооружение радиобашни (радиомачты),22.2.2,
,LC,,,,Объекты связи на базе проводных технологий,,Классификатор ОКС по НФТО,По виду ОКС,,22.1,
,,LCA,,,Сооружение кабельной линии связи с волоконно-оптическим кабелем,,Классификатор ОКС по НФТО,,"Здание автоматического междугородного цифрового коммутатора (РМТС)
Здание для ведомого задающего генератора
Здание станции оконечной или промежуточной системы передачи",22.1.5,
,,LCB,,,Здание (сооружение) объектов проводной связи,,Классификатор ОКС по НФТО,,"Сооружение канализации кабелей связи
Сооружение коллектора для кабелей связи",22.1.1,
,,LCC,,,Здание (сооружение) объектов сетей проводного вещания,,Классификатор ОКС по НФТО,,Здание центральной станции трехпрограммного проводного вещания,22.1.2,
,,LCD,,,Здание (сооружение) телефонной (телеграфной) станции,,Классификатор ОКС по НФТО,,"Здание комбинированной АМТС/АТС
Здание телефонной станции (подстанции)
Здание электронной телеграфной станции",22.1.3,
,,LCE,,,Здание (сооружение) центра коммутации,,Классификатор ОКС по НФТО,,"Здание автоматизированного узла коммутации сообщений
Здание локального центра коммутации
Здание территориального центра коммутации",22.1.4,
M,,,,,"Объекты административно-делового, государственного, муниципального и общественного управления",,Классификатор ОКС по НФТО,По виду ОКС,,23,
,MA,,,,Объекты административного управления и бытового обеспечения промышленных предприятий,,Классификатор ОКС по НФТО,По виду ОКС,,23.3,
,,MAA,,,Здание (сооружение) объектов административно­бытовые,,Классификатор ОКС по НФТО,,"Административно-бытовое здание
Административное здание с санпропускником
Административно-производственное здание",23.3.1,
,,MAB,,,Здание (сооружение) объектов административно-охранные,,Классификатор ОКС по НФТО,,"Здание (сооружение) проходной
Здание охранного комплекса
Здание служебного собаководства войсковой охраны",23.3.2,
,MB,,,,Объекты бизнес управления,,Классификатор ОКС по НФТО,По виду ОКС,,23.1,
,,MBA,,,Здание бизнес-центра,,Классификатор ОКС по НФТО,,"Здание бизнес-инкубатора
Здание делового центра
Здание многофункционального комплекса",23.1.1,
,,MBB,,,Здание (сооружение) логистического центра,,Классификатор ОКС по НФТО,,Здание грузового терминала,20.1.3,
,,MBC,,,Здание (сооружение) объектов финансово­кредитных и страховых организаций,,Классификатор ОКС по НФТО,,"Здание банка
Здание страховой организации",23.1.2,
,MC,,,,Объекты государственного и муниципального управления общего и социально­экономического,,Классификатор ОКС по НФТО,По виду ОКС,,23.2,
,,MCA,,,Здание (сооружение) объектов органов законодательной власти и органов местного самоуправления,,Классификатор ОКС по НФТО,,"Здание органов государственной власти Российской Федерации
Здание органов местного самоуправления
Здание органов региональной власти",23.2.1,
,,MCB,,,Здание (сооружение) объектов органов исполнительной власти,,Классификатор ОКС по НФТО,,"Здание государственного фонда
Здание многофункционального центра предоставления государственных и муниципальных услуг
Здание налоговой инспекции",23.2.2,
,,MCC,,,Здание (сооружение) объектов представительств иностранных государств,,Классификатор ОКС по НФТО,,"Здание консульства
Здание посольства
Здание торгового представительства",23.2.3,
,,MCD,,,Здание (сооружение) объектов представительств Российской Федерации за рубежом,,Классификатор ОКС по НФТО,,Здание представительства Российской Федерации за рубежом,23.2.4,
N,,,,,"Объекты для осуществления научных исследований, проектирования, изысканий",,Классификатор ОКС по НФТО,По виду ОКС,,24,
,NA,,,,Объекты для осуществления фундаментальных научных исследований,,Классификатор ОКС по НФТО,По виду ОКС,,24.1,
,,NAA,,,Здание (сооружение) объектов для осуществления научной деятельности в фундаментальных науках,,Классификатор ОКС по НФТО,,"Здание исследовательского (экспериментального) корпуса института
Здание научного центра
Здание научно-исследовательского института",24.1.1,
,,NAB,,,Здание (сооружение) объектов экспериментальной базы фундаментальной науки,,Классификатор ОКС по НФТО,,Здание (сооружение) научно­экспериментальной установки (стенда),24.1.2,
,NB,,,,"Объекты для проведения инженерных изысканий, проектирования",,Классификатор ОКС по НФТО,По виду ОКС,,24.3,
,,NBA,,,"Здание (сооружение) объектов организаций, осуществляющие изыскательскую деятельность",,Классификатор ОКС по НФТО,,"Здание гидрометеоцентра, радиометеоцентра
Сооружение организации инженерных изысканий",24.3.2,
,,NBB,,,"Здание (сооружение) объектов организаций, осуществляющих проектную деятельность",,Классификатор ОКС по НФТО,,"Здание конструкторского бюро
Здание проектного института",24.3.1,
,NC,,,,"Объекты для проведения технические испытаний, прикладных исследований, анализа и сертификации",,Классификатор ОКС по НФТО,По виду ОКС,,24.2,
,,NCA,,,"Здание (сооружение) объектов для осуществления анализа, сертификации, технических испытаний",,Классификатор ОКС по НФТО,,"Здание центра сертификации
Сооружение испытательного стенда",24.2.2,
,,NCB,,,Здание (сооружение) объектов для осуществления деятельности в сфере прикладных исследований,,Классификатор ОКС по НФТО,,"Здание лабораторного корпуса
Здание научной и опытной станции
Здание производственно­лабораторного корпуса",24.2.1,
P,,,,,Объекты обеспечения безопасности и правопорядка,,Классификатор ОКС по НФТО,По виду ОКС,,25,
,PA,,,,Объекты гражданской обороны и защиты населения,,Классификатор ОКС по НФТО,По виду ОКС,,25.4,
,,PAA,,,Здание (сооружение) объектов гражданской обороны,,Классификатор ОКС по НФТО,,"Здание системы оповещения
Здание цента управления
Сооружение командного пункта или пункта управления (защищенного)",25.4.1,
,,PAB,,,Здание (сооружение) объектов защиты населения,,Классификатор ОКС по НФТО,,"Здание (сооружение) санитарно­обмывочного пункта
Здание (сооружение) станции обеззараживания техники
Сооружение противорадиационного укрытия",25.4.2,
,PB,,,,Объекты обеспечения безопасности и охраны правопорядка,,Классификатор ОКС по НФТО,По виду ОКС,,25.2,
,,PBA,,,Здание (сооружение) объектов обустройства государственной границы,,Классификатор ОКС по НФТО,,"Здание кинологической службы
Здание контрольно- пропускного пункта режимной зоны
Здание с блоком ветеринарного контроля",25.2.2,
,,PBB,,,"Здание (сооружение) объектов органов власти, обеспечивающих безопасность и охрану правопорядка",,Классификатор ОКС по НФТО,,"Здание государственной инспекции по обеспечению безопасности дорожного движения
Здание общественного пункта охраны порядка
Здание полиции
Здание поста дорожно-патрульной службы",25.2.1,
